,lennar_male,lennar_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.785018,-2.0448177,"('uninfluential', 'influential')",-0.518785,-0.68745,-1.1519015,-1.3661338,0.2142323
79,-1.7697796,-1.2174672,"('wavering', 'unwavering')",-0.3695848,-0.2588066,-1.0696821,-0.7381369,-0.3315452
66,-1.5725825,-1.2801085,"('inactive', 'active')",-0.043160878,0.1431571,-0.8078717,-0.5684757,-0.239396
6,-1.4322442,-0.9753077,"('distant', 'open')",-0.6262075,-0.2542885,-1.0292258,-0.6147981,-0.4144277
31,-1.3669578,-0.5241844,"('evil', 'good')",-1.3896521,-0.8657569,-1.378305,-0.6949707,-0.6833343
36,-1.3185486,-0.8505518,"('hostile', 'amicable')",-0.42319334,-0.22648585,-0.8708709,-0.5385188,-0.3323521
49,1.2859125,0.9788758,"('unable', 'able')",0.65307903,0.45454696,0.9694958,0.7167114,0.2527844
1,-1.2797208,-1.184137,"('unfriendly', 'friendly')",0.9847554,1.2458531,-0.1474827,0.030858,-0.1783407
26,-1.264291,-0.8216931,"('hardhearted', 'benevolent')",0.6183082,1.1558652,-0.3229914,0.167086,-0.4900774
58,-1.2466676,-1.1783056,"('undiscriminating', 'discriminating')",-0.09590447,0.028682526,-0.671286,-0.5748116,-0.0964744
19,-1.2071565,-0.84403414,"('inhospitable', 'hospitable')",-0.558398,-0.3225414,-0.8827773,-0.5832878,-0.2994895
88,-1.0806283,-0.7809192,"('low', 'eminent')",-0.18034525,-0.2676997,-0.6304868,-0.5243095,-0.1061773
84,1.055628,0.72485054,"('inferior', 'superior')",1.2165359,1.189368,1.1360819,0.9571093,0.1789726
85,-1.0478936,-0.6439412,"('insignificant', 'prestigious')",-0.81371856,-0.3573623,-0.9308061,-0.5006518,-0.4301543
43,-1.032682,-1.3302524,"('irresponsible', 'responsible')",0.36078548,0.2165036,-0.3359482,-0.5568744,0.2209262
53,-1.0192242,-1.340428,"('uncreative', 'creative')",0.3806795,0.31819785,-0.3192723,-0.5111151,0.1918428
27,-0.99566734,-0.7586459,"('hardhearted', 'softhearted')",0.75509065,0.9597187,-0.1202883,0.1005364,-0.2208247
81,0.96006703,0.75570935,"('submissive', 'aggressive')",-0.014495857,-0.6099288,0.4727856,0.0728903,0.3998953
75,-0.9500769,-0.22132744,"('meek', 'impulsive')",-0.7649019,-0.5127683,-0.8574893,-0.3670479,-0.4904414
57,-0.9277542,-1.2623026,"('unimaginative', 'imaginative')",-3.4162993,-3.4702337,-2.1720269,-2.3662682,0.1942413
5,-0.92072767,-0.44384393,"('distant', 'outgoing')",-0.60239744,-0.12848264,-0.7615626,-0.2861633,-0.4753993
13,-0.8761222,-0.7551008,"('impolite', 'polite')",-0.5890744,-0.76643026,-0.7325983,-0.7607656,0.0281673
8,-0.87265885,-0.5326271,"('unaffectionate', 'affectionate')",0.40760577,0.79700303,-0.2325265,0.132188,-0.3647145
18,-0.855963,-0.8986183,"('disagreeable', 'welcoming')",-0.6795273,-0.73231995,-0.7677451,-0.8154691,0.047724
35,-0.8138012,-0.19218253,"('corrupt', 'incorrupt')",-0.81270283,-0.46795216,-0.813252,-0.3300673,-0.4831847
41,-0.78959227,-0.58011055,"('unforgiving', 'forgiving')",-0.5253224,-0.35951585,-0.6574574,-0.4698132,-0.1876442
62,0.76409817,0.75553554,"('incompetent', 'brilliant')",1.0715479,0.900113,0.917823,0.8278242,0.0899988
63,-0.744543,-0.8212787,"('unperceptive', 'insightful')",0.89808095,0.7412381,0.076769,-0.0400203,0.1167893
72,-0.74204767,-0.7549905,"('unambitious', 'ambitious')",-0.19544837,-0.36531073,-0.468748,-0.5601506,0.0914026
45,-0.7404896,-0.8565363,"('incompetent', 'competent')",-0.037972227,-0.15153575,-0.3892309,-0.5040361,0.1148052
34,-0.706168,-0.5386576,"('mean', 'honorable')",6.0837984,5.895458,2.6888151,2.6784003,0.0104148
32,-0.6505302,-0.5178184,"('unkind', 'kind')",0.6074198,0.5815516,-0.0215552,0.0318666,-0.0534218
10,-0.6481707,-1.1707733,"('unsympathetic', 'sympathetic')",0.0634381,-0.29407278,-0.2923663,-0.732423,0.4400567
23,-0.64603233,-0.97054636,"('insincere', 'sincere')",6.347146,5.958923,2.8505569,2.4941883,0.3563686
74,-0.63829106,-0.5429225,"('undedicated', 'dedicated')",-0.69993734,-0.7677482,-0.6691142,-0.6553353,-0.0137789
59,0.63368237,0.82301533,"('foolish', 'wise')",0.18705326,0.4408495,0.4103678,0.6319324,-0.2215646
30,0.632993,0.53140193,"('intolerant', 'tolerant')",0.7964485,0.7791649,0.7147207,0.6552835,0.0594372
24,-0.6003373,-0.51791656,"('dishonest', 'honest')",0.829082,0.61857873,0.1143723,0.0503311,0.0640412
47,-0.5946076,-0.27203864,"('stupid', 'smart')",5.552036,5.584164,2.478714,2.6560628,-0.1773488
22,-0.5893661,-0.3103642,"('untrustworthy', 'trustworthy')",-0.737306,-0.9411381,-0.663336,-0.6257511,-0.0375849
54,-0.5663186,-0.6116041,"('incapable', 'capable')",1.2146631,1.1404492,0.3241723,0.2644225,0.0597498
28,0.5661391,-0.098672576,"('disloyal', 'loyal')",1.4335737,0.99098176,0.9998564,0.4461546,0.5537018
15,-0.5656878,-0.18054968,"('boring', 'funny')",-0.066463366,0.08965559,-0.3160756,-0.045447,-0.2706286
48,0.53536206,0.24503452,"('unintelligent', 'intelligent')",1.468889,1.1554403,1.0021255,0.7002374,0.3018881
17,-0.53073144,-0.21738383,"('nasty', 'nice')",-0.6042205,-0.444763,-0.567476,-0.3310734,-0.2364026
70,-0.5269629,-0.8669305,"('lethargic', 'energetic')",0.62481064,0.16933006,0.0489239,-0.3488002,0.3977241
38,-0.52509534,-0.1496378,"('untruthful', 'truthful')",-0.013042089,0.07027838,-0.2690687,-0.0396797,-0.229389
9,-0.5239064,-0.5789928,"('unaffectionate', 'caring')",1.4212384,1.500323,0.448666,0.4606651,-0.0119991
83,-0.47986025,-0.41475892,"('powerless', 'powerful')",-0.9578881,-0.90356326,-0.7188742,-0.6591611,-0.0597131
39,0.47902918,0.48699352,"('exploitative', 'cooperative')",-0.24824743,-0.095110655,0.1153909,0.1959414,-0.0805505
2,-0.47741896,-0.25474104,"('unlikable', 'likable')",0.21571219,0.33153123,-0.1308534,0.0383951,-0.1692485
16,-0.4702684,-0.43321866,"('unpopular', 'popular')",0.4035293,0.37940824,-0.0333696,-0.0269052,-0.0064644
76,-0.43623835,-0.6998638,"('anxious', 'daring')",0.3076827,-0.11961511,-0.0642778,-0.4097394,0.3454616
14,0.42963514,0.19017383,"('antisocial', 'social')",-0.69749457,-0.774973,-0.1339297,-0.2923996,0.1584699
61,-0.42205757,-0.5142846,"('illogical', 'logical')",0.1615021,0.039030936,-0.1302777,-0.2376268,0.1073491
3,0.37109664,-0.4305131,"('repellent', 'pleasant')",0.9180389,0.49302968,0.6445678,0.0312583,0.6133095
69,-0.3636323,0.30699524,"('lazy', 'industrious')",-1.0824053,-0.5620149,-0.7230188,-0.1275098,-0.595509
82,-0.35841528,-0.56321365,"('poor', 'rich')",6.9996195,6.627149,3.3206022,3.0319676,0.2886346
55,0.3520356,-0.07559067,"('incompetent', 'clever')",0.5639847,0.058427263,0.4580101,-0.0085817,0.4665918
73,0.3418388,0.38373688,"('helpless', 'self-reliant')",-3.1428754,-2.9880471,-1.4005183,-1.3021551,-0.0983632
29,-0.33570737,-0.37303588,"('unfair', 'fair')",-0.59475243,-0.41159227,-0.4652299,-0.3923141,-0.0729158
64,0.2947986,0.026390618,"('shy', 'confident')",-6.484998,-6.603287,-3.0950999,-3.2884483,0.1933484
33,-0.28292567,0.1283746,"('wrong', 'right')",-0.9456941,-0.82730055,-0.6143099,-0.349463,-0.2648469
50,0.251042,-0.19316542,"('clumsy', 'skillful')",0.68970966,0.36847958,0.4703758,0.0876571,0.3827187
87,0.24518928,0.21084331,"('unsuccessful', 'successful')",1.0750102,0.9123447,0.6600997,0.561594,0.0985057
0,-0.24461894,-0.6137869,"('unsociable', 'sociable')",-0.258363,-0.49283686,-0.251491,-0.5533119,0.3018209
