,s&p_male,s&p_female,tuple,global_male,global_female,inc_male,inc_female,average_male,average_female,male-female
2,1.5081954,1.5055419,"('unlikable', 'likable')",1.2392988,1.3637829,1.4159573,1.611431,1.3878172,1.4935853,-0.1057681
73,1.4570435,1.5548393,"('helpless', 'self-reliant')",0.7989281,0.8749932,1.2292687,1.2647266,1.1617468,1.2315197,-0.0697729
57,-1.2274891,-1.3070583,"('unimaginative', 'imaginative')",-1.8965603,-1.8438298,-1.786756,-1.6748297,-1.6369352,-1.6085726,-0.0283626
28,-1.1904448,-1.188035,"('disloyal', 'loyal')",-1.2554152,-1.2658002,-1.4935675,-1.3679101,-1.3131425,-1.2739151,-0.0392274
1,-1.1821768,-1.2520522,"('unfriendly', 'friendly')",-0.6523184,-0.34933418,-1.205858,-0.99989736,-1.0134511,-0.8670945,-0.1463566
42,1.1449647,1.0514419,"('unreliable', 'reliable')",1.2148726,1.05903,0.82711214,0.63823473,1.0623165,0.9162356,0.1460809
64,1.1232585,1.089828,"('shy', 'confident')",-0.13523395,-0.26661372,0.43904632,0.27038237,0.4756903,0.3645322,0.1111581
23,-1.0956964,-0.98878914,"('insincere', 'sincere')",-2.2704442,-2.065617,-0.7669554,-0.50536,-1.3776986,-1.1865888,-0.1911098
10,-1.0830218,-1.042216,"('unsympathetic', 'sympathetic')",-2.4601953,-2.329772,-1.2480528,-1.1416782,-1.5970901,-1.5045554,-0.0925347
53,-1.06147,-0.929092,"('uncreative', 'creative')",-0.37428916,-0.10927528,-1.4824913,-1.2161425,-0.9727502,-0.7515033,-0.2212469
6,0.98504674,0.9444115,"('distant', 'open')",1.4068011,1.573122,0.30163842,0.42671907,0.8978287,0.9814175,-0.0835888
62,0.9143997,1.1902138,"('incompetent', 'brilliant')",-1.5300366,-1.3675522,0.7951889,1.0768092,0.0598507,0.2998236,-0.2399729
15,0.85034555,0.85172164,"('boring', 'funny')",0.9430757,0.9170961,-0.27857098,-0.32818353,0.5049501,0.4802114,0.0247387
33,0.82518363,0.77851504,"('wrong', 'right')",0.94808084,0.97761464,1.1900303,1.1066351,0.9877649,0.9542549,0.03351
87,0.8247402,0.8852939,"('unsuccessful', 'successful')",1.3996181,1.4011484,1.7471269,1.6758263,1.3238284,1.3207562,0.0030722
86,-0.8227927,-0.9532904,"('uninfluential', 'influential')",-1.7710962,-1.9337837,-1.2966774,-1.2314057,-1.2968554,-1.3728266,0.0759712
52,0.8216712,0.731349,"('irrational', 'rational')",1.0622594,1.2140218,-0.071628176,-0.10657394,0.6041008,0.6129323,-0.0088315
85,0.81273234,0.82538867,"('insignificant', 'prestigious')",2.6808937,2.7949238,1.1951112,1.2836889,1.5629125,1.6346671,-0.0717546
20,-0.7667822,-0.780524,"('rough', 'thoughtful')",-1.0349464,-0.9479858,-0.2556302,-0.17917344,-0.6857863,-0.6358945,-0.0498918
26,-0.7504617,-0.7607815,"('hardhearted', 'benevolent')",1.2303611,1.2144518,-0.9369002,-0.6329311,-0.1523336,-0.0597536,-0.09258
83,0.7076617,0.47819427,"('powerless', 'powerful')",-0.14351678,-0.31238997,0.77222836,0.6092148,0.4454578,0.2583397,0.1871181
22,-0.6722198,-0.58664757,"('untrustworthy', 'trustworthy')",-0.29237807,-0.30010787,-0.8893573,-0.8671258,-0.6179851,-0.5846271,-0.033358
47,-0.65165794,-0.62835765,"('stupid', 'smart')",-1.1864192,-1.1041915,-0.41843104,-0.3262183,-0.7521695,-0.6862559,-0.0659136
60,0.634355,0.7531415,"('inefficient', 'efficient')",-1.910883,-1.8727103,0.48968315,0.72503734,-0.2622816,-0.1315105,-0.1307711
61,0.6337154,0.7425558,"('illogical', 'logical')",-0.83146334,-0.6868233,0.80501103,0.85969687,0.202421,0.3051431,-0.1027221
16,0.630388,0.5457149,"('unpopular', 'popular')",1.0468392,1.0383672,0.3463924,0.17386393,0.6745399,0.585982,0.0885579
78,-0.5810007,-0.6537627,"('nonresilient', 'resilient')",-1.3773136,-1.365289,-0.42034858,-0.47617713,-0.7928876,-0.8317429,0.0388553
31,-0.5502282,-0.43137035,"('evil', 'good')",1.3132843,1.4898318,0.33451653,0.36454737,0.3658575,0.4743363,-0.1084788
8,-0.54281527,-0.64880186,"('unaffectionate', 'affectionate')",-0.11499489,0.18612288,-0.7847678,-0.6486392,-0.4808593,-0.3704394,-0.1104199
82,-0.5360686,-0.48557508,"('poor', 'rich')",-0.5169576,-0.40720102,-0.9325866,-0.82416135,-0.661871,-0.5723125,-0.0895585
0,-0.53429794,-0.76442164,"('unsociable', 'sociable')",-2.6777577,-2.728161,-0.1967713,-0.24928676,-1.1362757,-1.2472898,0.1110141
12,0.49479288,0.431026,"('unsupportive', 'supportive')",-0.7472697,-0.6902358,0.6230836,0.7067648,0.1235356,0.149185,-0.0256494
18,-0.47841558,-0.64017546,"('disagreeable', 'welcoming')",0.6999588,0.6215676,-0.5022083,-0.5291631,-0.093555,-0.1825903,0.0890353
67,0.46886107,0.4817708,"('doubtful', 'determined')",-0.4023005,-0.52663064,0.54062074,0.45846674,0.2023938,0.137869,0.0645248
81,-0.4537167,-0.43968856,"('submissive', 'aggressive')",-1.5234197,-1.5930239,-0.34024328,-0.32917175,-0.7724599,-0.7872947,0.0148348
35,-0.44656804,-0.2686863,"('corrupt', 'incorrupt')",0.89698154,0.9438192,-0.020539261,-0.08673505,0.1432914,0.1961326,-0.0528412
69,0.44561362,0.46990424,"('lazy', 'industrious')",1.4226602,1.36907,1.3007957,1.2661592,1.0563565,1.0350445,0.021312
41,-0.40842995,-0.4573951,"('unforgiving', 'forgiving')",-1.5757576,-1.5268587,-0.36035168,-0.22688238,-0.7815131,-0.7370454,-0.0444677
39,0.40112954,0.6164918,"('exploitative', 'cooperative')",-0.52769995,-0.34751138,0.36852065,0.56462854,0.0806501,0.2778697,-0.1972196
17,-0.3800592,-0.29396647,"('nasty', 'nice')",-0.18077421,-0.17516826,0.57727253,0.640584,0.0054797,0.0571497,-0.05167
25,-0.36029825,-0.45068708,"('egoistic', 'altruistic')",0.17439464,0.31038108,0.2827041,0.25567102,0.0322668,0.038455,-0.0061882
14,-0.35574713,-0.20509201,"('antisocial', 'social')",-1.3466038,-1.440127,-0.24602008,-0.020778582,-0.649457,-0.5553325,-0.0941245
49,-0.35155138,-0.32268494,"('unable', 'able')",-0.7673997,-0.70024276,-0.3637999,-0.31889394,-0.4942503,-0.4472739,-0.0469764
5,0.33521155,0.35765323,"('distant', 'outgoing')",0.94670993,1.0514044,0.44868505,0.48128754,0.5768689,0.630115,-0.0532461
59,0.32598847,0.38498944,"('foolish', 'wise')",1.1723429,1.1667782,0.20560366,0.15111971,0.5679783,0.5676291,0.0003492
13,-0.32124975,-0.25639272,"('impolite', 'polite')",-1.6649328,-1.5059288,0.63100106,0.6804013,-0.4517272,-0.36064,-0.0910872
