,principal_male,principal_female,tuple,financial_male,financial_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
31,-3.5958261,-3.48378,"('evil', 'good')",-0.35503662,-0.35889265,-2.1325715,-2.0851202,-2.0699742,-1.8210785,-2.038352,-1.9372177,-0.1011343
6,-3.324269,-3.1201117,"('distant', 'open')",-0.08963333,0.1694267,-1.8833084,-1.6831483,-0.47217023,-0.11074739,-1.4423453,-1.1861452,-0.2562001
70,3.2209933,2.9012659,"('lethargic', 'energetic')",0.10438258,0.18026343,1.976113,1.9604629,1.7031763,1.5434912,1.7511663,1.6463709,0.1047954
39,2.8613791,2.8949063,"('exploitative', 'cooperative')",0.7553375,0.7967353,1.4757687,1.3829123,0.13176993,0.22260213,1.3060639,1.3242891,-0.0182252
60,2.8031569,2.638806,"('inefficient', 'efficient')",-0.57955855,-0.3411488,1.8947818,2.088511,1.0107582,0.87408626,1.2822845,1.3150637,-0.0327792
46,2.7473152,2.4267325,"('uncompetitive', 'competitive')",0.5616663,0.6071461,2.9015248,2.7488508,0.103887364,-0.21778317,1.5785985,1.3912365,0.187362
36,-2.6674502,-2.8179421,"('hostile', 'amicable')",0.5400257,0.35453793,-1.7189257,-1.8079432,-0.5788007,-0.59543204,-1.1062877,-1.2166948,0.1104071
62,2.666129,2.5098605,"('incompetent', 'brilliant')",0.23940648,0.50164527,1.166211,1.5084198,0.7333855,0.7896646,1.2012831,1.3273976,-0.1261145
65,2.630996,2.4821336,"('insecure', 'secure')",-0.6359829,-0.6507091,1.6761245,1.5634874,0.79616344,0.5349666,1.1168252,0.9824696,0.1343556
21,2.5664608,2.2272563,"('immoral', 'moral')",0.2931537,0.31224215,1.2090037,1.2336025,-0.4389343,-0.5455588,0.907421,0.8068855,0.1005355
5,-2.524923,-2.3206096,"('distant', 'outgoing')",1.0020214,1.2225859,-1.1325483,-0.92202944,-1.0062035,-0.6107635,-0.9154134,-0.6577042,-0.2577092
30,2.5075715,2.392461,"('intolerant', 'tolerant')",-0.018670514,0.1386627,0.45074356,0.6050144,1.1549377,1.1872559,1.0236455,1.0808485,-0.057203
43,2.419794,2.2691126,"('irresponsible', 'responsible')",0.42677626,0.6798674,1.6979707,1.7894726,1.3415087,1.3340402,1.4715124,1.5181231,-0.0466107
12,2.4113827,2.118144,"('unsupportive', 'supportive')",1.2519987,1.29085,1.7385415,1.6896889,-1.5492125,-1.6040639,0.9631776,0.8736548,0.0895228
80,2.3668919,2.2705092,"('dominated', 'dominating')",-0.23311569,-0.23066995,2.2639737,2.1840332,-0.6232845,-0.779009,0.9436163,0.8612158,0.0824005
10,2.3213093,1.9339837,"('unsympathetic', 'sympathetic')",-1.367457,-1.2178063,0.86358273,0.89979017,0.7402094,0.625881,0.6394111,0.5604621,0.078949
56,2.29561,2.0979776,"('impractical', 'practical')",0.32526147,0.47036847,1.4777693,1.6382529,0.56239235,0.4753189,1.1652583,1.1704794,-0.0052211
13,2.2876966,1.9952023,"('impolite', 'polite')",-0.22713336,-0.24694815,0.58140165,0.5088289,0.36086228,0.15538615,0.7507068,0.6031173,0.1475895
52,-2.2418258,-2.289453,"('irrational', 'rational')",0.32513788,0.29187328,-1.7583842,-1.7705367,-0.8855378,-0.7460904,-1.1401525,-1.1285517,-0.0116008
1,-2.1992934,-2.4440174,"('unfriendly', 'friendly')",1.2146297,1.2301453,0.09855322,-0.0033367276,1.0776983,1.2582202,0.047897,0.0102528,0.0376442
23,2.1865013,1.7765106,"('insincere', 'sincere')",0.07693958,0.11894796,1.1111571,1.0647451,6.6797256,6.7315245,2.5135808,2.4229321,0.0906487
8,-2.1777527,-2.3353517,"('unaffectionate', 'affectionate')",0.50468576,0.44670317,-0.2283598,-0.32505548,-0.055893995,0.3673748,-0.4893302,-0.4615823,-0.0277479
55,2.163155,1.7963253,"('incompetent', 'clever')",-1.2063088,-1.0866216,0.87041694,0.9218226,0.621869,0.34572938,0.6122831,0.4943139,0.1179692
85,-2.139899,-2.1419156,"('insignificant', 'prestigious')",1.9300863,1.7478068,-0.75976145,-0.9335947,-0.99810207,-0.80575836,-0.4919191,-0.5333655,0.0414464
35,-2.1237304,-1.9515524,"('corrupt', 'incorrupt')",-0.36224946,-0.37130606,-2.1050603,-2.0894053,-1.2056592,-1.006772,-1.4491749,-1.354759,-0.0944159
7,2.0172675,1.5397533,"('insensitive', 'sensitive')",0.2818926,0.22235003,1.1682874,1.0158373,1.3678528,1.1741693,1.208825,0.9880275,0.2207975
81,1.944468,1.7396631,"('submissive', 'aggressive')",0.64495826,0.59039867,3.0915592,3.0501204,0.41342032,0.2340382,1.5236014,1.4035552,0.1200462
4,-1.903526,-1.9557688,"('disliked', 'liked')",0.3957464,0.37847498,-0.2731835,-0.15250677,-6.9191594,-7.1116,-2.1750307,-2.21035,0.0353193
42,1.8638725,1.6961024,"('unreliable', 'reliable')",1.0707312,1.134968,2.0455873,2.0647902,-2.341788,-2.4923813,0.6596008,0.6008698,0.058731
51,1.8387965,1.4938341,"('uneducated', 'educated')",-0.4040694,-0.37141818,0.6863932,0.71284044,0.89321125,0.7415711,0.7535828,0.6442069,0.1093759
45,1.810568,1.3458483,"('incompetent', 'competent')",-0.8519908,-0.8218916,0.45526224,0.57793653,0.1640909,-0.07221363,0.3944826,0.2574199,0.1370627
14,1.6902385,1.1669738,"('antisocial', 'social')",1.3210372,1.3530902,1.8784432,1.8836462,-0.14518738,-0.33950368,1.1861329,1.0160517,0.1700812
11,1.6660635,1.4336853,"('unhelpful', 'helpful')",-0.27637196,-0.20067969,0.4014528,0.5150271,2.5337281,2.4760094,1.0812181,1.0560105,0.0252076
76,1.6397389,1.5954527,"('anxious', 'daring')",-0.56160444,-0.37690637,1.1891458,1.2902693,0.7325569,0.6981985,0.7499593,0.8017535,-0.0517942
25,-1.6222405,-1.6247295,"('egoistic', 'altruistic')",0.22200802,0.28781703,-0.48083758,-0.4728526,1.0013177,1.0572001,-0.2199381,-0.1881413,-0.0317968
32,1.5647231,1.2110965,"('unkind', 'kind')",-0.28461134,-0.21038015,1.3060575,1.2378731,1.4889677,1.4807154,1.0187843,0.9298261,0.0889582
83,1.5635647,1.4435757,"('powerless', 'powerful')",1.1824443,1.2196172,0.46048757,0.5475846,-0.7781814,-0.8119771,0.6070788,0.5997001,0.0073787
84,1.4994473,1.4708557,"('inferior', 'superior')",0.5537891,0.61112684,0.3994215,0.4511342,0.29889995,0.38624257,0.6878895,0.7298399,-0.0419504
69,-1.4454262,-1.4102325,"('lazy', 'industrious')",1.2220767,1.1293952,0.1376501,0.12853348,-1.3167542,-1.2323729,-0.3506134,-0.3461692,-0.0044442
74,1.4124132,1.2128674,"('undedicated', 'dedicated')",0.7164759,0.90069205,1.270149,1.4174087,0.3919216,0.32452956,0.9477399,0.9638745,-0.0161346
16,-1.3525254,-1.5446898,"('unpopular', 'popular')",-0.09304217,-0.13056628,-0.48575503,-0.5565765,0.36003542,0.2585054,-0.3928218,-0.4933318,0.10051
67,1.3426703,1.4187739,"('doubtful', 'determined')",0.3812004,0.40434316,0.78514695,0.74505264,-0.4602646,-0.3471109,0.5121883,0.5552647,-0.0430764
72,1.3245327,1.3594971,"('unambitious', 'ambitious')",0.52323943,0.60108113,0.8800869,1.0159038,-0.2970174,-0.1498281,0.6077104,0.7066634,-0.098953
