,mattel_male,mattel_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-1.6118195,-1.1662564,"('unsympathetic', 'sympathetic')",-0.20648207,-0.13649534,-0.9091508,-0.6513759,-0.2577749
57,-1.3545669,-1.2696989,"('unimaginative', 'imaginative')",-2.6766834,-2.633928,-2.0156252,-1.9518135,-0.0638117
69,1.2897406,0.8194703,"('lazy', 'industrious')",-0.6900123,-0.7971581,0.2998641,0.0111561,0.288708
45,-1.163131,-0.76106185,"('incompetent', 'competent')",-0.26116896,-0.20008421,-0.71215,-0.480573,-0.231577
64,-1.126477,-0.9371215,"('shy', 'confident')",-6.4414363,-6.241031,-3.7839565,-3.5890763,-0.1948802
70,-1.0976926,-0.65177757,"('lethargic', 'energetic')",0.505134,0.82382876,-0.2962793,0.0860256,-0.3823049
3,-1.0840688,-0.87513614,"('repellent', 'pleasant')",0.11626523,0.08514533,-0.4839018,-0.3949954,-0.0889064
67,1.0801914,1.1403646,"('doubtful', 'determined')",-0.49408033,-0.41110754,0.2930555,0.3646286,-0.0715731
18,-1.0707123,-1.2086251,"('disagreeable', 'welcoming')",-0.51998836,-0.53723073,-0.7953503,-0.8729279,0.0775776
66,-0.9489212,-1.2350926,"('inactive', 'active')",0.51565856,0.3589214,-0.2166313,-0.4380856,0.2214543
42,-0.93133485,-0.67806727,"('unreliable', 'reliable')",-3.0799484,-2.8669116,-2.0056417,-1.7724894,-0.2331523
56,0.8617086,1.26834,"('impractical', 'practical')",-0.05833127,0.24179994,0.4016887,0.75507,-0.3533813
71,0.842131,0.7392004,"('diffident', 'self-confident')",0.41049758,0.35204047,0.6263143,0.5456204,0.0806939
39,0.8271948,0.9046592,"('exploitative', 'cooperative')",-0.027974881,0.0035766652,0.39961,0.4541179,-0.0545079
0,-0.8241613,-0.53728455,"('unsociable', 'sociable')",-0.55497634,-0.54709053,-0.6895688,-0.5421876,-0.1473812
7,-0.803497,-0.49034068,"('insensitive', 'sensitive')",0.5741487,0.6937019,-0.1146742,0.1016806,-0.2163548
27,-0.7891379,-0.79601437,"('hardhearted', 'softhearted')",1.3197656,1.1547753,0.2653138,0.1793804,0.0859334
65,-0.7874296,-0.4847089,"('insecure', 'secure')",-0.46003476,-0.3289011,-0.6237321,-0.406805,-0.2169271
6,-0.7839316,-1.1089203,"('distant', 'open')",0.2982795,0.16667928,-0.2428261,-0.4711205,0.2282944
86,-0.77977175,-0.68751377,"('uninfluential', 'influential')",-0.26381952,-0.256666,-0.5217956,-0.4720899,-0.0497057
60,0.76422787,1.1802474,"('inefficient', 'efficient')",0.4344189,0.67468643,0.5993234,0.9274669,-0.3281435
52,-0.7219173,-1.0983225,"('irrational', 'rational')",0.017768374,-0.26576778,-0.3520744,-0.6820452,0.3299708
11,-0.72099453,-0.43052152,"('unhelpful', 'helpful')",2.0457916,2.1449032,0.6623986,0.8571908,-0.1947922
16,-0.7108154,-0.94281846,"('unpopular', 'popular')",0.54786044,0.32011908,-0.0814775,-0.3113497,0.2298722
5,-0.70399565,-0.8779152,"('distant', 'outgoing')",-0.0052443556,-0.007469233,-0.35462,-0.4426922,0.0880722
24,-0.67504436,-0.4815629,"('dishonest', 'honest')",0.83176017,0.9074854,0.0783579,0.2129613,-0.1346034
14,-0.6724788,-0.40552035,"('antisocial', 'social')",-1.1259217,-1.1176021,-0.8992003,-0.7615612,-0.1376391
31,-0.6658374,-0.8505808,"('evil', 'good')",-1.1964841,-1.3152514,-0.9311607,-1.082916,0.1517553
88,-0.661865,-0.7765842,"('low', 'eminent')",0.20104834,0.17968348,-0.2304083,-0.2984504,0.0680421
4,-0.6419778,-0.5799543,"('disliked', 'liked')",-6.279646,-6.138067,-3.4608119,-3.3590105,-0.1018014
79,-0.63763195,-0.7679233,"('wavering', 'unwavering')",0.11059142,0.13585961,-0.2635203,-0.3160318,0.0525115
20,0.63356394,0.6117811,"('rough', 'thoughtful')",1.3747066,1.3249435,1.0041353,0.9683623,0.035773
55,-0.6130477,-0.25593734,"('incompetent', 'clever')",0.100798555,0.11879477,-0.2561246,-0.0685713,-0.1875533
73,0.6065705,0.6423609,"('helpless', 'self-reliant')",-2.8013163,-2.7121816,-1.0973729,-1.0349103,-0.0624626
17,-0.57220393,-0.49350685,"('nasty', 'nice')",-0.4774605,-0.50757045,-0.5248322,-0.5005386,-0.0242936
