,fedex_male,fedex_female,tuple,corp_male,corp_female,average_male,average_female,male-female
57,-1.8272973,-1.6586916,"('unimaginative', 'imaginative')",-3.4353106,-3.364794,-2.631304,-2.5117428,-0.1195612
53,-1.4921609,-1.3354222,"('uncreative', 'creative')",0.34441975,0.43915132,-0.5738706,-0.4481354,-0.1257352
86,-1.4732761,-1.4030205,"('uninfluential', 'influential')",-0.34754458,-0.42956766,-0.9104103,-0.9162941,0.0058838
10,-1.3779595,-1.2068579,"('unsympathetic', 'sympathetic')",-0.20199749,-0.2848009,-0.7899785,-0.7458294,-0.0441491
45,-1.2868854,-1.2020273,"('incompetent', 'competent')",-0.032531805,-0.0002552881,-0.6597086,-0.6011413,-0.0585673
1,-1.1575011,-1.1298883,"('unfriendly', 'friendly')",1.3952703,1.410827,0.1188846,0.1404694,-0.0215848
8,-1.0542909,-1.1844381,"('unaffectionate', 'affectionate')",0.5648248,0.51522267,-0.244733,-0.3346077,0.0898747
70,-1.0026959,-0.9201866,"('lethargic', 'energetic')",0.3459766,0.36785614,-0.3283597,-0.2761652,-0.0521945
28,-0.9890446,-0.8465626,"('disloyal', 'loyal')",1.0584035,1.2971034,0.0346794,0.2252704,-0.190591
18,-0.8994039,-0.887091,"('disagreeable', 'welcoming')",-0.5309528,-0.5970185,-0.7151784,-0.7420547,0.0268763
37,-0.8992082,-0.9367686,"('fake', 'genuine')",0.23943599,0.056610644,-0.3298861,-0.440079,0.1101929
43,-0.8566072,-0.79485345,"('irresponsible', 'responsible')",0.45879486,0.3896805,-0.1989062,-0.2025865,0.0036803
83,0.78139365,0.7068773,"('powerless', 'powerful')",-0.87796515,-1.0344722,-0.0482858,-0.1637975,0.1155117
63,-0.73783284,-0.7989243,"('unperceptive', 'insightful')",1.1032535,1.010755,0.1827103,0.1059153,0.076795
21,-0.7343541,-0.59139645,"('immoral', 'moral')",-0.399782,-0.48631394,-0.567068,-0.5388552,-0.0282128
84,0.70896745,0.61379784,"('inferior', 'superior')",0.8330846,0.88938177,0.771026,0.7515898,0.0194362
6,-0.706459,-0.81776094,"('distant', 'open')",-0.35920358,-0.47982973,-0.5328313,-0.6487954,0.1159641
19,-0.6818693,-0.5712297,"('inhospitable', 'hospitable')",-0.57207143,-0.41923553,-0.6269704,-0.4952326,-0.1317378
7,-0.68184584,-0.58369464,"('insensitive', 'sensitive')",0.1670159,0.24521948,-0.257415,-0.1692376,-0.0881774
52,-0.66137,-0.8203771,"('irrational', 'rational')",-0.21741492,-0.26234198,-0.4393924,-0.5413595,0.1019671
74,-0.6558849,-0.6250193,"('undedicated', 'dedicated')",-0.56630856,-0.543721,-0.6110967,-0.5843701,-0.0267266
22,-0.64004076,-0.6625644,"('untrustworthy', 'trustworthy')",-0.88119435,-1.012347,-0.7606176,-0.8374557,0.0768381
