,jabil_male,jabil_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.0036244,-2.1024144,"('unfriendly', 'friendly')",1.2160374,1.1684242,-0.3937935,-0.4669951,0.0732016
86,-1.8395088,-1.9316015,"('uninfluential', 'influential')",-0.33042568,-0.37436432,-1.0849673,-1.152983,0.0680157
9,-1.7310903,-1.4455452,"('unaffectionate', 'caring')",0.7394871,0.83170104,-0.4958016,-0.3069221,-0.1888795
28,-1.558484,-0.90243083,"('disloyal', 'loyal')",0.6725512,0.87599456,-0.4429664,-0.0132181,-0.4297483
53,-1.5348442,-1.4945592,"('uncreative', 'creative')",0.57287574,0.5522584,-0.4809842,-0.4711504,-0.0098338
8,-1.3937559,-0.9987314,"('unaffectionate', 'affectionate')",0.42729583,0.56476724,-0.4832301,-0.2169821,-0.266248
77,-1.2038777,-1.1127106,"('unmotivated', 'motivated')",-0.7520293,-0.84663093,-0.9779535,-0.9796708,0.0017173
44,1.146031,1.0221162,"('prejudiced', 'unprejudiced')",-1.5149797,-1.4477901,-0.1844743,-0.212837,0.0283627
48,-1.0832367,-0.62071025,"('unintelligent', 'intelligent')",0.5654963,0.727773,-0.2588702,0.0535314,-0.3124016
0,-1.0521379,-0.86416787,"('unsociable', 'sociable')",-0.21210495,-0.23793721,-0.6321214,-0.5510526,-0.0810688
10,-1.0460618,-1.2992015,"('unsympathetic', 'sympathetic')",0.10339581,-0.092655785,-0.471333,-0.6959286,0.2245956
42,0.9771809,1.0463963,"('unreliable', 'reliable')",-2.6019154,-2.529929,-0.8123672,-0.7417663,-0.0706009
23,-0.9329016,-1.4547175,"('insincere', 'sincere')",5.5767446,5.5534725,2.3219213,2.0493774,0.2725439
38,-0.91696775,-0.9748605,"('untruthful', 'truthful')",-0.08057218,-0.056769226,-0.49877,-0.5158148,0.0170448
2,0.9132282,0.8413719,"('unlikable', 'likable')",0.4394795,0.36367932,0.6763539,0.6025256,0.0738283
6,-0.90207905,-1.1054596,"('distant', 'open')",-0.056354545,0.108647496,-0.4792168,-0.4984061,0.0191893
76,0.89670795,0.86312956,"('anxious', 'daring')",0.76310366,0.826276,0.8299058,0.8447028,-0.014797
87,0.87319773,0.9481629,"('unsuccessful', 'successful')",0.97810566,1.1235951,0.9256517,1.035879,-0.1102273
71,-0.8686611,-1.1542491,"('diffident', 'self-confident')",0.3974112,0.5145871,-0.235625,-0.319831,0.084206
57,-0.85202754,-0.74470985,"('unimaginative', 'imaginative')",-2.3010457,-2.5558743,-1.5765367,-1.6502922,0.0737555
72,-0.84791416,-0.59526795,"('unambitious', 'ambitious')",-0.70539975,-0.49853685,-0.776657,-0.5469024,-0.2297546
63,-0.7646578,-0.79387593,"('unperceptive', 'insightful')",1.0959729,1.1388283,0.1656576,0.1724762,-0.0068186
59,0.7617437,0.96251196,"('foolish', 'wise')",0.1676485,0.35265076,0.4646961,0.6575813,-0.1928852
5,-0.7484993,-0.9373909,"('distant', 'outgoing')",-0.504992,-0.24189234,-0.6267456,-0.5896416,-0.037104
36,-0.73306847,-1.0449,"('hostile', 'amicable')",-0.07568967,-0.39296195,-0.4043791,-0.718931,0.3145519
70,0.7316214,0.2378844,"('lethargic', 'energetic')",1.1298845,1.0402303,0.9307529,0.6390573,0.2916956
19,-0.72714615,-0.9522686,"('inhospitable', 'hospitable')",-0.24094695,-0.31129688,-0.4840465,-0.6317828,0.1477363
31,-0.7223634,-0.9092516,"('evil', 'good')",-1.1847374,-1.2082013,-0.9535505,-1.0587264,0.1051759
61,-0.6677712,-0.52735496,"('illogical', 'logical')",0.09601736,0.06907904,-0.2858769,-0.229138,-0.0567389
73,0.63447636,0.9725322,"('helpless', 'self-reliant')",-2.8561924,-2.6361337,-1.110858,-0.8318007,-0.2790573
3,-0.6305274,-0.68106806,"('repellent', 'pleasant')",0.2059071,-0.006277264,-0.2123101,-0.3436727,0.1313626
50,0.6024983,0.9110747,"('clumsy', 'skillful')",0.21636756,0.2926112,0.4094329,0.6018429,-0.19241
78,-0.5995439,-0.112817205,"('nonresilient', 'resilient')",0.5256661,0.7019638,-0.0369389,0.2945733,-0.3315122
18,0.5732581,0.4076343,"('disagreeable', 'welcoming')",-0.41274935,-0.41685504,0.0802544,-0.0046104,0.0848648
13,-0.5580774,-1.0323582,"('impolite', 'polite')",-0.14346328,-0.36858028,-0.3507704,-0.7004693,0.3496989
66,-0.5490377,-0.826412,"('inactive', 'active')",0.66018015,0.51219803,0.0555712,-0.157107,0.2126782
11,-0.5348505,-0.8120307,"('unhelpful', 'helpful')",1.9084167,1.7276081,0.6867831,0.4577887,0.2289944
20,-0.5156559,-0.28141803,"('rough', 'thoughtful')",1.0215486,0.94820696,0.2529464,0.3333945,-0.0804481
26,-0.51267654,-0.9025039,"('hardhearted', 'benevolent')",1.6205164,1.2468635,0.5539199,0.1721798,0.3817401
46,-0.50554734,-0.39099035,"('uncompetitive', 'competitive')",-0.2084764,-0.3674938,-0.3570119,-0.3792421,0.0222302
7,-0.50367403,-0.44297957,"('insensitive', 'sensitive')",0.74297976,0.77430516,0.1196529,0.1656628,-0.0460099
34,-0.49828377,-0.7580181,"('mean', 'honorable')",5.7200146,5.78117,2.6108654,2.5115759,0.0992895
17,-0.4904022,-0.6282821,"('nasty', 'nice')",-0.61895365,-0.69166106,-0.5546779,-0.6599716,0.1052937
12,-0.4829698,-0.17112648,"('unsupportive', 'supportive')",-1.6702882,-1.511656,-1.076629,-0.8413913,-0.2352377
68,-0.46250424,0.10004503,"('dependent', 'independent')",-0.87847435,-0.44535854,-0.6704893,-0.1726568,-0.4978325
22,0.46200678,0.43273777,"('untrustworthy', 'trustworthy')",-0.8010805,-0.72761583,-0.1695369,-0.147439,-0.0220979
29,0.44893155,0.68324834,"('unfair', 'fair')",-0.8164333,-0.6584258,-0.1837509,0.0124113,-0.1961622
30,0.43864655,0.23893332,"('intolerant', 'tolerant')",1.7542061,1.4106585,1.0964262,0.8247959,0.2716303
64,-0.43422562,-0.40606827,"('shy', 'confident')",-6.600307,-6.652641,-3.5172663,-3.5293546,0.0120883
40,-0.4281893,-0.2705328,"('stingy', 'generous')",-1.9208244,-1.799405,-1.1745069,-1.0349689,-0.139538
80,0.3832625,0.5917428,"('dominated', 'dominating')",-0.7978535,-0.8523315,-0.2072955,-0.1302944,-0.0770011
60,-0.38054368,-0.06037489,"('inefficient', 'efficient')",0.26801655,0.3889479,-0.0562636,0.1642865,-0.2205501
33,-0.37596607,-0.26776832,"('wrong', 'right')",-0.72768366,-0.6421902,-0.5518249,-0.4549793,-0.0968456
82,-0.35419947,-0.6601864,"('poor', 'rich')",6.038099,6.139065,2.8419497,2.7394392,0.1025105
55,-0.34671223,0.18826082,"('incompetent', 'clever')",0.21565554,0.28636158,-0.0655283,0.2373112,-0.3028395
45,-0.33226067,-0.11418244,"('incompetent', 'competent')",0.14113972,0.012966769,-0.0955605,-0.0506078,-0.0449527
43,-0.32315415,-0.48280868,"('irresponsible', 'responsible')",0.85032976,0.68162155,0.2635878,0.0994064,0.1641814
58,0.321205,0.83385015,"('undiscriminating', 'discriminating')",0.06933564,-0.024897043,0.1952703,0.4044766,-0.2092063
21,-0.31846675,-0.3282422,"('immoral', 'moral')",-0.21408519,-0.36719733,-0.266276,-0.3477198,0.0814438
37,-0.30313277,-0.19506593,"('fake', 'genuine')",0.41179615,0.492468,0.0543317,0.148701,-0.0943693
84,0.2816699,0.6380342,"('inferior', 'superior')",0.8179914,1.1567913,0.5498307,0.8974128,-0.3475821
47,0.2669609,0.19352153,"('stupid', 'smart')",5.4724774,5.6250596,2.8697193,2.9092906,-0.0395713
51,-0.24890748,-0.7552974,"('uneducated', 'educated')",0.35344356,0.22281232,0.052268,-0.2662426,0.3185106
74,-0.24449797,-0.17476195,"('undedicated', 'dedicated')",0.12456181,0.07079404,-0.0599681,-0.051984,-0.0079841
79,-0.23449148,-0.7632705,"('wavering', 'unwavering')",0.036642816,-0.11043832,-0.0989243,-0.4368544,0.3379301
24,-0.22519836,-0.46433347,"('dishonest', 'honest')",0.5240174,0.5689167,0.1494095,0.0522916,0.0971179
69,0.21802415,0.22927669,"('lazy', 'industrious')",-0.56888366,-0.5702301,-0.1754298,-0.1704767,-0.0049531
49,-0.20352963,0.5430848,"('unable', 'able')",-0.15939403,0.43523702,-0.1814618,0.4891609,-0.6706227
4,0.20246334,0.15434796,"('disliked', 'liked')",-6.287123,-6.372525,-3.04233,-3.1090887,0.0667587
83,-0.20064877,-0.1854709,"('powerless', 'powerful')",-0.6725444,-0.58474016,-0.4365966,-0.3851055,-0.0514911
32,0.18905349,-0.7112474,"('unkind', 'kind')",0.923382,0.53765154,0.5562177,-0.0867979,0.6430156
62,0.17306636,0.6126159,"('incompetent', 'brilliant')",0.6583695,1.032796,0.4157179,0.822706,-0.4069881
52,-0.15722312,0.048817255,"('irrational', 'rational')",-0.3163409,-0.43465257,-0.236782,-0.1929177,-0.0438643
