,ciena_male,ciena_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-1.4283283,-1.341078,"('unsympathetic', 'sympathetic')",-0.1827335,-0.24125153,-0.8055309,-0.7911648,-0.0143661
86,-1.4209533,-1.531317,"('uninfluential', 'influential')",-0.36575377,-0.47481194,-0.8933535,-1.0030645,0.109711
2,1.2825087,1.3331285,"('unlikable', 'likable')",0.63072616,0.6003832,0.9566175,0.9667559,-0.0101384
19,-1.2387125,-1.3047442,"('inhospitable', 'hospitable')",-1.1580192,-1.0265512,-1.1983659,-1.1656477,-0.0327182
53,-1.1514403,-1.3293625,"('uncreative', 'creative')",0.3011184,0.31010056,-0.4251609,-0.509631,0.0844701
23,-1.134411,-1.2724336,"('insincere', 'sincere')",5.4558344,5.1071157,2.1607118,1.917341,0.2433708
38,-1.0837965,-1.0750529,"('untruthful', 'truthful')",-0.7374815,-0.629201,-0.910639,-0.852127,-0.058512
1,-1.0553553,-1.4317102,"('unfriendly', 'friendly')",0.79489905,0.5514476,-0.1302281,-0.4401313,0.3099032
45,-0.9973642,-0.97274154,"('incompetent', 'competent')",0.17612764,0.07180579,-0.4106183,-0.4504679,0.0398496
79,-0.99017036,-1.0074874,"('wavering', 'unwavering')",-1.2440827,-1.0436568,-1.1171265,-1.0255721,-0.0915544
39,0.98569727,0.90973663,"('exploitative', 'cooperative')",0.401853,0.2271878,0.6937751,0.5684622,0.1253129
57,-0.95704883,-1.1771115,"('unimaginative', 'imaginative')",-2.4814744,-2.5674505,-1.7192616,-1.8722811,0.1530195
5,-0.8898742,-1.0601327,"('distant', 'outgoing')",-1.4398295,-1.3900017,-1.1648519,-1.2250671,0.0602152
82,-0.8821329,-0.9025169,"('poor', 'rich')",5.7397385,5.5532265,2.4288027,2.3253548,0.1034479
69,0.8745799,1.0522861,"('lazy', 'industrious')",-0.9678497,-0.6759894,-0.0466349,0.1881484,-0.2347833
6,-0.8726772,-1.1312907,"('distant', 'open')",-1.4525652,-1.491989,-1.1626213,-1.3116398,0.1490185
78,-0.87064415,-0.6674671,"('nonresilient', 'resilient')",-0.12372112,0.1161015,-0.4971826,-0.2756828,-0.2214998
84,0.74452955,0.6533054,"('inferior', 'superior')",0.9990462,1.0324117,0.8717879,0.8428586,0.0289293
73,0.74183476,0.5983939,"('helpless', 'self-reliant')",-3.3121324,-3.036684,-1.2851489,-1.2191451,-0.0660038
46,-0.73682725,-0.5705702,"('uncompetitive', 'competitive')",-0.39471132,-0.42373914,-0.5657693,-0.4971547,-0.0686146
