,goodrich_male,goodrich_female,tuple,corp_male,corp_female,average_male,average_female,male-female
82,-1.3318919,-0.71616006,"('poor', 'rich')",6.2312365,6.5544176,2.4496722,2.9191289,-0.4694567
69,1.3220695,1.1089821,"('lazy', 'industrious')",-0.46149117,-0.62593937,0.4302892,0.2415214,0.1887678
73,1.2849996,1.4135041,"('helpless', 'self-reliant')",-3.13868,-3.0665765,-0.9268402,-0.8265362,-0.100304
31,-1.2256615,-1.4524324,"('evil', 'good')",-0.7641433,-1.0512371,-0.9949024,-1.2518348,0.2569324
53,-1.1805778,-0.9983336,"('uncreative', 'creative')",0.39997995,0.31134358,-0.3902989,-0.343495,-0.0468039
1,-1.1491997,-1.251119,"('unfriendly', 'friendly')",1.2741429,1.0562981,0.0624716,-0.0974104,0.159882
62,1.1474879,1.5377256,"('incompetent', 'brilliant')",0.45956483,0.9087291,0.8035263,1.2232273,-0.419701
87,1.1439153,1.1512678,"('unsuccessful', 'successful')",1.0150301,0.95659703,1.0794728,1.0539324,0.0255404
6,-1.0074831,-0.93131953,"('distant', 'open')",-0.5632579,-0.6100561,-0.7853705,-0.7706878,-0.0146827
36,-0.99103004,-1.3085251,"('hostile', 'amicable')",-0.20500134,-0.5747055,-0.5980157,-0.9416153,0.3435996
81,0.906972,1.0702181,"('submissive', 'aggressive')",-0.76546127,-0.33946067,0.0707554,0.3653787,-0.2946233
3,-0.9038374,-0.74429196,"('repellent', 'pleasant')",0.67814434,0.5700928,-0.1128465,-0.0870996,-0.0257469
60,0.8787146,1.0772415,"('inefficient', 'efficient')",0.1768964,0.53799176,0.5278055,0.8076167,-0.2798112
33,0.84105647,0.80477494,"('wrong', 'right')",-0.77004284,-0.82220346,0.0355068,-0.0087143,0.0442211
84,0.8296086,0.76959133,"('inferior', 'superior')",1.0613906,1.0223937,0.9454997,0.8959925,0.0495072
80,0.80451655,0.7010592,"('dominated', 'dominating')",-0.7888221,-0.7700889,0.0078472,-0.0345148,0.042362
8,-0.7894125,-1.0860528,"('unaffectionate', 'affectionate')",0.7913742,0.5121931,0.0009809,-0.2869298,0.2879107
67,0.7668097,0.9116748,"('doubtful', 'determined')",-0.53899205,-0.3313561,0.1139088,0.2901593,-0.1762505
10,-0.74998206,-0.74812585,"('unsympathetic', 'sympathetic')",-0.28080806,-0.18612593,-0.515395,-0.4671259,-0.0482691
64,0.7460712,0.5956982,"('shy', 'confident')",-6.3755627,-6.437274,-2.8147457,-2.9207878,0.1060421
57,-0.6954244,-0.69666487,"('unimaginative', 'imaginative')",-3.1651514,-3.294851,-1.9302878,-1.9957579,0.0654701
58,-0.67689544,-0.56540614,"('undiscriminating', 'discriminating')",-0.013744444,0.036107376,-0.3453199,-0.2646494,-0.0806705
