,robert_male,robert_female,tuple,half_male,half_female,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
60,4.0081024,3.536004,"('inefficient', 'efficient')",4.224243,3.5001154,1.3394399,1.4648709,0.49697837,0.9455161,2.5171909,2.3616266,0.1555643
21,3.966662,3.2278397,"('immoral', 'moral')",2.709657,1.3854631,0.7460165,0.19161573,-0.38672942,-0.6616023,1.7589016,1.0358289,0.7230727
81,3.8526309,3.4041677,"('submissive', 'aggressive')",2.9889927,2.2515426,0.8084682,0.6224878,-0.037163004,-0.13490394,1.9032322,1.5358236,0.3674086
55,3.574461,3.168983,"('incompetent', 'clever')",3.5767896,2.9995213,-0.41261262,-0.6482013,0.061483275,0.040589977,1.7000304,1.3902231,0.3098073
31,-3.1306682,-2.8191257,"('evil', 'good')",-3.2428372,-3.1705136,-0.8757296,-0.7811121,-1.4780017,-1.380514,-2.1818092,-2.0378163,-0.1439929
36,-3.0586953,-3.1021917,"('hostile', 'amicable')",-4.032051,-3.9376647,0.56263137,0.15510824,0.17705038,-0.14519213,-1.5877662,-1.757485,0.1697188
85,-3.007269,-2.5146232,"('insignificant', 'prestigious')",-4.880151,-4.7061977,-0.285076,-0.59574145,0.31018507,0.047639348,-1.9655777,-1.9422307,-0.023347
13,2.948745,2.5152009,"('impolite', 'polite')",2.4383755,2.2595632,1.3409669,1.2942568,0.1666004,0.35960612,1.7236719,1.6071568,0.1165151
62,2.9112508,2.919329,"('incompetent', 'brilliant')",2.6505382,2.4285164,0.38713294,0.5237557,0.15790063,0.51443917,1.5267057,1.5965099,-0.0698042
14,2.6729662,2.3912206,"('antisocial', 'social')",1.031732,0.667658,0.7954639,0.83038616,-0.42923385,-0.14856178,1.017732,0.9351757,0.0825563
80,2.5788696,2.5213444,"('dominated', 'dominating')",2.1806598,2.0801837,-0.28331918,-0.33745864,-1.1400294,-1.1626818,0.8340452,0.7753469,0.0586983
24,2.4671311,2.274348,"('dishonest', 'honest')",1.2920306,1.6270568,0.08350688,0.17027746,0.5740248,0.6891049,1.1041733,1.1901969,-0.0860236
65,2.422712,1.8901848,"('insecure', 'secure')",3.1819878,2.4905388,0.5955172,0.38845044,-0.046142936,0.022282049,1.5385185,1.1978641,0.3406544
56,2.3647234,2.0844212,"('impractical', 'practical')",3.7452564,3.893547,1.5534226,1.3423022,0.17736325,0.145507,1.9601914,1.8664443,0.0937471
26,-2.3466039,-1.8791698,"('hardhearted', 'benevolent')",-1.2651608,-0.5904728,1.8841097,2.0022717,1.542006,1.6957238,-0.0464122,0.3070882,-0.3535004
76,2.3146906,2.02682,"('anxious', 'daring')",2.7989004,2.0358982,1.3511189,0.9726497,0.9357502,0.5809832,1.8501151,1.4040878,0.4460273
46,2.307267,2.0054276,"('uncompetitive', 'competitive')",2.8209581,2.142387,0.15006712,-0.027644582,0.1043363,-0.042073138,1.3456572,1.0195242,0.326133
35,-2.2704358,-2.3340042,"('corrupt', 'incorrupt')",-3.0020995,-2.7665222,-0.80739915,-0.7139705,-0.65584767,-0.57773703,-1.6839455,-1.5980585,-0.085887
69,-2.208964,-2.2909513,"('lazy', 'industrious')",-3.3645635,-3.645309,1.3092365,1.4428263,-0.4912043,-0.33963382,-1.1888738,-1.208267,0.0193932
70,2.1964178,2.193453,"('lethargic', 'energetic')",2.6156476,2.157016,0.5610469,0.43701068,0.9513185,1.0284737,1.5811076,1.4539884,0.1271192
4,-2.173484,-1.7993048,"('disliked', 'liked')",-2.9711382,-2.758185,-0.36478838,-0.50207245,-5.604342,-5.6492314,-2.7784381,-2.6771984,-0.1012397
61,2.163339,1.9197302,"('illogical', 'logical')",0.20623825,-0.020995442,-0.6148883,-0.7728273,-0.12858115,-0.029038362,0.4065269,0.2742173,0.1323096
6,-2.1628726,-2.0163708,"('distant', 'open')",-3.0855017,-2.653773,-0.54336965,-0.5533376,-0.18350938,0.023615599,-1.4938133,-1.2999666,-0.1938467
1,-2.078411,-1.7320552,"('unfriendly', 'friendly')",-1.6189384,-1.44486,0.24303946,0.316533,1.1080245,1.3403113,-0.5865715,-0.3800177,-0.2065538
79,-2.0456831,-1.8734459,"('wavering', 'unwavering')",-2.042096,-2.0157807,-0.791555,-0.9714724,-0.34232247,-0.3320815,-1.3054141,-1.298195,-0.0072191
5,-2.0070434,-2.0708451,"('distant', 'outgoing')",-3.1620378,-3.101059,-0.54494345,-0.5209503,-0.5381698,-0.21673796,-1.5630486,-1.477398,-0.0856506
10,1.9929783,2.0002263,"('unsympathetic', 'sympathetic')",2.936879,2.860694,-0.72344077,-0.9267705,-0.08153488,0.080673255,1.0312204,1.0037057,0.0275147
75,-1.98542,-1.465472,"('meek', 'impulsive')",-1.9219223,-1.6801647,-0.363684,-0.21609278,-0.4759835,-0.41774577,-1.1867526,-0.9448688,-0.2418838
43,1.9646567,1.8385968,"('irresponsible', 'responsible')",2.861462,2.9275131,0.26393533,0.15940985,0.6018787,0.6792724,1.4229833,1.4011981,0.0217852
37,1.7562703,1.2799158,"('fake', 'genuine')",1.0119009,0.8191916,-0.6697341,-0.6689746,0.052288014,0.41557354,0.5376813,0.4614266,0.0762547
23,1.7004764,1.4279432,"('insincere', 'sincere')",3.033466,2.809321,0.4472729,0.3063544,5.1274085,5.1289473,2.5771561,2.4181414,0.1590147
52,-1.6486979,-1.5250303,"('irrational', 'rational')",-2.6583674,-2.7176106,-1.0287458,-1.3452414,0.0051829964,-0.3240328,-1.3326569,-1.4779788,0.1453219
64,1.6377459,1.1820995,"('shy', 'confident')",0.07602983,-0.70215666,0.01156256,-0.08931047,-5.308768,-5.1962132,-0.8958574,-1.2013953,0.3055379
39,1.5369345,1.3381203,"('exploitative', 'cooperative')",2.1617558,2.0883236,1.1987075,1.1778052,0.29476476,0.36033466,1.2980406,1.241146,0.0568946
0,1.535885,1.1940544,"('unsociable', 'sociable')",2.0906384,1.857316,0.41930997,0.33310246,-0.45126235,-0.18867487,0.8986428,0.7989495,0.0996933
16,-1.5317926,-1.1288261,"('unpopular', 'popular')",-2.1186707,-2.2138348,-0.07635985,-0.16582921,0.82133925,0.4215731,-0.7263709,-0.7717292,0.0453583
50,-1.5197569,-1.3668908,"('clumsy', 'skillful')",-2.2605517,-2.814507,-0.41017807,-0.6501409,0.17884535,0.29934257,-1.0029104,-1.133049,0.1301386
51,1.5131918,1.3797337,"('uneducated', 'educated')",1.0834795,0.57089734,-0.015033915,-0.11721508,0.08599959,0.33789203,0.6669092,0.542827,0.1240822
86,1.5070702,1.4269444,"('uninfluential', 'influential')",0.5710357,0.41392893,-0.349505,-0.28059092,-0.6478232,-0.33993435,0.2701944,0.305087,-0.0348926
7,1.478933,1.2981179,"('insensitive', 'sensitive')",1.5440792,1.4119656,0.0118148625,-0.15946624,0.59683555,0.7530241,0.9079157,0.8259103,0.0820054
66,-1.4520997,-1.0496647,"('inactive', 'active')",-1.1364778,-1.2163332,0.6255822,0.6149588,0.8432464,0.67413634,-0.2799372,-0.2442257,-0.0357115
8,-1.3486749,-1.1809564,"('unaffectionate', 'affectionate')",-1.5221121,-1.4182248,-0.73414433,-0.7467404,-0.19148335,0.070553645,-0.9491037,-0.818842,-0.1302617
32,1.3363079,1.0649228,"('unkind', 'kind')",1.1549882,0.8518069,0.11756422,-0.13172297,1.2041382,1.0724224,0.9532496,0.7143573,0.2388923
45,1.3359599,1.5605346,"('incompetent', 'competent')",1.0793575,1.2862186,-0.3723752,-0.37322992,-0.5348619,-0.24660817,0.3770201,0.5567287,-0.1797086
22,1.3108004,0.95205826,"('untrustworthy', 'trustworthy')",1.8064649,1.3836033,0.15807924,0.14711171,-0.9080262,-0.46576124,0.5918295,0.504253,0.0875765
