,black_male,black_female,tuple,&_male,&_female,decker_male,decker_female,corp_male,corp_female,average_male,average_female,male-female
10,-1.4705352,-1.545955,"('unsympathetic', 'sympathetic')",-2.6604946,-2.977245,-3.3615637,-3.5699947,-0.7610879,-0.67432123,-2.0634203,-2.191879,0.1284587
30,-1.4292719,-1.3688489,"('intolerant', 'tolerant')",-1.560713,-1.6556274,-1.9967074,-2.084169,0.3016824,0.35891625,-1.1712525,-1.1874323,0.0161798
57,-1.3814324,-1.6259875,"('unimaginative', 'imaginative')",-1.6634545,-1.8630402,-3.1691887,-3.3004007,-3.0990407,-3.3944976,-2.3282793,-2.5459816,0.2177023
41,-1.3685929,-1.2536079,"('unforgiving', 'forgiving')",-0.77829677,-0.7762998,-0.17012529,-0.22130093,0.14316729,-0.12087824,-0.5434619,-0.5930217,0.0495598
34,-1.3580945,-1.451145,"('mean', 'honorable')",-0.6907178,-0.6737249,0.46021226,0.4182541,4.8566484,5.4268804,0.8170121,0.9300662,-0.1130541
22,-1.3521839,-1.2169192,"('untrustworthy', 'trustworthy')",-0.56204164,-0.64321315,-1.5029291,-1.6003101,-0.9767532,-0.9696971,-1.098477,-1.1075349,0.0090579
73,1.2797936,1.470831,"('helpless', 'self-reliant')",1.4332554,1.5852802,0.29256174,0.5084688,-2.6864212,-2.9342299,0.0797974,0.1575876,-0.0777902
20,-1.2778751,-1.3130844,"('rough', 'thoughtful')",0.18260582,-0.0073447227,-0.18220735,-0.26361915,0.99533087,1.0551237,-0.0705364,-0.1322311,0.0616947
82,-1.2759509,-1.1155868,"('poor', 'rich')",-0.74718493,-0.7978413,-1.877275,-1.8577656,5.455589,6.249156,0.3887945,0.6194906,-0.2306961
49,-1.2660707,-1.1595361,"('unable', 'able')",-0.5212011,-0.53432393,-0.3098377,-0.1975052,-0.34900504,-0.08982773,-0.6115286,-0.4952983,-0.1162303
50,1.2423843,1.08323,"('clumsy', 'skillful')",2.1613224,1.887033,0.5415153,0.56572074,0.29986027,0.30595604,1.0612706,0.960485,0.1007856
45,-1.2406821,-1.3916653,"('incompetent', 'competent')",-1.5867,-1.7900337,-1.840489,-2.0176964,0.041643314,-0.13027614,-1.156557,-1.3324178,0.1758608
0,-1.2325275,-1.4334599,"('unsociable', 'sociable')",-1.4160683,-1.6135123,-1.4118959,-1.7146503,-0.20875064,-0.33072108,-1.0673106,-1.2730858,0.2057752
48,-1.2262405,-1.2762576,"('unintelligent', 'intelligent')",-0.9750839,-1.2525134,-2.256213,-2.1858025,0.56958586,0.7197686,-0.971988,-0.9987012,0.0267132
6,1.1892891,1.3012862,"('distant', 'open')",1.1742407,1.2801028,2.2567225,2.408686,-0.16726518,-0.2622648,1.1132467,1.1819526,-0.0687059
13,-1.1726006,-1.1564618,"('impolite', 'polite')",-1.816558,-1.8122393,-1.9142544,-2.1794856,-1.0508267,-0.8495029,-1.4885598,-1.4994224,0.0108626
69,1.1067264,0.89996827,"('lazy', 'industrious')",2.152834,2.184466,2.4054878,2.5129433,-0.16603233,-0.4311356,1.374754,1.2915604,0.0831936
33,1.0908418,1.0058907,"('wrong', 'right')",1.4933596,1.388567,1.0718746,1.1542356,-0.24238056,-0.36602452,0.8534238,0.7956672,0.0577566
55,-1.0869575,-1.1606929,"('incompetent', 'clever')",-1.3340961,-1.5253221,-3.5337675,-3.6520166,-0.00958278,0.028346818,-1.4911009,-1.5774212,0.0863203
88,-1.0197763,-1.0367442,"('low', 'eminent')",-0.2478986,-0.29249686,-1.5825253,-1.3887212,-0.6538069,-0.6180874,-0.8760018,-0.8340124,-0.0419894
31,-1.0031636,-0.9024841,"('evil', 'good')",0.9379501,1.0798677,2.398205,2.4858642,-0.54392225,-0.93473744,0.4472674,0.4321276,0.0151398
