,kb_male,kb_female,tuple,home_male,home_female,average_male,average_female,male-female
60,7.2183456,6.708805,"('inefficient', 'efficient')",0.7177806,1.2067543,3.9680631,3.9577796,0.0102835
55,6.952128,6.7667313,"('incompetent', 'clever')",0.69069624,1.0082113,3.8214121,3.8874712,-0.0660591
36,-6.814718,-5.4480524,"('hostile', 'amicable')",-1.186408,-1.4633837,-4.0005627,-3.455718,-0.5448447
85,-6.780794,-5.0931973,"('insignificant', 'prestigious')",-0.6769642,-1.0249976,-3.7288792,-3.0590975,-0.6697817
31,-6.304751,-5.4491982,"('evil', 'good')",-0.9250405,-1.3120208,-3.6148958,-3.3806095,-0.2342863
35,-6.2113237,-5.592178,"('corrupt', 'incorrupt')",-1.0315539,-1.1789961,-3.6214387,-3.385587,-0.2358517
62,5.716536,5.432572,"('incompetent', 'brilliant')",0.9594092,1.2260396,3.3379726,3.3293056,0.008667
6,-5.620158,-4.653505,"('distant', 'open')",-0.60441434,-0.8274427,-3.1122863,-2.7404737,-0.3718126
81,5.5771484,4.7698927,"('submissive', 'aggressive')",0.25723594,0.56708366,2.9171922,2.6684883,0.2487039
14,5.564548,4.0542846,"('antisocial', 'social')",0.9148726,0.9819948,3.2397103,2.5181396,0.7215707
70,5.491375,4.7472935,"('lethargic', 'energetic')",0.6499048,0.94023305,3.0706398,2.8437634,0.2268764
10,5.456628,4.906915,"('unsympathetic', 'sympathetic')",0.7511209,1.0879685,3.1038744,2.9974418,0.1064326
80,5.115751,3.903961,"('dominated', 'dominating')",-0.35084802,-0.31771424,2.3824513,1.7931234,0.5893279
46,5.0241275,4.450686,"('uncompetitive', 'competitive')",0.08949216,0.30451512,2.5568099,2.3776007,0.1792092
56,4.9658475,5.123837,"('impractical', 'practical')",0.79212695,1.246055,2.8789873,3.1849461,-0.3059588
5,-4.8572645,-3.8857005,"('distant', 'outgoing')",-0.95929545,-1.1579181,-2.9082799,-2.5218093,-0.3864706
79,-4.8308167,-4.1570807,"('wavering', 'unwavering')",-0.30698082,-0.45434347,-2.5688987,-2.305712,-0.2631867
21,4.786507,4.1184573,"('immoral', 'moral')",0.83877355,1.1773919,2.8126404,2.6479247,0.1647157
7,4.475981,3.8462553,"('insensitive', 'sensitive')",1.8569201,2.0523407,3.1664507,2.9492979,0.2171528
43,4.404113,4.2211275,"('irresponsible', 'responsible')",1.7507361,1.992908,3.0774245,3.1070178,-0.0295933
52,-4.3107085,-2.8522966,"('irrational', 'rational')",-0.3639511,-0.7765651,-2.3373299,-1.8144308,-0.5228991
69,-4.2637324,-3.7019832,"('lazy', 'industrious')",-1.2560941,-1.6281343,-2.7599132,-2.6650586,-0.0948546
45,4.2226133,4.071331,"('incompetent', 'competent')",0.868409,1.0505115,2.5455112,2.5609212,-0.01541
