,king_male,king_female,tuple,pharmaceuticals_male,pharmaceuticals_female,inc_male,inc_female,average_male,average_female,male-female
31,-1.6665331,-1.5586604,"('evil', 'good')",-0.60543734,-0.59935933,-1.2847469,-0.88788515,-1.1855725,-1.0153016,-0.1702709
57,-1.4964706,-1.4226263,"('unimaginative', 'imaginative')",-0.66020334,-0.64017606,-2.9028645,-3.1360035,-1.6865128,-1.7329353,0.0464225
39,1.3538816,1.3799005,"('exploitative', 'cooperative')",-0.018939208,0.09258231,-0.30420724,-0.15216175,0.3435784,0.440107,-0.0965286
24,1.3533475,1.5176982,"('dishonest', 'honest')",-1.2093762,-1.0299091,0.68178314,0.76652753,0.2752515,0.4181055,-0.142854
76,1.3456608,1.2767379,"('anxious', 'daring')",-0.9490398,-0.8996227,0.57338023,0.2673933,0.3233337,0.2148362,0.1084975
2,1.2664701,1.17716,"('unlikable', 'likable')",0.44746044,0.3575179,0.7505187,0.6557567,0.8214831,0.7301449,0.0913382
36,-1.2450455,-1.2942188,"('hostile', 'amicable')",-1.303048,-1.3142309,-0.20281449,0.09578286,-0.9169694,-0.8375556,-0.0794138
73,1.1736139,1.1515461,"('helpless', 'self-reliant')",-0.41819113,-0.32888606,-3.7039604,-3.4679573,-0.9828459,-0.8817657,-0.1010802
72,1.1306741,1.2155583,"('unambitious', 'ambitious')",-0.10599466,0.12972127,-0.97645867,-0.7360377,0.0160736,0.2030806,-0.187007
9,1.059135,1.4053134,"('unaffectionate', 'caring')",0.13108766,0.38231173,0.8680626,1.410392,0.6860951,1.0660057,-0.3799106
58,-1.0242546,-1.0275006,"('undiscriminating', 'discriminating')",-0.804143,-0.7806207,-0.37087417,-0.4204219,-0.7330906,-0.7428478,0.0097572
33,1.0017047,0.95277953,"('wrong', 'right')",0.7792978,0.8495985,-0.79529524,-0.36973023,0.3285691,0.4775493,-0.1489802
62,0.94311476,1.0948766,"('incompetent', 'brilliant')",0.38487402,0.49494183,0.43594867,0.36583522,0.5879792,0.6518846,-0.0639054
45,-0.91056263,-0.80250496,"('incompetent', 'competent')",-0.43232366,-0.57556576,-0.2927624,-0.58917046,-0.5452162,-0.6557471,0.1105309
18,0.8634249,0.8227296,"('disagreeable', 'welcoming')",-0.024806306,-0.050058175,-0.4309743,-0.3276843,0.1358814,0.148329,-0.0124476
15,-0.8588853,-0.8226268,"('boring', 'funny')",0.13680282,0.11489654,0.10907319,0.31934613,-0.2043364,-0.1294614,-0.074875
25,0.8460749,0.9718761,"('egoistic', 'altruistic')",0.45707735,0.55795264,1.1184527,1.3308884,0.8072016,0.9535724,-0.1463708
16,-0.84570575,-1.0984795,"('unpopular', 'popular')",0.22098024,0.11520926,0.79764515,0.69732815,0.0576399,-0.095314,0.1529539
4,-0.842922,-0.76457566,"('disliked', 'liked')",0.009498394,0.01765341,-6.5267715,-6.719362,-2.4533984,-2.4887613,0.0353629
6,-0.83131295,-0.36120293,"('distant', 'open')",-0.18930191,0.083126664,0.5558509,1.0722196,-0.1549213,0.2647144,-0.4196357
5,-0.8285396,-0.44326857,"('distant', 'outgoing')",-0.11082095,0.11358843,-0.12277401,0.33445513,-0.3540449,0.0015917,-0.3556366
63,-0.82255167,-0.53873163,"('unperceptive', 'insightful')",-0.17396492,-0.19408473,1.1265123,1.0042553,0.0433319,0.0904797,-0.0471478
17,-0.7544823,-0.79289013,"('nasty', 'nice')",-0.97662485,-0.97764415,-0.78109455,-0.6382428,-0.8374006,-0.8029257,-0.0344749
55,0.734281,0.6239261,"('incompetent', 'clever')",0.18847409,-0.050984766,0.30390516,-0.17233162,0.4088868,0.1335366,0.2753502
28,0.6926682,0.82151836,"('disloyal', 'loyal')",-0.092160106,-0.07946993,0.8611096,0.91374505,0.4872059,0.5519311,-0.0647252
75,-0.6884749,-0.7120072,"('meek', 'impulsive')",-0.64357364,-0.649151,-0.32963789,-0.16351081,-0.5538955,-0.508223,-0.0456725
80,0.68628967,0.6725468,"('dominated', 'dominating')",-0.50625855,-0.5320462,-1.0177646,-1.2406842,-0.2792445,-0.3667278,0.0874833
84,0.6786789,0.74508464,"('inferior', 'superior')",0.91189027,0.9999277,0.73152035,0.81089354,0.7740298,0.8519686,-0.0779388
40,-0.65826285,-0.14654866,"('stingy', 'generous')",0.44225827,0.75301063,-1.9158475,-1.7105229,-0.7106174,-0.3680203,-0.3425971
56,0.64392185,0.7760526,"('impractical', 'practical')",0.7308734,0.68372756,-0.06228866,-0.40749326,0.4375022,0.3507623,0.0867399
47,-0.622804,-0.68491983,"('stupid', 'smart')",0.48166028,0.38322678,5.948792,6.005988,1.9358827,1.9014317,0.034451
0,0.61117995,0.42598045,"('unsociable', 'sociable')",-0.005253585,-0.26952088,-0.38346332,-0.7653286,0.0741543,-0.2029563,0.2771106
69,-0.60755795,-0.37752512,"('lazy', 'industrious')",0.96431494,1.1339035,-0.5482688,-0.20211814,-0.0638373,0.1847534,-0.2485907
60,0.55625457,0.48973292,"('inefficient', 'efficient')",0.3132353,0.29102185,0.41280353,-0.16985053,0.4274311,0.2036348,0.2237963
64,-0.5468191,-0.53477585,"('shy', 'confident')",-0.39471462,-0.5424127,-6.5147796,-6.880551,-2.4854377,-2.6525798,0.1671421
67,0.54633665,0.4089292,"('doubtful', 'determined')",-0.29524633,-0.35495508,-0.5703572,-0.6853354,-0.1064223,-0.2104537,0.1040314
53,-0.54037327,-0.4062845,"('uncreative', 'creative')",-0.79781187,-0.651142,0.58154935,0.7369287,-0.2522119,-0.1068326,-0.1453793
70,-0.51984197,-0.31144145,"('lethargic', 'energetic')",-1.1129462,-0.955661,0.7968565,0.5505348,-0.2786439,-0.2388559,-0.039788
8,0.4823838,0.63395256,"('unaffectionate', 'affectionate')",-0.14797366,-0.0903864,0.2399943,0.87811536,0.1914681,0.4738938,-0.2824257
87,0.4740544,0.27247953,"('unsuccessful', 'successful')",0.066796355,-0.017174229,0.6504,0.46998218,0.3970836,0.2417625,0.1553211
7,-0.4683994,-0.46351525,"('insensitive', 'sensitive')",-1.1897525,-1.1793126,0.36387423,0.24491693,-0.4314259,-0.4659703,0.0345444
12,0.43518743,0.71248776,"('unsupportive', 'supportive')",0.59446687,0.6949949,-1.9120347,-1.8214886,-0.2941268,-0.138002,-0.1561248
46,-0.42211762,-0.59810233,"('uncompetitive', 'competitive')",0.00037329644,-0.131222,-0.24730785,-0.8937063,-0.2230174,-0.5410102,0.3179928
52,-0.39848438,-0.4371155,"('irrational', 'rational')",-0.36292362,-0.36813992,-0.46091035,0.015644774,-0.4074394,-0.2632035,-0.1442359
65,0.38704827,0.19768494,"('insecure', 'secure')",-0.5882207,-0.84271896,0.06408267,-0.25857964,-0.0456966,-0.3012046,0.255508
32,0.37663993,0.50088763,"('unkind', 'kind')",0.40238407,0.40668824,1.1171796,1.0319343,0.6320679,0.6465034,-0.0144355
30,0.37332696,0.3559531,"('intolerant', 'tolerant')",0.21893036,0.14962098,0.86453086,0.63292384,0.4855961,0.3794993,0.1060968
22,-0.37270775,-0.2075659,"('untrustworthy', 'trustworthy')",-0.9770228,-1.0010922,-0.859601,-0.8243608,-0.7364438,-0.6776729,-0.0587709
29,-0.36892578,-0.36954916,"('unfair', 'fair')",-0.5714444,-0.5248731,-0.5046249,-0.40070403,-0.4816651,-0.4317087,-0.0499564
13,-0.366511,-0.5526186,"('impolite', 'polite')",-1.0006769,-1.2931361,0.08138905,-0.35548088,-0.4285996,-0.7337452,0.3051456
37,-0.36430115,-0.23129925,"('fake', 'genuine')",-0.7987702,-0.74514735,0.2791152,0.40918955,-0.2946521,-0.1890857,-0.1055664
43,0.35140178,0.5242084,"('irresponsible', 'responsible')",-0.032741316,-0.014906563,0.41247833,0.19893724,0.2437129,0.2360797,0.0076332
74,0.34241262,0.47587207,"('undedicated', 'dedicated')",-0.04796489,-0.09702203,-0.038500983,-0.319759,0.0853156,0.019697,0.0656186
14,0.33797264,0.14333554,"('antisocial', 'social')",-0.40687653,-0.6618439,-0.72097135,-1.2957749,-0.2632918,-0.6047611,0.3414693
