,m&t_male,m&t_female,tuple,bank_male,bank_female,corp_male,corp_female,average_male,average_female,male-female
73,2.0668318,1.9977595,"('helpless', 'self-reliant')",1.0426463,1.0056162,1.6819259,1.5496502,1.5971346,1.5176752,0.0794594
85,2.0212824,1.1655543,"('insignificant', 'prestigious')",3.0203474,2.4427142,1.6261753,1.1676607,2.2226017,1.5919765,0.6306252
10,-1.8012955,-1.3794444,"('unsympathetic', 'sympathetic')",-2.4832947,-2.004128,-1.1935668,-0.61215407,-1.8260523,-1.3319088,-0.4941435
2,1.7195687,1.4347371,"('unlikable', 'likable')",1.6719987,1.5029116,1.6567059,1.6272675,1.6827577,1.5216387,0.161119
46,-1.6937006,-0.7026355,"('uncompetitive', 'competitive')",-2.3078787,-1.5754805,-1.5397376,-0.6357907,-1.8471057,-0.9713022,-0.8758035
59,1.6923268,1.461133,"('foolish', 'wise')",1.9960473,1.6650777,1.0802841,0.8299919,1.5895527,1.3187342,0.2708185
86,-1.6741706,-1.2020888,"('uninfluential', 'influential')",-2.2561352,-1.9979863,-1.2750968,-0.99485815,-1.7351343,-1.3983111,-0.3368232
57,-1.6724335,-0.81227124,"('unimaginative', 'imaginative')",-2.0802226,-1.5836746,-1.5771456,-0.9656644,-1.7766005,-1.1205367,-0.6560638
82,-1.6507206,-1.1840967,"('poor', 'rich')",-0.797902,-0.27511835,-1.9765301,-1.4487134,-1.4750509,-0.9693095,-0.5057414
4,1.429742,1.725772,"('disliked', 'liked')",0.83349884,0.77033037,0.5469882,0.65905255,0.936743,1.0517183,-0.1149753
0,-1.3870802,-0.9501884,"('unsociable', 'sociable')",-2.1282687,-1.89234,-0.916112,-0.30065587,-1.4771536,-1.0477281,-0.4294255
23,-1.3498218,-1.3194355,"('insincere', 'sincere')",-2.302305,-2.134918,-0.18884604,0.1250749,-1.2803243,-1.1097595,-0.1705648
47,-1.2568984,-1.094904,"('stupid', 'smart')",-0.9237253,-0.7080482,-0.20160833,0.19719478,-0.7940774,-0.5352525,-0.2588249
5,1.2465506,1.2178755,"('distant', 'outgoing')",1.6446776,1.5519983,1.0121276,0.83859056,1.3011186,1.2028214,0.0982972
53,-1.185585,-1.1265692,"('uncreative', 'creative')",-0.42217052,-0.4121459,-1.4733074,-1.5016767,-1.0270209,-1.013464,-0.0135569
28,-1.181387,-0.9870434,"('disloyal', 'loyal')",-1.0191288,-0.90267134,-0.5976588,-0.40432635,-0.9327249,-0.7646804,-0.1680445
22,-1.1801709,-0.944526,"('untrustworthy', 'trustworthy')",-0.6151259,-0.13980332,-0.6444504,-0.109086126,-0.8132491,-0.3978052,-0.4154439
