,affiliated_male,affiliated_female,tuple,computer_male,computer_female,services_male,services_female,inc_male,inc_female,average_male,average_female,male-female
51,3.7681386,3.7905223,"('uneducated', 'educated')",-0.78768104,-0.7286637,0.2851168,0.67511636,0.41871658,0.65083253,0.9210728,1.0969518,-0.175879
31,-2.8428006,-2.8905976,"('evil', 'good')",0.1284118,0.1635865,-1.3526896,-1.4566392,-1.453816,-1.4613357,-1.3802236,-1.4112465,0.0310229
70,2.8083544,3.0185025,"('lethargic', 'energetic')",-1.3690946,-1.414252,-0.040166292,0.28095722,0.6705785,0.9274525,0.517418,0.7031651,-0.1857471
74,2.500043,2.5763724,"('undedicated', 'dedicated')",0.57230955,0.50964683,-0.10294658,0.15816209,0.2507618,0.38743564,0.8050419,0.9079043,-0.1028624
7,2.4547582,2.4602497,"('insensitive', 'sensitive')",-0.10722263,-0.2190983,-0.118092194,0.08824912,0.45461053,0.654395,0.6710135,0.7459489,-0.0749354
39,2.402171,2.5004141,"('exploitative', 'cooperative')",1.1675775,1.1890234,0.9788156,1.0246326,0.17425516,0.25158584,1.1807048,1.241414,-0.0607092
88,2.0186262,1.7276255,"('low', 'eminent')",1.0796593,0.97124577,0.9537623,0.9558954,1.2280964,0.9843721,1.3200361,1.1597847,0.1602514
14,1.989467,2.1322782,"('antisocial', 'social')",0.33817884,0.38476276,1.149972,1.4324564,-0.6398548,-0.37402362,0.7094407,0.8938684,-0.1844277
11,1.9305714,2.0048122,"('unhelpful', 'helpful')",0.9118377,0.808688,1.5931975,1.6986437,2.5081284,2.4919944,1.7359338,1.7510346,-0.0151008
12,1.8175119,2.0112991,"('unsupportive', 'supportive')",0.2280001,0.16506687,0.3429224,0.49891007,-1.8610225,-1.7824578,0.131853,0.2232046,-0.0913516
81,1.8081802,2.1091135,"('submissive', 'aggressive')",0.03966722,0.02022707,0.7067215,1.0199949,-0.48041567,-0.34532502,0.5185384,0.7010026,-0.1824642
