,aetna_male,aetna_female,tuple,inc_male,inc_female,average_male,average_female,male-female
53,-1.8110751,-1.8780499,"('uncreative', 'creative')",0.54701334,0.4681511,-0.6320308,-0.7049494,0.0729186
1,-1.6954396,-1.9470402,"('unfriendly', 'friendly')",1.2952726,1.1079116,-0.2000835,-0.4195643,0.2194808
19,-1.5744338,-1.4285177,"('inhospitable', 'hospitable')",-0.29558817,-0.24159034,-0.935011,-0.835054,-0.099957
6,-1.5132414,-1.4505342,"('distant', 'open')",-0.111735545,-0.24806282,-0.8124885,-0.8492985,0.03681
5,-1.5010741,-1.4236482,"('distant', 'outgoing')",-0.4180585,-0.5195453,-0.9595663,-0.9715968,0.0120305
36,-1.4168807,-1.3937691,"('hostile', 'amicable')",-0.37279233,-0.39895713,-0.8948365,-0.8963631,0.0015266
86,-1.4052182,-1.6123621,"('uninfluential', 'influential')",-0.37249854,-0.5368568,-0.8888584,-1.0746095,0.1857511
10,-1.3407233,-1.4535561,"('unsympathetic', 'sympathetic')",-0.10677798,-0.22516045,-0.7237507,-0.8393583,0.1156076
8,-1.3377352,-1.4328719,"('unaffectionate', 'affectionate')",0.4331408,0.32752612,-0.4522972,-0.5526729,0.1003757
9,-1.2957802,-1.3798947,"('unaffectionate', 'caring')",1.0347981,0.9608265,-0.130491,-0.2095341,0.0790431
57,-1.1502757,-1.3036566,"('unimaginative', 'imaginative')",-2.6088707,-2.7177212,-1.8795732,-2.0106888,0.1311156
31,-1.116858,-1.133413,"('evil', 'good')",-1.4917759,-1.6494327,-1.304317,-1.3914227,0.0871057
66,-1.0791,-1.1195033,"('inactive', 'active')",0.19700497,0.0776985,-0.4410475,-0.5209024,0.0798549
79,-1.074224,-0.88854814,"('wavering', 'unwavering')",-0.3448894,-0.2773033,-0.7095567,-0.5829257,-0.126631
81,0.98318505,0.98371834,"('submissive', 'aggressive')",-0.32221603,-0.21071807,0.3304845,0.3865001,-0.0560156
58,-0.9535964,-1.1121953,"('undiscriminating', 'discriminating')",-0.090686336,-0.1704097,-0.5221414,-0.6413025,0.1191611
29,-0.9397773,-1.0299246,"('unfair', 'fair')",-0.48092923,-0.6195434,-0.7103533,-0.824734,0.1143807
0,-0.89995575,-1.2207259,"('unsociable', 'sociable')",-0.32765806,-0.55917346,-0.6138069,-0.8899497,0.2761428
54,-0.88019633,-0.77110195,"('incapable', 'capable')",1.1008283,1.1816996,0.110316,0.2052988,-0.0949828
18,-0.87365866,-0.84929234,"('disagreeable', 'welcoming')",-0.5004788,-0.47938478,-0.6870687,-0.6643386,-0.0227301
23,-0.8251233,-0.8891425,"('insincere', 'sincere')",5.966886,5.9728594,2.5708814,2.5418584,0.029023
41,-0.7887129,-0.81520444,"('unforgiving', 'forgiving')",0.12336401,0.14649862,-0.3326744,-0.3343529,0.0016785
69,0.7671235,0.77403224,"('lazy', 'industrious')",-0.6826274,-0.75489295,0.0422481,0.0095696,0.0326785
