,total_male,total_female,tuple,system_male,system_female,services_male,services_female,inc_male,inc_female,average_male,average_female,male-female
16,-2.5412526,-3.0675848,"('unpopular', 'popular')",-0.8188869,-0.87250745,-0.5929042,-0.6422381,0.4282549,0.16562481,-0.8811972,-1.1041764,0.2229792
56,2.321539,2.8555982,"('impractical', 'practical')",0.35601223,0.5785031,0.35196483,0.70308286,-0.97272813,-0.6320706,0.514197,0.8762784,-0.3620814
39,1.9812689,1.9644254,"('exploitative', 'cooperative')",1.5428807,1.484432,1.5294008,1.5604539,0.49815586,0.5586299,1.3879266,1.3919853,-0.0040587
84,1.8017418,1.9467808,"('inferior', 'superior')",0.973251,0.91527444,0.35131446,0.16754645,0.72872376,0.56200135,0.9637578,0.8979008,0.065857
61,1.6092591,1.6848222,"('illogical', 'logical')",1.1039307,0.98602307,1.0931635,1.0111445,0.34589276,0.35811013,1.0380615,1.0100249,0.0280366
6,-1.5392361,-2.4227905,"('distant', 'open')",0.0046794415,-0.3119098,-1.3335841,-1.1911011,0.57776123,0.46314976,-0.5725949,-0.8656629,0.293068
65,1.4932058,2.3393621,"('insecure', 'secure')",-0.026401676,-0.027872778,0.6142199,0.5700653,-0.4193828,-0.12399885,0.4154103,0.6893889,-0.2739786
31,-1.4755203,-2.7272036,"('evil', 'good')",-0.054518085,-0.33442882,-1.4169594,-1.6296802,-0.26817352,-0.7704888,-0.8037928,-1.3654504,0.5616576
23,1.4658768,1.9633768,"('insincere', 'sincere')",0.16200636,0.1320036,1.433655,1.4571717,5.673148,5.895023,2.1836715,2.3618937,-0.1782222
5,-1.4238104,-2.2665288,"('distant', 'outgoing')",-0.06502351,-0.2774882,-0.91069967,-0.730548,-0.14287522,-0.21035375,-0.6356022,-0.8712298,0.2356276
12,1.4052389,1.7232502,"('unsupportive', 'supportive')",0.44120288,0.7356871,1.4212174,1.8209003,-1.7777618,-1.5872018,0.3724743,0.6731589,-0.3006846
24,1.3688737,1.5746204,"('dishonest', 'honest')",-0.3756211,-0.3214911,0.47104666,0.5247795,0.9272999,1.0242789,0.5978998,0.7005469,-0.1026471
36,-1.3519185,-2.6976542,"('hostile', 'amicable')",-0.27145648,-0.8780321,-1.2681056,-1.6691043,0.8169586,0.2459726,-0.5186304,-1.2497046,0.7310742
8,-1.3393931,-2.1216052,"('unaffectionate', 'affectionate')",-0.36130556,-0.5814072,-0.46362594,-0.6004747,1.1175326,1.0600839,-0.261698,-0.5608509,0.2991529
26,1.3198717,0.5064335,"('hardhearted', 'benevolent')",0.9657067,0.5976063,1.5821321,1.426315,1.9910623,1.6990008,1.4646932,1.057339,0.4073542
4,-1.2601893,-2.0142121,"('disliked', 'liked')",-0.5174279,-0.47449756,-0.40699446,-0.3864015,-6.5622363,-6.7697654,-2.186712,-2.4112191,0.2245071
42,1.1934133,1.3700616,"('unreliable', 'reliable')",0.11564466,0.33090162,0.492818,0.85070574,-3.1495721,-2.8318071,-0.336924,-0.0700345,-0.2668895
73,1.1884027,0.81393516,"('helpless', 'self-reliant')",1.271842,1.1774789,-0.2850586,-0.4785784,-2.9681807,-3.0302742,-0.1982486,-0.3793596,0.181111
72,1.1871146,1.2959622,"('unambitious', 'ambitious')",-0.29905203,-0.12976974,-0.81918037,-0.823267,-0.8538787,-0.57469314,-0.1962491,-0.0579419,-0.1383072
49,-1.1326346,-0.7721691,"('unable', 'able')",-0.5925514,-0.21228218,-0.10305842,0.24210152,-0.12226642,0.30272204,-0.4876277,-0.1099069,-0.3777208
78,-1.1232926,-0.94335425,"('nonresilient', 'resilient')",-0.54871106,-0.1587871,0.6860813,0.9061379,-0.055949003,0.0019478314,-0.2604678,-0.0485139,-0.2119539
27,-1.1186295,-1.3005766,"('hardhearted', 'softhearted')",-0.24358687,-0.2805189,0.82917595,1.0565526,1.9330778,1.8347403,0.3500094,0.3275494,0.02246
22,1.0964401,1.4749848,"('untrustworthy', 'trustworthy')",0.44727746,0.5146784,0.70447874,0.8150629,-0.6783426,-0.49446592,0.3924634,0.5775651,-0.1851017
33,1.079989,0.6552648,"('wrong', 'right')",1.2309221,1.1301478,0.49055094,0.49570167,-0.30911392,-0.61041176,0.623087,0.4176756,0.2054114
14,1.0521461,1.6372529,"('antisocial', 'social')",0.32595733,0.5285711,1.2155329,1.4925729,-0.5507416,-0.2948256,0.5107237,0.8408928,-0.3301691
75,-1.0069835,-1.2455112,"('meek', 'impulsive')",-0.26743546,-0.00035206228,-1.4709549,-1.1244743,-0.49943393,-0.434578,-0.8112019,-0.7012289,-0.109973
82,-0.9603123,-0.3577304,"('poor', 'rich')",-1.2308446,-1.2350065,-0.09358288,-0.07355448,6.121928,6.200224,0.9592971,1.1334832,-0.1741861
21,0.95804995,1.4806414,"('immoral', 'moral')",0.3630023,0.5201304,1.1744577,1.2469233,-0.83691716,-0.6155518,0.4146482,0.6580358,-0.2433876
48,0.90380704,1.3778584,"('unintelligent', 'intelligent')",-0.23091644,-0.010057762,0.07964417,0.0035190992,0.3073838,0.24448952,0.2649796,0.4039523,-0.1389727
30,0.84591824,1.141877,"('intolerant', 'tolerant')",0.7539775,0.8196493,0.92481077,1.0642226,0.6110477,0.8017899,0.7839385,0.9568847,-0.1729462
60,0.8426484,1.5418212,"('inefficient', 'efficient')",0.29701337,0.5244934,1.7801945,1.9662515,-0.54568243,-0.03131997,0.5935435,1.0003115,-0.406768
62,0.8267231,1.6973562,"('incompetent', 'brilliant')",-0.015456505,0.47502872,0.9933533,1.458531,-0.54652905,0.000904297,0.3145227,0.9079551,-0.5934324
51,-0.8245051,-0.45689785,"('uneducated', 'educated')",-0.93722486,-0.902725,0.6401388,0.4785283,0.15587273,0.1506866,-0.2414296,-0.182602,-0.0588276
71,0.8233093,0.44758993,"('diffident', 'self-confident')",0.9239279,0.92688495,0.7261735,0.8546587,0.5378809,0.54740113,0.7528229,0.6941337,0.0586892
7,0.80248505,1.0990189,"('insensitive', 'sensitive')",0.3313405,0.5251736,0.79780495,1.037084,1.1484008,1.384971,0.7700078,1.0115619,-0.2415541
37,0.7986551,1.1002424,"('fake', 'genuine')",0.4493628,0.38493714,0.7390904,0.781814,0.44154245,0.7046659,0.6071627,0.7429149,-0.1357522
85,-0.7722364,-2.197521,"('insignificant', 'prestigious')",0.997667,0.5163897,-0.06797621,-0.3518058,1.0732276,0.45920604,0.3076705,-0.3934327,0.7011032
83,0.7640115,0.8539324,"('powerless', 'powerful')",0.42867836,0.41254747,-0.1959866,-0.114946246,-1.2144902,-1.1320615,-0.0544467,0.004868,-0.0593147
43,0.76268506,1.4460675,"('irresponsible', 'responsible')",-0.78564,-0.4390945,0.12972891,0.54477865,0.079420194,0.45171237,0.0465485,0.500866,-0.4543175
17,-0.7509147,-1.1391633,"('nasty', 'nice')",0.335314,0.33727112,0.3273696,0.3865557,-0.38263226,-0.59876853,-0.1177158,-0.2535262,0.1358104
13,0.74393797,1.3130268,"('impolite', 'polite')",-0.32177877,-0.16879778,0.7181099,0.9548367,-0.4074798,-0.22222911,0.1831973,0.4692092,-0.2860119
