,boston_male,boston_female,tuple,scientific_male,scientific_female,corp_male,corp_female,average_male,average_female,male-female
39,2.7112255,2.131106,"('exploitative', 'cooperative')",0.7496786,0.54855233,0.15275401,0.091778144,1.2045527,0.9238121,0.2807406
24,1.5751364,1.5122162,"('dishonest', 'honest')",-0.88030946,-0.80947614,0.29824144,0.5360951,0.3310228,0.412945,-0.0819222
74,1.55603,1.6677313,"('undedicated', 'dedicated')",-0.37657344,-0.21960714,-0.6947402,-0.5815761,0.1615721,0.2888494,-0.1272773
31,-1.485888,-1.0686352,"('evil', 'good')",-0.5384632,-0.4821915,-1.9598069,-2.0188825,-1.3280527,-1.1899031,-0.1381496
71,1.4728283,1.3486927,"('diffident', 'self-confident')",1.1718497,1.1916585,0.22178322,0.16359591,0.9554871,0.9013157,0.0541714
73,1.4604146,1.5456257,"('helpless', 'self-reliant')",0.015124328,0.12790966,-3.7513866,-3.6646354,-0.7586159,-0.6637,-0.0949159
13,1.2921119,0.9962608,"('impolite', 'polite')",-0.24158996,-0.36252874,0.043206684,-0.021126084,0.3645762,0.204202,0.1603742
58,1.1201458,1.1425941,"('undiscriminating', 'discriminating')",0.050118186,0.2473968,-0.27566937,-0.11909991,0.2981982,0.4236304,-0.1254322
49,-1.0669897,-0.92316484,"('unable', 'able')",0.25489792,0.32454604,-0.11051656,-0.034895435,-0.3075361,-0.2111714,-0.0963647
78,-1.0622512,-1.0366949,"('nonresilient', 'resilient')",0.8794056,0.8209942,0.64708656,0.58542395,0.154747,0.1232411,0.0315059
60,1.031768,0.5494016,"('inefficient', 'efficient')",0.20659396,0.12989596,0.5278143,0.5736754,0.5887254,0.4176577,0.1710677
72,1.0023366,0.85894454,"('unambitious', 'ambitious')",0.3417312,0.43100005,-0.24024856,-0.066048995,0.3679398,0.4079652,-0.0400254
66,0.97004336,0.8530868,"('inactive', 'active')",-0.511926,-0.46590066,0.6940207,0.5391459,0.384046,0.3087774,0.0752686
76,0.9685716,1.007239,"('anxious', 'daring')",-0.10261674,-0.116013266,0.6697388,0.8007224,0.5118979,0.5639827,-0.0520848
