,monsanto_male,monsanto_female,tuple,co_male,co_female,average_male,average_female,male-female
3,-2.2016501,-2.3572378,"('repellent', 'pleasant')",0.58627564,0.35008615,-0.8076873,-1.0035758,0.1958885
10,-1.6159434,-1.9155524,"('unsympathetic', 'sympathetic')",-0.09765966,-0.22516364,-0.8568016,-1.070358,0.2135564
14,-1.4391022,-1.6241362,"('antisocial', 'social')",-0.40598142,-0.32554406,-0.9225418,-0.9748402,0.0522984
57,-1.4337757,-1.6238171,"('unimaginative', 'imaginative')",-3.5330708,-3.482971,-2.4834232,-2.5533941,0.0699709
69,1.4318562,1.5183264,"('lazy', 'industrious')",-1.0806632,-1.179054,0.1755965,0.1696362,0.0059603
70,-1.4288322,-1.7121423,"('lethargic', 'energetic')",0.5266279,0.30511117,-0.4511021,-0.7035156,0.2524135
46,-1.3883772,-1.8693695,"('uncompetitive', 'competitive')",-0.8184256,-0.96881413,-1.1034014,-1.4190918,0.3156904
22,-1.3526766,-1.4775144,"('untrustworthy', 'trustworthy')",-0.6432987,-0.7600435,-0.9979876,-1.1187789,0.1207913
85,1.3519394,1.45521,"('insignificant', 'prestigious')",-0.8250202,-0.4962976,0.2634596,0.4794562,-0.2159966
65,-1.28955,-1.3647949,"('insecure', 'secure')",0.26640826,0.19328296,-0.5115708,-0.5857559,0.0741851
7,-1.2601607,-1.3206922,"('insensitive', 'sensitive')",-0.1449975,-0.3167437,-0.7025791,-0.818718,0.1161389
45,-1.1011192,-1.2981079,"('incompetent', 'competent')",-0.229958,-0.36126706,-0.6655385,-0.8296875,0.164149
13,-1.033775,-1.0238538,"('impolite', 'polite')",0.03223526,-0.12651709,-0.5007699,-0.5751854,0.0744155
58,-1.0095737,-1.1641046,"('undiscriminating', 'discriminating')",-0.24693722,-0.3978026,-0.6282555,-0.7809536,0.1526981
86,-0.9560781,-1.2153325,"('uninfluential', 'influential')",-0.54193485,-0.6566348,-0.7490065,-0.9359837,0.1869772
84,0.9494869,0.8722519,"('inferior', 'superior')",0.58933955,0.5526006,0.7694132,0.7124263,0.0569869
0,-0.94075435,-1.2136228,"('unsociable', 'sociable')",-0.17139012,-0.29336458,-0.5560722,-0.7534937,0.1974215
30,-0.9225261,-0.8637393,"('intolerant', 'tolerant')",0.49080202,0.70388526,-0.2158621,-0.079927,-0.1359351
28,-0.9151102,-1.0062382,"('disloyal', 'loyal')",0.6645372,0.89287496,-0.1252865,-0.0566816,-0.0686049
19,-0.91024864,-0.6158107,"('inhospitable', 'hospitable')",-0.7084198,-0.5340744,-0.8093342,-0.5749426,-0.2343916
53,-0.9077242,-0.9971575,"('uncreative', 'creative')",0.24126655,0.25660568,-0.3332288,-0.3702759,0.0370471
77,-0.8794254,-1.1099904,"('unmotivated', 'motivated')",-1.1941247,-1.2239199,-1.0367751,-1.1669551,0.13018
27,-0.85163736,-0.96093917,"('hardhearted', 'softhearted')",0.5852639,0.42153946,-0.1331867,-0.2696999,0.1365132
60,-0.8322485,-0.99619746,"('inefficient', 'efficient')",0.20410122,0.2032008,-0.3140737,-0.3964983,0.0824246
18,-0.79012746,-0.87769,"('disagreeable', 'welcoming')",-1.124191,-1.0211555,-0.9571593,-0.9494227,-0.0077366
55,-0.78409916,-1.0707151,"('incompetent', 'clever')",0.42460322,0.37492672,-0.179748,-0.3478942,0.1681462
63,-0.74279934,-1.0868931,"('unperceptive', 'insightful')",-0.037676513,-0.13253571,-0.3902379,-0.6097144,0.2194765
23,-0.7083997,-0.8037941,"('insincere', 'sincere')",6.0865793,6.186467,2.6890898,2.6913366,-0.0022468
54,-0.7019093,-0.56523645,"('incapable', 'capable')",0.69273925,0.9074697,-0.004585,0.1711166,-0.1757016
12,-0.68979996,-0.8501854,"('unsupportive', 'supportive')",-2.2852287,-2.199149,-1.4875144,-1.5246671,0.0371527
43,-0.6880232,-0.9225297,"('irresponsible', 'responsible')",0.44069493,0.52530026,-0.1236641,-0.1986147,0.0749506
81,-0.67657256,-0.85357916,"('submissive', 'aggressive')",-0.5597036,-0.6642526,-0.6181381,-0.7589159,0.1407778
33,0.66649157,0.8159584,"('wrong', 'right')",-0.80103403,-0.72510517,-0.0672712,0.0454266,-0.1126978
37,-0.6573728,-0.59949124,"('fake', 'genuine')",0.05607859,-0.2163705,-0.3006471,-0.4079309,0.1072838
59,0.65593576,0.7721606,"('foolish', 'wise')",-0.18914986,-0.058320887,0.233393,0.3569199,-0.1235269
24,-0.63903546,-0.5720545,"('dishonest', 'honest')",0.8701322,1.002542,0.1155484,0.2152438,-0.0996954
73,0.6326356,0.8344847,"('helpless', 'self-reliant')",-3.5467358,-3.558969,-1.4570501,-1.3622422,-0.0948079
