,boston_male,boston_female,tuple,properties_male,properties_female,inc_male,inc_female,average_male,average_female,male-female
39,2.6392996,2.375278,"('exploitative', 'cooperative')",0.4943079,0.4913423,0.15022823,0.0728325,1.094612,0.9798176,0.1147944
24,2.0809388,1.9227412,"('dishonest', 'honest')",-0.33767354,-0.34087095,0.80535114,0.9249421,0.8495388,0.8356041,0.0139347
71,1.7488544,1.6432093,"('diffident', 'self-confident')",1.9484332,1.9217596,0.9441679,0.6932911,1.5471519,1.4194201,0.1277318
74,1.7284095,1.6024889,"('undedicated', 'dedicated')",-0.70852315,-0.5667188,-0.17833713,-0.09408311,0.2805164,0.3138956,-0.0333792
42,1.688541,1.578304,"('unreliable', 'reliable')",0.999209,1.0722274,-2.47995,-2.3129122,0.0692667,0.1125397,-0.043273
73,1.6146256,1.6301572,"('helpless', 'self-reliant')",0.59436804,0.55192137,-3.3218212,-3.356637,-0.3709425,-0.3915195,0.020577
76,1.5233434,1.5778556,"('anxious', 'daring')",1.3693272,1.6841345,0.71779746,1.1413506,1.2034894,1.4677803,-0.2642909
13,1.4802978,1.5504608,"('impolite', 'polite')",-0.02074137,0.054603443,0.15100765,0.23342243,0.5368547,0.6128289,-0.0759742
70,1.4649459,1.1980121,"('lethargic', 'energetic')",0.75049067,0.96113724,0.9990976,1.2584182,1.0715113,1.1391892,-0.0676779
61,1.430447,1.2712042,"('illogical', 'logical')",-0.12876298,-0.17296675,0.47283396,0.33309546,0.591506,0.477111,0.114395
12,1.1701938,1.1217815,"('unsupportive', 'supportive')",1.7765516,1.8616023,-1.1929704,-1.2852572,0.5845917,0.5660421,0.0185496
31,-1.0880394,-1.2248372,"('evil', 'good')",-1.3027174,-1.4300791,-1.1346978,-1.3994384,-1.1751515,-1.3514516,0.1763001
10,1.0499502,0.78596,"('unsympathetic', 'sympathetic')",-0.008866239,0.037766688,0.007954916,0.21395741,0.3496797,0.3458947,0.003785
66,1.0127918,0.9718166,"('inactive', 'active')",0.7210142,0.6326946,1.7490398,1.3923244,1.1609486,0.9989452,0.1620034
22,1.0111618,0.8170012,"('untrustworthy', 'trustworthy')",-0.7611442,-0.64704776,-1.0050052,-0.96133214,-0.2516626,-0.2637929,0.0121303
30,0.98343605,1.0219074,"('intolerant', 'tolerant')",1.4284881,1.595186,1.0726871,1.1843772,1.1615371,1.2671569,-0.1056198
40,0.9798552,0.87282604,"('stingy', 'generous')",0.5554761,0.6113595,-1.4318544,-1.5110525,0.0344923,-0.0089557,0.043448
63,0.97219163,0.86678946,"('unperceptive', 'insightful')",1.5388916,1.6334554,1.5972054,1.6450893,1.3694296,1.3817781,-0.0123485
44,-0.9584475,-0.59936965,"('prejudiced', 'unprejudiced')",-0.6736804,-0.47589502,-1.28401,-1.2077348,-0.9720461,-0.7609998,-0.2110463
58,0.95336956,0.6013375,"('undiscriminating', 'discriminating')",0.6576698,0.5167903,0.28214183,0.046996884,0.6310604,0.3883749,0.2426855
78,-0.95178914,-1.0676005,"('nonresilient', 'resilient')",1.2843107,1.3301451,0.59699744,0.65849704,0.3098397,0.3070139,0.0028258
16,-0.9484423,-0.9213444,"('unpopular', 'popular')",-0.6113861,-0.49473622,0.38556448,0.5206139,-0.3914213,-0.2984889,-0.0929324
49,-0.9374968,-1.0057609,"('unable', 'able')",-0.83871084,-0.64190876,-0.24426274,-0.032952555,-0.6734901,-0.5602074,-0.1132827
60,0.9239566,1.0673778,"('inefficient', 'efficient')",0.33651385,0.6757394,0.009269234,0.4484339,0.4232465,0.7305171,-0.3072706
