,mckesson_male,mckesson_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.8948758,-2.5564134,"('unsympathetic', 'sympathetic')",0.009303406,0.05942069,-1.4427862,-1.2484964,-0.1942898
69,2.4349453,2.1652899,"('lazy', 'industrious')",-0.30385682,-0.2948287,1.0655442,0.9352306,0.1303136
86,-2.2858183,-1.9029379,"('uninfluential', 'influential')",0.010219503,0.108746044,-1.1377994,-0.8970959,-0.2407035
23,-2.263742,-1.8703545,"('insincere', 'sincere')",5.1305995,5.0221457,1.4334288,1.5758955,-0.1424667
85,2.2245214,1.7548765,"('insignificant', 'prestigious')",0.9565712,1.0338942,1.5905464,1.3943853,0.1961611
46,-2.2081206,-1.6268554,"('uncompetitive', 'competitive')",-0.16594772,-0.059515785,-1.1870341,-0.8431856,-0.3438485
63,-2.0646026,-1.4989846,"('unperceptive', 'insightful')",1.1434182,1.4420904,-0.4605922,-0.0284471,-0.4321451
11,-2.0199988,-1.6217737,"('unhelpful', 'helpful')",1.6019229,1.6855537,-0.209038,0.03189,-0.240928
0,-2.018192,-1.8749179,"('unsociable', 'sociable')",-0.33245432,-0.4498367,-1.1753232,-1.1623772,-0.012946
35,1.9110354,1.3301768,"('corrupt', 'incorrupt')",-0.22584975,-0.33388287,0.8425928,0.498147,0.3444458
43,-1.9044696,-1.4658185,"('irresponsible', 'responsible')",0.5646809,0.60159284,-0.6698943,-0.4321128,-0.2377815
57,-1.8135145,-1.6929374,"('unimaginative', 'imaginative')",-2.222408,-2.204477,-2.0179613,-1.9487072,-0.0692541
21,-1.8122406,-1.4332622,"('immoral', 'moral')",-0.3902787,-0.34535223,-1.1012597,-0.8893073,-0.2119524
70,-1.7414194,-1.1801428,"('lethargic', 'energetic')",0.4264716,0.7438487,-0.6574739,-0.218147,-0.4393269
48,-1.7110467,-1.5191625,"('unintelligent', 'intelligent')",0.9189388,0.85485846,-0.3960539,-0.332152,-0.0639019
14,-1.7107339,-1.4660751,"('antisocial', 'social')",-0.6430309,-0.85948163,-1.1768824,-1.1627784,-0.014104
