,zions_male,zions_female,tuple,bancorporation_male,bancorporation_female,n_male,n_female,a_male,a_female,average_male,average_female,male-female
43,1.4913937,1.4525777,"('irresponsible', 'responsible')",-1.3826988,-1.1538057,1.2625955,1.2198149,1.3733227,1.2864425,0.6861533,0.7012573,-0.015104
12,1.3085071,1.2913737,"('unsupportive', 'supportive')",-1.0870235,-1.0395092,0.5031116,0.47665694,-1.2746919,-1.4675117,-0.1375242,-0.1847475,0.0472233
7,1.2767636,1.1934211,"('insensitive', 'sensitive')",-0.08642606,-0.083846904,0.5698578,0.38795063,0.95958054,0.8247948,0.6799439,0.5805799,0.099364
68,-1.2661092,-1.155957,"('dependent', 'independent')",-2.0932748,-2.0144799,-1.2024522,-1.1077944,-0.68880886,-0.61494434,-1.3126613,-1.2232939,-0.0893674
36,-1.107942,-0.489794,"('hostile', 'amicable')",1.6281871,1.7139715,-1.017163,-0.73249185,0.7255425,1.0179229,0.0571561,0.3774021,-0.320246
25,-1.098321,-0.5263803,"('egoistic', 'altruistic')",0.6565584,0.74888057,-0.49348986,-0.14570087,0.8319486,1.1214262,-0.025826,0.2995564,-0.3253824
31,-1.0728188,-1.0744567,"('evil', 'good')",0.116291724,-0.12828645,-1.2494197,-1.355851,-0.46931633,-0.6418719,-0.6688157,-0.8001165,0.1313008
16,-1.0642842,-0.54174757,"('unpopular', 'popular')",-0.17058833,-0.04229609,-0.5380366,-0.17397268,0.77200294,0.9929933,-0.2502266,0.0587442,-0.3089708
61,-1.0441236,-1.0652355,"('illogical', 'logical')",-0.51064247,-0.47810715,0.75796413,0.61929667,0.8460035,0.9681665,0.0123004,0.0110301,0.0012703
1,-1.0215093,-0.6018591,"('unfriendly', 'friendly')",-0.65374315,-0.62685025,-0.43794584,-0.5730148,1.5464798,1.5582982,-0.1416796,-0.0608565,-0.0808231
49,-1.0014849,-0.9862084,"('unable', 'able')",-0.9249889,-0.85168767,0.3808725,0.32569915,0.0036102533,-0.06385963,-0.3854978,-0.3940141,0.0085163
80,0.99154377,0.6975112,"('dominated', 'dominating')",-0.30656844,-0.42627165,1.2591112,1.274409,-0.41036803,-0.42793337,0.3834296,0.2794288,0.1040008
29,-0.98641765,-0.98515975,"('unfair', 'fair')",-0.7611426,-0.99179125,0.083261095,0.1344594,-0.67832744,-0.60792816,-0.5856566,-0.612605,0.0269484
39,0.98412627,0.94158626,"('exploitative', 'cooperative')",0.5891442,0.741099,0.18406695,0.007739978,-0.6846429,-0.61917436,0.2681736,0.2678127,0.0003609
26,0.97437364,1.1669657,"('hardhearted', 'benevolent')",1.090834,1.099353,0.80800545,0.7847369,1.1716392,1.2026669,1.0112131,1.0634307,-0.0522176
84,-0.9649558,-1.0052464,"('inferior', 'superior')",-0.6807764,-0.6784731,-0.6805568,-0.66407186,-0.5139451,-0.4927566,-0.7100585,-0.710137,7.85e-05
56,0.9557251,0.6607318,"('impractical', 'practical')",-0.136826,0.025116608,1.6546811,1.4028347,0.03634551,-0.13200966,0.6274814,0.4891684,0.138313
19,-0.94350874,-0.82823694,"('inhospitable', 'hospitable')",-1.2749346,-1.2826104,-0.6259584,-0.6606556,-0.5087324,-0.4734989,-0.8382835,-0.8112504,-0.0270331
52,-0.9432868,-0.55301595,"('irrational', 'rational')",-0.20751065,-0.24193533,-0.5902722,-0.5125008,1.0883304,1.4282789,-0.1631848,0.0302067,-0.1933915
40,0.9289426,1.0226967,"('stingy', 'generous')",1.1331073,0.9824463,0.32147935,0.4113204,-1.6801643,-1.8545353,0.1758412,0.1404821,0.0353591
74,0.9097986,0.96478003,"('undedicated', 'dedicated')",-0.36091915,-0.2695372,0.8859959,0.86906654,0.020260226,-0.050200567,0.3637839,0.3785272,-0.0147433
73,0.8705859,0.73771566,"('helpless', 'self-reliant')",1.2270706,1.1233406,-0.9663838,-1.0131824,-3.5363002,-3.6734111,-0.6012568,-0.7063843,0.1051275
