,first_male,first_female,tuple,horizon_male,horizon_female,corp_male,corp_female,average_male,average_female,male-female
36,-1.8835698,-2.1474178,"('hostile', 'amicable')",-0.13996908,-0.29688185,0.13376409,-0.0702472,-0.6299249,-0.8381823,0.2082574
39,1.7027206,1.7307814,"('exploitative', 'cooperative')",1.1947207,1.193633,0.060275048,0.07809582,0.9859055,1.0008368,-0.0149313
21,1.6401159,1.8160571,"('immoral', 'moral')",0.26682076,0.30271384,-0.55768776,-0.48590577,0.4497496,0.5442884,-0.0945388
35,-1.6367099,-1.6486926,"('corrupt', 'incorrupt')",-0.28386018,-0.2247062,-0.50255865,-0.5576363,-0.8077096,-0.810345,0.0026354
5,-1.5739753,-1.542816,"('distant', 'outgoing')",-1.2999426,-1.3801664,-0.6718308,-0.6641617,-1.1819162,-1.1957147,0.0137985
31,-1.5334501,-1.8238256,"('evil', 'good')",-0.60159737,-0.78931767,-0.8852644,-1.0568041,-1.0067706,-1.2233157,0.2165451
85,-1.500037,-1.6999478,"('insignificant', 'prestigious')",0.9023436,0.59984505,0.22695847,-0.049097545,-0.1235783,-0.3830668,0.2594885
16,-1.4986407,-1.4939393,"('unpopular', 'popular')",-0.2606029,-0.16793916,0.32961017,0.38111153,-0.4765445,-0.4269223,-0.0496222
82,-1.4700654,-1.186979,"('poor', 'rich')",-0.8823684,-0.56976575,6.086154,6.341064,1.2445734,1.5281064,-0.283533
6,-1.465422,-1.5385203,"('distant', 'open')",-1.6959697,-1.8377521,-0.62415487,-0.72386867,-1.2618488,-1.3667137,0.1048649
80,1.3984659,1.4681503,"('dominated', 'dominating')",0.69749206,0.72941,-0.86566246,-0.8394704,0.4100985,0.4526966,-0.0425981
1,-1.3669479,-1.665069,"('unfriendly', 'friendly')",-0.32534805,-0.6972608,1.6543955,1.4471622,-0.0126335,-0.3050559,0.2924224
19,-1.3416082,-1.5786501,"('inhospitable', 'hospitable')",-1.0950965,-1.3205781,-0.6303251,-0.7705375,-1.0223432,-1.2232552,0.200912
60,1.268361,1.5185361,"('inefficient', 'efficient')",1.158375,1.2685972,-0.025990177,0.2106622,0.8002485,0.9992651,-0.1990166
8,-1.2539797,-1.5624185,"('unaffectionate', 'affectionate')",-0.5198467,-0.80816215,0.6931968,0.53349626,-0.3602099,-0.6123615,0.2521516
26,-1.151967,-1.2077806,"('hardhearted', 'benevolent')",0.85544646,0.7223793,1.6146572,1.4506341,0.4393789,0.3217443,0.1176346
7,1.0541724,1.0436937,"('insensitive', 'sensitive')",0.78053623,0.7868526,0.5603632,0.45553827,0.7983573,0.7620282,0.0363291
37,1.0252991,0.743349,"('fake', 'genuine')",-0.106649786,-0.3804329,0.14470628,0.022916067,0.3544519,0.1286107,0.2258412
25,-0.9978876,-1.1572384,"('egoistic', 'altruistic')",0.28414354,0.149316,1.3906897,1.3518858,0.2256486,0.1146545,0.1109941
79,-0.97902346,-1.1058495,"('wavering', 'unwavering')",-0.54479665,-0.7117032,-0.5220658,-0.6284173,-0.681962,-0.8153234,0.1333614
62,0.96139413,1.2678834,"('incompetent', 'brilliant')",0.94656247,1.1712862,0.1816676,0.46545836,0.6965414,0.9682093,-0.2716679
57,-0.9438168,-1.0156968,"('unimaginative', 'imaginative')",-0.92851686,-0.91987264,-3.1202953,-3.1840775,-1.6642097,-1.706549,0.0423393
81,0.92022926,1.3043718,"('submissive', 'aggressive')",0.37138647,0.66276383,-0.7745533,-0.52774,0.1723541,0.4797986,-0.3074445
46,0.898765,0.9963551,"('uncompetitive', 'competitive')",0.08869131,0.019824218,-0.90230584,-0.88208526,0.0283835,0.044698,-0.0163145
67,0.8701824,1.0282633,"('doubtful', 'determined')",0.10096318,0.15506688,-0.6159948,-0.4520153,0.1183836,0.2437716,-0.125388
86,-0.855313,-1.0633193,"('uninfluential', 'influential')",-0.13477266,-0.48624197,-0.6536242,-0.8803683,-0.5479033,-0.8099765,0.2620732
53,-0.84843963,-0.88332707,"('uncreative', 'creative')",-0.6862008,-0.7088644,0.44806913,0.42640582,-0.3621904,-0.3885952,0.0264048
78,-0.81059855,-0.880258,"('nonresilient', 'resilient')",0.19571152,0.011317618,0.50379574,0.32341716,-0.0370304,-0.1818411,0.1448107
75,-0.80744666,-0.6035673,"('meek', 'impulsive')",-0.1783081,0.012384292,-0.94543374,-0.80969524,-0.6437295,-0.4669594,-0.1767701
38,-0.7994756,-0.6213928,"('untruthful', 'truthful')",-0.08835421,-0.022324294,-0.1473274,0.06302056,-0.3450524,-0.1935655,-0.1514869
69,-0.7796909,-0.7329061,"('lazy', 'industrious')",1.0859793,1.1932676,-0.49362507,-0.43420216,-0.0624456,0.0087198,-0.0711654
45,-0.7686632,-0.592486,"('incompetent', 'competent')",-0.043027617,-0.06615029,-0.19543692,-0.22243384,-0.3357093,-0.29369,-0.0420193
4,-0.75444645,-0.8240494,"('disliked', 'liked')",-0.1251078,-0.12144486,-6.86602,-6.872507,-2.5818582,-2.6060004,0.0241422
49,-0.7543929,-0.4959558,"('unable', 'able')",0.028818043,0.12169028,-0.29422098,-0.12756288,-0.339932,-0.1672761,-0.1726559
0,-0.75227237,-0.8567196,"('unsociable', 'sociable')",-0.5377296,-0.7409132,-0.29686424,-0.41045478,-0.5289554,-0.6693625,0.1404071
17,-0.7358132,-0.8004405,"('nasty', 'nice')",-0.0153175555,-0.012856882,-0.72024673,-0.7696465,-0.4904592,-0.527648,0.0371888
73,0.70214725,0.70651394,"('helpless', 'self-reliant')",0.5714688,0.6521369,-3.3059347,-3.3250492,-0.6774395,-0.6554661,-0.0219734
68,0.6580013,0.6167726,"('dependent', 'independent')",0.26710716,0.22488545,-0.79151773,-0.96174574,0.0445302,-0.0400292,0.0845594
76,0.6484092,0.9032656,"('anxious', 'daring')",-0.4950062,-0.29932624,-0.3913168,-0.23241776,-0.0793046,0.1238405,-0.2031451
13,0.6149781,0.7071558,"('impolite', 'polite')",0.41084674,0.38147807,-0.8441064,-0.8621708,0.0605728,0.0754877,-0.0149149
56,0.60672414,0.99063146,"('impractical', 'practical')",0.65095794,0.8029322,-0.8949707,-0.68120927,0.1209038,0.3707848,-0.249881
66,-0.5964157,-0.6065626,"('inactive', 'active')",-0.6105341,-0.5829195,0.428145,0.2563178,-0.2596016,-0.3110548,0.0514532
23,0.54646784,0.7420868,"('insincere', 'sincere')",0.4920381,0.6188309,5.935293,5.983569,2.3245997,2.4481624,-0.1235627
24,0.5460532,0.39706668,"('dishonest', 'honest')",-0.12943354,-0.30190033,0.38479102,0.36901987,0.2671369,0.1547287,0.1124082
52,-0.54002225,-0.8741425,"('irrational', 'rational')",0.22572726,-0.043769993,0.4120114,0.20853421,0.0325721,-0.2364595,0.2690316
3,0.5262008,0.5806632,"('repellent', 'pleasant')",0.09035789,0.17390667,0.70566183,0.8488843,0.4407402,0.5344847,-0.0937445
58,-0.5223275,-0.58281595,"('undiscriminating', 'discriminating')",-0.5101207,-0.6083488,0.2398747,0.086800225,-0.2641912,-0.3681215,0.1039303
84,0.4972322,0.5087666,"('inferior', 'superior')",0.99571085,0.8417881,0.8910092,0.82516605,0.7946507,0.7252402,0.0694105
64,0.4869351,0.33197194,"('shy', 'confident')",0.25403953,0.18434346,-6.4988117,-6.466411,-1.9192791,-1.9833652,0.0640861
54,-0.4831587,-0.5122597,"('incapable', 'capable')",0.3718594,0.27256724,0.7060032,0.7212282,0.1982346,0.1605119,0.0377227
55,0.4753657,0.5333007,"('incompetent', 'clever')",0.21214572,0.20213145,0.27011168,0.27986598,0.3192077,0.3384327,-0.019225
70,0.4703484,0.448313,"('lethargic', 'energetic')",0.045823045,-0.08417064,-0.03999114,-0.14499037,0.1587268,0.0730507,0.0856761
50,-0.4439668,-0.5234171,"('clumsy', 'skillful')",0.016030025,0.0021574702,0.32519057,0.17444263,-0.0342487,-0.1156057,0.081357
12,0.44187,0.39385235,"('unsupportive', 'supportive')",0.662281,0.54223424,-2.0410411,-2.2228243,-0.3122967,-0.4289126,0.1166159
83,0.42010656,0.4338439,"('powerless', 'powerful')",0.81656474,0.7458733,-0.9812317,-0.8865687,0.0851465,0.0977162,-0.0125697
44,0.4164408,0.5610231,"('prejudiced', 'unprejudiced')",-0.58600307,-0.4476915,-1.2390125,-1.1992677,-0.4695249,-0.3619787,-0.1075462
