,centex_male,centex_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-2.629758,-2.8164654,"('distant', 'open')",-0.35256532,-0.33399656,-1.4911616,-1.575231,0.0840694
5,-2.44975,-2.6222854,"('distant', 'outgoing')",-0.54165244,-0.5167383,-1.4957012,-1.5695119,0.0738107
1,-1.8621773,-1.9860461,"('unfriendly', 'friendly')",1.586464,1.443549,-0.1378566,-0.2712485,0.1333919
19,-1.8420769,-1.8962691,"('inhospitable', 'hospitable')",-0.6101619,-0.68553585,-1.2261194,-1.2909025,0.0647831
85,-1.7903094,-2.1737852,"('insignificant', 'prestigious')",0.07345042,-0.23591125,-0.8584295,-1.2048483,0.3464188
59,-1.6198643,-1.8194039,"('foolish', 'wise')",-0.055057563,-0.08535786,-0.8374609,-0.9523809,0.11492
52,-1.5693539,-1.879712,"('irrational', 'rational')",0.1772715,-0.050667275,-0.6960412,-0.9651896,0.2691484
31,-1.5458395,-1.8563592,"('evil', 'good')",-0.61669135,-0.9027479,-1.0812654,-1.3795536,0.2982882
9,-1.5314432,-1.6109012,"('unaffectionate', 'caring')",1.1975971,1.2868567,-0.166923,-0.1620223,-0.0049007
79,-1.4988548,-1.807201,"('wavering', 'unwavering')",-0.58965915,-0.6268757,-1.0442569,-1.2170384,0.1727815
53,-1.4884453,-1.2783515,"('uncreative', 'creative')",0.26134706,0.27910036,-0.6135491,-0.4996256,-0.1139235
39,1.4861625,1.5226207,"('exploitative', 'cooperative')",0.31290087,0.24030845,0.8995317,0.8814645,0.0180672
8,-1.4847127,-1.6726903,"('unaffectionate', 'affectionate')",1.012555,0.9478015,-0.2360789,-0.3624444,0.1263655
76,1.3957409,1.666168,"('anxious', 'daring')",-0.4048984,-0.21746296,0.4954212,0.7243525,-0.2289313
86,-1.358947,-1.4048926,"('uninfluential', 'influential')",-0.21308637,-0.303752,-0.7860167,-0.8543223,0.0683056
36,-1.3352553,-1.6347202,"('hostile', 'amicable')",-0.07267114,-0.38907012,-0.7039632,-1.0118952,0.307932
38,-1.2439983,-1.3983147,"('untruthful', 'truthful')",-0.23971692,-0.2507635,-0.7418576,-0.8245391,0.0826815
54,-1.1760033,-1.283967,"('incapable', 'capable')",0.68301684,0.8008825,-0.2464933,-0.2415422,-0.0049511
35,-1.0633041,-1.2371054,"('corrupt', 'incorrupt')",-0.5326809,-0.7383285,-0.7979925,-0.9877169,0.1897244
66,-0.9681896,-1.1690257,"('inactive', 'active')",0.26905316,0.08053072,-0.3495682,-0.5442474,0.1946792
18,-0.9419359,-0.9898346,"('disagreeable', 'welcoming')",-0.39487725,-0.39939818,-0.6684066,-0.6946164,0.0262098
80,0.8951268,0.99761707,"('dominated', 'dominating')",-1.1543443,-1.0894378,-0.1296088,-0.0459104,-0.0836984
16,-0.88931257,-0.79930544,"('unpopular', 'popular')",0.14037052,0.15333673,-0.374471,-0.3229843,-0.0514867
4,-0.88192767,-1.0015397,"('disliked', 'liked')",-7.105501,-7.626965,-3.9937143,-4.3142524,0.3205381
73,0.8438997,0.8489871,"('helpless', 'self-reliant')",-3.3158212,-3.4331355,-1.2359607,-1.2920742,0.0561135
12,-0.8061484,-0.7549711,"('unsupportive', 'supportive')",-2.2392743,-2.2651064,-1.5227113,-1.5100387,-0.0126726
57,-0.79430914,-0.8104212,"('unimaginative', 'imaginative')",-3.1253233,-3.325164,-1.9598162,-2.0677927,0.1079765
81,0.79127693,0.8695246,"('submissive', 'aggressive')",-0.8296423,-0.63408136,-0.0191827,0.1177216,-0.1369043
65,0.7792968,0.8801023,"('insecure', 'secure')",-0.2402103,0.06308663,0.2695433,0.4715945,-0.2020512
21,0.7674848,0.8454595,"('immoral', 'moral')",-0.44089466,-0.39160618,0.1632951,0.2269267,-0.0636316
69,-0.75943,-0.99251616,"('lazy', 'industrious')",-0.77455056,-1.0539372,-0.7669903,-1.0232267,0.2562364
14,0.75377715,0.8686782,"('antisocial', 'social')",0.13933101,0.05068302,0.4465541,0.4596806,-0.0131265
55,0.73999596,1.0614485,"('incompetent', 'clever')",0.23978019,0.36071438,0.4898881,0.7110814,-0.2211933
88,-0.73895484,-0.9064808,"('low', 'eminent')",-0.52817655,-0.57153064,-0.6335657,-0.7390057,0.10544
45,-0.72631776,-0.6651758,"('incompetent', 'competent')",-0.030246783,-0.12546939,-0.3782823,-0.3953226,0.0170403
68,-0.6971291,-0.6243619,"('dependent', 'independent')",-0.8449036,-0.76647747,-0.7710164,-0.6954197,-0.0755967
48,0.6364277,0.7825536,"('unintelligent', 'intelligent')",0.58924514,0.61053634,0.6128364,0.696545,-0.0837086
60,0.6345984,0.9880007,"('inefficient', 'efficient')",-0.17058486,0.17342432,0.2320068,0.5807125,-0.3487057
61,-0.60084265,-0.5988473,"('illogical', 'logical')",0.45694748,0.42704487,-0.0719476,-0.0859012,0.0139536
63,-0.5921917,-0.48581684,"('unperceptive', 'insightful')",0.4964063,0.5633234,-0.0478927,0.0387533,-0.086646
