,penney_male,penney_female,tuple,jc_male,jc_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
69,2.4057448,2.3196084,"('lazy', 'industrious')",1.5430876,1.3481437,1.1374815,0.9726155,-0.31099373,-0.43210796,1.1938301,1.0520649,0.1417652
10,-2.3654404,-2.2438445,"('unsympathetic', 'sympathetic')",-1.9602292,-1.8697767,-1.9946839,-1.8400179,-0.3872688,-0.12181091,-1.6769055,-1.5188625,-0.158043
45,-1.9679998,-1.958509,"('incompetent', 'competent')",-0.57979286,-0.45699874,-0.83070874,-0.9117319,-0.7640699,-0.61652625,-1.0356429,-0.9859415,-0.0497014
57,-1.9432015,-1.942976,"('unimaginative', 'imaginative')",-0.9060852,-0.8704282,-0.66031855,-0.71089536,-2.7888143,-2.564627,-1.574605,-1.5222316,-0.0523734
86,-1.9236412,-1.6329839,"('uninfluential', 'influential')",-0.44076812,-0.19500037,-1.2582706,-1.1102673,0.06271605,0.20740533,-0.889991,-0.6827115,-0.2072795
3,-1.8438627,-1.6434664,"('repellent', 'pleasant')",-1.4220719,-1.2056096,0.5962734,0.74570996,0.49541903,0.69472086,-0.5435605,-0.3521613,-0.1913992
46,-1.8330413,-1.7278197,"('uncompetitive', 'competitive')",-1.4616028,-1.3423787,-1.2387406,-1.1441493,-1.1140087,-0.9515508,-1.4118483,-1.2914747,-0.1203736
30,-1.7374603,-1.6105578,"('intolerant', 'tolerant')",-0.46387815,-0.4312104,0.53787225,0.3859433,0.85726696,0.9390472,-0.2015498,-0.1791944,-0.0223554
35,1.7293701,1.5885514,"('corrupt', 'incorrupt')",1.033875,0.7745463,-0.10252519,-0.41452757,0.3869277,0.17340216,0.7619119,0.5304931,0.2314188
55,-1.7156056,-1.5598103,"('incompetent', 'clever')",-1.121577,-0.9260045,0.0068370923,0.014806829,-0.51519847,-0.34846362,-0.836386,-0.7048679,-0.1315181
43,-1.7014338,-1.7960624,"('irresponsible', 'responsible')",-0.3130029,-0.3446388,-0.17364432,-0.36649734,0.525945,0.5537581,-0.415534,-0.48836,0.072826
68,-1.6285194,-1.4725862,"('dependent', 'independent')",-1.1193019,-0.9826671,-1.8365839,-1.6866556,-0.73754966,-0.66745526,-1.3304887,-1.202341,-0.1281477
65,-1.5590086,-1.5570499,"('insecure', 'secure')",-1.3334972,-1.25485,-0.12382032,-0.2016131,-0.97823906,-1.0446312,-0.9986413,-1.0145361,0.0158948
48,-1.5446781,-1.5181762,"('unintelligent', 'intelligent')",-0.67313164,-0.65940636,-1.0288606,-1.1205829,0.2801507,0.39005512,-0.7416299,-0.7270275,-0.0146024
77,-1.3841758,-1.3360538,"('unmotivated', 'motivated')",-0.8014636,-0.7507318,-0.4337797,-0.47994304,-0.95292264,-0.8588407,-0.8930854,-0.8563924,-0.036693
72,-1.3749939,-1.3832916,"('unambitious', 'ambitious')",-1.269364,-1.2323693,-1.4227477,-1.2871462,-1.1804612,-1.1605972,-1.3118918,-1.2658511,-0.0460407
81,-1.3288765,-1.5367883,"('submissive', 'aggressive')",-1.6374706,-1.8003364,-0.7514104,-1.1905909,-1.282508,-1.3342006,-1.2500664,-1.4654791,0.2154127
60,-1.3176638,-1.3653605,"('inefficient', 'efficient')",-1.3018357,-1.2602429,-0.40398753,-0.62638956,-0.5352887,-0.5185531,-0.889694,-0.9426365,0.0529425
88,-1.2823048,-1.1482311,"('low', 'eminent')",-0.98861206,-0.90384865,-1.0177321,-0.8135731,0.47996554,0.45566598,-0.7021709,-0.6024967,-0.0996742
70,-1.278738,-1.2981551,"('lethargic', 'energetic')",-0.9770621,-0.88338476,-0.68749034,-0.703516,0.6225433,0.6016412,-0.5801868,-0.5708537,-0.0093331
64,-1.2757666,-1.3112421,"('shy', 'confident')",-1.2251406,-1.2336277,0.009639818,-0.27070537,-6.9954343,-6.926768,-2.3716755,-2.4355857,0.0639102
11,-1.2665983,-1.18959,"('unhelpful', 'helpful')",-0.8595455,-0.79470795,-0.56583756,-0.4449547,2.0934906,2.1710994,-0.1496227,-0.0645383,-0.0850844
36,1.26146,1.3980459,"('hostile', 'amicable')",1.4993383,1.447172,0.0028721355,0.23159376,0.7304714,0.708104,0.8735355,0.946229,-0.0726935
23,-1.2287734,-1.2094389,"('insincere', 'sincere')",-0.5153767,-0.41193452,-0.888656,-0.6467724,5.9163375,5.899059,0.8208829,0.9077283,-0.0868454
5,1.2210705,1.0398346,"('distant', 'outgoing')",1.9033521,1.6799283,-0.59478396,-0.87533325,-0.35825428,-0.50761926,0.5428461,0.3342026,0.2086435
21,-1.2137556,-1.0211596,"('immoral', 'moral')",-0.9164181,-0.7995215,-0.54068273,-0.41326004,-1.2840079,-1.174421,-0.9887161,-0.8520905,-0.1366256
8,1.1391157,1.3008295,"('unaffectionate', 'affectionate')",1.3325965,1.4488903,-1.095273,-0.78780293,1.2521255,1.3422879,0.6571411,0.8260512,-0.1689101
22,-1.1336628,-1.2271655,"('untrustworthy', 'trustworthy')",-0.7237226,-0.72179425,0.25562024,0.11308352,-1.5092771,-1.5735729,-0.7777606,-0.8523623,0.0746017
6,1.1263806,1.0491034,"('distant', 'open')",1.7936437,1.6057657,-0.8045251,-0.87352127,0.47886363,0.41875693,0.6485907,0.5500262,0.0985645
0,-1.10683,-1.0681823,"('unsociable', 'sociable')",-0.1923945,-0.12698533,0.2080876,0.10803435,-0.81826895,-0.62404966,-0.4773515,-0.4277957,-0.0495558
24,-1.0739988,-1.1463794,"('dishonest', 'honest')",0.4306705,0.28212115,-0.92784476,-0.99698246,0.9275181,0.87615526,-0.1609137,-0.2462713,0.0853576
14,-1.0697356,-0.8927212,"('antisocial', 'social')",-0.26049286,-0.18214722,1.0219117,0.8511633,-1.0518603,-0.90031785,-0.3400443,-0.2810057,-0.0590386
25,1.047641,1.1204463,"('egoistic', 'altruistic')",1.5988656,1.4758794,0.8860625,1.0038486,1.6820865,1.6887325,1.303664,1.3222268,-0.0185628
58,-1.0388875,-0.7324174,"('undiscriminating', 'discriminating')",0.16648036,0.43038645,0.69859666,0.94873816,-0.10133018,0.058218732,-0.0687852,0.1762315,-0.2450167
63,-1.0022392,-0.7403259,"('unperceptive', 'insightful')",-0.41228107,-0.23083472,-0.7459398,-0.335992,1.1475612,1.2673494,-0.2532247,-0.0099508,-0.2432739
82,-0.9761361,-1.0460573,"('poor', 'rich')",-1.6629854,-1.6712769,0.49362117,0.527874,6.4392524,6.362896,1.0734379,1.0433589,0.030079
66,0.9631432,0.9084121,"('inactive', 'active')",0.12454523,-0.019107733,0.29364002,0.28233176,1.5137131,1.4811522,0.7237604,0.663197,0.0605634
7,-0.9454711,-0.81211954,"('insensitive', 'sensitive')",-0.7386577,-0.61044633,-1.1102515,-0.744189,0.94478554,1.1266025,-0.4623986,-0.2600381,-0.2023605
53,-0.93726003,-0.85926217,"('uncreative', 'creative')",0.07694182,0.094096616,0.379491,0.53275836,1.2399697,1.3896625,0.1897856,0.2893138,-0.0995282
56,-0.93091506,-1.0321953,"('impractical', 'practical')",-0.10923797,-0.15925153,0.40185085,0.21016069,-0.51995146,-0.4935806,-0.2895634,-0.3687167,0.0791533
79,0.9168902,0.83747655,"('wavering', 'unwavering')",0.058320045,-0.0959919,-1.2339281,-1.1702225,0.36972386,0.37103498,0.0277515,-0.0144257,0.0421772
71,0.91355276,0.8384963,"('diffident', 'self-confident')",1.932752,1.7734716,-0.47116345,-0.4211944,0.3981192,0.35599756,0.6933151,0.6366928,0.0566223
2,0.9085376,1.0076699,"('unlikable', 'likable')",1.4882227,1.4749159,1.6085451,1.7284852,0.8357179,0.8511061,1.2102559,1.2655443,-0.0552884
19,0.8969189,0.9592173,"('inhospitable', 'hospitable')",1.6100985,1.6306175,-0.17715578,0.04089496,0.3416706,0.41810635,0.667883,0.762209,-0.094326
85,0.8785813,1.0204864,"('insignificant', 'prestigious')",1.6345552,1.5984533,-0.17782909,0.085787594,1.1741558,1.1610061,0.8773658,0.9664333,-0.0890675
62,-0.87291163,-0.90099967,"('incompetent', 'brilliant')",-0.56576663,-0.5563301,-0.48472878,-0.70123994,-0.033898633,-0.04542323,-0.4893264,-0.5509983,0.0616719
51,-0.80863154,-0.56120354,"('uneducated', 'educated')",-0.67626834,-0.4985584,0.051490888,0.25919124,0.6725069,0.8255544,-0.1902255,0.0062459,-0.1964714
33,0.8029447,0.8191676,"('wrong', 'right')",1.2927921,1.0897405,-0.34356835,-0.32348242,-0.23779021,-0.2673198,0.3785945,0.3295265,0.049068
15,0.76476,0.73548365,"('boring', 'funny')",1.8633472,1.6713859,1.1225871,0.8487606,0.5109041,0.42825058,1.0653996,0.9209701,0.1444295
78,-0.7521583,-0.6678101,"('nonresilient', 'resilient')",-0.6472795,-0.5664261,-0.30398735,0.023282599,0.3825039,0.63212526,-0.3302303,-0.1447071,-0.1855232
76,-0.7208788,-0.7709225,"('anxious', 'daring')",-0.92320114,-0.8880314,-0.04508544,-0.07595159,-0.8785734,-0.9078946,-0.6419347,-0.6607,0.0187653
87,0.718272,0.7327228,"('unsuccessful', 'successful')",1.1996391,1.1443522,0.8652499,0.88375735,0.98602194,1.0689476,0.9422957,0.957445,-0.0151493
83,-0.71102184,-0.6095219,"('powerless', 'powerful')",-0.104708575,-0.045294747,-1.5605012,-1.5010355,-1.4675767,-1.4691862,-0.9609521,-0.9062595,-0.0546926
31,0.6140047,0.65058625,"('evil', 'good')",1.3404559,1.2543328,0.39616993,0.27334106,-0.85533935,-0.8410472,0.3738228,0.3343032,0.0395196
61,-0.58299094,-0.4055293,"('illogical', 'logical')",1.073466,1.0930104,-0.5872071,-0.532661,-0.15236577,0.06478514,-0.0622745,0.0549013,-0.1171758
47,-0.581254,-0.62871855,"('stupid', 'smart')",-0.072106026,-0.06854751,0.51617455,0.5344907,4.9591184,4.7193985,1.2054832,1.1391557,0.0663275
1,-0.5801077,-0.5441601,"('unfriendly', 'friendly')",1.6539315,1.6197488,-0.19985487,-0.053088482,2.2486672,2.2218146,0.7806591,0.8110787,-0.0304196
9,0.5751256,0.6653896,"('unaffectionate', 'caring')",1.7067621,1.7149371,-0.9986976,-0.7325211,2.0308673,2.17367,0.8285143,0.9553689,-0.1268546
42,-0.5726115,-0.6584936,"('unreliable', 'reliable')",0.29246253,0.19160128,-0.14531079,-0.39299664,-3.258956,-3.206296,-0.921104,-1.0165462,0.0954422
20,-0.5718388,-0.55778223,"('rough', 'thoughtful')",0.3442483,0.3509507,0.39354718,0.43477347,0.20899194,0.123824656,0.0937372,0.0879416,0.0057956
67,-0.55661786,-0.5129607,"('doubtful', 'determined')",-0.13297616,-0.075225055,0.062349625,-0.010536717,-0.69312876,-0.67748654,-0.3300933,-0.3190522,-0.0110411
44,0.5230923,0.16707973,"('prejudiced', 'unprejudiced')",-0.50575703,-0.7671346,-0.0044345707,-0.53386486,-1.6251953,-1.8102844,-0.4030736,-0.736051,0.3329774
73,0.49592772,0.37335423,"('helpless', 'self-reliant')",1.1723013,1.1072191,0.8488728,0.62689793,-3.201276,-3.2474225,-0.1710436,-0.2849878,0.1139442
29,-0.4837926,-0.49252713,"('unfair', 'fair')",-0.16304465,-0.15873186,-0.34796265,-0.52859795,-0.85799444,-0.8934441,-0.4631986,-0.5183253,0.0551267
84,-0.47056857,-0.26063237,"('inferior', 'superior')",0.111561835,0.3050261,0.34066796,0.37073287,0.2442742,0.293158,0.0564839,0.1770712,-0.1205873
74,-0.466239,-0.25338465,"('undedicated', 'dedicated')",1.1001449,1.2950039,-0.034383364,0.051405564,0.33389133,0.40457952,0.2333535,0.3744011,-0.1410476
40,-0.45013016,-0.38283682,"('stingy', 'generous')",0.40516445,0.35393813,-0.4806823,-0.62861776,-1.4142736,-1.2523104,-0.4849804,-0.4774567,-0.0075237
39,0.4102636,0.37102926,"('exploitative', 'cooperative')",1.7004877,1.5726367,1.6671994,1.6956546,0.04360886,0.013051901,0.9553899,0.9130931,0.0422968
12,-0.40999418,-0.2310087,"('unsupportive', 'supportive')",0.9373921,1.0251107,-1.2552859,-1.2104404,-1.7674432,-1.5730922,-0.6238328,-0.4973577,-0.1264751
54,0.38435248,0.4473933,"('incapable', 'capable')",1.3878497,1.3665665,-0.76151395,-0.55276835,1.1819522,1.1969014,0.5481601,0.6145232,-0.0663631
52,0.37308493,0.44247952,"('irrational', 'rational')",1.6745594,1.6108643,-0.72037315,-0.6578133,0.62234485,0.6082249,0.487404,0.5009388,-0.0135348
75,0.3451028,0.25309497,"('meek', 'impulsive')",-1.0162549,-1.1150336,-0.73599106,-0.852856,-0.3727982,-0.56757367,-0.4449853,-0.570592,0.1256067
50,0.33906338,0.49745768,"('clumsy', 'skillful')",-0.31822515,-0.12823959,-0.42924932,0.011267893,0.48876527,0.5614629,0.0200885,0.2354872,-0.2153987
17,0.32215407,0.47028887,"('nasty', 'nice')",0.0570691,0.019316655,0.024733327,0.10444098,-1.1460872,-1.1003976,-0.1855327,-0.1265878,-0.0589449
32,0.30195922,0.34947538,"('unkind', 'kind')",-0.14674686,-0.13395923,0.22224459,0.56249875,1.1560585,1.256614,0.3833789,0.5086572,-0.1252783
59,-0.27004164,-0.2905751,"('foolish', 'wise')",1.6249456,1.5288113,-0.10547726,-0.10226452,0.78141534,0.6359416,0.5077105,0.4429783,0.0647322
28,-0.2581603,-0.38879433,"('disloyal', 'loyal')",0.27311918,0.24875373,-0.7437483,-0.67345953,1.2013664,1.2438394,0.1181442,0.1075848,0.0105594
80,-0.2506742,-0.30558702,"('dominated', 'dominating')",-1.0521792,-0.95818204,-0.17892262,-0.316402,-1.4352547,-1.4664066,-0.7292577,-0.7616444,0.0323867
49,-0.24545237,-0.32159683,"('unable', 'able')",-0.3149064,-0.3272204,-0.8162285,-0.8100273,-0.5919872,-0.5498624,-0.4921436,-0.5021768,0.0100332
38,0.14171867,0.10259035,"('untruthful', 'truthful')",0.09521057,0.026122056,-1.1923854,-1.1510856,0.3464799,0.29226357,-0.1522441,-0.1825274,0.0302833
4,0.13479616,0.1826766,"('disliked', 'liked')",0.3725449,0.24067397,0.00053063035,-0.18142168,-6.3800015,-6.2323036,-1.4680325,-1.4975936,0.0295611
13,-0.12936881,-0.22390667,"('impolite', 'polite')",-0.64574456,-0.7489355,0.0797079,0.13210922,-0.37462205,-0.20183869,-0.2675069,-0.2606429,-0.006864
41,-0.113451384,0.17100745,"('unforgiving', 'forgiving')",0.3335911,0.48721445,-0.04465854,0.21108788,-0.18668441,0.107148215,-0.0028008,0.2441145,-0.2469153
37,-0.09608247,-0.052392192,"('fake', 'genuine')",-0.2664404,-0.2152518,-0.7493967,-0.68875796,0.36175448,0.43028128,-0.1875413,-0.1315302,-0.0560111
27,-0.09149863,-0.107367836,"('hardhearted', 'softhearted')",0.75463647,0.6620928,-0.068131626,-0.07804343,1.6567011,1.7000054,0.5629268,0.5441718,0.018755
16,-0.06914236,0.07593523,"('unpopular', 'popular')",-0.30851865,-0.34643382,-0.5526976,-0.2120708,1.067088,1.239178,0.0341824,0.1891522,-0.1549698
34,0.044216223,0.108340755,"('mean', 'honorable')",-0.062344197,-0.1428552,0.20705524,0.355939,6.277323,6.1222243,1.6165625,1.6109122,0.0056503
18,-0.04237259,0.083397835,"('disagreeable', 'welcoming')",0.2925377,0.31043336,-0.73741144,-0.71911407,-0.27115226,-0.23991689,-0.1895996,-0.1412999,-0.0482997
26,0.034789383,0.18752407,"('hardhearted', 'benevolent')",2.5121815,2.511894,1.772406,1.8262709,1.4592457,1.4524275,1.4446557,1.4945291,-0.0498734
