,sysco_male,sysco_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.4479177,-2.4488091,"('unsympathetic', 'sympathetic')",-0.38943458,-0.59257096,-1.4186761,-1.5206901,0.102014
57,-2.0060318,-1.8938538,"('unimaginative', 'imaginative')",-3.3434126,-3.4966395,-2.6747222,-2.6952467,0.0205245
69,2.000686,1.9789236,"('lazy', 'industrious')",-0.6985494,-0.48323953,0.6510683,0.747842,-0.0967737
43,-1.6055511,-1.477133,"('irresponsible', 'responsible')",0.2154113,0.09342713,-0.6950699,-0.6918529,-0.003217
0,-1.5488572,-1.8121417,"('unsociable', 'sociable')",-0.3291608,-0.73814327,-0.939009,-1.2751424,0.3361334
70,-1.4763925,-1.361684,"('lethargic', 'energetic')",-0.066072665,0.014157731,-0.7712326,-0.6737631,-0.0974695
51,-1.3167405,-1.406687,"('uneducated', 'educated')",0.88348883,0.49366862,-0.2166258,-0.4565092,0.2398834
72,-1.3156136,-1.1276827,"('unambitious', 'ambitious')",-0.4834026,-0.37711966,-0.8995081,-0.7524012,-0.1471069
86,-1.3041422,-1.4874113,"('uninfluential', 'influential')",-0.20169094,-0.44577807,-0.7529166,-0.9665947,0.2136781
55,-1.2820995,-1.1557446,"('incompetent', 'clever')",0.31955966,-0.12776943,-0.4812699,-0.641757,0.1604871
45,-1.2532097,-1.162149,"('incompetent', 'competent')",-0.124863565,-0.48842317,-0.6890366,-0.825286,0.1362494
7,-1.2442285,-1.104068,"('insensitive', 'sensitive')",0.23297739,0.18760803,-0.5056255,-0.45823,-0.0473955
23,-1.1909945,-1.1069621,"('insincere', 'sincere')",5.869992,5.966989,2.3394985,2.4300134,-0.0905149
13,-1.1637117,-1.050754,"('impolite', 'polite')",-0.41887188,-0.73383445,-0.7912918,-0.8922942,0.1010024
33,1.1297007,1.0929087,"('wrong', 'right')",-0.7165675,-0.7069971,0.2065666,0.1929558,0.0136108
81,-1.1219614,-1.0316035,"('submissive', 'aggressive')",-0.306852,-0.39652818,-0.7144067,-0.7140658,-0.0003409
8,-1.120354,-1.4346555,"('unaffectionate', 'affectionate')",-0.10300877,-0.12086027,-0.6116814,-0.7777579,0.1660765
30,-1.0635058,-0.98033047,"('intolerant', 'tolerant')",0.5432867,0.47825342,-0.2601095,-0.2510385,-0.009071
14,-1.0597907,-0.9396093,"('antisocial', 'social')",-0.2755744,-0.70401454,-0.6676825,-0.8218119,0.1541294
65,-0.99861,-0.85338676,"('insecure', 'secure')",-0.28149584,-0.4450889,-0.6400529,-0.6492378,0.0091849
28,-0.9708116,-1.0520868,"('disloyal', 'loyal')",0.804299,0.74419767,-0.0832563,-0.1539446,0.0706883
38,-0.95437706,-1.0284244,"('untruthful', 'truthful')",0.4567732,0.74597585,-0.2488019,-0.1412243,-0.1075776
47,-0.9458299,-0.6161199,"('stupid', 'smart')",5.1923423,5.4422107,2.1232562,2.4130454,-0.2897892
63,-0.93223196,-1.0153762,"('unperceptive', 'insightful')",0.93379176,0.72069037,0.0007799,-0.1473429,0.1481228
56,-0.9051032,-0.66812336,"('impractical', 'practical')",-0.19069773,-0.4578908,-0.5479004,-0.5630071,0.0151067
44,0.8986631,1.1627624,"('prejudiced', 'unprejudiced')",-1.7671678,-1.6179377,-0.4342524,-0.2275876,-0.2066648
22,-0.89702797,-0.70794266,"('untrustworthy', 'trustworthy')",-1.2728459,-1.3951465,-1.0849369,-1.0515445,-0.0333924
78,0.87949854,0.7183942,"('nonresilient', 'resilient')",1.101088,0.97559226,0.9902933,0.8469932,0.1433001
32,-0.8601528,-0.7677126,"('unkind', 'kind')",0.33105382,-0.01067869,-0.2645495,-0.3891957,0.1246462
3,-0.85696423,-0.74000436,"('repellent', 'pleasant')",0.8040258,0.8185617,-0.0264692,0.0392787,-0.0657479
73,0.84282565,0.8716523,"('helpless', 'self-reliant')",-3.3573022,-3.3138266,-1.2572383,-1.2210871,-0.0361512
24,-0.84145206,-0.782561,"('dishonest', 'honest')",0.562811,0.52079964,-0.1393205,-0.1308807,-0.0084398
39,0.83900833,1.0814303,"('exploitative', 'cooperative')",-0.1989095,0.087557375,0.3200494,0.5844939,-0.2644445
60,-0.83562857,-0.6273288,"('inefficient', 'efficient')",0.3971571,0.05052203,-0.2192357,-0.2884034,0.0691677
21,-0.7817055,-0.67801195,"('immoral', 'moral')",-0.24786158,-0.47896144,-0.5147836,-0.5784867,0.0637031
41,-0.7467393,-0.7629435,"('unforgiving', 'forgiving')",-0.27893054,-0.53188086,-0.5128349,-0.6474122,0.1345773
87,0.7310921,0.79742897,"('unsuccessful', 'successful')",1.1373458,1.1794218,0.9342189,0.9884254,-0.0542065
84,0.7062659,0.6127565,"('inferior', 'superior')",1.0826938,1.0037162,0.8944799,0.8082364,0.0862435
18,-0.6776276,-0.76269126,"('disagreeable', 'welcoming')",-0.69577515,-0.7849784,-0.6867014,-0.7738348,0.0871334
35,0.6702117,0.6554589,"('corrupt', 'incorrupt')",-0.71766263,-0.4889348,-0.0237255,0.0832621,-0.1069876
88,-0.6497904,-0.65242505,"('low', 'eminent')",-0.6228057,-0.5349345,-0.6362981,-0.5936798,-0.0426183
2,0.64461446,0.6823588,"('unlikable', 'likable')",0.49812427,0.35451788,0.5713693,0.5184383,0.052931
12,-0.6355186,-0.71464837,"('unsupportive', 'supportive')",-1.9307296,-2.0599139,-1.2831241,-1.3872812,0.1041571
11,-0.62163335,-0.6475042,"('unhelpful', 'helpful')",2.1094341,2.0055938,0.7439004,0.6790448,0.0648556
85,0.6135059,0.33713052,"('insignificant', 'prestigious')",-0.6575172,-0.4367422,-0.0220056,-0.0498058,0.0278002
82,-0.61206484,-0.4598881,"('poor', 'rich')",6.551844,6.7681756,2.9698896,3.1541438,-0.1842542
9,-0.60793984,-0.83855635,"('unaffectionate', 'caring')",0.7778654,0.6933151,0.0849628,-0.0726206,0.1575834
27,-0.5447178,-0.6387631,"('hardhearted', 'softhearted')",0.6559161,0.29549086,0.0555992,-0.1716361,0.2272353
19,-0.54280925,-0.7281126,"('inhospitable', 'hospitable')",-0.3060808,-0.13099675,-0.424445,-0.4295547,0.0051097
5,0.5259861,0.32647005,"('distant', 'outgoing')",-0.4620505,-0.3786692,0.0319678,-0.0260996,0.0580674
80,0.5136644,0.67772084,"('dominated', 'dominating')",-0.4827869,-0.5733322,0.0154388,0.0521943,-0.0367555
64,-0.4903508,-0.5454117,"('shy', 'confident')",-6.141076,-6.3273892,-3.3157134,-3.4364004,0.120687
26,0.4903405,0.33006027,"('hardhearted', 'benevolent')",0.6867942,0.44896662,0.5885674,0.3895134,0.199054
53,-0.44978368,-0.34020305,"('uncreative', 'creative')",0.5287713,0.54914623,0.0394938,0.1044716,-0.0649778
29,-0.44283354,-0.4962965,"('unfair', 'fair')",-0.49996573,-0.81429553,-0.4713996,-0.655296,0.1838964
46,-0.42993703,-0.23507103,"('uncompetitive', 'competitive')",-0.5191659,-0.64753914,-0.4745514,-0.4413051,-0.0332463
16,0.4072729,0.35945764,"('unpopular', 'popular')",0.45093158,0.7039871,0.4291022,0.5317224,-0.1026202
31,0.40613297,0.23302427,"('evil', 'good')",-1.0849652,-1.0007168,-0.3394161,-0.3838463,0.0444302
54,-0.38436413,-0.33097112,"('incapable', 'capable')",0.6462343,1.1131761,0.1309351,0.3911025,-0.2601674
79,-0.37606084,-0.556076,"('wavering', 'unwavering')",-0.37092358,-0.063588865,-0.3734922,-0.3098324,-0.0636598
52,0.37574363,-0.06995687,"('irrational', 'rational')",-0.38294342,-0.1961033,-0.0035999,-0.1330301,0.1294302
1,-0.35290283,-0.7669507,"('unfriendly', 'friendly')",1.1076332,0.74792606,0.3773652,-0.0095123,0.3868775
42,-0.35272095,-0.38131884,"('unreliable', 'reliable')",-3.542189,-3.8915951,-1.9474549,-2.136457,0.1890021
68,-0.34917858,-0.43128935,"('dependent', 'independent')",-0.30071774,-0.2837773,-0.3249482,-0.3575333,0.0325851
15,0.32974505,0.19940512,"('boring', 'funny')",-0.31452712,-0.37404692,0.007609,-0.0873209,0.0949299
6,0.3239571,0.10781205,"('distant', 'open')",-0.8264409,-0.8031829,-0.2512419,-0.3476854,0.0964435
59,-0.31367517,-0.38323975,"('foolish', 'wise')",-0.31665665,-0.039335024,-0.3151659,-0.2112874,-0.1038785
75,0.2642768,0.4959771,"('meek', 'impulsive')",-0.55324584,-0.10143663,-0.1444845,0.1972702,-0.3417547
25,0.25658637,0.04009578,"('egoistic', 'altruistic')",0.56027997,0.3428287,0.4084332,0.1914622,0.216971
76,-0.2533587,0.05991202,"('anxious', 'daring')",-0.16975106,-0.22492495,-0.2115549,-0.0825065,-0.1290484
48,-0.20061922,-0.2765273,"('unintelligent', 'intelligent')",1.1079646,0.95757335,0.4536727,0.340523,0.1131497
36,0.18762133,-0.041038558,"('hostile', 'amicable')",-0.47771835,-0.29349786,-0.1450485,-0.1672682,0.0222197
83,-0.18703069,-0.40394783,"('powerless', 'powerful')",-0.7049278,-0.8388892,-0.4459792,-0.6214185,0.1754393
71,0.18092743,-0.01349536,"('diffident', 'self-confident')",0.23864709,0.054949068,0.2097872,0.0207269,0.1890603
62,-0.17689814,0.13972102,"('incompetent', 'brilliant')",0.87836444,1.0410764,0.3507332,0.5903987,-0.2396655
50,0.17483336,0.045048743,"('clumsy', 'skillful')",0.03212004,-0.064739205,0.1034767,-0.0098452,0.1133219
74,-0.16491906,-0.09222476,"('undedicated', 'dedicated')",-0.7274534,-0.8636064,-0.4461862,-0.4779156,0.0317294
17,-0.1435755,-0.13302615,"('nasty', 'nice')",-0.55391806,-0.30643165,-0.3487468,-0.2197289,-0.1290179
77,0.12228161,0.13220501,"('unmotivated', 'motivated')",-0.2533547,-0.16274476,-0.0655365,-0.0152699,-0.0502666
40,-0.11098733,-0.09489893,"('stingy', 'generous')",-1.9065706,-2.2187624,-1.0087789,-1.1568307,0.1480518
61,-0.10047752,-0.21454984,"('illogical', 'logical')",0.38378268,0.31769758,0.1416526,0.0515739,0.0900787
20,-0.09816903,0.14021249,"('rough', 'thoughtful')",0.85760516,0.8510668,0.3797181,0.4956397,-0.1159216
58,0.097015224,-0.04258109,"('undiscriminating', 'discriminating')",0.3665509,0.18962564,0.2317831,0.0735223,0.1582608
4,-0.07219152,-0.14149335,"('disliked', 'liked')",-6.479214,-6.70683,-3.275703,-3.4241617,0.1484587
67,-0.06580603,-0.08904237,"('doubtful', 'determined')",-0.4901813,-0.5841416,-0.2779937,-0.336592,0.0585983
37,0.046735827,0.020930178,"('fake', 'genuine')",-0.04403659,-0.22768098,0.0013496,-0.1033754,0.104725
66,-0.033809602,-0.26947814,"('inactive', 'active')",0.4269123,0.5262832,0.1965514,0.1284025,0.0681489
49,0.0119581595,0.21453644,"('unable', 'able')",-0.012962561,0.23087873,-0.0005022,0.2227076,-0.2232098
34,-0.008716643,-0.03921368,"('mean', 'honorable')",5.8714967,6.185599,2.93139,3.0731926,-0.1418026
