,thermo_male,thermo_female,tuple,fisher_male,fisher_female,scientific_male,scientific_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.0882273,-2.320684,"('unfriendly', 'friendly')",0.056548018,0.06772438,-0.25690067,-0.47669026,1.7641644,1.5920705,-0.1311039,-0.2843948,0.1532909
19,-1.9631888,-1.997539,"('inhospitable', 'hospitable')",-0.53753567,-0.42298,-0.6155451,-0.75954765,0.05536575,-0.10394861,-0.7652259,-0.8210039,0.055778
8,-1.9431562,-1.9991369,"('unaffectionate', 'affectionate')",0.09604841,0.18057126,-0.46084544,-0.5271909,0.5259878,0.45398456,-0.4454914,-0.472943,0.0274516
86,-1.8179846,-2.16627,"('uninfluential', 'influential')",-0.8064066,-0.60068005,0.3900591,0.1108837,-0.44310412,-0.41146553,-0.669359,-0.766883,0.097524
9,-1.7906486,-1.9438926,"('unaffectionate', 'caring')",0.64844966,0.6208108,0.07540201,0.025888138,1.113166,1.0556183,0.0115923,-0.0603938,0.0719861
6,-1.7156345,-1.7244408,"('distant', 'open')",-1.5506982,-1.39927,-1.1455667,-1.2029568,0.53902245,0.3565366,-0.9682193,-0.9925328,0.0243135
5,-1.6833879,-1.6894124,"('distant', 'outgoing')",-1.1269437,-1.0567685,-0.8648477,-0.9159461,-0.04989799,-0.13444544,-0.9312693,-0.9491431,0.0178738
53,-1.5181152,-1.6867428,"('uncreative', 'creative')",-0.7124023,-0.6007449,0.13138965,-0.006052684,0.9840986,0.971153,-0.2787573,-0.3305969,0.0518396
82,-1.4518871,-1.2858524,"('poor', 'rich')",-1.5974661,-1.05076,-0.05654497,-0.053680692,5.3822503,5.443042,0.569088,0.7631872,-0.1940992
79,-1.4426509,-1.5443001,"('wavering', 'unwavering')",-0.50395715,-0.49535894,-1.4032754,-1.4990281,0.19084619,-0.011071711,-0.7897593,-0.8874397,0.0976804
54,-1.2695373,-1.2772409,"('incapable', 'capable')",-0.011817368,-0.101123,-0.12715203,-0.1546061,0.7512982,0.8633828,-0.1643021,-0.1673968,0.0030947
67,1.2674044,1.2724026,"('doubtful', 'determined')",0.87506163,0.9696065,-0.59482086,-0.4991685,-0.3522591,-0.21915637,0.2988465,0.3809211,-0.0820746
31,-1.2659137,-1.2082186,"('evil', 'good')",-1.6957593,-1.3884983,-1.2267017,-1.2904488,-1.1084405,-1.2982388,-1.3242037,-1.2963511,-0.0278526
69,1.2547057,1.18102,"('lazy', 'industrious')",1.0540644,0.67260385,1.0939568,1.0782912,0.10552937,-0.16646908,0.8770641,0.6913615,0.1857026
10,-1.178558,-1.51208,"('unsympathetic', 'sympathetic')",-0.55476767,-0.44660056,-0.6930392,-0.8310261,-0.2263633,-0.15011011,-0.663182,-0.7349542,0.0717722
28,-1.1347558,-1.4698026,"('disloyal', 'loyal')",-0.059150703,-0.18440259,0.48427042,0.3136327,0.78174514,0.6201796,0.0180273,-0.1800982,0.1981255
36,-1.1260662,-1.2266363,"('hostile', 'amicable')",-0.8084318,-0.6920148,-1.3580517,-1.6329241,0.19388321,-0.24024314,-0.7746666,-0.9479546,0.173288
12,-1.056983,-1.2224779,"('unsupportive', 'supportive')",0.6410727,0.7269713,0.21201234,0.16218805,-1.783357,-1.5140746,-0.4968137,-0.4618483,-0.0349654
23,-0.9395713,-1.0721225,"('insincere', 'sincere')",0.57341635,0.7499303,-0.1762118,-0.15371914,4.9882135,4.847738,1.1114616,1.0929567,0.0185049
3,-0.93348545,-0.98735386,"('repellent', 'pleasant')",-1.4250219,-1.3017254,-0.5994908,-0.634417,-0.13584886,-0.066511564,-0.7734618,-0.747502,-0.0259598
57,-0.8699602,-1.123541,"('unimaginative', 'imaginative')",-1.9202455,-1.755672,-0.40563017,-0.52502567,-2.5013976,-2.2350287,-1.4243083,-1.4098167,-0.0144916
84,0.8601753,0.76043785,"('inferior', 'superior')",2.2027535,2.0312006,1.3635882,1.3124698,1.1427922,1.2132132,1.3923273,1.3293304,0.0629969
63,-0.8266083,-0.989092,"('unperceptive', 'insightful')",-1.0192783,-0.84230465,0.41159144,0.34835386,0.8574096,1.127232,-0.1442214,-0.0889527,-0.0552687
44,0.822004,0.87309283,"('prejudiced', 'unprejudiced')",-0.42038378,-0.61932135,-0.058351856,0.11949702,-1.3802695,-1.5274539,-0.2592503,-0.2885464,0.0292961
45,-0.7937039,-0.9913284,"('incompetent', 'competent')",-0.037592456,0.13542451,0.6412846,0.4726178,-0.41079706,-0.27686116,-0.1502022,-0.1650368,0.0148346
78,-0.786208,-0.8967532,"('nonresilient', 'resilient')",-1.1256822,-1.026979,0.8932731,0.91220176,0.5837654,0.6703788,-0.1087129,-0.0852879,-0.023425
38,-0.76921415,-0.852275,"('untruthful', 'truthful')",-0.16995078,-0.11359358,0.24588494,0.24520254,0.14618862,0.10410021,-0.1367728,-0.1541415,0.0173687
85,-0.7536182,-0.9271216,"('insignificant', 'prestigious')",0.123068675,-0.056791723,0.40245536,0.2046485,0.7680944,0.37450457,0.1350001,-0.1011901,0.2361902
35,0.7522477,0.85888094,"('corrupt', 'incorrupt')",0.15413773,0.008613709,-0.535017,-0.443909,0.20941988,-0.13754527,0.1451971,0.0715101,0.073687
73,0.7359834,0.7668848,"('helpless', 'self-reliant')",1.1190708,1.1120231,-0.1679241,-0.22311956,-3.0909772,-2.7545953,-0.3509618,-0.2747017,-0.0762601
80,0.7168795,0.5881589,"('dominated', 'dominating')",0.17984724,0.025911644,0.637073,0.6594315,-1.1335934,-1.0708172,0.1000516,0.0506712,0.0493804
7,-0.70781994,-0.89490175,"('insensitive', 'sensitive')",0.4667475,0.37513718,-0.11808565,-0.15108514,0.5989705,0.65825677,0.0599531,-0.0031482,0.0631013
81,0.69938326,0.6417286,"('submissive', 'aggressive')",-0.7687351,-0.7429219,0.8610351,0.8273148,-0.8476733,-0.57761645,-0.0139975,0.0371263,-0.0511238
52,-0.67513126,-0.87764835,"('irrational', 'rational')",-0.15865695,-0.16609704,-0.37302497,-0.55192065,-0.13734315,-0.44795236,-0.3360391,-0.5109046,0.1748655
66,-0.6652097,-0.72681713,"('inactive', 'active')",-0.5086408,-0.5196138,-0.4434439,-0.3823424,1.3293544,0.9964186,-0.071985,-0.1580887,0.0861037
18,-0.62697864,-0.695299,"('disagreeable', 'welcoming')",0.29559714,0.5181454,-0.114823565,-0.16145742,-0.5001654,-0.42816505,-0.2365926,-0.191694,-0.0448986
27,-0.61469525,-0.6486086,"('hardhearted', 'softhearted')",-0.99669003,-1.0125932,-1.0373734,-1.0915418,1.7051384,1.359047,-0.2359051,-0.3484241,0.112519
2,0.5938516,0.48827863,"('unlikable', 'likable')",0.74744856,0.86600304,0.46426094,0.39590383,0.27079022,0.39103985,0.5190879,0.5353063,-0.0162184
60,0.5864771,0.5322597,"('inefficient', 'efficient')",0.12761739,0.23895259,1.1400691,1.2212605,-0.27534053,0.16797768,0.3947058,0.5401126,-0.1454068
0,-0.58563435,-0.9104519,"('unsociable', 'sociable')",0.32212844,0.21714121,0.6697208,0.37461624,-0.6815361,-0.6645549,-0.0688303,-0.2458123,0.176982
24,-0.5842063,-0.7571167,"('dishonest', 'honest')",-0.19824298,-0.17866173,-0.36213475,-0.41255072,0.37370044,0.43051302,-0.1927209,-0.229454,0.0367331
