,jpmorgan_male,jpmorgan_female,tuple,chase_male,chase_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
10,-3.5622456,-3.7319648,"('unsympathetic', 'sympathetic')",-1.035233,-1.1104141,-0.92945236,-1.0931321,-0.734697,-0.7699773,-1.565407,-1.6763721,0.1109651
55,-2.9788628,-3.028067,"('incompetent', 'clever')",-0.75804055,-0.87703365,-0.62596595,-0.7770574,-1.4897672,-1.5255716,-1.4631591,-1.5519326,0.0887735
69,2.944663,3.0505655,"('lazy', 'industrious')",0.58644104,0.70624465,1.2918917,1.4001487,0.73052335,0.7462936,1.3883798,1.4758132,-0.0874334
0,-2.7422853,-2.7438724,"('unsociable', 'sociable')",-0.74216545,-0.8192124,-0.15217048,-0.31777257,-0.69952697,-0.7131311,-1.0840371,-1.1484971,0.06446
45,-2.5332775,-2.7577062,"('incompetent', 'competent')",-1.1818668,-1.3143218,-0.5172544,-0.9901683,-1.5333364,-1.6372243,-1.4414337,-1.6748551,0.2334214
35,2.530443,2.5258353,"('corrupt', 'incorrupt')",0.32328182,0.29341698,0.533581,0.5930281,0.55215615,0.5005662,0.9848655,0.9782116,0.0066539
21,-2.4684103,-2.37968,"('immoral', 'moral')",-0.5246181,-0.31053153,-0.41530374,-0.36445382,-1.9185758,-1.8584282,-1.331727,-1.2282734,-0.1034536
60,-2.4292111,-2.176418,"('inefficient', 'efficient')",-1.2095071,-1.0185336,-0.569609,-0.40910286,-1.267395,-0.9413387,-1.3689306,-1.1363482,-0.2325824
57,-2.3485844,-2.5573092,"('unimaginative', 'imaginative')",-0.41878217,-0.47367847,-0.37139872,-0.51897955,-3.1035247,-2.996295,-1.5605725,-1.6365656,0.0759931
46,-2.3359728,-2.4858336,"('uncompetitive', 'competitive')",0.45624316,0.476902,0.087361,-0.043338753,-0.30102384,-0.4562813,-0.5233481,-0.6271379,0.1037898
62,-2.1783538,-1.7735639,"('incompetent', 'brilliant')",-0.18824847,-0.03491267,-0.96807975,-0.73101103,-1.1265846,-0.77884436,-1.1153166,-0.829583,-0.2857336
14,-2.1577592,-2.3286734,"('antisocial', 'social')",-0.61698574,-0.80252945,0.31158677,-0.029446248,-1.2999829,-1.2751554,-0.9407853,-1.1089511,0.1681658
85,2.1572964,2.1364493,"('insignificant', 'prestigious')",1.9615241,2.115,2.4019468,2.472108,1.2652512,1.3140551,1.9465046,2.0094032,-0.0628986
5,2.1467578,2.3074858,"('distant', 'outgoing')",1.9866977,2.0849972,1.2061377,1.3578085,0.7135906,0.7277254,1.5132959,1.6195042,-0.1062083
13,-2.10245,-1.7011354,"('impolite', 'polite')",-0.670386,-0.48574707,-0.9919252,-0.72351253,-0.90958047,-0.79647684,-1.1685854,-0.926718,-0.2418674
11,-2.100691,-1.9055926,"('unhelpful', 'helpful')",-0.6575164,-0.6124966,-1.1931576,-1.016792,1.3316996,1.5040846,-0.6549163,-0.5076992,-0.1472171
86,-2.091264,-2.4418845,"('uninfluential', 'influential')",0.18625435,0.013101343,-0.05968719,-0.26039273,-0.9803966,-1.079517,-0.7362733,-0.9421732,0.2058999
36,2.0464294,2.0010521,"('hostile', 'amicable')",0.7556248,0.7608725,0.8676438,0.85927683,1.0047967,0.9892507,1.1686237,1.152613,0.0160107
43,-2.036205,-1.7117538,"('irresponsible', 'responsible')",0.33172894,0.55167085,-1.0140202,-0.721177,-0.5131293,-0.25126457,-0.8079064,-0.5331311,-0.2747753
48,-1.9309785,-1.9440541,"('unintelligent', 'intelligent')",-1.4769819,-1.4756646,-0.66788316,-0.5757281,-1.5259022,-1.4679317,-1.4004365,-1.3658447,-0.0345918
65,-1.9047341,-1.9249552,"('insecure', 'secure')",-1.3414032,-1.368712,-0.6131819,-0.6860881,-1.4425542,-1.3929936,-1.3254683,-1.3431872,0.0177189
56,-1.8397331,-1.5973485,"('impractical', 'practical')",-0.63617027,-0.37409624,-0.8537008,-0.6845378,-1.3530684,-1.1252797,-1.1706681,-0.9453155,-0.2253526
3,-1.8301113,-1.9257246,"('repellent', 'pleasant')",-1.465794,-1.5770098,-0.91762024,-1.2162879,0.5107983,0.32353854,-0.9256818,-1.098871,0.1731892
79,1.8264012,1.6969855,"('wavering', 'unwavering')",0.813158,0.85978675,1.0723113,0.96860206,0.6433226,0.639811,1.0887983,1.0412964,0.0475019
31,1.7830336,1.830612,"('evil', 'good')",0.2541604,0.25372982,0.35858792,0.43882698,0.000660792,-0.04479532,0.5991107,0.6195934,-0.0204827
70,-1.7765749,-1.8599279,"('lethargic', 'energetic')",-0.2906441,-0.3395916,-0.24396518,-0.38718164,-0.88857836,-0.92288077,-0.7999406,-0.8773954,0.0774548
75,1.6986142,1.7346272,"('meek', 'impulsive')",0.91002494,0.8708879,0.5480533,0.59181464,1.0214096,1.0175948,1.0445255,1.0537311,-0.0092056
6,1.6925163,1.8108668,"('distant', 'open')",1.4788389,1.5946077,1.1053648,1.2844951,0.6682268,0.734407,1.2362367,1.3560942,-0.1198575
