,marathon_male,marathon_female,tuple,oil_male,oil_female,corp_male,corp_female,average_male,average_female,male-female
82,-2.2988656,-2.1476116,"('poor', 'rich')",0.028548077,0.1102095,6.748519,6.742944,1.4927338,1.5685139,-0.0757801
9,1.7053684,1.7852252,"('unaffectionate', 'caring')",0.05784649,0.13685155,0.4513715,0.39386815,0.7381955,0.7719816,-0.0337861
0,-1.509178,-1.5865371,"('unsociable', 'sociable')",0.5234324,0.5698307,0.6186532,0.22720212,-0.1223642,-0.2631681,0.1408039
85,1.491494,1.4778639,"('insignificant', 'prestigious')",-0.07152509,-0.1075566,-2.1526434,-1.8819371,-0.2442248,-0.1705433,-0.0736815
74,1.4337864,1.5337435,"('undedicated', 'dedicated')",-0.4471546,-0.34209743,-0.36103112,-0.4705748,0.2085335,0.2403571,-0.0318236
16,-1.3069448,-1.286858,"('unpopular', 'popular')",0.26390874,0.21611308,-0.0029730275,0.21143937,-0.3486697,-0.2864352,-0.0622345
47,-1.2704315,-1.0790898,"('stupid', 'smart')",0.44297567,0.6736791,5.3532143,5.4003305,1.5085861,1.6649733,-0.1563872
71,1.2501127,1.3037119,"('diffident', 'self-confident')",1.2780583,1.3501035,0.17764327,0.24251738,0.9019381,0.9654442,-0.0635061
33,1.1752772,1.1940856,"('wrong', 'right')",1.1428857,1.1908336,-1.1030405,-1.0324175,0.4050408,0.4508339,-0.0457931
84,1.1227735,0.8058315,"('inferior', 'superior')",0.8313314,0.7751149,0.8106354,0.7492978,0.9215801,0.7767481,0.144832
26,1.0887268,1.254437,"('hardhearted', 'benevolent')",0.3393088,0.35514528,0.28206295,0.5362201,0.5700328,0.7152674,-0.1452346
72,1.0608932,1.2272375,"('unambitious', 'ambitious')",0.5701089,0.6729162,-0.35395423,-0.5091098,0.4256826,0.4636813,-0.0379987
34,-1.0525593,-0.93735945,"('mean', 'honorable')",0.04555907,0.26401496,5.21111,5.359169,1.40137,1.5619415,-0.1605715
14,-1.0475712,-0.9444406,"('antisocial', 'social')",0.64093596,0.65410835,0.1575647,-0.0057534976,-0.0830235,-0.0986952,0.0156717
73,1.0024115,1.3112395,"('helpless', 'self-reliant')",0.37950653,0.46651867,-4.111647,-3.8996985,-0.9099097,-0.7073135,-0.2025962
55,-0.94710517,-0.86438066,"('incompetent', 'clever')",0.95853686,1.0024362,1.3293167,1.00595,0.4469161,0.3813352,0.0655809
61,0.94364804,0.66883504,"('illogical', 'logical')",0.5913595,0.52325124,0.7237482,0.5109017,0.7529186,0.5676626,0.185256
