,nabors_male,nabors_female,tuple,industries_male,industries_female,ltd_male,ltd_female,average_male,average_female,male-female
28,-1.7343193,-1.7512723,"('disloyal', 'loyal')",0.06505171,-0.21041575,0.8335735,0.63423306,-0.2785647,-0.442485,0.1639203
86,-1.602768,-1.7151818,"('uninfluential', 'influential')",-0.63917184,-0.8037751,-0.207059,-0.3299221,-0.8163329,-0.9496264,0.1332935
1,-1.5928178,-1.6475283,"('unfriendly', 'friendly')",-0.13794956,-0.1540363,1.3827778,1.169299,-0.1159965,-0.2107552,0.0947587
9,-1.3558954,-1.3518989,"('unaffectionate', 'caring')",-0.007532958,-0.084992304,0.50120765,0.36445254,-0.2874069,-0.3574796,0.0700727
72,-1.2481381,-1.5765194,"('unambitious', 'ambitious')",-0.39473945,-0.74032235,-0.38419396,-0.6627828,-0.6756905,-0.9932081,0.3175176
78,-1.2471586,-1.1235814,"('nonresilient', 'resilient')",-0.33849937,-0.16883183,0.03656815,-0.056626745,-0.5163633,-0.44968,-0.0666833
10,-1.2283043,-1.3598382,"('unsympathetic', 'sympathetic')",-0.9349892,-1.1328369,-0.20375104,-0.48020515,-0.7890148,-0.9909601,0.2019453
36,-1.203398,-1.1618803,"('hostile', 'amicable')",-0.22587794,-0.15123987,0.4450837,0.34174162,-0.3280641,-0.3237928,-0.0042713
8,-1.1378309,-1.153847,"('unaffectionate', 'affectionate')",0.3369782,0.3164753,0.41830745,0.24978578,-0.1275151,-0.195862,0.0683469
83,-1.0459547,-1.1508322,"('powerless', 'powerful')",-0.3681659,-0.39790666,-1.5430506,-1.6560717,-0.9857238,-1.0682702,0.0825464
2,0.97847855,1.1875001,"('unlikable', 'likable')",-0.009645551,0.20867467,0.13498707,0.28239724,0.36794,0.559524,-0.191584
30,0.9761774,1.0523916,"('intolerant', 'tolerant')",1.4612781,1.3923099,1.0806233,1.182865,1.1726929,1.2091889,-0.036496
6,-0.892761,-0.78589904,"('distant', 'open')",-0.30029252,-0.307734,0.109385625,0.044572525,-0.3612226,-0.3496869,-0.0115357
15,0.85013527,0.9756289,"('boring', 'funny')",0.61357355,0.79434395,0.6531338,0.85948443,0.7056142,0.8764857,-0.1708715
48,-0.8139868,-1.1419151,"('unintelligent', 'intelligent')",-0.47777167,-0.7337705,0.002437804,-0.2933967,-0.4297735,-0.7230274,0.2932539
20,-0.7754526,-0.93022305,"('rough', 'thoughtful')",-0.2849102,-0.35545093,0.5016639,0.21901219,-0.186233,-0.3555539,0.1693209
49,-0.7683054,-0.57657945,"('unable', 'able')",-0.1728196,-0.12707554,-0.53725713,-0.50177974,-0.492794,-0.4018116,-0.0909824
77,-0.76335776,-0.7900343,"('unmotivated', 'motivated')",-0.4182952,-0.43172342,-0.97613555,-1.0741488,-0.7192628,-0.7653022,0.0460394
54,-0.75590235,-0.49964532,"('incapable', 'capable')",-0.1458061,0.031568825,0.52435255,0.50754035,-0.1257853,0.0131546,-0.1389399
53,-0.7428043,-0.61389846,"('uncreative', 'creative')",0.022490343,-0.012046844,0.4300945,0.2858846,-0.0967398,-0.1133536,0.0166138
51,-0.73654157,-0.6839701,"('uneducated', 'educated')",-0.07813226,-0.12808299,0.14104302,0.055912707,-0.2245436,-0.2520468,0.0275032
56,0.72164124,0.84270227,"('impractical', 'practical')",1.4133884,1.3868593,0.7856896,0.82235557,0.973573,1.0173057,-0.0437327
25,-0.6984204,-0.6433368,"('egoistic', 'altruistic')",0.82215047,0.86499697,0.44045985,0.56422544,0.1880633,0.2619619,-0.0738986
68,-0.67389953,-0.66775495,"('dependent', 'independent')",-1.6337576,-1.6269729,-1.082296,-1.1722177,-1.1299844,-1.1556485,0.0256641
21,-0.6716343,-0.6419202,"('immoral', 'moral')",-0.6476187,-0.65392244,-1.3197591,-1.3490415,-0.8796707,-0.881628,0.0019573
32,-0.67036664,-0.8668203,"('unkind', 'kind')",-0.2534454,-0.43368372,0.61683273,0.5361627,-0.1023264,-0.2547804,0.152454
76,0.6698316,0.6400906,"('anxious', 'daring')",-0.16718216,-0.045229927,0.073997304,0.05367814,0.1922156,0.2161796,-0.023964
57,-0.6620436,-0.69749033,"('unimaginative', 'imaginative')",0.40741685,0.3214259,-0.76533854,-0.8709341,-0.3399884,-0.4156662,0.0756778
73,0.6171907,0.73907775,"('helpless', 'self-reliant')",0.8754742,0.6664932,-2.931537,-2.8826156,-0.479624,-0.4923482,0.0127242
44,0.60617244,0.5052052,"('prejudiced', 'unprejudiced')",-0.4699134,-0.4158356,-1.6431524,-1.4519457,-0.5022978,-0.454192,-0.0481058
3,-0.59967947,-0.7518067,"('repellent', 'pleasant')",-0.10268012,-0.27377722,0.2491121,0.022533083,-0.1510825,-0.3343503,0.1832678
70,0.583017,0.8516571,"('lethargic', 'energetic')",0.13511674,0.35982034,0.6023917,0.73543084,0.4401751,0.6489694,-0.2087943
5,-0.56214476,-0.34468952,"('distant', 'outgoing')",-0.20523769,-0.0605654,-0.3258966,-0.23814064,-0.3644263,-0.2144652,-0.1499611
50,-0.5055851,-0.26670077,"('clumsy', 'skillful')",-0.008576209,-0.028491404,-0.55076087,-0.6953952,-0.354974,-0.3301958,-0.0247782
66,-0.50012887,-0.58268225,"('inactive', 'active')",-0.107858226,-0.07735668,0.99221706,0.8790726,0.1280767,0.0730112,0.0550655
19,-0.47859034,-0.13356319,"('inhospitable', 'hospitable')",-0.976535,-0.7271187,-0.854392,-0.7637089,-0.7698391,-0.5414636,-0.2283755
42,0.47343856,0.7163456,"('unreliable', 'reliable')",-0.15485719,-0.055633172,-2.5576742,-2.4533613,-0.7463643,-0.5975496,-0.1488147
38,-0.44510102,-0.31077468,"('untruthful', 'truthful')",-0.5049381,-0.5025644,0.41203615,0.45931783,-0.1793343,-0.1180071,-0.0613272
4,0.4425071,0.6275461,"('disliked', 'liked')",0.645933,0.64351904,-4.2218933,-4.0460787,-1.0444845,-0.9250045,-0.11948
7,-0.4240433,-0.36488488,"('insensitive', 'sensitive')",-0.19259325,-0.25016212,0.06800778,-0.0051073255,-0.1828762,-0.2067181,0.0238419
62,0.41238326,0.6322069,"('incompetent', 'brilliant')",0.04772043,0.16042624,-0.031584837,-0.08281341,0.1428396,0.2366066,-0.093767
87,0.4009141,0.47652683,"('unsuccessful', 'successful')",0.73009485,0.67125064,0.88457096,0.77149814,0.67186,0.6397585,0.0321015
67,0.4008987,0.54712,"('doubtful', 'determined')",0.17551449,0.27685532,-0.425115,-0.42855668,0.0504327,0.1318062,-0.0813735
71,-0.37405062,-0.24075833,"('diffident', 'self-confident')",0.63275146,0.60272485,0.17358634,0.14831528,0.1440957,0.1700939,-0.0259982
13,0.36678836,0.35257334,"('impolite', 'polite')",-0.14300306,-0.21669918,-0.51002073,-0.36391136,-0.0954118,-0.0760124,-0.0193994
61,-0.34610012,-0.4069029,"('illogical', 'logical')",-1.3094342,-1.3014537,-0.056098007,-0.13841031,-0.5705441,-0.615589,0.0450449
31,-0.34534204,-0.39204174,"('evil', 'good')",-0.74494576,-0.86142015,-0.66188097,-0.7787626,-0.5840563,-0.6774081,0.0933518
45,-0.32708082,-0.19467741,"('incompetent', 'competent')",0.21791597,0.26579902,0.21165349,0.11322012,0.0341629,0.0614472,-0.0272843
58,-0.322291,-0.27156672,"('undiscriminating', 'discriminating')",0.076511055,0.016308486,0.63901436,0.48613212,0.1310781,0.076958,0.0541201
26,-0.31648955,-0.53583497,"('hardhearted', 'benevolent')",2.3546512,1.9683576,2.2049453,1.9791143,1.4143689,1.1372123,0.2771566
52,-0.30956745,-0.47628146,"('irrational', 'rational')",-0.79743505,-0.76566494,-0.51095307,-0.65991545,-0.5393185,-0.633954,0.0946355
0,-0.30043054,-0.5460334,"('unsociable', 'sociable')",-0.058518555,-0.20347004,0.0055918824,-0.17072515,-0.1177857,-0.3067429,0.1889572
88,0.29652995,0.33888787,"('low', 'eminent')",1.4206941,1.4109321,0.8030409,0.8006948,0.8400884,0.8501716,-0.0100832
79,-0.29146925,0.029918648,"('wavering', 'unwavering')",-0.32439783,-0.1674017,0.23970078,0.26283908,-0.1253888,0.0417853,-0.1671741
