,gilead_male,gilead_female,tuple,sciences_male,sciences_female,inc_male,inc_female,average_male,average_female,male-female
38,-1.7856084,-1.8067503,"('untruthful', 'truthful')",-0.709829,-0.63978124,-0.12606563,-0.10763435,-0.8738344,-0.8513886,-0.0224458
10,-1.684345,-1.657435,"('unsympathetic', 'sympathetic')",-0.9521744,-0.9028819,-0.5876974,-0.45581546,-1.074739,-1.0053775,-0.0693615
1,-1.614465,-2.0061927,"('unfriendly', 'friendly')",-0.46251366,-0.79126614,1.5000653,1.3178116,-0.1923045,-0.4932158,0.3009113
43,-1.4174786,-1.2506398,"('irresponsible', 'responsible')",-0.9045558,-0.7306762,-0.4423814,-0.20529823,-0.9214719,-0.7288714,-0.1926005
69,1.3947972,1.3434438,"('lazy', 'industrious')",1.0309317,0.9823122,0.035438277,-0.08900448,0.820389,0.7455839,0.0748051
86,-1.3727337,-1.5931357,"('uninfluential', 'influential')",-0.008229234,-0.05950837,-0.3253142,-0.26892915,-0.568759,-0.6405244,0.0717654
19,-1.3444885,-1.4574907,"('inhospitable', 'hospitable')",-1.0681177,-1.2423561,-0.05394054,-0.14405724,-0.8221823,-0.947968,0.1257857
32,-1.3403678,-1.3085194,"('unkind', 'kind')",0.14201574,0.18319441,0.3561747,0.3999056,-0.2807258,-0.2418065,-0.0389193
63,-1.328219,-1.2845751,"('unperceptive', 'insightful')",-0.10922147,-0.090321094,0.81963706,1.0122635,-0.2059345,-0.1208775,-0.085057
23,-1.2296699,-1.2208645,"('insincere', 'sincere')",-0.67825574,-0.69008714,4.777407,4.854087,0.9564939,0.9810451,-0.0245512
70,-1.1686839,-1.0384686,"('lethargic', 'energetic')",-0.73898876,-0.65095824,-0.051151842,0.20022336,-0.6529415,-0.4964012,-0.1565403
13,-1.1525209,-1.03408,"('impolite', 'polite')",-0.9573332,-0.8263699,-0.44819403,-0.24794653,-0.8526827,-0.7027988,-0.1498839
11,-1.1469551,-1.0742956,"('unhelpful', 'helpful')",-0.0025510006,0.109746024,1.6211474,1.6819006,0.1572138,0.239117,-0.0819032
53,-1.0718174,-1.2729152,"('uncreative', 'creative')",-0.18567626,-0.36388865,0.6036968,0.598689,-0.2179323,-0.3460383,0.128106
3,-1.0612657,-1.0284207,"('repellent', 'pleasant')",-0.20061204,-0.171221,-0.010255152,0.10928535,-0.4240443,-0.3634521,-0.0605922
9,-0.9922707,-1.1017604,"('unaffectionate', 'caring')",0.28169817,0.24001949,0.9502625,0.96820897,0.0798966,0.0354894,0.0444072
5,-0.9752712,-1.1142546,"('distant', 'outgoing')",-0.9021513,-1.0577798,0.1785815,0.036248393,-0.5662804,-0.7119286,0.1456482
45,-0.9420644,-0.8527197,"('incompetent', 'competent')",0.061799865,0.14204615,-0.45668292,-0.23286211,-0.4456491,-0.3145119,-0.1311372
84,0.9251698,1.0263088,"('inferior', 'superior')",0.73828053,0.8312649,0.9817802,0.9700747,0.8817435,0.9425495,-0.060806
82,-0.90429467,-1.037363,"('poor', 'rich')",-0.063192815,-0.14972869,5.3903294,5.479864,1.4742807,1.4309241,0.0433566
7,-0.867748,-0.6882033,"('insensitive', 'sensitive')",-0.45429224,-0.33287644,0.1920458,0.3985021,-0.3766648,-0.2075259,-0.1691389
0,-0.8382001,-0.8922077,"('unsociable', 'sociable')",0.1714271,0.1564947,-0.51306236,-0.40935344,-0.3932784,-0.3816888,-0.0115896
56,-0.8330317,-0.62986016,"('impractical', 'practical')",0.1723304,0.3535098,-0.6643802,-0.4268551,-0.4416939,-0.2344018,-0.2072921
31,-0.8011337,-0.9740756,"('evil', 'good')",-0.19877158,-0.45802233,-0.48697504,-0.6606415,-0.4956268,-0.6975798,0.201953
51,-0.78633904,-0.84454715,"('uneducated', 'educated')",0.0031251814,-0.010667007,0.3537901,0.3108885,-0.1431412,-0.1814419,0.0383007
22,-0.7808417,-0.811086,"('untrustworthy', 'trustworthy')",0.13459566,0.07972653,-1.035612,-0.85646385,-0.5606194,-0.5292745,-0.0313449
27,-0.7553594,-0.85821956,"('hardhearted', 'softhearted')",-0.10337814,-0.11997111,1.5767322,1.5902703,0.2393315,0.2040265,0.035305
30,-0.7407239,-0.7226211,"('intolerant', 'tolerant')",0.5057824,0.5542305,0.7120897,0.72505337,0.1590494,0.1855543,-0.0265049
54,-0.7333881,-0.88837594,"('incapable', 'capable')",-0.25210539,-0.37398195,0.84304,0.84676415,-0.0474845,-0.1385313,0.0910468
77,-0.724084,-0.73528177,"('unmotivated', 'motivated')",0.6889625,0.666519,-0.7356549,-0.7067839,-0.2569255,-0.2585156,0.0015901
28,-0.7209641,-0.77602077,"('disloyal', 'loyal')",0.26548845,0.28777942,0.45572445,0.48414013,8.29e-05,-0.0013671,0.00145
85,0.7205572,0.4875227,"('insignificant', 'prestigious')",0.51803243,0.28249925,1.0104667,0.7304363,0.7496854,0.5001527,0.2495327
33,0.69518805,0.56596667,"('wrong', 'right')",-0.029209059,-0.07005089,-0.22024542,-0.34904295,0.1485778,0.0489576,0.0996202
6,-0.6844173,-0.86212605,"('distant', 'open')",-1.0273523,-1.2045709,0.58546346,0.5216606,-0.3754354,-0.5150121,0.1395767
61,-0.6704974,-0.7998065,"('illogical', 'logical')",0.57034546,0.48797286,0.079273485,0.07022841,-0.0069595,-0.0805351,0.0735756
57,-0.66779983,-0.77211744,"('unimaginative', 'imaginative')",-0.41867775,-0.46642315,-2.3787606,-2.4040496,-1.1550794,-1.2141968,0.0591174
24,-0.63927925,-0.6112891,"('dishonest', 'honest')",-0.99568397,-0.95038927,0.13377587,0.30459395,-0.5003958,-0.4190282,-0.0813676
42,-0.59829015,-0.39794886,"('unreliable', 'reliable')",-0.6292511,-0.5270257,-2.8240478,-2.606639,-1.3505297,-1.1772044,-0.1733253
72,-0.59633905,-0.5895423,"('unambitious', 'ambitious')",-0.42203173,-0.36391097,-1.3603816,-1.2571852,-0.7929174,-0.7368795,-0.0560379
39,0.5905079,0.7903776,"('exploitative', 'cooperative')",0.4567631,0.5438212,0.15439878,0.21246943,0.4005566,0.5155561,-0.1149995
88,-0.58951443,-0.71610445,"('low', 'eminent')",-0.5662545,-0.65831333,-0.0765601,-0.15973106,-0.4107763,-0.5113829,0.1006066
47,-0.5602403,-0.5306043,"('stupid', 'smart')",0.2707383,0.21976209,5.311482,5.4246545,1.6739933,1.7046041,-0.0306108
21,-0.55062956,-0.554522,"('immoral', 'moral')",0.2613609,0.30607703,-0.9574213,-0.8562526,-0.4155633,-0.3682325,-0.0473308
52,0.5463158,0.25571477,"('irrational', 'rational')",0.42009068,0.20474198,0.1536468,-0.0018224269,0.3733511,0.1528781,0.220473
40,0.4612307,0.31214622,"('stingy', 'generous')",0.22318888,0.20474266,-1.2115229,-1.2538189,-0.1757011,-0.2456433,0.0699422
76,0.44998464,0.59624517,"('anxious', 'daring')",-0.3025203,-0.19586325,0.072887816,0.18623483,0.0734507,0.1955389,-0.1220882
20,0.44732866,0.375363,"('rough', 'thoughtful')",1.6104347,1.5752752,1.0694723,1.0327528,1.0424119,0.9944636,0.0479483
8,-0.44441396,-0.652142,"('unaffectionate', 'affectionate')",0.06457096,-0.11411935,0.63086194,0.48351717,0.083673,-0.0942481,0.1779211
35,0.44394523,0.4066013,"('corrupt', 'incorrupt')",-0.18870504,-0.20496257,0.05575654,-0.10118472,0.1036656,0.0334847,0.0701809
46,-0.44131988,-0.33119684,"('uncompetitive', 'competitive')",-0.58595854,-0.45261794,-0.77220565,-0.66509753,-0.599828,-0.4829708,-0.1168572
87,0.4225376,0.42893055,"('unsuccessful', 'successful')",0.1417751,0.15087038,1.1431495,1.1224765,0.5691541,0.5674258,0.0017283
78,-0.4101918,-0.52355343,"('nonresilient', 'resilient')",1.0270232,0.96044695,0.9754485,0.8029658,0.53076,0.4132864,0.1174736
12,-0.38952783,-0.3727665,"('unsupportive', 'supportive')",-0.15381275,-0.13860284,-1.9291946,-1.8135755,-0.8241784,-0.7749817,-0.0491967
18,0.36897275,0.23342611,"('disagreeable', 'welcoming')",0.06774976,0.031347066,-0.4022628,-0.34990567,0.0114866,-0.0283775,0.0398641
81,-0.35989496,-0.31820807,"('submissive', 'aggressive')",0.39395672,0.5299616,-0.6415486,-0.54173267,-0.2024956,-0.1099931,-0.0925025
59,0.35675067,0.22346973,"('foolish', 'wise')",0.38683596,0.32573348,0.5010134,0.47088575,0.4148667,0.3400296,0.0748371
