,pulte_male,pulte_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.3305635,-1.955074,"('uninfluential', 'influential')",0.0287337,0.0062157214,-0.33469704,-0.31570908,-0.8788423,-0.7548558,-0.1239865
57,-2.062261,-1.7813038,"('unimaginative', 'imaginative')",-0.56996727,-0.7401873,-2.3797438,-2.510405,-1.6706575,-1.6772987,0.0066412
10,-2.0138485,-1.5062686,"('unsympathetic', 'sympathetic')",0.50618863,0.33214563,-0.15080164,-0.14001028,-0.5528205,-0.4380444,-0.1147761
9,-2.0022476,-1.5539532,"('unaffectionate', 'caring')",-0.06933805,0.05071951,1.0271904,1.1339564,-0.3481317,-0.1230924,-0.2250393
45,-1.8865008,-1.4764925,"('incompetent', 'competent')",0.27005047,0.36666748,-0.67373586,-0.50338644,-0.7633954,-0.5377371,-0.2256583
0,-1.7809153,-1.4059767,"('unsociable', 'sociable')",0.6803199,0.63969344,-0.58831376,-0.6170431,-0.5629697,-0.4611088,-0.1018609
1,-1.7557191,-1.402111,"('unfriendly', 'friendly')",-0.43339592,-0.26520067,1.5213422,1.5657516,-0.222591,-0.0338534,-0.1887376
28,-1.6865196,-1.3262914,"('disloyal', 'loyal')",-0.030066788,0.018189998,0.4380765,0.54622746,-0.42617,-0.253958,-0.172212
53,-1.6158768,-1.3319683,"('uncreative', 'creative')",-0.23454061,-0.23018613,0.7330095,0.8320146,-0.3724693,-0.2433799,-0.1290894
69,1.5802997,1.3858879,"('lazy', 'industrious')",-0.33902097,-0.11677711,-0.36365786,-0.3453208,0.2925403,0.30793,-0.0153897
48,-1.4428029,-1.3759761,"('unintelligent', 'intelligent')",0.34596506,0.21114002,0.59776783,0.66444564,-0.1663567,-0.1667968,0.0004401
8,-1.4002242,-1.0793849,"('unaffectionate', 'affectionate')",-0.38830054,-0.20739812,0.37789208,0.5166052,-0.4702109,-0.2567259,-0.213485
55,-1.3027188,-1.0232128,"('incompetent', 'clever')",1.4438105,1.2465926,-0.025527077,-0.04358261,0.0385215,0.0599324,-0.0214109
11,-1.2703365,-1.0912728,"('unhelpful', 'helpful')",0.0016668588,-0.12753934,2.032929,1.9346087,0.2547531,0.2385988,0.0161543
3,-1.254039,-1.1972351,"('repellent', 'pleasant')",0.69493544,0.58648306,0.046123587,-0.007509511,-0.1709933,-0.2060872,0.0350939
12,-1.2450294,-0.9105606,"('unsupportive', 'supportive')",0.9369668,1.0144624,-1.3628179,-1.3369116,-0.5569602,-0.4110033,-0.1459569
23,-1.2304194,-1.054727,"('insincere', 'sincere')",0.6850455,0.57059073,5.654323,5.668487,1.7029831,1.728117,-0.0251339
35,1.2094971,1.3714342,"('corrupt', 'incorrupt')",-2.257997,-1.9335014,-0.6037109,-0.40145224,-0.5507369,-0.3211731,-0.2295638
46,-1.1395825,-0.9001287,"('uncompetitive', 'competitive')",1.7343185,1.5884298,-0.37812674,-0.5150244,0.0722031,0.0577589,0.0144442
73,1.1350076,1.120453,"('helpless', 'self-reliant')",-0.016384032,0.019138917,-3.1979284,-3.1301057,-0.6931016,-0.6635046,-0.029597
26,-1.0518492,-0.921114,"('hardhearted', 'benevolent')",1.0466598,1.1004051,1.5207698,1.4813789,0.5051935,0.5535567,-0.0483632
43,-1.020108,-0.7811534,"('irresponsible', 'responsible')",1.2359537,1.1338888,0.67996013,0.61744213,0.2986019,0.3233925,-0.0247906
88,-0.98853546,-0.8040982,"('low', 'eminent')",-1.2222853,-1.1178874,0.06616888,0.13564986,-0.714884,-0.5954452,-0.1194388
62,-0.98379195,-0.5810781,"('incompetent', 'brilliant')",1.0915062,1.1554096,0.2810828,0.49098918,0.129599,0.3551069,-0.2255079
67,0.9773916,0.89126754,"('doubtful', 'determined')",0.6205592,0.7082771,-0.29688877,-0.1374977,0.4336874,0.487349,-0.0536616
61,-0.94019717,-0.9593495,"('illogical', 'logical')",0.06341985,-0.05117897,0.26172763,0.22042027,-0.2050166,-0.2633694,0.0583528
78,-0.9293112,-0.4982156,"('nonresilient', 'resilient')",0.83552575,1.0160029,0.42267114,0.46517584,0.1096286,0.3276544,-0.2180258
14,-0.9071984,-0.7699222,"('antisocial', 'social')",1.9705434,1.9702365,-0.5289685,-0.52195156,0.1781255,0.2261209,-0.0479954
41,-0.90205777,-0.43014672,"('unforgiving', 'forgiving')",0.52826935,0.6152872,0.21950176,0.25201175,-0.0514289,0.1457174,-0.1971463
44,0.89313257,0.44335705,"('prejudiced', 'unprejudiced')",-0.34325698,-0.5230568,-1.429298,-1.6339867,-0.2931408,-0.5712288,0.278088
24,-0.874652,-0.48254618,"('dishonest', 'honest')",0.24189019,0.38386083,0.51647735,0.7910595,-0.0387615,0.2307914,-0.2695529
84,0.86268115,0.83880633,"('inferior', 'superior')",0.3054073,0.3851013,0.9666964,1.0501337,0.7115949,0.7580137,-0.0464188
