,becton_male,becton_female,tuple,dickinson_male,dickinson_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
9,-2.4190207,-2.0808535,"('unaffectionate', 'caring')",-0.16265017,0.20181458,0.32730433,0.6224737,0.80104977,1.1594435,-0.3633292,-0.0242804,-0.3390488
1,-2.3797498,-2.0792043,"('unfriendly', 'friendly')",-1.5011895,-0.86318636,0.018523987,0.61033076,0.7478141,1.1363469,-0.7786503,-0.2989282,-0.4797221
44,2.2841437,1.7276939,"('prejudiced', 'unprejudiced')",-1.6389272,-1.7190661,-1.4080733,-1.7684313,-1.4884663,-1.5814556,-0.5628308,-0.8353148,0.272484
8,-2.2350926,-2.21046,"('unaffectionate', 'affectionate')",0.009634377,0.12466131,0.56699145,0.84582675,0.63225514,1.0930363,-0.2565529,-0.0367339,-0.219819
28,-2.0531003,-1.7630881,"('disloyal', 'loyal')",-0.36919564,-0.20749563,0.2670368,0.11374478,0.65956455,0.5765725,-0.3739237,-0.3200666,-0.0538571
48,-2.0496879,-1.7709084,"('unintelligent', 'intelligent')",0.17741129,0.2735824,-0.5633638,-0.43084973,-1.3211632,-1.169738,-0.9392009,-0.7744784,-0.1647225
53,-1.908128,-1.889838,"('uncreative', 'creative')",-0.096025854,-0.022606976,0.56278366,0.7554651,1.2322878,1.2031014,-0.0522706,0.0115304,-0.063801
77,-1.8327558,-1.5887208,"('unmotivated', 'motivated')",-0.24522762,-0.17427652,-0.19722363,-0.17188887,-0.24376555,-0.4897614,-0.6297432,-0.6061619,-0.0235813
23,-1.7588919,-1.566987,"('insincere', 'sincere')",0.31943983,0.49582604,-0.2860614,-0.29602587,5.1310754,4.841339,0.8513905,0.868538,-0.0171475
32,-1.7391313,-1.4376541,"('unkind', 'kind')",-0.66785455,-0.25204837,0.1981302,0.37260264,0.6827028,0.8722067,-0.3815382,-0.1112233,-0.2703149
86,-1.6929517,-1.0775228,"('uninfluential', 'influential')",1.4887644,1.5294473,0.4282307,0.57604885,-0.75009435,-0.5886339,-0.1315127,0.1098349,-0.2413476
73,1.6426948,1.4977244,"('helpless', 'self-reliant')",1.2715548,1.1174877,-0.4326808,-0.35245636,-3.7366781,-3.4191477,-0.3137773,-0.289098,-0.0246793
10,-1.552416,-1.144348,"('unsympathetic', 'sympathetic')",0.40722144,0.5563462,0.22064328,0.13447763,0.85286963,0.88778955,-0.0179204,0.1085663,-0.1264867
57,-1.541545,-1.6835775,"('unimaginative', 'imaginative')",0.45460662,0.15882345,0.2832405,0.10194957,-2.3397174,-2.3491795,-0.7858538,-0.942996,0.1571422
25,-1.5041782,-1.4277823,"('egoistic', 'altruistic')",-1.3177358,-1.1984215,-0.16433911,0.09211327,0.6081363,0.51409906,-0.5945292,-0.5049978,-0.0895314
0,-1.4953103,-1.3457254,"('unsociable', 'sociable')",0.8401425,0.94970983,1.1105084,0.85947186,0.4246787,0.36705175,0.2200048,0.207627,0.0123778
7,-1.3564545,-0.8835815,"('insensitive', 'sensitive')",1.7169385,1.8418418,0.12026848,0.15174781,0.18003353,0.24654032,0.1651965,0.3391371,-0.1739406
18,-1.31884,-0.9182218,"('disagreeable', 'welcoming')",-0.65952086,-0.4088503,0.43924537,0.6606363,-1.1840056,-0.9556189,-0.6807803,-0.4055137,-0.2752666
72,-1.2449187,-0.7938722,"('unambitious', 'ambitious')",0.47750345,0.69870895,-0.60456675,-0.42913067,-1.2113037,-1.1666994,-0.6458215,-0.4227483,-0.2230732
60,-1.1661161,-0.8365016,"('inefficient', 'efficient')",1.5526563,1.7208363,0.22182816,0.01098115,0.2395604,0.16626003,0.2119822,0.265394,-0.0534118
88,-1.1163245,-0.6405662,"('low', 'eminent')",-0.6932839,-0.4074924,-0.094251424,0.10491379,-0.9819236,-0.8182772,-0.7214459,-0.4403555,-0.2810904
85,-1.1129557,-1.1711346,"('insignificant', 'prestigious')",-2.000934,-1.8882743,0.50875103,0.77542377,-0.64996415,-0.5166148,-0.8137757,-0.70015,-0.1136257
26,-1.1077518,-0.8257542,"('hardhearted', 'benevolent')",0.17231752,0.35848916,2.7967994,3.0087378,1.3549794,1.728189,0.8040861,1.0674155,-0.2633294
52,-1.0637324,-0.7951628,"('irrational', 'rational')",-1.6357288,-1.2759681,-0.22227702,0.2547775,-0.80692834,-0.60390466,-0.9321666,-0.6050645,-0.3271021
40,-1.0191557,-0.80804986,"('stingy', 'generous')",0.020289123,0.20310691,-0.60760057,-0.35757372,-2.7202263,-2.547392,-1.0816734,-0.8774772,-0.2041962
12,-1.018204,-0.70862436,"('unsupportive', 'supportive')",1.1932564,1.2526424,0.85712576,1.0336716,-1.9326304,-1.535619,-0.2251131,0.0105177,-0.2356308
61,-0.96988595,-0.92875427,"('illogical', 'logical')",0.09290494,0.096139506,0.6557653,0.58280295,-0.3075977,-0.30123726,-0.1322034,-0.1377623,0.0055589
41,-0.86502105,-0.87435246,"('unforgiving', 'forgiving')",-0.25051612,-0.14809035,0.107414216,0.066211656,-0.054078557,0.018602856,-0.2655504,-0.2344071,-0.0311433
55,-0.858128,-0.5524358,"('incompetent', 'clever')",2.035972,2.0892825,0.5299022,0.37296513,-0.5936357,-0.3829581,0.2785276,0.3817134,-0.1031858
78,-0.83283806,-0.8554911,"('nonresilient', 'resilient')",-0.44582915,-0.27243197,0.35677126,0.35040078,1.3549868,1.11834,0.1082727,0.0852045,0.0230682
35,0.83201784,0.31055132,"('corrupt', 'incorrupt')",-1.5545882,-1.8428152,-0.5073189,-0.44219577,-0.6354356,-0.67936623,-0.4663312,-0.6634564,0.1971252
75,0.819866,0.5452542,"('meek', 'impulsive')",-0.8399275,-1.0058467,-0.59288293,-0.5036427,-0.10416668,-0.16114268,-0.1792778,-0.2813445,0.1020667
62,-0.7753827,-0.5735038,"('incompetent', 'brilliant')",1.0533843,1.2077901,-0.28114486,-0.38975653,-0.4244708,-0.2187286,-0.1069035,0.0064503,-0.1133538
67,0.7668342,1.2164255,"('doubtful', 'determined')",0.557928,0.601861,0.88776475,1.0311747,-0.12008837,-0.09582323,0.5231097,0.6884094,-0.1652997
42,0.76205325,0.87310195,"('unreliable', 'reliable')",0.6953815,0.6629476,0.83586717,0.7474358,-2.6803765,-2.3722668,-0.0967686,-0.0221953,-0.0745733
63,-0.76052177,-0.7993907,"('unperceptive', 'insightful')",0.6949978,0.6709337,1.1593702,1.2218031,0.4341839,0.66378933,0.3820075,0.4392838,-0.0572763
16,-0.7370393,-0.8509083,"('unpopular', 'popular')",-2.2992368,-2.1296122,-0.22007157,-0.07069884,0.0640983,0.044445083,-0.7980623,-0.7516935,-0.0463688
64,0.7175487,0.95961124,"('shy', 'confident')",0.7764609,0.7624169,0.22876069,0.0030409247,-5.448181,-5.1222444,-0.9313527,-0.8492938,-0.0820589
69,0.717521,0.83635706,"('lazy', 'industrious')",-0.15173358,-0.22546276,0.33310312,0.55392617,-0.8124013,-0.7905991,0.0216223,0.0935553,-0.071933
80,0.69631946,0.4007004,"('dominated', 'dominating')",1.3505777,1.1617031,0.04672745,-0.34420058,-0.6014323,-0.8901718,0.3730481,0.0820078,0.2910403
38,-0.64949083,-0.5369175,"('untruthful', 'truthful')",-0.91951746,-0.6009593,-0.83823055,-0.7150022,0.32731843,0.41544092,-0.5199801,-0.3593595,-0.1606206
46,-0.6269833,-0.76365507,"('uncompetitive', 'competitive')",1.0347649,0.8046583,0.83866394,0.4977879,0.7770608,0.66025686,0.5058766,0.299762,0.2061146
68,0.61680454,0.8487582,"('dependent', 'independent')",-0.6432319,-0.3808955,-0.7340168,-0.5759154,-1.7566291,-1.580973,-0.6292683,-0.4222564,-0.2070119
11,-0.5883951,-0.61641896,"('unhelpful', 'helpful')",0.92974246,0.7906419,-0.39868104,-0.6044828,2.6192682,2.5201843,0.6404836,0.5224811,0.1180025
22,0.5256163,0.2611024,"('untrustworthy', 'trustworthy')",0.79527664,0.65551496,-0.014680963,-0.23442161,-1.1377269,-0.97666764,0.0421213,-0.073618,0.1157393
24,-0.52419853,-0.1738469,"('dishonest', 'honest')",0.0818302,0.3737676,0.21781002,0.330133,0.35582313,0.5498023,0.0328162,0.269964,-0.2371478
27,-0.49777052,-0.09835015,"('hardhearted', 'softhearted')",-0.83942586,-0.584733,-0.65392447,-0.25327018,0.063238904,0.2819029,-0.4819705,-0.1636126,-0.3183579
79,0.47669935,0.24622008,"('wavering', 'unwavering')",-1.5175738,-1.5874836,0.20616335,0.31800607,0.218778,-0.01228676,-0.1539833,-0.2588861,0.1049028
33,-0.4729944,-0.054575898,"('wrong', 'right')",0.029235106,0.25264972,0.18747719,0.59915036,-1.3424828,-1.1659919,-0.3996912,-0.0921919,-0.3074993
30,0.44427904,0.80779463,"('intolerant', 'tolerant')",1.8045698,2.0014036,0.68009806,0.63658744,-0.026592478,0.27440414,0.7255886,0.9300474,-0.2044588
87,0.44217655,0.35160843,"('unsuccessful', 'successful')",0.25435603,-0.05801234,1.8893625,1.7617484,0.50880605,0.37431872,0.7736753,0.6074158,0.1662595
21,-0.4307803,-0.11437969,"('immoral', 'moral')",-0.042194776,0.031230386,-0.049287274,-0.104342245,-1.3696173,-1.141743,-0.4729699,-0.3323086,-0.1406613
43,-0.42264333,-0.3459083,"('irresponsible', 'responsible')",1.3859116,1.4482305,0.32630983,0.15249501,0.5890254,0.76149356,0.4696509,0.5040777,-0.0344268
6,-0.4126382,-0.35406172,"('distant', 'open')",-0.9674744,-0.85413456,0.13304207,0.4830356,-0.39781293,-0.16372211,-0.4112209,-0.2222207,-0.1890002
17,-0.39140603,-0.37610042,"('nasty', 'nice')",-0.5493766,-0.6881435,0.06780135,0.12399344,-0.44980666,-0.48410967,-0.330697,-0.35609,0.025393
83,-0.38063675,-0.4328736,"('powerless', 'powerful')",-0.12194032,-0.16004604,0.199447,0.057149403,-1.0867563,-1.1297637,-0.3474716,-0.4163835,0.0689119
