,hasbro_male,hasbro_female,tuple,inc_male,inc_female,average_male,average_female,male-female
57,-1.790141,-1.617402,"('unimaginative', 'imaginative')",-2.822171,-2.6534333,-2.3061559,-2.1354177,-0.1707382
22,-1.3050352,-1.1956279,"('untrustworthy', 'trustworthy')",-1.2510124,-1.1042994,-1.2780238,-1.1499636,-0.1280602
0,-1.1050733,-1.0673544,"('unsociable', 'sociable')",-0.37097776,-0.3886609,-0.7380255,-0.7280077,-0.0100178
20,-1.0599821,-1.0092924,"('rough', 'thoughtful')",0.9823664,0.9991012,-0.0388078,-0.0050956,-0.0337122
53,-1.0584295,-1.1713855,"('uncreative', 'creative')",0.6369109,0.7095985,-0.2107593,-0.2308935,0.0201342
10,-1.0574646,-0.8454464,"('unsympathetic', 'sympathetic')",0.084471025,0.102763474,-0.4864968,-0.3713415,-0.1151553
86,-0.95039153,-0.88011605,"('uninfluential', 'influential')",0.0048592836,0.098040625,-0.4727661,-0.3910377,-0.0817284
18,-0.93575513,-0.91798764,"('disagreeable', 'welcoming')",-0.88937813,-0.7369671,-0.9125667,-0.8274773,-0.0850894
31,-0.875034,-0.8507176,"('evil', 'good')",-1.6807846,-1.67575,-1.2779093,-1.2632338,-0.0146755
72,-0.8267045,-0.86867756,"('unambitious', 'ambitious')",-0.7326084,-0.82884514,-0.7796564,-0.8487613,0.0691049
58,-0.816905,-0.85441196,"('undiscriminating', 'discriminating')",0.09196776,0.08763742,-0.3624686,-0.3833873,0.0209187
28,-0.77219665,-0.7440652,"('disloyal', 'loyal')",0.66644907,0.64328444,-0.0528738,-0.0503904,-0.0024834
68,-0.69945616,-0.8312906,"('dependent', 'independent')",0.19043088,-0.012885829,-0.2545126,-0.4220882,0.1675756
87,0.6328981,0.6006758,"('unsuccessful', 'successful')",1.0099137,0.92462426,0.8214059,0.76265,0.0587559
38,-0.628053,-0.5139976,"('untruthful', 'truthful')",0.51578915,0.41621292,-0.0561319,-0.0488923,-0.0072396
75,0.6171612,0.48880452,"('meek', 'impulsive')",-0.3020768,-0.3995041,0.1575422,0.0446502,0.112892
45,-0.6030445,-0.4298111,"('incompetent', 'competent')",-0.117924035,-0.1340403,-0.3604843,-0.2819257,-0.0785586
74,-0.5993159,-0.5765058,"('undedicated', 'dedicated')",-0.12813139,-0.008777425,-0.3637236,-0.2926416,-0.071082
79,-0.57541454,-0.60156476,"('wavering', 'unwavering')",0.20528845,0.07187375,-0.185063,-0.2648455,0.0797825
51,-0.5598508,-0.6028774,"('uneducated', 'educated')",1.2147424,1.2125727,0.3274458,0.3048477,0.0225981
19,-0.5579792,-0.5892452,"('inhospitable', 'hospitable')",-0.059585795,0.064138986,-0.3087825,-0.2625531,-0.0462294
71,0.5469568,0.42304188,"('diffident', 'self-confident')",0.33680958,0.42660117,0.4418832,0.4248215,0.0170617
14,-0.53808177,-0.3820176,"('antisocial', 'social')",-0.75881815,-0.67201275,-0.64845,-0.5270152,-0.1214348
67,0.52000433,0.54825,"('doubtful', 'determined')",-0.57583064,-0.48296717,-0.0279132,0.0326414,-0.0605546
1,-0.5040336,-0.6217715,"('unfriendly', 'friendly')",1.3748884,1.3952625,0.4354274,0.3867455,0.0486819
34,0.5030046,0.49220288,"('mean', 'honorable')",6.631012,6.4717574,3.5670083,3.4819801,0.0850282
80,-0.49511617,-0.24518046,"('dominated', 'dominating')",-1.1643894,-1.1015309,-0.8297528,-0.6733557,-0.1563971
81,0.4902894,0.63360316,"('submissive', 'aggressive')",-0.021881104,-0.13543423,0.2342041,0.2490845,-0.0148804
63,-0.4773304,-0.32577434,"('unperceptive', 'insightful')",1.76862,1.7118485,0.6456448,0.6930371,-0.0473923
82,0.45830378,0.34728697,"('poor', 'rich')",6.68496,6.5837874,3.5716319,3.4655373,0.1060946
41,-0.45761,-0.261927,"('unforgiving', 'forgiving')",-0.41777897,-0.277126,-0.4376945,-0.2695265,-0.168168
60,0.4499847,0.61545473,"('inefficient', 'efficient')",0.84114784,0.8259228,0.6455663,0.7206888,-0.0751225
73,0.43649873,0.50314057,"('helpless', 'self-reliant')",-3.4939187,-3.378292,-1.52871,-1.4375758,-0.0911342
62,0.43637162,0.6716261,"('incompetent', 'brilliant')",0.9858972,0.92548716,0.7111344,0.7985566,-0.0874222
42,-0.43597668,-0.3805105,"('unreliable', 'reliable')",-3.3776555,-3.1177955,-1.9068161,-1.749153,-0.1576631
27,0.43360025,0.5022518,"('hardhearted', 'softhearted')",1.1675512,1.2475097,0.8005757,0.8748808,-0.0743051
13,-0.4146777,-0.18557686,"('impolite', 'polite')",0.05375777,0.08844324,-0.18046,-0.0485668,-0.1318932
55,-0.41120052,-0.33789998,"('incompetent', 'clever')",0.22010599,0.20954528,-0.0955473,-0.0641773,-0.03137
59,0.41035852,0.34349513,"('foolish', 'wise')",0.16882804,0.14630252,0.2895933,0.2448988,0.0446945
70,-0.40996274,-0.19381873,"('lethargic', 'energetic')",0.963994,1.1105185,0.2770156,0.4583499,-0.1813343
6,-0.39206094,-0.51374376,"('distant', 'open')",-0.28593624,-0.22133857,-0.3389986,-0.3675412,0.0285426
65,-0.37086457,-0.29653782,"('insecure', 'secure')",-0.2528867,-0.28234458,-0.3118756,-0.2894412,-0.0224344
48,0.35701334,0.212109,"('unintelligent', 'intelligent')",1.1391401,1.0268459,0.7480767,0.6194775,0.1285992
43,-0.35249162,-0.058866303,"('irresponsible', 'responsible')",0.60406667,0.90790045,0.1257875,0.4245171,-0.2987296
77,-0.35087758,-0.3440114,"('unmotivated', 'motivated')",-0.63749444,-0.80803126,-0.494186,-0.5760213,0.0818353
8,-0.32979426,-0.422634,"('unaffectionate', 'affectionate')",-0.04841193,0.1343591,-0.1891031,-0.1441374,-0.0449657
3,-0.32191542,-0.08632338,"('repellent', 'pleasant')",0.17476319,0.2046779,-0.0735761,0.0591773,-0.1327534
2,0.3205756,0.3485481,"('unlikable', 'likable')",0.09768534,0.28515548,0.2091305,0.3168518,-0.1077213
88,-0.31442767,-0.4358013,"('low', 'eminent')",0.34045467,0.39923066,0.0130135,-0.0182853,0.0312988
36,-0.29884508,-0.60105044,"('hostile', 'amicable')",-0.4415804,-0.5047819,-0.3702127,-0.5529162,0.1827035
17,-0.29254857,-0.31224364,"('nasty', 'nice')",-0.5626734,-0.526168,-0.427611,-0.4192058,-0.0084052
64,-0.288617,-0.13526672,"('shy', 'confident')",-6.602868,-6.565099,-3.4457426,-3.3501828,-0.0955598
61,-0.27361676,-0.28979665,"('illogical', 'logical')",0.22761469,0.25882939,-0.023001,-0.0154836,-0.0075174
7,-0.2533287,-0.053071767,"('insensitive', 'sensitive')",0.8522162,1.0015143,0.2994437,0.4742213,-0.1747776
69,0.25022402,0.25024673,"('lazy', 'industrious')",-0.870063,-0.8148943,-0.3099195,-0.2823238,-0.0275957
49,0.24387263,0.07539301,"('unable', 'able')",-0.18120511,-0.21482968,0.0313338,-0.0697183,0.1010521
24,0.23411605,0.30244607,"('dishonest', 'honest')",0.9031543,0.97398573,0.5686352,0.6382159,-0.0695807
83,0.19751266,0.10947144,"('powerless', 'powerful')",-0.893134,-0.981517,-0.3478107,-0.4360228,0.0882121
23,-0.19400066,-0.04691898,"('insincere', 'sincere')",6.421102,6.357708,3.1135507,3.1553946,-0.0418439
