,block_male,block_female,tuple,h_male,h_female,&_male,&_female,r_male,r_female,inc_male,inc_female,average_male,average_female,male-female
39,2.1719708,2.094116,"('exploitative', 'cooperative')",0.602495,0.4834636,-0.1515376,-0.08116484,-0.08502993,-0.1285429,-0.006604716,0.06809078,0.5062587,0.4871925,0.0190662
16,-2.0462592,-1.7580011,"('unpopular', 'popular')",-0.14598571,0.04561572,0.41132683,0.47341287,0.26101595,0.43123052,0.7118262,0.8085841,-0.1616152,0.0001684,-0.1617836
56,1.9616898,1.9426602,"('impractical', 'practical')",0.10818714,0.2978072,-0.5743474,-0.40165085,1.6032223,1.6629243,-0.52494556,-0.30246145,0.5147613,0.6398559,-0.1250946
4,-1.9419678,-1.2873995,"('disliked', 'liked')",0.25400686,0.46564317,-0.26776803,-0.18559758,-0.3228558,-0.20790938,-6.577387,-6.32216,-1.7711943,-1.5074846,-0.2637097
60,1.8499812,1.5115224,"('inefficient', 'efficient')",0.33632866,0.28269255,0.12906504,0.096278235,2.5336342,2.485355,-0.18129018,-0.0509288,0.9335438,0.8649838,0.06856
72,1.7958413,1.6054281,"('unambitious', 'ambitious')",-0.06742869,-0.1989369,-0.6196827,-0.57196635,0.34418726,0.30641913,-0.6322963,-0.5453713,0.1641242,0.1191145,0.0450097
36,-1.7911998,-1.7383164,"('hostile', 'amicable')",-0.46476525,-0.5442774,-0.6900644,-0.8653288,-1.5874331,-1.5808738,0.5034701,0.3721757,-0.8059985,-0.8713242,0.0653257
6,-1.6931932,-1.7807319,"('distant', 'open')",0.72915804,0.6005695,1.0440772,0.8591308,-0.6482612,-0.7445391,0.78012115,0.6621196,0.0423804,-0.0806902,0.1230706
62,1.6698822,1.700093,"('incompetent', 'brilliant')",0.6847303,0.8886418,-0.69438875,-0.5525012,2.3034167,2.3481798,0.26111683,0.4142,0.8449514,0.9597227,-0.1147713
35,-1.655567,-1.3946145,"('corrupt', 'incorrupt')",0.25034356,0.4068253,-0.6185097,-0.43124068,-1.7275225,-1.5478114,-0.26380718,-0.27016044,-0.8030126,-0.6474003,-0.1556123
65,1.6307659,1.4377338,"('insecure', 'secure')",-0.8365721,-1.0060768,0.127285,0.023528883,-0.17333609,-0.2601528,-0.5901158,-0.63325924,0.0316054,-0.0876452,0.1192506
85,-1.6241269,-1.4387653,"('insignificant', 'prestigious')",-0.22812012,-0.3109951,0.7959148,0.67038745,-0.8727732,-0.9360845,1.241477,1.1550514,-0.1375257,-0.1720812,0.0345555
5,-1.610019,-1.5451256,"('distant', 'outgoing')",0.715739,0.75510263,0.5064922,0.51224416,-0.012968913,-0.011298187,0.17606369,0.18519628,-0.0449386,-0.0207761,-0.0241625
81,1.6092157,1.4260342,"('submissive', 'aggressive')",0.1876705,0.45714527,-0.17190823,-0.09842401,1.4234759,1.5290841,-1.0179241,-0.91548264,0.4061059,0.4796714,-0.0735655
43,1.4797039,1.3587297,"('irresponsible', 'responsible')",0.21216767,0.1650564,-0.24102247,-0.262563,1.7272595,1.5508131,0.8371779,0.88716125,0.8030573,0.7398395,0.0632178
69,-1.4653785,-1.3214076,"('lazy', 'industrious')",0.4971141,0.6460935,0.8349784,1.0126729,-0.66694784,-0.456643,-0.3845358,-0.2847684,-0.2369539,-0.0808105,-0.1561434
67,1.4514124,1.5814574,"('doubtful', 'determined')",0.5482361,0.68688893,0.24569148,0.4569112,0.4007458,0.5707123,-0.7430261,-0.5230853,0.380612,0.5545769,-0.1739649
79,-1.404736,-1.0765424,"('wavering', 'unwavering')",-0.67529255,-0.57884246,-0.12511162,-0.19379616,-0.56737036,-0.5373392,0.25864697,0.21712963,-0.5027727,-0.4338781,-0.0688946
31,-1.3974966,-1.3216636,"('evil', 'good')",-0.8315017,-1.0054706,-0.026202373,-0.1040138,-1.472395,-1.5463378,-0.45337287,-0.67554265,-0.8361937,-0.9306057,0.094412
80,1.254033,1.122531,"('dominated', 'dominating')",-0.16083473,-0.008809023,-0.7863438,-0.7593844,0.25922027,0.2594974,-1.7625283,-1.6637754,-0.2392907,-0.2099881,-0.0293026
7,1.2475768,1.2568942,"('insensitive', 'sensitive')",-0.16783716,-0.17731982,-0.4288745,-0.48539943,0.8222017,0.743987,0.81149805,0.9099205,0.456913,0.4496165,0.0072965
