,convergys_male,convergys_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.0904667,-2.2989984,"('unfriendly', 'friendly')",1.626935,1.5480013,-0.2317659,-0.3754985,0.1437326
9,-1.9124892,-1.9990649,"('unaffectionate', 'caring')",1.0699966,1.0012339,-0.4212463,-0.4989155,0.0776692
8,-1.8855367,-2.0629444,"('unaffectionate', 'affectionate')",0.59762967,0.48464033,-0.6439535,-0.789152,0.1451985
86,-1.8421584,-2.2442896,"('uninfluential', 'influential')",-0.12916519,-0.6490777,-0.9856618,-1.4466836,0.4610218
28,-1.6952096,-1.5120796,"('disloyal', 'loyal')",0.78321415,1.1555998,-0.4559977,-0.1782399,-0.2777578
44,1.5212767,1.6695248,"('prejudiced', 'unprejudiced')",-1.4273365,-1.3060509,0.0469701,0.1817369,-0.1347668
10,-1.4353989,-1.3496721,"('unsympathetic', 'sympathetic')",-0.28787702,-0.48085758,-0.8616379,-0.9152648,0.0536269
53,-1.4200544,-1.5789068,"('uncreative', 'creative')",0.7040384,0.5278106,-0.358008,-0.5255481,0.1675401
39,1.3065088,1.4549457,"('exploitative', 'cooperative')",0.2778057,0.27493006,0.7921572,0.8649379,-0.0727807
36,-1.238415,-1.3030401,"('hostile', 'amicable')",-0.013417803,0.09582622,-0.6259164,-0.6036069,-0.0223095
69,1.1742235,0.93488,"('lazy', 'industrious')",-0.53850406,-0.64604294,0.3178597,0.1444185,0.1734412
54,-1.1432296,-1.0711845,"('incapable', 'capable')",0.49066925,0.67916346,-0.3262802,-0.1960105,-0.1302697
0,-1.049634,-1.0362234,"('unsociable', 'sociable')",0.041084193,0.010884674,-0.5042749,-0.5126694,0.0083945
38,-0.97728944,-0.8723087,"('untruthful', 'truthful')",-0.5511889,-0.2812429,-0.7642392,-0.5767758,-0.1874634
24,-0.9696952,-0.9778148,"('dishonest', 'honest')",0.40448782,0.45226777,-0.2826037,-0.2627735,-0.0198302
78,-0.9483244,-1.0565192,"('nonresilient', 'resilient')",0.21874034,-0.09815438,-0.364792,-0.5773368,0.2125448
80,0.946469,1.016628,"('dominated', 'dominating')",-0.8907584,-1.0868914,0.0278553,-0.0351317,0.062987
73,0.916002,0.8351596,"('helpless', 'self-reliant')",-3.1902504,-3.600122,-1.1371242,-1.3824812,0.245357
23,-0.9084388,-0.60551697,"('insincere', 'sincere')",5.423148,5.7869425,2.2573547,2.5907128,-0.3333581
45,-0.903455,-0.77641803,"('incompetent', 'competent')",-0.060755476,-0.14666638,-0.4821053,-0.4615422,-0.0205631
6,-0.8955649,-1.4405196,"('distant', 'open')",-0.52145755,-0.9437117,-0.7085112,-1.1921157,0.4836045
84,0.8805504,0.721712,"('inferior', 'superior')",1.1771473,1.0932342,1.0288489,0.9074731,0.1213758
67,0.87766784,0.85810244,"('doubtful', 'determined')",-0.5306781,-0.47119632,0.1734949,0.1934531,-0.0199582
19,-0.84444535,-0.89571995,"('inhospitable', 'hospitable')",-0.45610714,-0.48551187,-0.6502762,-0.6906159,0.0403397
46,-0.84210306,-0.67257375,"('uncompetitive', 'competitive')",-1.0261546,-0.97978556,-0.9341289,-0.8261796,-0.1079493
42,0.83757275,0.77031755,"('unreliable', 'reliable')",-3.220419,-3.553362,-1.1914231,-1.3915222,0.2000991
48,-0.8027119,-0.89661664,"('unintelligent', 'intelligent')",1.0812781,0.87841547,0.1392831,-0.0091006,0.1483837
79,-0.8021896,-0.79428786,"('wavering', 'unwavering')",-0.48120278,-0.5959656,-0.6416962,-0.6951268,0.0534306
72,-0.72041684,-0.6904647,"('unambitious', 'ambitious')",-0.6605922,-0.79552484,-0.6905046,-0.7429948,0.0524902
