,parker_male,parker_female,tuple,hannifin_male,hannifin_female,corp_male,corp_female,average_male,average_female,male-female
31,-5.2619185,-4.3807783,"('evil', 'good')",-1.0741106,-0.78564394,-1.4256752,-1.4857533,-2.5872348,-2.217392,-0.3698428
35,-4.951691,-4.24422,"('corrupt', 'incorrupt')",-0.1538461,0.25059903,-0.98126775,-1.1458914,-2.0289351,-1.7131707,-0.3157644
85,-4.9300027,-4.3779707,"('insignificant', 'prestigious')",-1.2453256,-1.2147757,-0.84348136,-0.8778621,-2.3396033,-2.1568694,-0.1827339
60,4.6267385,4.252408,"('inefficient', 'efficient')",-0.09701319,-0.15476415,0.7453457,0.89446384,1.758357,1.664036,0.094321
36,-4.5010643,-3.7727444,"('hostile', 'amicable')",-1.1032233,-0.8904977,-0.6679374,-0.7922494,-2.0907416,-1.8184972,-0.2722444
55,4.3141294,3.890876,"('incompetent', 'clever')",0.47712204,0.30186158,0.37709868,0.4960614,1.7227832,1.562933,0.1598502
62,4.154111,3.6532388,"('incompetent', 'brilliant')",0.37717763,0.30302924,0.8179602,0.8839788,1.783083,1.6134156,0.1696674
69,-4.053338,-3.7490568,"('lazy', 'industrious')",0.5495189,0.5766412,-0.627533,-0.77750945,-1.3771175,-1.3166417,-0.0604758
81,3.9896955,3.3541372,"('submissive', 'aggressive')",1.0331163,0.80224645,-0.17775998,-0.15282303,1.6150173,1.3345202,0.2804971
46,3.9640055,3.0648541,"('uncompetitive', 'competitive')",-0.7400592,-1.0130292,-0.45413378,-0.27450937,0.9232709,0.5924385,0.3308324
10,3.7885127,3.1416311,"('unsympathetic', 'sympathetic')",-1.4767934,-1.6463884,-0.036845498,0.05959966,0.7582913,0.5182808,0.2400105
5,-3.721127,-3.1112394,"('distant', 'outgoing')",-1.020415,-0.754355,-0.783999,-0.7434971,-1.8418469,-1.5363638,-0.3054831
6,-3.6698296,-3.1464782,"('distant', 'open')",-1.3211653,-1.0900182,-1.0040954,-1.0251081,-1.9983635,-1.7538681,-0.2444954
52,-3.430425,-2.973629,"('irrational', 'rational')",-0.69384056,-0.6827227,-0.28636852,-0.38981044,-1.4702113,-1.3487207,-0.1214906
79,-3.3602443,-2.7034929,"('wavering', 'unwavering')",-0.79891557,-0.6726284,-0.64958996,-0.7986359,-1.6029166,-1.3915857,-0.2113309
23,3.3574684,3.367309,"('insincere', 'sincere')",-0.9928459,-1.0685903,5.7408,5.6113396,2.7018077,2.6366862,0.0651215
56,3.3366213,3.3634617,"('impractical', 'practical')",0.051326253,0.2860059,-0.32390785,-0.116438165,1.0213466,1.1776765,-0.1563299
75,-3.2514658,-3.0344768,"('meek', 'impulsive')",0.5213689,0.45466006,-0.98403317,-1.0626776,-1.2380433,-1.2141648,-0.0238785
76,3.2497365,2.8861213,"('anxious', 'daring')",0.6014523,0.39861774,0.115299486,0.03843879,1.3221628,1.1077259,0.2144369
80,3.2062047,2.1484056,"('dominated', 'dominating')",0.03637275,-0.12820193,-0.8356729,-0.9402013,0.8023015,0.3600008,0.4423007
21,3.1493008,2.8085363,"('immoral', 'moral')",-0.10853544,-0.30656365,-0.21968246,-0.21457666,0.9403609,0.7624653,0.1778956
0,3.1301978,2.5316951,"('unsociable', 'sociable')",-0.7313693,-0.8472799,-0.20397592,-0.10158088,0.7316175,0.5276115,0.204006
8,-2.9748352,-2.1892653,"('unaffectionate', 'affectionate')",-1.8300588,-1.840357,0.3117138,0.3889274,-1.4977268,-1.2135649,-0.2841619
4,-2.7581375,-2.8412688,"('disliked', 'liked')",-0.4117051,-0.2647136,-7.134259,-6.7329926,-3.4347006,-3.2796583,-0.1550423
70,2.6435947,1.8999755,"('lethargic', 'energetic')",-0.10789369,-0.23668315,0.20279998,0.39259154,0.9128337,0.6852946,0.2275391
65,2.6428206,2.2865703,"('insecure', 'secure')",0.5718933,0.4669566,0.13894299,0.1649996,1.1178856,0.9728422,0.1450434
13,2.6058114,2.4051187,"('impolite', 'polite')",-0.0830759,0.07297993,-0.32689244,-0.27637947,0.7319477,0.7339064,-0.0019587
19,-2.5671766,-2.11031,"('inhospitable', 'hospitable')",-0.80175996,-0.54573774,-1.0272175,-0.8613926,-1.4653846,-1.1724801,-0.2929045
59,-2.555778,-2.2008321,"('foolish', 'wise')",0.40626723,0.3025149,-0.04576151,-0.17470667,-0.7317575,-0.6910079,-0.0407496
14,2.4767466,2.0989187,"('antisocial', 'social')",0.3916186,0.35429528,-0.09834084,-0.0050819926,0.9233415,0.816044,0.1072975
44,-2.3507676,-2.194811,"('prejudiced', 'unprejudiced')",0.6041868,0.5732456,-1.5231655,-1.5938454,-1.0899154,-1.0718036,-0.0181118
51,2.3065119,1.9851379,"('uneducated', 'educated')",-0.18887022,-0.28785917,0.0055781156,0.33173454,0.7077399,0.6763377,0.0314022
16,-2.2743409,-2.294013,"('unpopular', 'popular')",-0.54617184,-0.59712255,0.21753034,-0.010890227,-0.8676608,-0.967342,0.0996812
33,-2.1110187,-1.6197828,"('wrong', 'right')",0.448974,0.65505016,-0.6890397,-0.812706,-0.7836947,-0.5924795,-0.1912152
30,2.079828,2.167766,"('intolerant', 'tolerant')",0.3530875,0.4466226,1.0533973,1.1557844,1.1621043,1.2567244,-0.0946201
86,1.9135282,1.2431,"('uninfluential', 'influential')",-1.7255174,-1.9050163,-0.73328376,-0.6647533,-0.1817576,-0.4422232,0.2604656
7,1.8878111,1.6548213,"('insensitive', 'sensitive')",-0.7239571,-0.83677727,0.40088376,0.40587166,0.5215792,0.4079719,0.1136073
48,1.7799598,1.3413794,"('unintelligent', 'intelligent')",-0.40032247,-0.6827961,1.2205814,1.1492898,0.8667396,0.6026244,0.2641152
3,1.6790794,1.2280732,"('repellent', 'pleasant')",-0.45037222,-0.73910296,0.7946179,0.60277504,0.6744417,0.3639151,0.3105266
66,-1.6305779,-1.6493518,"('inactive', 'active')",-0.34175876,-0.38080752,0.14110012,-0.011929147,-0.6104122,-0.6806962,0.070284
11,1.6144503,1.4751819,"('unhelpful', 'helpful')",-0.3915285,-0.5059467,2.1372604,2.3356977,1.1200608,1.1016443,0.0184165
45,1.5942044,1.2261654,"('incompetent', 'competent')",-0.48893407,-0.42992353,-0.101301305,0.106733814,0.3346564,0.3009919,0.0336645
