,ebay_male,ebay_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.4586763,-2.327617,"('unsympathetic', 'sympathetic')",-0.50078946,-0.12687601,-1.4797329,-1.2272465,-0.2524864
21,-2.030663,-2.0285196,"('immoral', 'moral')",-0.8283982,-0.70137066,-1.4295306,-1.3649452,-0.0645854
51,-1.9602228,-1.7631713,"('uneducated', 'educated')",0.54572964,0.829882,-0.7072466,-0.4666446,-0.240602
85,1.9062872,1.8218586,"('insignificant', 'prestigious')",0.6788139,0.47767016,1.2925506,1.1497644,0.1427862
68,-1.8665257,-1.8388147,"('dependent', 'independent')",-0.5726828,-0.6176041,-1.2196043,-1.2282094,0.0086051
65,-1.7919948,-1.8930647,"('insecure', 'secure')",-0.2704653,-0.14355552,-1.0312301,-1.0183101,-0.01292
36,1.7453029,1.584125,"('hostile', 'amicable')",0.2303163,-0.13744877,0.9878096,0.7233381,0.2644715
45,-1.7211916,-1.7953154,"('incompetent', 'competent')",-0.28542936,-0.39189526,-1.0033104,-1.0936053,0.0902949
6,1.6733656,1.7128603,"('distant', 'open')",0.3462654,0.1307322,1.0098155,0.9217963,0.0880192
86,-1.6718864,-1.691606,"('uninfluential', 'influential')",-0.20545925,-0.20846891,-0.9386728,-0.9500375,0.0113647
22,-1.6004193,-1.5854499,"('untrustworthy', 'trustworthy')",-1.0622252,-0.93708265,-1.3313222,-1.2612662,-0.070056
73,1.5542914,1.5100558,"('helpless', 'self-reliant')",-2.9475935,-3.1310256,-0.696651,-0.8104849,0.1138339
14,-1.5196009,-1.4186461,"('antisocial', 'social')",-0.8094954,-0.64892036,-1.1645482,-1.0337832,-0.130765
81,-1.4906492,-1.2644392,"('submissive', 'aggressive')",-0.88354385,-0.62575257,-1.1870966,-0.9450959,-0.2420007
70,-1.4015317,-1.3691097,"('lethargic', 'energetic')",0.5368748,0.82109535,-0.4323285,-0.2740072,-0.1583213
5,1.399411,1.3800755,"('distant', 'outgoing')",-0.36713517,-0.63194484,0.5161379,0.3740653,0.1420726
35,1.3979295,1.2415888,"('corrupt', 'incorrupt')",-0.289061,-0.52836955,0.5544343,0.3566096,0.1978247
71,1.3006798,1.3022985,"('diffident', 'self-confident')",0.7523976,0.7433731,1.0265387,1.0228359,0.0037028
80,-1.2923297,-1.0685741,"('dominated', 'dominating')",-1.2567465,-0.98441523,-1.274538,-1.0264946,-0.2480434
3,-1.2914315,-1.3664894,"('repellent', 'pleasant')",0.16302834,0.27704746,-0.5642016,-0.544721,-0.0194806
28,-1.2837495,-1.4108855,"('disloyal', 'loyal')",0.7988434,0.7581817,-0.242453,-0.3263519,0.0838989
57,-1.2694919,-1.1995887,"('unimaginative', 'imaginative')",-2.9704235,-2.9527345,-2.1199577,-2.0761616,-0.0437961
30,-1.232489,-1.0571276,"('intolerant', 'tolerant')",0.61152697,0.66220564,-0.310481,-0.197461,-0.11302
69,1.2148485,1.1695303,"('lazy', 'industrious')",-0.96018136,-1.1087652,0.1273336,0.0303825,0.0969511
18,-1.2102394,-1.2428758,"('disagreeable', 'welcoming')",-0.5554881,-0.6739586,-0.8828638,-0.9584172,0.0755534
55,-1.1127353,-1.2068263,"('incompetent', 'clever')",0.47166768,0.47853962,-0.3205338,-0.3641434,0.0436096
23,-1.0903485,-1.0999994,"('insincere', 'sincere')",5.980686,6.2101235,2.445169,2.5550621,-0.1098931
13,-1.0893195,-0.8836437,"('impolite', 'polite')",-0.7206788,-0.48926944,-0.9049991,-0.6864566,-0.2185425
25,1.045326,0.8053726,"('egoistic', 'altruistic')",1.6506867,1.4858524,1.3480064,1.1456125,0.2023939
33,1.0392141,1.029985,"('wrong', 'right')",-0.6831426,-0.9196258,0.1780358,0.0551796,0.1228562
37,-1.0232067,-1.0208497,"('fake', 'genuine')",0.26680553,0.3142299,-0.3782006,-0.3533099,-0.0248907
0,-1.0091906,-0.9286334,"('unsociable', 'sociable')",-0.46750692,-0.41759652,-0.7383487,-0.673115,-0.0652337
77,-0.9703839,-0.9910935,"('unmotivated', 'motivated')",-1.2206831,-1.1106436,-1.0955335,-1.0508685,-0.044665
1,0.9670393,0.81073034,"('unfriendly', 'friendly')",1.7440896,1.383964,1.3555645,1.0973471,0.2582174
15,0.9256591,0.99344945,"('boring', 'funny')",0.13072231,0.0035313796,0.5281907,0.4984904,0.0297003
64,-0.90149444,-0.7979306,"('shy', 'confident')",-7.2556005,-7.213297,-4.0785475,-4.0056138,-0.0729337
8,0.8869483,0.70076245,"('unaffectionate', 'affectionate')",0.7643896,0.49765545,0.8256689,0.599209,0.2264599
9,0.85769874,0.74286044,"('unaffectionate', 'caring')",1.0953951,0.94946295,0.9765469,0.8461617,0.1303852
11,-0.85289496,-0.7595389,"('unhelpful', 'helpful')",1.6674984,1.8838078,0.4073017,0.5621344,-0.1548327
56,-0.82861227,-0.773465,"('impractical', 'practical')",-0.223723,-0.091745585,-0.5261676,-0.4326053,-0.0935623
46,-0.82852936,-0.972684,"('uncompetitive', 'competitive')",-0.46024087,-0.26320958,-0.6443851,-0.6179468,-0.0264383
48,-0.8071104,-0.8793066,"('unintelligent', 'intelligent')",0.6631937,0.65429235,-0.0719584,-0.1125071,0.0405487
82,-0.8007354,-1.0412428,"('poor', 'rich')",6.597299,6.7254386,2.8982818,2.8420978,0.056184
62,-0.79771394,-0.81346196,"('incompetent', 'brilliant')",0.39012384,0.431865,-0.203795,-0.1907985,-0.0129965
49,-0.7649703,-0.8564192,"('unable', 'able')",-0.15202957,-0.08190429,-0.4584999,-0.4691617,0.0106618
16,0.7281689,0.5797483,"('unpopular', 'popular')",0.41339323,0.35580122,0.5707811,0.4677747,0.1030064
43,-0.72211087,-0.7322394,"('irresponsible', 'responsible')",0.4581337,0.609715,-0.1319886,-0.0612622,-0.0707264
87,0.71515244,0.56496567,"('unsuccessful', 'successful')",0.87677974,0.853402,0.7959661,0.7091838,0.0867823
54,0.70477766,0.65296644,"('incapable', 'capable')",1.2631519,1.3239515,0.9839648,0.988459,-0.0044942
32,-0.6848702,-0.5576875,"('unkind', 'kind')",0.6427448,0.81783044,-0.0210627,0.1300715,-0.1511342
24,-0.6840398,-0.6608162,"('dishonest', 'honest')",0.58210135,0.52025396,-0.0509692,-0.0702811,0.0193119
7,-0.6794336,-0.48739284,"('insensitive', 'sensitive')",0.5933202,0.8109431,-0.0430567,0.1617751,-0.2048318
26,0.67788154,0.6803386,"('hardhearted', 'benevolent')",1.5153548,1.3330095,1.0966182,1.0066741,0.0899441
19,-0.631153,-0.5468547,"('inhospitable', 'hospitable')",-0.2445668,-0.18341076,-0.4378599,-0.3651327,-0.0727272
88,-0.61784226,-0.51594526,"('low', 'eminent')",0.05707425,0.032184806,-0.280384,-0.2418802,-0.0385038
41,-0.6177218,-0.6235118,"('unforgiving', 'forgiving')",-0.31162012,-0.5133077,-0.464671,-0.5684097,0.1037387
75,0.5554702,0.5264256,"('meek', 'impulsive')",-0.31468794,-0.36134943,0.1203911,0.0825381,0.037853
83,0.5235458,0.6633565,"('powerless', 'powerful')",-0.5485459,-0.55406994,-0.0125,0.0546433,-0.0671433
27,0.5020034,0.4752223,"('hardhearted', 'softhearted')",1.1513894,0.96183115,0.8266964,0.7185267,0.1081697
67,-0.4858065,-0.23899233,"('doubtful', 'determined')",-0.87832975,-0.81106675,-0.6820681,-0.5250295,-0.1570386
60,-0.48036677,-0.511104,"('inefficient', 'efficient')",0.3018854,0.4423346,-0.0892407,-0.0343847,-0.054856
42,-0.46859607,-0.20043269,"('unreliable', 'reliable')",-3.116301,-2.9312656,-1.7924485,-1.5658492,-0.2265993
76,0.44847265,0.40933067,"('anxious', 'daring')",0.6285089,0.86274654,0.5384908,0.6360386,-0.0975478
34,0.43808058,0.39615077,"('mean', 'honorable')",6.2604375,6.48442,3.3492591,3.4402852,-0.0910261
31,0.4227913,0.39545348,"('evil', 'good')",-1.0713234,-1.4204499,-0.324266,-0.5124982,0.1882322
79,0.4175949,0.418898,"('wavering', 'unwavering')",-0.0039476836,-0.013661586,0.2068236,0.2026182,0.0042054
72,-0.4132157,-0.56124395,"('unambitious', 'ambitious')",-0.54568875,-0.6336882,-0.4794522,-0.5974661,0.1180139
39,0.39877144,0.5222792,"('exploitative', 'cooperative')",0.12872145,0.18732941,0.2637464,0.3548043,-0.0910579
59,0.37018675,0.44792458,"('foolish', 'wise')",0.080557056,-0.013574202,0.2253719,0.2171752,0.0081967
12,-0.33414793,-0.17452218,"('unsupportive', 'supportive')",-1.8723092,-1.8457731,-1.1032286,-1.0101477,-0.0930809
38,-0.3301926,-0.31736138,"('untruthful', 'truthful')",-0.16896477,-0.24445707,-0.2495787,-0.2809092,0.0313305
74,-0.3175434,-0.29774648,"('undedicated', 'dedicated')",0.102391005,0.057941448,-0.1075762,-0.1199025,0.0123263
44,0.28719795,0.060250785,"('prejudiced', 'unprejudiced')",-1.0115173,-1.2054449,-0.3621597,-0.5725971,0.2104374
52,0.28114253,0.19034363,"('irrational', 'rational')",-0.31212994,-0.6237854,-0.0154937,-0.2167209,0.2012272
84,0.26612368,0.25481075,"('inferior', 'superior')",1.0720637,1.0061243,0.6690937,0.6304675,0.0386262
29,-0.22571166,-0.16304845,"('unfair', 'fair')",-0.40506294,-0.48068872,-0.3153873,-0.3218686,0.0064813
66,0.22031532,0.20096123,"('inactive', 'active')",0.695275,0.75650656,0.4577952,0.4787339,-0.0209387
63,-0.19501622,-0.09590511,"('unperceptive', 'insightful')",0.97722256,1.1664485,0.3911032,0.5352717,-0.1441685
50,0.18436679,0.14477623,"('clumsy', 'skillful')",0.2639066,0.42811704,0.2241367,0.2864466,-0.0623099
61,-0.117857255,-0.030427752,"('illogical', 'logical')",0.23464489,0.1775727,0.0583938,0.0735725,-0.0151787
58,0.10462278,-0.054560274,"('undiscriminating', 'discriminating')",0.23703179,0.11816642,0.1708273,0.0318031,0.1390242
40,-0.08376018,0.018304922,"('stingy', 'generous')",-1.7472289,-1.9172263,-0.9154945,-0.9494607,0.0339662
2,0.067414284,-0.10643223,"('unlikable', 'likable')",0.37966725,0.28022096,0.2235408,0.0868944,0.1366464
20,0.05786498,-0.008150866,"('rough', 'thoughtful')",1.2469581,1.3342967,0.6524116,0.6630729,-0.0106613
17,-0.04918468,-0.0591551,"('nasty', 'nice')",-0.6860717,-0.6905216,-0.3676282,-0.3748384,0.0072102
53,-0.047220245,-0.0024112053,"('uncreative', 'creative')",0.6961883,0.7135583,0.324484,0.3555736,-0.0310896
47,0.020982884,0.021892548,"('stupid', 'smart')",5.5047994,5.8032403,2.7628911,2.9125664,-0.1496753
78,-0.011456203,-0.07239176,"('nonresilient', 'resilient')",0.32270986,0.5632925,0.1556268,0.2454504,-0.0898236
