,disney_male,disney_female,tuple,walt_male,walt_female,co_male,co_female,average_male,average_female,male-female
77,-1.6968902,-1.5620492,"('unmotivated', 'motivated')",-1.4780079,-1.4782357,-1.0882646,-1.1358575,-1.4210542,-1.3920474,-0.0290068
53,1.6557083,1.6430233,"('uncreative', 'creative')",1.2577527,1.1957353,0.9588808,1.1552526,1.2907805,1.331337,-0.0405565
9,1.6104728,1.7122242,"('unaffectionate', 'caring')",1.7278506,1.8418128,0.40668762,0.7338946,1.248337,1.4293105,-0.1809735
22,-1.5244385,-1.4773071,"('untrustworthy', 'trustworthy')",-1.968596,-2.0146635,-0.9399972,-0.8431122,-1.4776772,-1.4450275,-0.0326497
3,-1.4722183,-1.4660779,"('repellent', 'pleasant')",-1.592057,-1.6948681,0.97641325,0.7943662,-0.695954,-0.7888599,0.0929059
64,-1.4357684,-1.5030128,"('shy', 'confident')",-1.7424977,-1.6608104,-5.836907,-5.939323,-3.0050577,-3.0343819,0.0293242
81,-1.3929422,-1.3455367,"('submissive', 'aggressive')",-2.2623813,-2.326653,-0.16250195,-0.5806619,-1.2726085,-1.4176172,0.1450087
8,1.3880081,1.3537545,"('unaffectionate', 'affectionate')",2.2868943,2.2571323,0.09459205,0.4055655,1.2564982,1.3388174,-0.0823192
15,1.3857317,1.3627933,"('boring', 'funny')",1.6566877,1.7461809,0.9491398,0.9534263,1.3305198,1.3541334,-0.0236136
88,1.3075662,1.0866398,"('low', 'eminent')",0.59487444,0.44559625,0.11162673,-0.03211867,0.6713557,0.5000391,0.1713166
11,1.3012465,1.3488299,"('unhelpful', 'helpful')",-0.107605934,-0.19255042,2.9529598,2.7097588,1.3822001,1.2886794,0.0935207
85,1.2126,0.7709654,"('insignificant', 'prestigious')",2.4082797,2.2155275,-0.6072392,-0.7149874,1.0045468,0.7571685,0.2473783
23,1.154579,1.3565526,"('insincere', 'sincere')",0.15177563,0.021947622,5.8319755,5.7735963,2.3794433,2.3840322,-0.0045889
68,-1.0868083,-1.017656,"('dependent', 'independent')",-1.5282124,-1.5102718,-1.7344155,-1.5937345,-1.4498121,-1.3738874,-0.0759247
1,1.0768269,1.1346997,"('unfriendly', 'friendly')",1.3214134,1.3302834,1.1713117,1.5205729,1.1898506,1.3285186,-0.138668
45,-1.0732775,-0.6875647,"('incompetent', 'competent')",-1.82084,-1.7162675,-0.86534005,-0.6730101,-1.2531524,-1.0256141,-0.2275383
26,1.0708324,0.9374494,"('hardhearted', 'benevolent')",2.4160872,2.2369397,1.1636734,1.2369993,1.5501976,1.4704628,0.0797348
32,1.0454744,1.1762692,"('unkind', 'kind')",0.5613486,0.46028322,0.92662024,0.99791944,0.8444811,0.8781573,-0.0336762
14,-1.0432346,-0.95199484,"('antisocial', 'social')",-1.207695,-1.3152838,-0.4298753,-0.6153362,-0.8936017,-0.9608716,0.0672699
59,1.0373827,0.9741256,"('foolish', 'wise')",1.6241065,1.5692681,-0.4148534,-0.3201244,0.7488786,0.7410897,0.0077889
71,0.95777625,1.030546,"('diffident', 'self-confident')",1.9686112,1.9637301,-0.25641948,-0.1991591,0.8899894,0.9317056,-0.0417162
