,l3_male,l3_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.1178393,-2.1114953,"('unfriendly', 'friendly')",-0.14527409,-0.43746516,1.1116592,0.757883,-0.3838181,-0.5970258,0.2132077
60,1.7215617,2.0443528,"('inefficient', 'efficient')",1.6170418,1.8893912,0.40459704,0.54725,1.2477335,1.4936646,-0.2459311
36,-1.6688249,-1.9210438,"('hostile', 'amicable')",-1.1519512,-1.5414174,0.0751842,-0.38487017,-0.9151973,-1.2824437,0.3672464
79,-1.6670187,-1.6997552,"('wavering', 'unwavering')",-1.8560315,-1.8533931,-0.37978983,-0.38672042,-1.3009467,-1.3132896,0.0123429
31,-1.5259273,-1.6294296,"('evil', 'good')",-0.9599836,-1.164374,-1.382082,-1.7116518,-1.289331,-1.5018185,0.2124875
19,-1.4673216,-1.2834393,"('inhospitable', 'hospitable')",-1.3849905,-1.4249817,-0.34147763,-0.39647734,-1.0645966,-1.0349662,-0.0296304
67,1.3709491,1.4436104,"('doubtful', 'determined')",0.23567724,0.3703007,-0.49979463,-0.24227919,0.3689439,0.5238773,-0.1549334
5,-1.3630025,-1.0443189,"('distant', 'outgoing')",-1.2545729,-1.1067044,-0.48711497,-0.50407314,-1.0348968,-0.8850322,-0.1498646
6,-1.3448755,-1.0341482,"('distant', 'open')",-1.5958664,-1.4215362,0.045403913,0.04214143,-0.9651127,-0.8045143,-0.1605984
42,1.3075775,1.3097185,"('unreliable', 'reliable')",-0.8042249,-0.67379105,-2.276476,-2.488423,-0.5910411,-0.6174986,0.0264575
39,1.2689711,1.3920813,"('exploitative', 'cooperative')",0.5796327,0.6748159,0.08762197,0.15845804,0.6454086,0.741785,-0.0963764
26,-1.2366472,-1.2891623,"('hardhearted', 'benevolent')",0.49643654,0.36058834,1.2773305,1.0524656,0.1790399,0.0412972,0.1377427
55,1.2297593,1.4939017,"('incompetent', 'clever')",0.99194735,1.0703942,0.059723385,0.07222846,0.7604767,0.8788414,-0.1183647
25,-1.2279936,-1.267018,"('egoistic', 'altruistic')",0.041088,-0.08074875,1.0698048,1.1049836,-0.0390336,-0.0809277,0.0418941
8,-1.124173,-1.1711035,"('unaffectionate', 'affectionate')",-0.6419959,-0.8098151,0.10547305,0.0065212194,-0.5535653,-0.6581325,0.1045672
