,lumen_male,lumen_female,tuple,techologies_male,techologies_female,inc_male,inc_female,average_male,average_female,male-female
31,-1.8641148,-2.0455303,"('evil', 'good')",-1.6174415,-1.8409908,-1.0636562,-1.3585316,-1.5150709,-1.7483509,0.23328
6,-1.8325365,-2.14583,"('distant', 'open')",-1.298851,-1.6705682,-0.105368145,-0.4384794,-1.0789185,-1.4182925,0.339374
36,-1.7737938,-1.8315696,"('hostile', 'amicable')",-1.7597771,-1.9807596,0.096760586,-0.34592733,-1.1456034,-1.3860855,0.2404821
19,-1.7454135,-1.8395671,"('inhospitable', 'hospitable')",-1.6054493,-1.7448611,-0.44252074,-0.52101463,-1.2644612,-1.368481,0.1040198
5,-1.6772989,-2.0884478,"('distant', 'outgoing')",-1.3602897,-1.6784883,-0.5263452,-0.7899004,-1.1879779,-1.5189455,0.3309676
9,-1.5356692,-1.5872501,"('unaffectionate', 'caring')",-1.5590372,-1.5793498,0.53257614,0.4901008,-0.8540435,-0.8921663,0.0381228
79,-1.5090024,-1.5723395,"('wavering', 'unwavering')",-1.5736293,-1.7002934,-0.3092978,-0.45292252,-1.1306431,-1.2418519,0.1112088
1,-1.4269532,-1.6056309,"('unfriendly', 'friendly')",-1.0066466,-1.3824432,1.3364305,1.0566449,-0.3657231,-0.6438097,0.2780866
85,-1.3271517,-1.2213352,"('insignificant', 'prestigious')",-1.2088685,-1.2697858,0.42610008,0.31032333,-0.7033068,-0.7269325,0.0236257
60,1.3264934,0.9835824,"('inefficient', 'efficient')",2.330873,2.2595086,0.18454064,0.3553438,1.2806357,1.1994783,0.0811574
78,-1.2650019,-1.008851,"('nonresilient', 'resilient')",-0.085633084,-0.013716135,0.38905582,0.41772604,-0.3205264,-0.2016137,-0.1189127
8,-1.208984,-1.0420144,"('unaffectionate', 'affectionate')",-2.2157848,-2.2528777,0.18005496,0.070322834,-1.0815713,-1.0748564,-0.0067149
2,1.1614281,1.4037098,"('unlikable', 'likable')",0.21884584,0.28817213,0.61012465,0.8536493,0.6634662,0.8485104,-0.1850442
53,-1.1286159,-1.0196484,"('uncreative', 'creative')",-0.36392632,-0.59624416,0.7565535,0.63311934,-0.2453296,-0.3275911,0.0822615
38,-1.1074542,-1.0199981,"('untruthful', 'truthful')",-0.54882663,-0.53532684,-0.28736275,-0.08824424,-0.6478812,-0.5478564,-0.1000248
55,1.0667564,1.1655452,"('incompetent', 'clever')",0.9961345,1.1025362,0.32317585,0.6086719,0.7953556,0.9589178,-0.1635622
4,-1.0540358,-1.0865679,"('disliked', 'liked')",-0.67442346,-0.63697773,-5.705083,-5.6541886,-2.4778474,-2.4592447,-0.0186027
76,0.9811714,0.9920585,"('anxious', 'daring')",1.2531804,1.3557259,0.5745846,0.8516509,0.9363122,1.0664785,-0.1301663
67,0.96955365,0.701167,"('doubtful', 'determined')",1.0634221,1.0469745,-0.6597509,-0.37561402,0.4577416,0.4575092,0.0002324
39,0.9664841,0.89687765,"('exploitative', 'cooperative')",0.75890446,0.77807933,0.411818,0.5452496,0.7124022,0.7400689,-0.0276667
65,0.92411655,0.6246787,"('insecure', 'secure')",1.0249214,0.98364806,0.014486693,4.0741637e-05,0.6545082,0.5361225,0.1183857
44,0.9118207,0.86129344,"('prejudiced', 'unprejudiced')",1.0625731,1.0119375,-0.9423345,-1.0153843,0.3440198,0.2859489,0.0580709
56,0.86486316,0.8648447,"('impractical', 'practical')",0.93268055,1.0895205,-0.4871416,-0.049088355,0.4368007,0.6350923,-0.1982916
16,-0.82676005,-0.8229082,"('unpopular', 'popular')",-1.0180163,-0.91736037,0.29750168,0.38017863,-0.5157582,-0.4533633,-0.0623949
66,-0.81184727,-0.99901605,"('inactive', 'active')",-0.68067485,-0.6944189,0.5491545,0.5477655,-0.3144559,-0.3818898,0.0674339
27,-0.8034007,-1.2603613,"('hardhearted', 'softhearted')",-0.20682384,-0.4822934,1.1831995,0.91540766,0.0576583,-0.275749,0.3334073
80,0.79524773,0.9389008,"('dominated', 'dominating')",0.8053907,1.0173247,-1.2298733,-0.85529166,0.1235884,0.3669779,-0.2433895
86,-0.7945106,-0.97114927,"('uninfluential', 'influential')",-0.43069384,-0.60903424,-0.22464274,-0.21446173,-0.4832824,-0.5982151,0.1149327
14,0.77022505,0.7704265,"('antisocial', 'social')",1.4655144,1.6953297,-0.50603247,-0.009976588,0.576569,0.8185932,-0.2420242
