,american_male,american_female,tuple,tower_male,tower_female,corp_male,corp_female,average_male,average_female,male-female
16,-1.7000455,-1.6967231,"('unpopular', 'popular')",-1.0912766,-0.95460486,0.06780743,0.07769886,-0.9078383,-0.8578764,-0.0499619
39,1.6782349,1.6088964,"('exploitative', 'cooperative')",1.4999716,1.403303,0.61265266,0.481902,1.2636197,1.1647005,0.0989192
36,-1.6079268,-1.8742568,"('hostile', 'amicable')",-1.5792778,-1.7111654,-0.56580746,-0.5849343,-1.2510041,-1.3901189,0.1391148
29,-1.2865857,-1.3184793,"('unfair', 'fair')",-0.5425851,-0.37884158,-0.21256267,-0.27834514,-0.6805778,-0.6585553,-0.0220225
24,1.1335133,1.0075408,"('dishonest', 'honest')",0.10963285,-0.004645312,0.49420303,0.38913563,0.5791164,0.4640104,0.115106
73,1.0631995,0.9914039,"('helpless', 'self-reliant')",-0.6869919,-0.77035934,-3.4015253,-3.3660471,-1.0084392,-1.0483342,0.039895
53,-1.0341085,-1.0929068,"('uncreative', 'creative')",-0.47634247,-0.6674843,0.40569276,0.25808597,-0.3682528,-0.5007684,0.1325156
51,1.0184357,0.9898223,"('uneducated', 'educated')",0.36683387,0.326564,0.63346964,0.4028731,0.6729131,0.5730865,0.0998266
31,-0.94400036,-1.0943905,"('evil', 'good')",-1.226146,-1.1486294,-0.8961491,-0.9893715,-1.0220985,-1.0774639,0.0553654
78,-0.92445755,-0.6643887,"('nonresilient', 'resilient')",0.11255182,0.35234088,0.050349362,0.18037185,-0.2538521,-0.043892,-0.2099601
81,0.92430156,0.9653437,"('submissive', 'aggressive')",0.8473112,0.94646037,-0.4687211,-0.4898653,0.4342972,0.4739796,-0.0396824
1,-0.88833505,-1.182833,"('unfriendly', 'friendly')",-0.16542143,-0.53648365,1.6131994,1.3212936,0.186481,-0.1326743,0.3191553
77,-0.882335,-0.80748886,"('unmotivated', 'motivated')",0.15155661,0.29794234,-1.0633371,-0.953013,-0.5980385,-0.4875198,-0.1105187
4,-0.84096116,-0.97100824,"('disliked', 'liked')",-0.94949204,-0.9912906,-7.675941,-7.922982,-3.1554648,-3.2950935,0.1396287
12,0.8285601,0.8676768,"('unsupportive', 'supportive')",0.5642446,0.65925795,-1.8169091,-1.9305761,-0.1413681,-0.1345471,-0.006821
48,0.8230831,0.88141143,"('unintelligent', 'intelligent')",0.4667771,0.4041189,0.85298085,0.56619227,0.7142804,0.6172409,0.0970395
49,-0.7453825,-0.5994231,"('unable', 'able')",-0.9643861,-0.8502513,-0.4884417,-0.2669411,-0.7327367,-0.5722051,-0.1605316
72,0.71738154,0.7992949,"('unambitious', 'ambitious')",1.8641462,2.0069845,-0.0127476845,0.18752933,0.85626,0.9979362,-0.1416762
76,0.7144445,0.8229938,"('anxious', 'daring')",0.58570015,0.64582354,-0.26568264,-0.15613644,0.3448207,0.4375603,-0.0927396
47,-0.7074826,-0.63988787,"('stupid', 'smart')",0.42858407,0.41341233,5.3304696,5.524119,1.683857,1.7658811,-0.0820241
34,-0.6546392,-0.6718361,"('mean', 'honorable')",0.4713359,0.5027497,5.1285143,5.3326488,1.6484036,1.7211874,-0.0727838
28,0.64176476,0.31801325,"('disloyal', 'loyal')",-0.41862205,-0.6767487,1.2894559,1.1851437,0.5041995,0.2754694,0.2287301
5,-0.6016868,-0.720793,"('distant', 'outgoing')",-1.2053988,-1.1635563,-0.58937323,-0.482259,-0.7988195,-0.7888695,-0.00995
27,0.5995779,0.30467814,"('hardhearted', 'softhearted')",-0.13278347,-0.26150241,1.226573,1.1786104,0.5644558,0.407262,0.1571938
26,0.5833923,0.43295747,"('hardhearted', 'benevolent')",0.84121454,0.50521874,1.5948862,1.1752628,1.0064977,0.7044797,0.302018
