,millipore_male,millipore_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.8848982,-2.1482418,"('uninfluential', 'influential')",-0.29847336,-0.60953856,-1.0916858,-1.3788902,0.2872044
1,-1.81422,-1.8590347,"('unfriendly', 'friendly')",1.2569785,1.3032217,-0.2786207,-0.2779065,-0.0007142
9,-1.6609851,-1.724502,"('unaffectionate', 'caring')",1.1298444,1.0350248,-0.2655703,-0.3447386,0.0791683
19,-1.6457593,-1.3257114,"('inhospitable', 'hospitable')",-0.8998262,-0.74458015,-1.2727928,-1.0351458,-0.237647
52,-1.5225608,-1.5431752,"('irrational', 'rational')",-0.43884957,-0.33196643,-0.9807052,-0.9375708,-0.0431344
8,-1.482653,-1.6081713,"('unaffectionate', 'affectionate')",0.55078375,0.43809232,-0.4659346,-0.5850395,0.1191049
6,-1.4552753,-1.2762564,"('distant', 'open')",-0.7831951,-0.65442866,-1.1192352,-0.9653425,-0.1538927
85,-1.4500887,-1.1560527,"('insignificant', 'prestigious')",-0.88367295,-0.44627753,-1.1668808,-0.8011651,-0.3657157
53,-1.4106498,-1.4083358,"('uncreative', 'creative')",0.49837467,0.46540374,-0.4561375,-0.471466,0.0153285
10,-1.3804321,-1.6157246,"('unsympathetic', 'sympathetic')",0.26943368,-0.07200971,-0.5554992,-0.8438671,0.2883679
38,-1.3207934,-1.1769054,"('untruthful', 'truthful')",-0.18896213,-0.10538109,-0.7548777,-0.6411433,-0.1137344
12,-1.2847519,-1.274039,"('unsupportive', 'supportive')",-1.7967649,-1.8910034,-1.5407584,-1.5825212,0.0417628
36,-1.2757691,-1.1031196,"('hostile', 'amicable')",-0.85377264,-0.70951456,-1.0647709,-0.9063171,-0.1584538
73,1.2181208,1.2825493,"('helpless', 'self-reliant')",-3.1139288,-3.168332,-0.947904,-0.9428914,-0.0050126
0,-1.0690745,-1.2503116,"('unsociable', 'sociable')",0.05975207,-0.15797994,-0.5046612,-0.7041458,0.1994846
16,-1.0567799,-1.058014,"('unpopular', 'popular')",-0.063242085,0.15378739,-0.560011,-0.4521133,-0.1078977
45,-1.0505608,-1.2325835,"('incompetent', 'competent')",0.101873875,-0.095540896,-0.4743435,-0.6640622,0.1897187
31,-0.9992676,-0.84607816,"('evil', 'good')",-1.4258807,-1.2608026,-1.2125741,-1.0534403,-0.1591338
28,-0.9433625,-1.1262558,"('disloyal', 'loyal')",1.06596,0.8837323,0.0612988,-0.1212617,0.1825605
54,-0.92421937,-0.6371823,"('incapable', 'capable')",0.7689522,0.8782675,-0.0776336,0.1205426,-0.1981762
61,-0.8846219,-0.85740495,"('illogical', 'logical')",0.50740707,0.49393842,-0.1886074,-0.1817333,-0.0068741
5,-0.88316005,-0.7053232,"('distant', 'outgoing')",-0.8258903,-0.6921653,-0.8545252,-0.6987443,-0.1557809
63,-0.839071,-0.99687195,"('unperceptive', 'insightful')",0.99873364,0.7078685,0.0798313,-0.1445017,0.224333
43,-0.82756495,-0.7547281,"('irresponsible', 'responsible')",0.90232605,0.78795904,0.0373805,0.0166155,0.020765
66,-0.8193361,-0.9962495,"('inactive', 'active')",-0.15661576,-0.115748,-0.487976,-0.5559987,0.0680227
14,0.8077739,0.6810379,"('antisocial', 'social')",0.28207943,0.09163079,0.5449266,0.3863344,0.1585922
24,-0.8068788,-0.7782823,"('dishonest', 'honest')",0.732825,0.63637704,-0.0370269,-0.0709526,0.0339257
57,-0.8068544,-1.0269625,"('unimaginative', 'imaginative')",-2.7363026,-2.9776995,-1.7715786,-2.002331,0.2307524
11,-0.8012622,-0.8480577,"('unhelpful', 'helpful')",2.0900214,1.8664709,0.6443796,0.5092067,0.1351729
71,-0.79494774,-0.80476445,"('diffident', 'self-confident')",0.5330145,0.45726442,-0.1309666,-0.17375,0.0427834
60,0.7928945,0.8041653,"('inefficient', 'efficient')",0.7037086,0.6051312,0.7483015,0.7046483,0.0436532
42,0.7840193,0.68282574,"('unreliable', 'reliable')",-2.644902,-2.8708115,-0.9304414,-1.0939928,0.1635514
79,-0.77563703,-0.61883307,"('wavering', 'unwavering')",-0.6957632,-0.63420606,-0.7357001,-0.6265196,-0.1091805
78,-0.76680064,-0.8072212,"('nonresilient', 'resilient')",0.3861691,0.24087727,-0.1903158,-0.283172,0.0928562
25,-0.76322407,-0.4461354,"('egoistic', 'altruistic')",0.7936113,1.1843146,0.0151936,0.3690896,-0.353896
23,-0.7626659,-0.78666776,"('insincere', 'sincere')",6.1741776,6.0432544,2.7057559,2.6282933,0.0774626
46,-0.76094586,-0.8681078,"('uncompetitive', 'competitive')",-0.65436584,-0.8432861,-0.7076558,-0.8556969,0.1480411
44,0.74503684,1.246944,"('prejudiced', 'unprejudiced')",-1.4405727,-1.1096661,-0.3477679,0.0686389,-0.4164068
39,0.7345072,0.83770907,"('exploitative', 'cooperative')",0.3569821,0.3228048,0.5457447,0.5802569,-0.0345122
56,0.7276301,0.7567707,"('impractical', 'practical')",0.12572558,-0.062524274,0.4266778,0.3471232,0.0795546
18,-0.69833523,-0.49640843,"('disagreeable', 'welcoming')",-0.6839031,-0.6471593,-0.6911192,-0.5717838,-0.1193354
69,0.6864498,0.78581655,"('lazy', 'industrious')",-0.9393972,-0.59064555,-0.1264737,0.0975855,-0.2240592
77,-0.6411066,-0.33277085,"('unmotivated', 'motivated')",-0.84215355,-0.7597748,-0.7416301,-0.5462728,-0.1953573
27,-0.6329045,-0.7761816,"('hardhearted', 'softhearted')",1.142016,1.072429,0.2545558,0.1481237,0.1064321
48,-0.6288367,-0.65112895,"('unintelligent', 'intelligent')",1.1461344,1.1700106,0.2586488,0.2594408,-0.000792
41,-0.60375756,-0.5889331,"('unforgiving', 'forgiving')",-0.1733669,-0.16686562,-0.3885622,-0.3778993,-0.0106629
72,-0.5944384,-0.6828226,"('unambitious', 'ambitious')",0.11960582,-0.06536793,-0.2374163,-0.3740953,0.136679
33,-0.5791306,-0.5738269,"('wrong', 'right')",-0.7054146,-0.6982608,-0.6422726,-0.6360438,-0.0062288
76,0.5775691,0.7310172,"('anxious', 'daring')",0.2063388,0.1519997,0.3919539,0.4415084,-0.0495545
3,-0.5716075,-0.564818,"('repellent', 'pleasant')",0.6795094,0.72993153,0.053951,0.0825568,-0.0286058
68,-0.5673166,-0.53356457,"('dependent', 'independent')",-0.934725,-0.8200272,-0.7510208,-0.6767958,-0.074225
17,-0.55749166,-0.6122335,"('nasty', 'nice')",-0.7104008,-0.6106176,-0.6339462,-0.6114255,-0.0225207
80,0.5322586,0.29321402,"('dominated', 'dominating')",-0.51263833,-0.73698443,0.0098101,-0.2218852,0.2316953
81,0.5299073,0.30835506,"('submissive', 'aggressive')",0.11794543,-0.15655081,0.3239264,0.0759021,0.2480243
59,-0.49537975,-0.50906587,"('foolish', 'wise')",0.02486308,0.06321907,-0.2352583,-0.2229234,-0.0123349
37,0.45670444,0.56303924,"('fake', 'genuine')",0.43785077,0.26574963,0.4472776,0.4143944,0.0328832
40,-0.45452616,-0.74585414,"('stingy', 'generous')",-1.9586973,-2.1778057,-1.2066118,-1.4618299,0.2552181
82,-0.45163584,-0.47165754,"('poor', 'rich')",6.2893667,6.3514123,2.9188654,2.9398773,-0.0210119
30,0.3930953,0.16244012,"('intolerant', 'tolerant')",1.2715182,1.1496849,0.8323067,0.6560625,0.1762442
4,-0.3817649,-0.47885406,"('disliked', 'liked')",-7.2665505,-7.2725587,-3.8241577,-3.8757064,0.0515487
55,-0.36863568,-0.3525884,"('incompetent', 'clever')",0.66475356,0.5275937,0.1480589,0.0875026,0.0605563
83,-0.35933325,-0.39781,"('powerless', 'powerful')",-0.8689848,-0.9710291,-0.614159,-0.6844196,0.0702606
47,-0.33476257,-0.5220966,"('stupid', 'smart')",5.6491556,5.554073,2.6571965,2.5159881,0.1412084
