,tiffany_male,tiffany_female,tuple,&_male,&_female,co_male,co_female,average_male,average_female,male-female
85,3.3715467,3.0489311,"('insignificant', 'prestigious')",1.999161,2.1405773,0.7564774,0.90164316,2.042395,2.0303839,0.0120111
26,3.3126757,3.0159965,"('hardhearted', 'benevolent')",2.8998144,2.6288052,1.2097317,1.1008879,2.4740739,2.2485631,0.2255108
45,-2.9675195,-2.4747665,"('incompetent', 'competent')",-1.5747685,-1.2329093,-1.2423502,-1.1620455,-1.9282126,-1.6232405,-0.3049721
64,-2.8648994,-2.4160647,"('shy', 'confident')",-0.78057766,-0.5696815,-6.0600104,-5.729723,-3.2351624,-2.9051565,-0.3300059
65,-2.8430128,-2.3519545,"('insecure', 'secure')",-1.5553801,-1.3994806,-1.4703978,-1.3062364,-1.9562635,-1.6858905,-0.270373
81,-2.807222,-2.4196777,"('submissive', 'aggressive')",-1.4500957,-0.93486667,-1.7792114,-1.5889093,-2.0121764,-1.6478179,-0.3643585
6,2.7913358,2.5437682,"('distant', 'open')",1.1346529,1.2212961,0.23011462,0.3509544,1.3853677,1.3720063,0.0133614
22,-2.732072,-2.4236412,"('untrustworthy', 'trustworthy')",-1.4743807,-1.5586604,-1.9345894,-1.7715269,-2.0470141,-1.9179428,-0.1290713
46,-2.601913,-2.0293787,"('uncompetitive', 'competitive')",-1.2804736,-1.049742,0.06741623,0.059831522,-1.2716568,-1.0064297,-0.2652271
3,-2.5100198,-2.0059485,"('repellent', 'pleasant')",-1.304891,-1.3273016,0.6885133,0.642655,-1.0421325,-0.896865,-0.1452675
35,2.4992533,1.9730903,"('corrupt', 'incorrupt')",0.97386426,0.61433136,-0.029993352,-0.1669477,1.1477081,0.8068247,0.3408834
5,2.4303176,2.2193704,"('distant', 'outgoing')",1.1540395,1.2895674,0.08691039,0.31664887,1.2237559,1.2751956,-0.0514397
69,2.413745,2.1255333,"('lazy', 'industrious')",1.322726,1.0210012,0.17830439,-0.0075551756,1.3049251,1.0463264,0.2585987
25,2.4120016,2.3373451,"('egoistic', 'altruistic')",1.329244,1.4249159,1.1269304,1.3095927,1.6227253,1.6906179,-0.0678926
79,2.3824425,2.056951,"('wavering', 'unwavering')",0.46016616,0.5361395,0.4135978,0.4656561,1.0854022,1.0195822,0.06582
70,-2.3246646,-2.0128064,"('lethargic', 'energetic')",-1.1989306,-0.8464768,-0.18030076,-0.1332357,-1.234632,-0.9975063,-0.2371257
36,2.2497292,1.9524646,"('hostile', 'amicable')",0.82739353,0.50573057,0.46170574,0.39588964,1.1796095,0.9513617,0.2282478
13,-2.1779952,-1.6836029,"('impolite', 'polite')",-1.6254017,-1.2543004,-0.9596596,-0.7070211,-1.5876856,-1.2149749,-0.3727107
10,-2.1342359,-1.6893227,"('unsympathetic', 'sympathetic')",-1.7218467,-1.4649849,-0.011232983,0.0060487194,-1.2891052,-1.0494196,-0.2396856
44,-2.1321528,-2.14015,"('prejudiced', 'unprejudiced')",-0.9440123,-1.030195,-1.5768251,-1.4422783,-1.5509968,-1.5375411,-0.0134557
8,2.1296775,1.921608,"('unaffectionate', 'affectionate')",1.0453397,1.1240128,1.0252153,1.0457407,1.4000775,1.3637872,0.0362903
11,-2.1107287,-1.7742726,"('unhelpful', 'helpful')",-2.1987424,-1.6972327,1.7462258,2.131642,-0.8544151,-0.446621,-0.4077941
80,-2.0582898,-1.8453641,"('dominated', 'dominating')",-1.2260858,-1.0952617,-0.46207228,-0.64974946,-1.248816,-1.1967917,-0.0520243
71,1.9928565,2.0589662,"('diffident', 'self-confident')",0.09093295,0.3489188,0.27934867,0.33929116,0.7877127,0.9157254,-0.1280127
60,-1.9814728,-1.1507783,"('inefficient', 'efficient')",-0.7754932,-0.29886922,-0.5920971,-0.25088686,-1.1163544,-0.5668448,-0.5495096
1,1.9573476,1.6889416,"('unfriendly', 'friendly')",1.3535103,1.6047112,1.6406327,1.7593914,1.6504968,1.6843481,-0.0338513
33,1.9311712,1.8083186,"('wrong', 'right')",1.741699,1.663003,-0.5584819,-0.5272451,1.0381294,0.9813588,0.0567706
9,1.9294512,2.2196207,"('unaffectionate', 'caring')",0.28878826,0.71017396,0.9961314,1.2908641,1.071457,1.4068863,-0.3354293
21,-1.6832563,-1.2423011,"('immoral', 'moral')",-0.81934214,-0.6087103,-1.3085982,-1.1393694,-1.2703988,-0.9967936,-0.2736052
54,1.6084358,1.5644219,"('incapable', 'capable')",0.9198476,1.1633245,0.9479704,1.1066825,1.1587512,1.278143,-0.1193918
15,1.5527989,1.4086248,"('boring', 'funny')",0.7116966,0.82000184,-0.12827268,-0.04095875,0.7120742,0.7292227,-0.0171485
55,-1.5506905,-1.1331565,"('incompetent', 'clever')",-0.6872447,-0.5322178,-1.0215652,-1.09905,-1.0865002,-0.9214748,-0.1650254
0,-1.5505677,-1.2456826,"('unsociable', 'sociable')",-0.32592785,-0.2111721,-0.25898755,-0.15348785,-0.7118278,-0.5367808,-0.175047
31,1.5490319,1.3985939,"('evil', 'good')",0.97233367,0.6998699,-0.49934417,-0.3789685,0.6740072,0.5731651,0.1008421
68,-1.4265321,-1.4666874,"('dependent', 'independent')",-1.4835403,-1.6475486,-1.4675204,-1.507952,-1.4591975,-1.5407292,0.0815317
7,-1.4249569,-1.0144751,"('insensitive', 'sensitive')",-1.3857052,-1.0252701,-0.25120628,-0.21256351,-1.0206229,-0.7507696,-0.2698533
77,-1.3757243,-0.9782401,"('unmotivated', 'motivated')",-0.17241432,-0.052661464,0.018617865,0.24901374,-0.5098403,-0.2606293,-0.249211
51,-1.3358135,-1.0783675,"('uneducated', 'educated')",-0.06116639,-0.007261846,0.14925754,-0.0056583136,-0.4159075,-0.3637625,-0.052145
84,1.2871107,1.101107,"('inferior', 'superior')",0.22539687,0.24729596,0.32206538,0.53283334,0.6115243,0.6270788,-0.0155545
57,-1.260037,-1.3264122,"('unimaginative', 'imaginative')",-0.9741938,-1.0115145,-2.8357008,-3.0180364,-1.6899772,-1.7853211,0.0953439
24,-1.1746746,-0.82144356,"('dishonest', 'honest')",-0.4647943,-0.122602284,-0.6537026,-0.24202931,-0.7643905,-0.3953584,-0.3690321
53,1.1282917,1.082325,"('uncreative', 'creative')",0.65128607,0.8921026,1.3661941,1.3637718,1.0485907,1.1127331,-0.0641424
14,-1.1106586,-0.7065743,"('antisocial', 'social')",0.33472028,0.13733158,-1.2249132,-1.2829378,-0.6669505,-0.6173935,-0.049557
78,1.1025052,1.1776567,"('nonresilient', 'resilient')",0.28772905,0.44405425,1.974096,1.791657,1.1214434,1.1377892,-0.0163458
62,-1.1016557,-0.5562742,"('incompetent', 'brilliant')",-1.1410697,-0.5295106,-0.49584404,-0.2188958,-0.9128565,-0.4348935,-0.477963
43,-1.0773221,-0.77786976,"('irresponsible', 'responsible')",-0.9958361,-0.594548,0.17083634,0.5012828,-0.6341073,-0.2903783,-0.343729
30,-1.0247265,-0.62004876,"('intolerant', 'tolerant')",-0.7410373,-0.6299489,-1.1564962,-0.76032364,-0.9740866,-0.670107,-0.3039796
18,-1.0071269,-1.0647215,"('disagreeable', 'welcoming')",0.6035156,0.6951193,-1.5177168,-1.487653,-0.6404427,-0.6190851,-0.0213576
2,-0.940637,-0.4815203,"('unlikable', 'likable')",0.97961706,1.5187397,0.40272585,0.73596466,0.1472353,0.5910614,-0.4438261
73,0.90267515,1.2109123,"('helpless', 'self-reliant')",0.032078862,0.20558295,-3.2399783,-2.974192,-0.7684081,-0.5192322,-0.2491759
74,0.9013543,0.93454695,"('undedicated', 'dedicated')",0.21524268,0.46993005,0.23646265,0.36736688,0.4510198,0.5906146,-0.1395948
47,-0.8965737,-0.8219664,"('stupid', 'smart')",0.059629973,0.060276855,3.6480937,3.724085,0.93705,0.9874652,-0.0504152
29,-0.8781327,-0.7377319,"('unfair', 'fair')",-0.3898015,-0.3046012,-0.8802263,-0.84831816,-0.7160535,-0.6302171,-0.0858364
19,0.7850103,0.7026837,"('inhospitable', 'hospitable')",-0.1308625,-0.12788077,0.37076014,0.4498976,0.3416359,0.3415668,6.91e-05
27,0.75583327,0.72063905,"('hardhearted', 'softhearted')",0.21836364,0.24417438,0.91399246,0.7447881,0.6293964,0.5698672,0.0595292
63,-0.7136852,-0.16124356,"('unperceptive', 'insightful')",-0.20874423,0.45115122,0.8218169,0.9925864,-0.0335375,0.427498,-0.4610355
61,-0.69248486,-0.15060814,"('illogical', 'logical')",-0.2547428,-0.21874505,-0.41516915,-0.15841019,-0.4541323,-0.1759211,-0.2782112
23,-0.6854323,-0.17928085,"('insincere', 'sincere')",-1.3579103,-0.64226705,4.634175,4.8468976,0.8636107,1.3417832,-0.4781725
72,0.6815175,0.9978951,"('unambitious', 'ambitious')",-0.23539051,0.045279402,-1.1670876,-0.96988887,-0.2403202,0.0244285,-0.2647487
83,0.6809015,1.05582,"('powerless', 'powerful')",0.07564635,0.48968044,-0.83565265,-0.5756479,-0.0263683,0.3232842,-0.3496525
34,0.67594814,0.7702199,"('mean', 'honorable')",-0.00056096166,0.27418682,5.2683244,5.4760027,1.9812373,2.1734699,-0.1922326
41,-0.67315364,-0.4518348,"('unforgiving', 'forgiving')",-0.34366024,-0.14789252,-0.16449133,-0.28544015,-0.3937684,-0.2950558,-0.0987126
76,-0.58955324,-0.2795385,"('anxious', 'daring')",-0.44120106,0.15401359,-0.2234622,-0.13379914,-0.4180722,-0.0864414,-0.3316308
82,-0.5842112,-0.4695176,"('poor', 'rich')",-0.5222395,-0.20992497,4.5270853,4.7830524,1.1402116,1.36787,-0.2276584
75,-0.5777173,-0.92708594,"('meek', 'impulsive')",0.18629594,0.14509693,0.5709431,0.6344536,0.0598406,-0.0491785,0.1090191
86,-0.5742565,-0.5329579,"('uninfluential', 'influential')",-0.5109999,-0.6013799,-0.68718004,-0.6260211,-0.5908121,-0.5867863,-0.0040258
66,0.57057613,0.2575832,"('inactive', 'active')",0.8795068,1.1313891,1.8576766,1.7146239,1.1025866,1.0345321,0.0680545
17,0.5475627,0.54314405,"('nasty', 'nice')",0.75556386,0.4524551,-0.15791558,-0.4691704,0.381737,0.1754763,0.2062607
12,0.54565275,0.98453426,"('unsupportive', 'supportive')",0.4497101,1.0141119,-1.3166275,-1.138316,-0.1070882,0.2867767,-0.3938649
42,-0.50577074,-0.00012718886,"('unreliable', 'reliable')",-0.23625596,0.07375943,-2.6223562,-2.405887,-1.1214609,-0.7774182,-0.3440427
48,-0.48328707,-0.18049163,"('unintelligent', 'intelligent')",-0.28562987,-0.008851353,-0.94608843,-0.93756694,-0.5716685,-0.3756367,-0.1960318
40,-0.4696644,-0.3634405,"('stingy', 'generous')",-0.16101272,0.01907729,-2.0829408,-2.2156463,-0.9045393,-0.8533365,-0.0512028
87,-0.4347667,-0.08607893,"('unsuccessful', 'successful')",1.0617806,1.2398441,1.0334477,0.96898025,0.5534872,0.7075818,-0.1540946
49,-0.4336093,-0.35115755,"('unable', 'able')",-0.58040416,-0.45872065,-0.33351672,-0.34180626,-0.4491767,-0.3838948,-0.0652819
38,-0.39387357,-0.08617209,"('untruthful', 'truthful')",-0.3226765,0.26863584,0.58172834,0.9586802,-0.0449406,0.3803813,-0.4253219
67,-0.3840661,-0.5694943,"('doubtful', 'determined')",0.07999863,-0.09942224,-0.6450071,-0.66586375,-0.3163582,-0.4449267,0.1285685
