,dupont_male,dupont_female,tuple,de_male,de_female,nemours_male,nemours_female,inc_male,inc_female,average_male,average_female,male-female
69,2.4247894,2.1472912,"('lazy', 'industrious')",2.4760988,2.2214355,3.25626,3.067326,0.017577238,0.15543485,2.0436814,1.897872,0.1458094
85,2.334702,2.1658757,"('insignificant', 'prestigious')",0.40930775,0.5108701,2.5338297,2.6464558,0.8029249,0.9402174,1.5201912,1.5658548,-0.0456636
25,2.0723226,1.9131688,"('egoistic', 'altruistic')",0.797299,0.5412007,1.011502,0.93735737,1.510638,1.6718483,1.3479404,1.2658938,0.0820466
45,-1.6802313,-1.477922,"('incompetent', 'competent')",-1.28521,-0.61135536,-2.5435066,-2.241946,-0.56110317,-0.42203158,-1.5175128,-1.1883137,-0.3291991
65,-1.6534173,-1.390054,"('insecure', 'secure')",-0.65768224,-0.41946346,-2.6126676,-2.4051316,-0.3712968,-0.37049657,-1.323766,-1.1462865,-0.1774795
13,-1.6207125,-1.4945915,"('impolite', 'polite')",-0.9631756,-0.9710254,-1.967737,-1.9737481,-0.6674375,-0.6792388,-1.3047657,-1.2796509,-0.0251148
76,-1.6185486,-1.5421131,"('anxious', 'daring')",-0.313073,-0.489403,-1.7269818,-1.8313208,0.2738754,0.28608188,-0.846182,-0.8941888,0.0480068
71,1.5757703,1.5793337,"('diffident', 'self-confident')",0.12142367,0.20050427,0.11965424,0.011004105,0.6399162,0.5409921,0.6141911,0.5829585,0.0312326
80,-1.5753818,-1.4249157,"('dominated', 'dominating')",-0.20448783,-0.1610591,-1.1733391,-1.1072011,-1.1839474,-1.3216201,-1.034289,-1.0036989,-0.0305901
26,1.5475174,1.4741908,"('hardhearted', 'benevolent')",-0.43418995,-0.30385968,0.063152716,0.0883539,1.4139905,1.52441,0.6476177,0.6957737,-0.048156
9,1.5374802,1.4949081,"('unaffectionate', 'caring')",-0.8446403,-0.6217646,-0.34361082,-0.29302442,1.0575978,0.9780599,0.3517067,0.3895447,-0.037838
