,firstenergy_male,firstenergy_female,tuple,corp_male,corp_female,average_male,average_female,male-female
57,-1.7260267,-1.7595273,"('unimaginative', 'imaginative')",-3.3156137,-3.2333798,-2.5208201,-2.4964535,-0.0243666
71,1.7110445,1.8592924,"('diffident', 'self-confident')",0.55763066,0.36294672,1.1343377,1.1111195,0.0232182
69,1.6562955,1.7324241,"('lazy', 'industrious')",-0.34705263,-0.32333854,0.6546215,0.7045428,-0.0499213
10,-1.6306347,-1.6886286,"('unsympathetic', 'sympathetic')",-0.42441523,-0.42247263,-1.0275249,-1.0555506,0.0280257
45,-1.3946654,-1.2004913,"('incompetent', 'competent')",-0.2825848,-0.24129619,-0.8386251,-0.7208937,-0.1177314
55,-1.3347173,-1.3710237,"('incompetent', 'clever')",0.23018295,0.28630525,-0.5522672,-0.5423592,-0.009908
0,-1.3293635,-1.3111701,"('unsociable', 'sociable')",-0.26104313,-0.39099407,-0.7952033,-0.8510821,0.0558788
58,-1.2916473,-1.4105065,"('undiscriminating', 'discriminating')",-0.20638904,-0.4441099,-0.7490182,-0.9273082,0.17829
65,-1.28294,-1.3479582,"('insecure', 'secure')",-0.34716377,-0.03891105,-0.8150519,-0.6934347,-0.1216172
5,1.1291074,1.1997603,"('distant', 'outgoing')",-0.27968228,-0.44960392,0.4247125,0.3750782,0.0496343
33,1.1167891,1.1589298,"('wrong', 'right')",-0.7331953,-0.86102235,0.1917969,0.1489537,0.0428432
14,-1.0695415,-1.2301254,"('antisocial', 'social')",-0.31797674,-0.29145917,-0.6937591,-0.7607923,0.0670332
82,-1.0654223,-1.0321048,"('poor', 'rich')",6.2610884,6.3946977,2.5978332,2.6812963,-0.0834631
22,-1.0410341,-1.1060787,"('untrustworthy', 'trustworthy')",-0.99019665,-0.9526806,-1.0156153,-1.0293796,0.0137643
46,-1.0403305,-1.0054096,"('uncompetitive', 'competitive')",-1.2163738,-1.0696839,-1.1283522,-1.0375468,-0.0908054
73,1.0280957,1.022985,"('helpless', 'self-reliant')",-3.434873,-3.4717824,-1.2033887,-1.2243987,0.02101
