,time_male,time_female,tuple,warner_male,warner_female,inc_male,inc_female,average_male,average_female,male-female
85,2.025465,2.0276666,"('insignificant', 'prestigious')",2.1440904,2.0534024,1.017545,0.9149359,1.7290335,1.665335,0.0636985
45,-1.9089878,-2.0018556,"('incompetent', 'competent')",-2.4827921,-2.3242476,-1.1505162,-0.8986677,-1.847432,-1.7415903,-0.1058417
46,-1.8625629,-1.765911,"('uncompetitive', 'competitive')",-2.1627865,-2.0313907,-0.39853817,-0.3377362,-1.4746292,-1.378346,-0.0962832
36,1.6989578,1.5623565,"('hostile', 'amicable')",2.3501904,2.3168364,0.9344861,0.47328225,1.6612113,1.4508251,0.2103862
71,1.5468569,1.609698,"('diffident', 'self-confident')",1.4434997,1.585964,0.48663425,0.53119165,1.1589969,1.2422845,-0.0832876
83,1.5195024,1.5453819,"('powerless', 'powerful')",-0.17100286,-0.3205482,-0.7217062,-0.6902835,0.2089311,0.1781834,0.0307477
70,-1.488597,-1.6054189,"('lethargic', 'energetic')",-1.9306312,-2.050918,0.357705,0.40821603,-1.0205077,-1.082707,0.0621993
59,1.4343405,1.3103118,"('foolish', 'wise')",1.3906677,1.4567472,0.30946073,0.28342435,1.0448229,1.0168277,0.0279952
88,1.3516138,1.1794134,"('low', 'eminent')",-0.56285375,-0.66943485,0.62094015,0.5586226,0.4699001,0.3562004,0.1136997
15,1.2858876,1.0552497,"('boring', 'funny')",1.6597838,1.5995908,0.42604977,0.32670906,1.1239071,0.9938498,0.1300573
73,1.2483683,1.4013184,"('helpless', 'self-reliant')",0.4571756,0.55182576,-2.9403734,-2.938657,-0.4116098,-0.3285043,-0.0831055
49,-1.203778,-1.2484658,"('unable', 'able')",-0.43899995,-0.3280715,-0.38087207,-0.16824916,-0.67455,-0.5815955,-0.0929545
22,-1.1949831,-1.2794807,"('untrustworthy', 'trustworthy')",-1.2489538,-1.1886607,-0.9225518,-0.8985204,-1.1221629,-1.1222207,5.78e-05
57,-1.176731,-1.2888697,"('unimaginative', 'imaginative')",-0.8780303,-1.1050264,-2.014376,-2.1499662,-1.3563792,-1.5146208,0.1582416
10,-1.1666795,-1.4311589,"('unsympathetic', 'sympathetic')",-2.1155317,-2.1794872,-0.68841594,-0.5424605,-1.3235424,-1.3843689,0.0608265
3,-1.151161,-1.2020009,"('repellent', 'pleasant')",-1.4116231,-1.4637374,0.042019952,0.039608985,-0.8402548,-0.8753764,0.0351216
69,1.1382097,1.1895453,"('lazy', 'industrious')",2.495992,2.4814029,-0.49427402,-0.51947016,1.0466425,1.0504926,-0.0038501
9,1.1232691,1.0873766,"('unaffectionate', 'caring')",1.3152878,1.3366854,1.0172385,0.98428875,1.1519318,1.1361169,0.0158149
43,-1.1013459,-0.9605664,"('irresponsible', 'responsible')",-1.616114,-1.2914175,0.5268637,0.718557,-0.7301987,-0.5111423,-0.2190564
55,-1.0867684,-1.2233266,"('incompetent', 'clever')",-1.8372632,-1.681714,-0.53647554,-0.3046847,-1.1535025,-1.0699085,-0.083594
35,1.0693152,0.9649755,"('corrupt', 'incorrupt')",1.7370056,1.6490409,0.14616762,-0.099084936,0.9841627,0.8383106,0.1458521
41,-1.011781,-1.0716977,"('unforgiving', 'forgiving')",0.08493282,-0.034487974,-0.1093429,0.052420042,-0.345397,-0.3512552,0.0058582
18,-1.0112035,-0.9775221,"('disagreeable', 'welcoming')",-0.4448616,-0.48963606,-0.4011082,-0.35479447,-0.6190578,-0.6073175,-0.0117403
26,1.0111796,0.8796226,"('hardhearted', 'benevolent')",1.7951566,1.7426794,1.7573498,1.5838494,1.5212286,1.4020505,0.1191781
64,-0.9996677,-1.0237752,"('shy', 'confident')",-1.7111483,-1.6012951,-5.713603,-5.509487,-2.8081398,-2.7115192,-0.0966206
33,0.97792345,0.99319106,"('wrong', 'right')",0.86069864,0.8535321,-0.61781824,-0.7112745,0.4069346,0.3784829,0.0284517
60,-0.97714156,-0.8802293,"('inefficient', 'efficient')",-1.5467339,-1.4588325,-0.008811463,0.31781137,-0.844229,-0.6737501,-0.1704789
68,-0.9379849,-0.84912497,"('dependent', 'independent')",-0.94852024,-0.77670455,-0.074736774,-0.05332195,-0.6537473,-0.5597171,-0.0940302
65,-0.92215925,-0.9894074,"('insecure', 'secure')",-1.0950239,-1.1558852,-0.25747564,-0.09975213,-0.7582196,-0.7483483,-0.0098713
11,-0.88754857,-0.78006405,"('unhelpful', 'helpful')",-1.4669101,-1.3529648,1.7617589,2.0185504,-0.1975666,-0.0381594,-0.1594072
44,-0.8736212,-0.5670119,"('prejudiced', 'unprejudiced')",-0.92947584,-1.0306659,-1.2380786,-1.0738853,-1.0137252,-0.890521,-0.1232042
0,-0.8697038,-0.95807195,"('unsociable', 'sociable')",-0.9214348,-0.89143044,-0.6706816,-0.6056478,-0.8206067,-0.8183834,-0.0022233
48,0.8675834,0.85381866,"('unintelligent', 'intelligent')",-0.09692848,0.09193,0.683241,0.8727542,0.484632,0.6061676,-0.1215356
61,0.82906383,0.82276917,"('illogical', 'logical')",0.36794353,0.32341588,0.34881467,0.43701905,0.515274,0.5277347,-0.0124607
56,0.81541663,0.6493141,"('impractical', 'practical')",-0.47010165,-0.5478152,-0.012647718,-0.02415372,0.1108891,0.0257817,0.0851074
25,0.79479384,0.6755043,"('egoistic', 'altruistic')",1.2600559,1.1345588,1.7069045,1.4230019,1.253918,1.0776884,0.1762296
79,0.7895748,0.52849305,"('wavering', 'unwavering')",0.24331112,0.08556537,0.55897677,0.2682104,0.5306209,0.2940896,0.2365313
28,0.788782,0.46296614,"('disloyal', 'loyal')",0.6517993,0.3278636,1.08151,0.91218746,0.8406971,0.5676724,0.2730247
14,0.7810457,0.64727515,"('antisocial', 'social')",-1.1708256,-1.3717903,-0.7921508,-0.7204604,-0.3939769,-0.4816585,0.0876816
81,-0.7744205,-0.83084416,"('submissive', 'aggressive')",-2.1907928,-2.3325648,-1.1187572,-0.87897116,-1.3613235,-1.3474601,-0.0138634
39,0.74739194,0.8628447,"('exploitative', 'cooperative')",0.48300177,0.57919616,0.09478384,0.1677624,0.4417258,0.5366011,-0.0948753
86,-0.70087075,-0.89053154,"('uninfluential', 'influential')",-0.6707993,-0.6301265,-0.12530375,-0.10522491,-0.4989913,-0.541961,0.0429697
82,-0.67034906,-0.61396056,"('poor', 'rich')",-0.93275565,-0.80373377,5.2789664,5.3162665,1.2252873,1.2995241,-0.0742368
51,-0.6661575,-0.7581267,"('uneducated', 'educated')",-1.8663522,-1.7779934,0.99514174,1.0905056,-0.512456,-0.4818715,-0.0305845
63,-0.6623516,-0.7523511,"('unperceptive', 'insightful')",-1.034673,-0.9511004,0.9671848,1.1322399,-0.2432799,-0.1904039,-0.052876
2,0.6258959,0.65876585,"('unlikable', 'likable')",0.4727136,0.6242866,0.9492964,0.9262804,0.6826353,0.7364443,-0.053809
50,-0.60541725,-0.58710897,"('clumsy', 'skillful')",-0.137812,-0.015006211,0.11206715,0.2035132,-0.2103874,-0.1328673,-0.0775201
16,-0.6022745,-0.5274806,"('unpopular', 'popular')",-0.3804744,-0.25767773,0.22901687,0.29544088,-0.251244,-0.1632392,-0.0880048
84,0.59714574,0.6269314,"('inferior', 'superior')",0.2635849,0.19057323,0.9237352,1.0072995,0.5948219,0.6082681,-0.0134462
31,0.57979625,0.4200421,"('evil', 'good')",1.61066,1.5898393,-1.2174156,-1.3601801,0.3243469,0.2165671,0.1077798
75,-0.5412078,-0.56822586,"('meek', 'impulsive')",-0.22807726,-0.32119453,-0.37481597,-0.45271203,-0.381367,-0.4473775,0.0660105
34,0.53579885,0.5067359,"('mean', 'honorable')",0.5067028,0.63123685,5.7542458,5.7235713,2.2655824,2.2871814,-0.021599
8,0.53076917,0.52355367,"('unaffectionate', 'affectionate')",1.0619496,1.0807936,0.34003037,0.29220587,0.6442498,0.6321843,0.0120655
23,-0.52547204,-0.5325266,"('insincere', 'sincere')",-0.87709403,-0.83002555,5.405394,5.4020033,1.334276,1.3464837,-0.0122077
7,0.51869196,0.35603127,"('insensitive', 'sensitive')",-0.5494398,-0.60755754,0.66374606,0.68524003,0.2109994,0.1445713,0.0664281
76,-0.515809,-0.5959542,"('anxious', 'daring')",-1.0540366,-1.2267568,0.25981078,0.3676965,-0.4366783,-0.4850048,0.0483265
1,0.485416,0.35374287,"('unfriendly', 'friendly')",1.8647683,1.850929,2.2192597,2.0399256,1.5231479,1.4148658,0.1082821
21,0.48184854,0.41462827,"('immoral', 'moral')",-2.13582,-1.9471642,-0.8208686,-0.60267806,-0.8249467,-0.711738,-0.1132087
80,-0.46596894,-0.5383483,"('dominated', 'dominating')",-0.811202,-0.774898,-1.2468995,-1.0725622,-0.8413568,-0.7952695,-0.0460873
42,0.45250237,0.35364673,"('unreliable', 'reliable')",-0.15401462,-0.12461312,-2.5390437,-2.4755025,-0.746852,-0.7488229,0.0019709
47,0.39974102,0.4860776,"('stupid', 'smart')",-0.22729157,-0.12702653,4.44114,4.583239,1.5378633,1.6474301,-0.1095668
66,0.39335015,0.29992077,"('inactive', 'active')",-0.14578363,-0.15004107,1.094749,0.9591652,0.4474385,0.3696816,0.0777569
72,0.38765225,0.40101293,"('unambitious', 'ambitious')",-0.24472223,-0.41009897,-0.9400167,-0.8772768,-0.2656956,-0.2954543,0.0297587
30,-0.3384621,-0.36881638,"('intolerant', 'tolerant')",-0.20134068,-0.0807964,0.91331446,1.0149477,0.1245039,0.188445,-0.0639411
20,0.33684212,0.44245458,"('rough', 'thoughtful')",-0.80805,-0.8018761,1.2462835,1.4009948,0.2583586,0.3471911,-0.0888325
52,0.30464906,0.19276553,"('irrational', 'rational')",1.1194239,1.1621201,-0.19288076,-0.24117637,0.4103974,0.3712364,0.039161
38,-0.3041833,-0.34149683,"('untruthful', 'truthful')",-0.48931074,-0.4148817,0.0886807,0.23063038,-0.2349378,-0.1752494,-0.0596884
32,0.28300232,0.29156193,"('unkind', 'kind')",-0.3608781,-0.3449033,0.78456306,0.8523948,0.2355624,0.2663511,-0.0307887
62,-0.2796363,-0.36212572,"('incompetent', 'brilliant')",-1.5137968,-1.4546514,-0.04405361,0.18167166,-0.6124955,-0.5450352,-0.0674603
4,-0.2723554,-0.4213691,"('disliked', 'liked')",0.09164895,0.119349934,-5.8101044,-5.8311553,-1.996937,-2.0443915,0.0474545
17,-0.27140516,-0.41022828,"('nasty', 'nice')",-0.317093,-0.42633435,-0.8504915,-0.7584218,-0.4796632,-0.5316615,0.0519983
67,0.26416934,0.35765132,"('doubtful', 'determined')",-0.77570766,-0.75973254,-1.0226152,-0.9213862,-0.5113845,-0.4411558,-0.0702287
77,0.25646287,0.35995725,"('unmotivated', 'motivated')",-0.9376682,-0.83812726,-0.6025236,-0.54753,-0.4279097,-0.3419,-0.0860097
13,-0.24076152,-0.38816577,"('impolite', 'polite')",-1.9637461,-2.0569618,-0.50797266,-0.3588891,-0.9041601,-0.9346722,0.0305121
54,0.23856393,0.24949315,"('incapable', 'capable')",0.13773389,0.24137467,1.3319732,1.314337,0.5694237,0.601735,-0.0323113
19,-0.22403672,-0.21588057,"('inhospitable', 'hospitable')",-0.30309704,-0.11906288,-0.0424629,-0.013650396,-0.1898655,-0.1161979,-0.0736676
58,0.19470228,0.12633136,"('undiscriminating', 'discriminating')",0.71038353,0.6597639,0.46338794,0.37079993,0.4561579,0.3856317,0.0705262
53,0.15398166,0.13925155,"('uncreative', 'creative')",1.7158715,1.8576481,1.328863,1.2184783,1.0662387,1.0717927,-0.005554
87,0.13169573,0.17602113,"('unsuccessful', 'successful')",-0.48833612,-0.44927242,0.78440934,1.035382,0.1425896,0.2540436,-0.111454
24,0.12157365,0.080574594,"('dishonest', 'honest')",-0.9808254,-0.7857035,0.60721195,0.6694583,-0.0840133,-0.0118902,-0.0721231
40,0.11902072,-0.00038585626,"('stingy', 'generous')",-0.06831241,-0.074290246,-1.3318262,-1.4453137,-0.4270393,-0.5066633,0.079624
74,-0.114428535,-0.11174266,"('undedicated', 'dedicated')",-0.12519601,0.061211586,0.26158863,0.19401926,0.0073214,0.0478294,-0.040508
37,-0.084067404,-0.029088542,"('fake', 'genuine')",-0.6546088,-0.47686914,0.18889612,0.22031668,-0.18326,-0.0952137,-0.0880463
27,0.08406372,0.03171825,"('hardhearted', 'softhearted')",-0.32578325,-0.24199945,0.77132833,1.0344375,0.1765363,0.2747188,-0.0981825
12,-0.05711061,-0.06817091,"('unsupportive', 'supportive')",-0.21958964,0.10785954,-1.6697108,-1.4893962,-0.6488037,-0.4832359,-0.1655678
