,freeport_male,freeport_female,tuple,mcmoran_male,mcmoran_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.9826453,-1.8796458,"('unfriendly', 'friendly')",-1.5902714,-1.5208879,2.110742,1.9885153,-0.4873915,-0.4706728,-0.0167187
19,-1.7916619,-1.6599692,"('inhospitable', 'hospitable')",0.36043298,0.38273284,0.0724157,0.14714088,-0.4529377,-0.3766985,-0.0762392
8,-1.7850502,-1.793621,"('unaffectionate', 'affectionate')",-1.063519,-1.187412,0.93796223,1.1058676,-0.636869,-0.6250551,-0.0118139
31,-1.7468263,-1.4940226,"('evil', 'good')",0.23896053,0.51921284,-1.0414363,-0.9051828,-0.8497674,-0.6266642,-0.2231032
36,-1.730794,-1.8638294,"('hostile', 'amicable')",0.17991564,0.10846658,0.26002765,0.030563533,-0.4302835,-0.5749331,0.1446496
42,1.589687,1.6902871,"('unreliable', 'reliable')",0.79510134,1.0126896,-2.393755,-2.077035,-0.0029889,0.2086473,-0.2116362
85,-1.5497333,-1.4908735,"('insignificant', 'prestigious')",0.67800516,0.6578794,0.81371295,0.839521,-0.0193384,0.0021756,-0.021514
53,-1.4698719,-1.3848015,"('uncreative', 'creative')",-1.0517066,-0.9671862,1.3278627,1.2217706,-0.3979052,-0.3767391,-0.0211661
80,1.463994,1.6264471,"('dominated', 'dominating')",-0.7382764,-0.51210356,-1.4820545,-1.1545388,-0.2521123,-0.0133984,-0.2387139
39,1.3978667,1.2067416,"('exploitative', 'cooperative')",0.027527697,-0.17420805,0.092179105,0.089744546,0.5058578,0.3740927,0.1317651
79,-1.3775702,-1.1555575,"('wavering', 'unwavering')",0.80487895,0.929192,0.19647202,0.36813742,-0.1254064,0.0472573,-0.1726637
5,-1.3627526,-1.3861384,"('distant', 'outgoing')",0.5887543,0.42936826,-0.049374342,0.03707118,-0.2744575,-0.3065663,0.0321088
6,-1.348385,-1.2476659,"('distant', 'open')",0.25342777,0.21625142,0.70090926,0.78655255,-0.1313493,-0.0816207,-0.0497286
44,1.2911448,1.0707672,"('prejudiced', 'unprejudiced')",0.59148693,0.14204578,-1.5697885,-1.630822,0.1042811,-0.1393363,0.2436174
16,-1.2682794,-1.2363019,"('unpopular', 'popular')",-0.13107212,-0.14208433,0.46468243,0.39277923,-0.3115564,-0.3285357,0.0169793
86,-1.2649165,-1.0973521,"('uninfluential', 'influential')",-2.2134962,-1.7848725,-0.31977865,-0.25068462,-1.2660638,-1.0443031,-0.2217607
9,-1.2413826,-1.1951368,"('unaffectionate', 'caring')",-1.1804333,-1.20144,1.349325,1.5900531,-0.357497,-0.2688413,-0.0886557
60,1.1127222,1.0686656,"('inefficient', 'efficient')",-1.6959314,-1.418663,0.18761013,0.030342702,-0.1318664,-0.1065516,-0.0253148
66,-1.0904653,-0.95755625,"('inactive', 'active')",0.09007001,-0.015349202,0.8867535,1.1348383,-0.0378806,0.0539776,-0.0918582
62,1.0707937,1.299481,"('incompetent', 'brilliant')",-1.3172187,-0.9232397,0.19285181,0.5051427,-0.0178577,0.2937947,-0.3116524
76,1.0668489,0.9341825,"('anxious', 'daring')",-0.35216862,-0.31440604,0.43066725,0.46211845,0.3817825,0.3606316,0.0211509
27,-1.0345156,-0.9278765,"('hardhearted', 'softhearted')",-0.3554317,-0.23781255,1.658826,1.9514089,0.0896262,0.2619066,-0.1722804
35,-0.9644314,-1.0549217,"('corrupt', 'incorrupt')",1.8219007,1.3782839,-0.09301434,-0.24116808,0.2548183,0.027398,0.2274203
67,0.959009,0.93719184,"('doubtful', 'determined')",0.93495506,0.7051195,-0.28870034,-0.33954635,0.5350879,0.434255,0.1008329
73,0.943917,1.0268303,"('helpless', 'self-reliant')",1.9231914,1.8069938,-2.7662606,-2.6188025,0.0336159,0.0716739,-0.038058
64,0.9383132,0.86677074,"('shy', 'confident')",0.28367496,0.16187863,-6.425619,-6.3944197,-1.7345436,-1.7885901,0.0540465
56,0.9281967,0.9733901,"('impractical', 'practical')",-0.7575618,-0.4497644,-0.06531264,-0.11349145,0.0351074,0.1367114,-0.101604
14,0.9228488,0.84210575,"('antisocial', 'social')",-1.4852144,-1.2246974,-0.7280837,-0.7134078,-0.4301498,-0.3653332,-0.0648166
7,0.8948111,1.0602989,"('insensitive', 'sensitive')",-0.6065216,-0.35104248,0.9715154,1.2137731,0.419935,0.6410098,-0.2210748
65,0.8757376,0.67169154,"('insecure', 'secure')",-0.9712342,-1.0360177,-0.5486131,-0.48086086,-0.2147032,-0.281729,0.0670258
38,-0.82314235,-0.58727944,"('untruthful', 'truthful')",-0.5991018,-0.42560986,0.198894,0.2426864,-0.4077833,-0.2567343,-0.151049
81,0.80904824,0.7907069,"('submissive', 'aggressive')",-0.69701797,-0.6895966,-0.8975032,-1.0114628,-0.2618243,-0.3034508,0.0416265
78,-0.78768146,-0.6837288,"('nonresilient', 'resilient')",-0.69672513,-0.41509077,0.40261945,0.59577495,-0.3605957,-0.1676816,-0.1929141
57,-0.77959096,-0.4911658,"('unimaginative', 'imaginative')",-1.7476631,-1.2531586,-2.3519027,-2.3220472,-1.6263857,-1.3554571,-0.2709286
25,-0.7672343,-0.99105316,"('egoistic', 'altruistic')",-0.22254387,-0.4727795,1.7329297,1.5777551,0.2477172,0.0379742,0.209743
37,0.73648113,0.8327455,"('fake', 'genuine')",0.3838689,0.30004376,0.761773,0.9066605,0.6273743,0.6798166,-0.0524423
