,monsanto_male,monsanto_female,tuple,co_male,co_female,average_male,average_female,male-female
3,-2.1291726,-2.1825006,"('repellent', 'pleasant')",0.6781547,0.35662547,-0.7255089,-0.9129376,0.1874287
57,-1.91572,-2.1254146,"('unimaginative', 'imaginative')",-3.4539359,-3.6392422,-2.6848278,-2.8823285,0.1975007
10,-1.7865828,-1.8162843,"('unsympathetic', 'sympathetic')",0.1766392,-0.076259635,-0.8049718,-0.946272,0.1413002
22,-1.6520104,-1.7281362,"('untrustworthy', 'trustworthy')",-0.67111295,-1.0028043,-1.1615617,-1.3654702,0.2039085
53,-1.5442733,-1.5128615,"('uncreative', 'creative')",0.43276876,0.29434958,-0.5557523,-0.609256,0.0535037
69,1.5048743,1.5519884,"('lazy', 'industrious')",-0.9921673,-0.9298384,0.2563535,0.311075,-0.0547215
14,-1.504315,-1.4208616,"('antisocial', 'social')",-0.45375568,-0.28754514,-0.9790354,-0.8542033,-0.1248321
45,-1.4579104,-1.4205528,"('incompetent', 'competent')",-0.20415622,-0.41677347,-0.8310333,-0.9186631,0.0876298
65,-1.4570831,-1.4786032,"('insecure', 'secure')",0.4325287,0.36502486,-0.5122772,-0.5567892,0.044512
28,-1.4488881,-1.4720185,"('disloyal', 'loyal')",0.36692467,0.38936013,-0.5409817,-0.5413291,0.0003474
46,-1.4271959,-1.4967641,"('uncompetitive', 'competitive')",-0.5189225,-0.75407493,-0.9730592,-1.1254195,0.1523603
70,-1.4055808,-1.4717824,"('lethargic', 'energetic')",0.84626895,0.4854857,-0.2796559,-0.4931484,0.2134925
7,-1.3443459,-1.3377054,"('insensitive', 'sensitive')",0.2923035,-0.07056621,-0.5260212,-0.7041358,0.1781146
0,-1.3168143,-1.3501391,"('unsociable', 'sociable')",-0.23355435,-0.3354924,-0.7751843,-0.8428158,0.0676315
86,-1.2799789,-1.6239436,"('uninfluential', 'influential')",-0.30749202,-0.572124,-0.7937354,-1.0980338,0.3042984
85,1.2742602,1.1784848,"('insignificant', 'prestigious')",-1.002792,-0.90769404,0.1357341,0.1353954,0.0003387
30,-1.23667,-1.1230927,"('intolerant', 'tolerant')",0.54738146,0.8485333,-0.3446443,-0.1372797,-0.2073646
58,-1.1762375,-1.0000057,"('undiscriminating', 'discriminating')",0.1142943,-0.04746037,-0.5309716,-0.523733,-0.0072386
13,-1.1401167,-1.0929486,"('impolite', 'polite')",0.24634695,0.12896477,-0.4468849,-0.4819919,0.035107
43,-1.1050575,-1.0418159,"('irresponsible', 'responsible')",0.561285,0.7473408,-0.2718862,-0.1472375,-0.1246487
19,-1.0761057,-0.9083232,"('inhospitable', 'hospitable')",-0.4605562,-0.445269,-0.7683309,-0.6767961,-0.0915348
24,-1.0177597,-0.888272,"('dishonest', 'honest')",0.982205,1.0130553,-0.0177774,0.0623917,-0.0801691
60,-1.001836,-0.88768953,"('inefficient', 'efficient')",0.52287143,0.6725209,-0.2394823,-0.1075843,-0.131898
55,-0.98432386,-1.0370834,"('incompetent', 'clever')",0.7640725,0.6280418,-0.1101257,-0.2045208,0.0943951
18,-0.97978425,-1.0241019,"('disagreeable', 'welcoming')",-1.1263552,-1.079134,-1.0530697,-1.0516179,-0.0014518
23,-0.96779877,-1.0668138,"('insincere', 'sincere')",6.3441906,6.1281824,2.6881959,2.5306842,0.1575117
