,altria_male,altria_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
31,-1.9187943,-1.4343973,"('evil', 'good')",-1.9965007,-1.7372681,-1.4705137,-1.5764326,-1.7952696,-1.5826993,-0.2125703
1,-1.9024495,-1.5750237,"('unfriendly', 'friendly')",-0.9318493,-0.7867222,1.2158637,1.2019336,-0.5394784,-0.3866041,-0.1528743
86,-1.6044227,-1.3935,"('uninfluential', 'influential')",-0.02623321,0.043757338,-0.3399593,-0.2532522,-0.6568717,-0.5343316,-0.1225401
85,-1.4160937,-1.122914,"('insignificant', 'prestigious')",-1.110786,-1.0638163,-0.1578904,-0.14526969,-0.8949234,-0.7773333,-0.1175901
6,-1.3615583,-1.0321511,"('distant', 'open')",-2.4051757,-2.1095588,-0.09465391,-0.0090281535,-1.2871293,-1.050246,-0.2368833
0,-1.3266985,-1.3709024,"('unsociable', 'sociable')",0.5418246,0.4643647,-0.47823042,-0.47237676,-0.4210348,-0.4596382,0.0386034
52,-1.2900773,-1.1575655,"('irrational', 'rational')",-1.4652091,-1.367389,-0.25162524,-0.42142203,-1.0023039,-0.9821254,-0.0201785
8,-1.1603783,-0.8470271,"('unaffectionate', 'affectionate')",-0.8072472,-0.71943635,0.25271788,0.3115896,-0.5716359,-0.4182913,-0.1533446
5,-1.1468638,-0.68597865,"('distant', 'outgoing')",-2.0755904,-1.7872843,-0.4545574,-0.32832712,-1.2256705,-0.9338633,-0.2918072
9,-1.1156949,-0.9663274,"('unaffectionate', 'caring')",-0.5934627,-0.39519933,0.91464466,1.0525361,-0.2648376,-0.1029969,-0.1618407
53,-1.1084541,-1.0201309,"('uncreative', 'creative')",-0.24856648,-0.16401757,0.8303841,0.7649797,-0.1755455,-0.1397229,-0.0358226
19,-1.0764681,-0.98775834,"('inhospitable', 'hospitable')",-2.0894105,-1.8187463,-0.22342442,-0.19154394,-1.1297677,-0.9993496,-0.1304181
76,1.0752622,0.54225624,"('anxious', 'daring')",1.4625571,1.2362722,0.70540154,0.5474383,1.0810736,0.7753223,0.3057513
60,1.0738761,0.7085129,"('inefficient', 'efficient')",2.2940924,2.1301818,0.5645122,0.6527709,1.3108269,1.1638219,0.147005
29,-1.0620272,-0.70732975,"('unfair', 'fair')",-0.67428875,-0.48332202,-0.7436124,-0.8319647,-0.8266428,-0.6742055,-0.1524373
79,-1.0400229,-1.0176692,"('wavering', 'unwavering')",-2.215935,-2.2037435,-0.092696466,-0.22895712,-1.1162181,-1.1501233,0.0339052
57,-0.98874307,-1.1335493,"('unimaginative', 'imaginative')",-0.31827658,-0.44277242,-2.829268,-2.694754,-1.3787626,-1.4236919,0.0449293
2,0.9476405,0.8676189,"('unlikable', 'likable')",1.7967199,1.8129474,0.780507,0.83847314,1.1749558,1.1730131,0.0019427
30,0.9460585,0.9511721,"('intolerant', 'tolerant')",0.8492351,0.920601,1.349386,1.4157469,1.0482265,1.09584,-0.0476135
67,0.9259082,0.98774683,"('doubtful', 'determined')",0.6049408,0.51214665,-0.079470195,-0.31459337,0.4837929,0.3951,0.0886929
16,-0.8929305,-0.6280756,"('unpopular', 'popular')",-0.21930374,-0.22419003,0.60209936,0.46106717,-0.170045,-0.1303995,-0.0396455
73,0.8889295,1.0199684,"('helpless', 'self-reliant')",-0.15241009,-0.074734874,-3.6085095,-3.3072922,-0.9573301,-0.7873529,-0.1699772
36,-0.82332194,-1.0018152,"('hostile', 'amicable')",-1.9548354,-2.2021172,-0.3244771,-0.6449359,-1.0342115,-1.282956,0.2487445
75,0.74567825,0.29900765,"('meek', 'impulsive')",-0.9750641,-1.22711,-0.43979764,-0.5820459,-0.2230612,-0.5033828,0.2803216
21,0.7367017,0.4229929,"('immoral', 'moral')",1.0048428,0.89615005,-0.41931817,-0.47169435,0.4407421,0.2824829,0.1582592
4,-0.73583925,-0.43197224,"('disliked', 'liked')",-0.46066707,-0.49854428,-6.673979,-6.4321165,-2.6234951,-2.4542109,-0.1692842
63,-0.7225082,-0.5146361,"('unperceptive', 'insightful')",1.1880373,1.5384015,1.2674673,1.4907767,0.5776654,0.8381807,-0.2605153
80,0.71688604,0.37079138,"('dominated', 'dominating')",1.4866849,1.2650356,-0.92720777,-0.9657115,0.4254544,0.2233719,0.2020825
28,-0.7102273,-0.61024284,"('disloyal', 'loyal')",-0.07688365,-0.20716794,0.8352751,0.69375163,0.0160547,-0.0412197,0.0572744
66,-0.68729323,-0.7226722,"('inactive', 'active')",0.09750358,0.18179591,0.6203184,0.5851288,0.0101763,0.0147508,-0.0045745
18,-0.68076074,-0.21925342,"('disagreeable', 'welcoming')",-0.41301045,-0.2164506,-0.5440115,-0.37013972,-0.5459276,-0.2686146,-0.277313
10,-0.67671406,-0.89607185,"('unsympathetic', 'sympathetic')",0.3414475,0.40423852,-0.07439798,0.04899703,-0.1365548,-0.1476121,0.0110573
54,-0.6696909,-0.32682914,"('incapable', 'capable')",-0.22000772,-0.017712936,1.03207,0.9955073,0.0474571,0.2169884,-0.1695313
12,-0.6551509,-0.33738446,"('unsupportive', 'supportive')",0.7323627,1.0348073,-1.651292,-1.3878859,-0.5246934,-0.2301544,-0.294539
81,0.63672745,0.47129184,"('submissive', 'aggressive')",2.4131107,2.066327,0.07305744,-0.03635955,1.0409652,0.8337531,0.2072121
26,-0.59347636,-0.52475214,"('hardhearted', 'benevolent')",0.5350713,0.53859216,0.9617998,0.97420394,0.3011316,0.329348,-0.0282164
35,0.5893276,0.6262304,"('corrupt', 'incorrupt')",-2.01999,-2.1356163,-0.70096165,-0.78681093,-0.7105413,-0.7653989,0.0548576
78,-0.5796026,-0.553114,"('nonresilient', 'resilient')",1.0544764,1.1935447,0.23489583,0.40698788,0.2365899,0.3491395,-0.1125496
61,-0.5616457,-0.6534952,"('illogical', 'logical')",-0.18147233,-0.07947683,0.25026226,0.2510881,-0.1642853,-0.160628,-0.0036573
88,-0.5581374,-0.71199936,"('low', 'eminent')",-0.7874632,-1.0914729,0.20323126,0.12508841,-0.3807898,-0.5594613,0.1786715
37,0.55080086,0.8037162,"('fake', 'genuine')",-0.3915066,-0.12244609,0.19775257,0.34477624,0.1190156,0.3420155,-0.2229999
77,-0.5385906,-0.7817356,"('unmotivated', 'motivated')",0.78205967,0.73263717,-0.90636516,-0.84469897,-0.2209654,-0.2979325,0.0769671
56,0.5369334,0.2931739,"('impractical', 'practical')",1.5712969,1.3635645,0.5915936,0.56516707,0.8999413,0.7406352,0.1593061
39,0.51313686,0.5715903,"('exploitative', 'cooperative')",1.4686894,1.4857948,0.12858681,0.04154381,0.703471,0.6996429,0.0038281
44,0.5121254,0.21675247,"('prejudiced', 'unprejudiced')",-0.12848926,-0.3730701,-1.3160887,-1.3745164,-0.3108175,-0.510278,0.1994605
58,-0.49297515,-0.45541003,"('undiscriminating', 'discriminating')",0.6239183,0.8395922,-0.18827109,-0.16526823,-0.0191093,0.0729713,-0.0920806
62,0.48984772,0.5130643,"('incompetent', 'brilliant')",1.6253978,1.5558283,0.7480329,0.9792907,0.9544261,1.0160611,-0.061635
51,-0.47356343,-0.43832636,"('uneducated', 'educated')",0.8917773,0.84408545,0.7849733,0.8539378,0.4010624,0.419899,-0.0188366
72,-0.46918505,-0.77087855,"('unambitious', 'ambitious')",0.79124767,0.58501375,-0.6532667,-0.7709867,-0.1104014,-0.3189505,0.2085491
45,-0.4646608,-0.5234773,"('incompetent', 'competent')",0.7019207,0.4646889,-0.18814857,-0.26729852,0.0163704,-0.1086956,0.125066
17,-0.46035576,-0.29690439,"('nasty', 'nice')",-1.1215842,-0.96627843,-0.39567012,-0.37122744,-0.6592034,-0.5448035,-0.1143999
40,-0.45367596,-0.012154121,"('stingy', 'generous')",0.6615585,0.7471662,-1.977458,-1.7375984,-0.5898585,-0.3341955,-0.255663
27,-0.4061954,-0.16664714,"('hardhearted', 'softhearted')",-0.8463367,-0.37899894,0.9488592,1.3131548,-0.1012243,0.2558362,-0.3570605
82,-0.39017153,-0.39112055,"('poor', 'rich')",0.68186325,0.42764533,6.5631657,6.3237576,2.2849525,2.1200941,0.1648584
20,0.38140357,0.30945885,"('rough', 'thoughtful')",1.5852723,1.5613835,0.9011443,1.0118847,0.9559401,0.960909,-0.0049689
83,-0.37614286,-0.44291872,"('powerless', 'powerful')",0.57585484,0.40962496,-0.9161673,-0.934589,-0.2388184,-0.3226276,0.0838092
38,-0.36835858,-0.56822777,"('untruthful', 'truthful')",-0.7715507,-0.836759,0.43921217,0.43507558,-0.2335657,-0.3233037,0.089738
41,-0.3551152,-0.21378472,"('unforgiving', 'forgiving')",0.73331684,0.824723,0.1471618,0.13091877,0.1751211,0.2472857,-0.0721646
70,0.34406167,0.33653963,"('lethargic', 'energetic')",0.9199781,0.9652182,0.81868166,1.0145125,0.6942405,0.7720901,-0.0778496
23,-0.33543998,-0.35699463,"('insincere', 'sincere')",0.62748057,0.59233224,6.41154,6.207134,2.234527,2.1474905,0.0870365
32,-0.33153456,-0.41645896,"('unkind', 'kind')",0.7381418,0.69703084,1.0255281,0.975747,0.4773784,0.4187729,0.0586055
71,-0.32322747,0.06724055,"('diffident', 'self-confident')",-0.22033575,-0.007429369,0.4409108,0.500992,-0.0342175,0.1869344,-0.2211519
48,-0.28325683,-0.087998375,"('unintelligent', 'intelligent')",0.046804667,0.13025193,0.4341259,0.5837031,0.0658912,0.2086522,-0.142761
87,-0.22677921,-0.51991135,"('unsuccessful', 'successful')",1.3437116,1.0127128,0.9302866,0.7549111,0.6824063,0.4159042,0.2665021
14,0.21736708,0.22437313,"('antisocial', 'social')",2.2113822,1.9658053,-0.2393159,-0.3943823,0.7298111,0.5985987,0.1312124
13,0.21259984,-0.041463666,"('impolite', 'polite')",0.24303208,0.19519508,0.21420148,0.2998727,0.2232778,0.1512014,0.0720764
68,-0.18238807,0.07150111,"('dependent', 'independent')",-0.2909233,-0.103850454,-0.54042095,-0.3413851,-0.3379108,-0.1245781,-0.2133327
69,0.16626358,0.42042282,"('lazy', 'industrious')",-0.14787579,-0.043255646,-0.86244917,-0.69598186,-0.2813538,-0.1062716,-0.1750822
64,-0.16409026,0.09356187,"('shy', 'confident')",1.1889288,1.3935136,-6.257823,-5.914621,-1.7443282,-1.4758485,-0.2684797
47,0.15868412,0.1649258,"('stupid', 'smart')",0.8778348,0.8986121,5.9631343,5.8437552,2.3332178,2.3024311,0.0307867
42,0.15557657,0.44328633,"('unreliable', 'reliable')",1.2831037,1.4615064,-2.9727213,-2.5246089,-0.511347,-0.2066054,-0.3047416
7,0.1545408,0.29937115,"('insensitive', 'sensitive')",0.2960329,0.44901487,0.7291261,0.8989141,0.3932333,0.5491,-0.1558667
43,0.12919466,-0.0044400394,"('irresponsible', 'responsible')",1.2317729,1.2382399,0.97057116,0.94630927,0.7771796,0.726703,0.0504766
49,-0.111519285,0.19130549,"('unable', 'able')",-0.59483296,-0.3921553,-0.10824244,0.09007208,-0.2715316,-0.0369259,-0.2346057
74,-0.09509164,-0.091371216,"('undedicated', 'dedicated')",1.0030491,1.1599894,0.0464154,0.11559869,0.3181243,0.394739,-0.0766147
84,0.08568163,0.12207185,"('inferior', 'superior')",0.18155715,0.40635285,0.6750556,0.757732,0.3140981,0.4287189,-0.1146208
25,-0.06844295,-0.013591358,"('egoistic', 'altruistic')",-0.21062134,-0.19290456,1.1031406,1.087467,0.2746921,0.293657,-0.0189649
3,-0.065986514,-0.36481926,"('repellent', 'pleasant')",1.1143869,0.96844316,0.37555557,0.2165733,0.474652,0.2733991,0.2012529
46,-0.06530005,-0.36710536,"('uncompetitive', 'competitive')",1.9251256,2.0114431,-0.41662657,-0.38401955,0.4810663,0.4201061,0.0609602
65,-0.061985284,-0.19127226,"('insecure', 'secure')",1.1447556,1.0752779,-0.05268987,-0.010268477,0.3433601,0.2912457,0.0521144
33,-0.05748657,0.113082625,"('wrong', 'right')",-0.55826014,-0.4695071,-0.81321156,-0.8083513,-0.4763194,-0.3882586,-0.0880608
15,-0.05060269,-0.11247155,"('boring', 'funny')",-1.3886036,-1.524571,0.3302763,0.05476506,-0.3696433,-0.5274258,0.1577825
11,0.049177285,-0.13511872,"('unhelpful', 'helpful')",0.026124679,-0.0077167973,2.270802,2.3206937,0.7820346,0.7259527,0.0560819
24,-0.04078194,0.011394482,"('dishonest', 'honest')",-0.1346445,-0.15060714,0.8325486,0.83459294,0.2190407,0.2317934,-0.0127527
55,0.037590086,0.2082062,"('incompetent', 'clever')",1.482529,1.396621,0.16343156,0.23869419,0.5611836,0.6145071,-0.0533235
22,-0.031973068,0.058747247,"('untrustworthy', 'trustworthy')",0.5913476,0.6578749,-0.9878291,-0.8790026,-0.1428182,-0.0541268,-0.0886914
59,0.028175645,0.64186525,"('foolish', 'wise')",-1.717973,-1.395816,0.30236182,0.38194183,-0.4624785,-0.124003,-0.3384755
50,0.027382497,0.5296794,"('clumsy', 'skillful')",-0.52409375,-0.16841614,0.030008279,0.17400226,-0.1555677,0.1784219,-0.3339896
34,-0.027158001,-0.046652813,"('mean', 'honorable')",0.24248537,0.31451833,6.2641835,6.1943917,2.1598369,2.1540858,0.0057511
