,national_male,national_female,tuple,city_male,city_female,corp_male,corp_female,average_male,average_female,male-female
36,-2.4755933,-2.4940102,"('hostile', 'amicable')",-2.4809232,-2.6411777,-1.069667,-1.0814816,-2.0087277,-2.0722232,0.0634955
56,1.8712535,1.4071018,"('impractical', 'practical')",2.511064,2.224272,0.3418411,-0.026738364,1.5747196,1.2015452,0.3731744
14,1.7388227,1.5307806,"('antisocial', 'social')",2.6928606,2.660467,0.30531585,-0.0011127861,1.5789998,1.3967115,0.1822883
12,1.6265047,1.8231789,"('unsupportive', 'supportive')",1.1210415,1.1383104,-1.9564244,-1.7293152,0.2637073,0.4107247,-0.1470174
35,-1.5841964,-1.3540047,"('corrupt', 'incorrupt')",-2.6733441,-2.401912,-1.0596858,-0.9848685,-1.7724088,-1.5802617,-0.1921471
21,1.5162622,1.2300073,"('immoral', 'moral')",1.873902,1.6558664,0.09531699,-0.09339259,1.161827,0.9308271,0.2309999
50,-1.4895289,-1.1966305,"('clumsy', 'skillful')",-0.9205691,-1.0018579,-0.28408074,-0.06608437,-0.8980596,-0.7548575,-0.1432021
39,1.4326727,1.5680301,"('exploitative', 'cooperative')",1.0977098,1.1444267,0.24575996,0.27161318,0.9253809,0.9946899,-0.069309
65,1.3724778,0.810935,"('insecure', 'secure')",1.3031365,0.7609977,0.68984693,0.28690362,1.1218204,0.6196121,0.5022083
62,1.3224055,1.2805221,"('incompetent', 'brilliant')",2.0918925,1.764909,0.90046406,0.8129812,1.438254,1.2861374,0.1521166
8,-1.3156527,-0.8017244,"('unaffectionate', 'affectionate')",-1.2459965,-0.9594902,0.38846254,1.0200827,-0.7243956,-0.2470439,-0.4773517
38,1.2676945,1.1158355,"('untruthful', 'truthful')",0.4609541,0.33094186,0.13964659,0.006856218,0.6227651,0.4845445,0.1382206
31,-1.2409112,-0.8379796,"('evil', 'good')",-1.5120043,-1.2585064,-1.2768041,-1.110726,-1.3432398,-1.0690707,-0.2741691
53,-1.240763,-1.0840997,"('uncreative', 'creative')",-0.46671194,-0.45819816,0.2056191,0.3189826,-0.5006186,-0.4077717,-0.0928469
32,1.2085037,1.1836482,"('unkind', 'kind')",0.8096298,0.7146015,1.3222548,1.4314843,1.1134628,1.1099114,0.0035514
80,1.2071098,1.0582211,"('dominated', 'dominating')",1.1300689,0.7490845,-0.29315826,-0.36405388,0.6813401,0.4810839,0.2002562
23,1.1606902,1.007693,"('insincere', 'sincere')",1.3796183,1.1568904,7.0775466,7.039985,3.2059517,3.0681896,0.1377621
27,-1.1575831,-0.72597164,"('hardhearted', 'softhearted')",-0.8996334,-0.6551682,0.9315675,1.311071,-0.3752164,-0.0233562,-0.3518602
37,-1.1497924,-0.1541499,"('fake', 'genuine')",-1.0544904,-0.5369948,0.051437713,0.4132275,-0.717615,-0.0926391,-0.6249759
81,1.1167512,0.37940496,"('submissive', 'aggressive')",1.9664985,1.4469055,0.2112068,-0.34545654,1.0981522,0.4936179,0.6045343
78,-1.08973,-1.0820062,"('nonresilient', 'resilient')",-0.07076843,-0.24340618,-0.43049142,-0.29723814,-0.53033,-0.5408835,0.0105535
75,-1.0149724,-1.178459,"('meek', 'impulsive')",-0.8392997,-1.0385714,-0.96428585,-1.0667413,-0.9395193,-1.0945907,0.1550714
19,-1.0011952,-0.6320785,"('inhospitable', 'hospitable')",-0.84218484,-0.7241207,-0.7582788,-0.3914438,-0.8672196,-0.5825477,-0.2846719
11,0.9803782,0.92460054,"('unhelpful', 'helpful')",1.825073,1.4709902,2.1532824,2.2480595,1.6529112,1.5478834,0.1050278
6,-0.93647873,-0.528876,"('distant', 'open')",-2.0689392,-1.7439753,-0.6640252,-0.4192352,-1.2231477,-0.8973622,-0.3257855
52,-0.92644835,-1.0499568,"('irrational', 'rational')",-1.0795679,-1.0244753,-0.36314094,-0.3109381,-0.7897191,-0.7951234,0.0054043
28,0.9199097,1.015557,"('disloyal', 'loyal')",0.06567988,0.018714665,1.4523991,1.3565471,0.8126629,0.7969396,0.0157233
5,-0.90167207,-0.5957925,"('distant', 'outgoing')",-1.4414306,-1.1820077,-0.79961485,-0.6314599,-1.0475725,-0.8030867,-0.2444858
71,0.83782315,0.7936755,"('diffident', 'self-confident')",1.0150747,0.94050664,0.1700044,0.33858213,0.6743008,0.6909214,-0.0166206
67,0.8300214,1.0510639,"('doubtful', 'determined')",0.83060336,1.2050745,-0.5128899,-0.6024887,0.3825783,0.5512165,-0.1686382
1,-0.8186779,-0.5919569,"('unfriendly', 'friendly')",-1.3487792,-1.1154435,1.1748755,1.515329,-0.3308605,-0.0640238,-0.2668367
74,0.8154102,0.97326505,"('undedicated', 'dedicated')",1.0314207,0.9541827,-0.35658103,-0.39521402,0.49675,0.5107446,-0.0139946
