,eastman_male,eastman_female,tuple,chemical_male,chemical_female,co_male,co_female,average_male,average_female,male-female
26,2.4586346,2.5767853,"('hardhearted', 'benevolent')",1.6188009,1.7092568,1.6488804,1.7456275,1.908772,2.0105565,-0.1017845
69,2.4165895,2.4876006,"('lazy', 'industrious')",1.7198204,1.9491264,-0.73259485,-0.4859567,1.1346049,1.3169235,-0.1823186
45,-2.18781,-1.8327073,"('incompetent', 'competent')",-0.5785751,-0.852064,-0.33511686,-0.5735933,-1.033834,-1.0861216,0.0522876
55,-2.1432433,-2.0693176,"('incompetent', 'clever')",-0.30493602,-0.6863241,0.38860396,-0.08249297,-0.6865251,-0.9460449,0.2595198
63,-2.0753546,-1.6749386,"('unperceptive', 'insightful')",-0.025138225,-0.1496944,0.4071345,0.5081305,-0.5644527,-0.4388342,-0.1256185
85,2.0271134,2.4313977,"('insignificant', 'prestigious')",1.60057,1.8945919,-0.73203707,-0.21981916,0.9652154,1.3687236,-0.4035082
21,-2.022255,-2.2166998,"('immoral', 'moral')",-0.6784117,-0.9867833,-0.48908198,-0.9037785,-1.0632496,-1.3690872,0.3058376
43,-2.011716,-1.6314427,"('irresponsible', 'responsible')",-0.8075149,-0.88708454,0.24478295,0.26446587,-0.8581493,-0.7513538,-0.1067955
46,-1.9677325,-2.059869,"('uncompetitive', 'competitive')",-0.3983767,-0.87856084,-0.2779037,-0.73021436,-0.8813377,-1.2228814,0.3415437
36,1.9521089,1.9157859,"('hostile', 'amicable')",-0.4511683,-0.24800707,-0.43603134,-0.108442955,0.3549697,0.5197786,-0.1648089
70,-1.902804,-1.5530394,"('lethargic', 'energetic')",-1.4143007,-1.4267688,0.13029993,0.30130476,-1.0622683,-0.8928345,-0.1694338
76,-1.9006578,-2.1857572,"('anxious', 'daring')",-1.1976997,-1.4625524,0.4559327,-0.010689672,-0.8808083,-1.2196665,0.3388582
13,-1.7424382,-1.7416816,"('impolite', 'polite')",-0.62639856,-0.78304696,-0.03428969,-0.42260507,-0.8010422,-0.9824445,0.1814023
22,-1.664613,-1.2713838,"('untrustworthy', 'trustworthy')",-1.1557842,-1.2306689,-0.88052833,-0.86048234,-1.2336419,-1.120845,-0.1127969
39,1.6339524,1.7959459,"('exploitative', 'cooperative')",0.61647683,0.6865474,0.26974708,0.44029516,0.8400587,0.9742629,-0.1342042
42,-1.5694667,-1.0358394,"('unreliable', 'reliable')",-0.32800096,-0.4962937,-2.5116048,-2.3351538,-1.4696908,-1.2890956,-0.1805952
74,1.555451,1.603232,"('undedicated', 'dedicated')",0.555388,0.5725138,0.29110807,0.4023229,0.800649,0.8593562,-0.0587072
60,-1.5208375,-1.5033625,"('inefficient', 'efficient')",0.16264883,-0.004180627,-0.07300278,-0.22385025,-0.4770639,-0.5771312,0.1000673
65,-1.5100174,-1.5722458,"('insecure', 'secure')",-1.2040948,-1.429337,0.39223856,0.050784394,-0.7739579,-0.9835995,0.2096416
62,-1.5095992,-1.4122267,"('incompetent', 'brilliant')",-0.036364205,-0.3218482,0.03740122,-0.119271845,-0.5028541,-0.6177822,0.1149281
10,-1.4567041,-1.2303841,"('unsympathetic', 'sympathetic')",-0.9932025,-1.2571082,-0.022900261,-0.35486555,-0.824269,-0.9474526,0.1231836
0,-1.3916695,-1.3632251,"('unsociable', 'sociable')",0.44545928,0.012543515,-0.0045859143,-0.38230038,-0.3169321,-0.5776606,0.2607285
33,1.3692466,1.7848101,"('wrong', 'right')",0.8998162,1.1953614,-0.8912616,-0.3630343,0.4592671,0.8723791,-0.413112
35,1.3504602,1.3247278,"('corrupt', 'incorrupt')",-0.46219718,-0.0702979,-1.03883,-0.723092,-0.050189,0.1771126,-0.2273016
51,-1.3241721,-1.3313,"('uneducated', 'educated')",-0.5089144,-0.7586745,0.58903676,0.5557535,-0.4146833,-0.511407,0.0967237
5,1.3186717,1.4986446,"('distant', 'outgoing')",-0.04497748,0.12124606,-1.2862233,-0.7499776,-0.0041763,0.289971,-0.2941473
64,-1.313862,-1.3049119,"('shy', 'confident')",-0.73118824,-0.91141313,-5.71598,-5.818917,-2.5870101,-2.678414,0.0914039
1,1.2938609,1.9788888,"('unfriendly', 'friendly')",1.2595857,1.4518461,1.041285,1.5641738,1.1982439,1.6649696,-0.4667257
11,-1.2184937,-1.2236185,"('unhelpful', 'helpful')",0.08861671,-0.2337579,2.7340474,2.564643,0.5347235,0.3690888,0.1656347
29,-1.1611663,-1.0533699,"('unfair', 'fair')",-0.8423169,-1.0266706,-1.1781666,-1.1747965,-1.06055,-1.0849457,0.0243957
6,1.1212593,1.5003494,"('distant', 'open')",-0.14139438,0.190137,-1.0692441,-0.48995292,-0.0297931,0.4001778,-0.4299709
71,1.1143608,1.2600816,"('diffident', 'self-confident')",1.1952225,1.2625426,-0.04668431,0.23332442,0.7542996,0.9186496,-0.16435
15,1.1010603,1.0002052,"('boring', 'funny')",-0.18152024,-0.11348756,0.54264283,0.6561372,0.4873943,0.5142849,-0.0268906
30,-1.0989832,-0.85650223,"('intolerant', 'tolerant')",-0.70175135,-0.80530953,0.28451928,0.14497277,-0.5054051,-0.505613,0.0002079
81,-1.0985212,-1.4423655,"('submissive', 'aggressive')",0.14659256,-0.37578064,0.15167327,-0.46532,-0.2667518,-0.7611554,0.4944036
66,1.0981643,0.860921,"('inactive', 'active')",-0.58059525,-0.7686458,0.43022612,0.28902715,0.3159317,0.1271008,0.1888309
7,-1.0962793,-0.88545376,"('insensitive', 'sensitive')",-0.46779242,-0.4929449,-0.17300867,-0.030335432,-0.5790268,-0.469578,-0.1094488
