,compuware_male,compuware_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.3289042,-2.2605717,"('unsympathetic', 'sympathetic')",-0.7512633,-0.6215497,-1.5400838,-1.4410608,-0.099023
86,-1.560386,-1.556902,"('uninfluential', 'influential')",-0.41264692,-0.1907385,-0.9865164,-0.8738203,-0.1126961
63,-1.547238,-1.5296524,"('unperceptive', 'insightful')",0.3171062,0.39014193,-0.6150659,-0.5697552,-0.0453107
73,1.4544046,1.3047745,"('helpless', 'self-reliant')",-3.0287414,-2.9860082,-0.7871684,-0.8406168,0.0534484
46,-1.4360772,-1.6038835,"('uncompetitive', 'competitive')",-1.0170988,-1.2160431,-1.226588,-1.4099634,0.1833754
70,-1.263576,-1.1825156,"('lethargic', 'energetic')",0.17144805,0.09745543,-0.546064,-0.5425301,-0.0035339
44,1.257396,1.2040704,"('prejudiced', 'unprejudiced')",-1.1437767,-1.4000963,0.0568097,-0.0980129,0.1548226
7,-1.2466028,-1.1227548,"('insensitive', 'sensitive')",0.12097349,0.41401213,-0.5628147,-0.3543713,-0.2084434
51,-1.2429383,-1.2957808,"('uneducated', 'educated')",0.0963596,0.12503368,-0.5732893,-0.5853735,0.0120842
39,1.1359503,1.1685487,"('exploitative', 'cooperative')",0.38315699,0.3159066,0.7595537,0.7422277,0.017326
66,-1.1308622,-1.0702032,"('inactive', 'active')",0.29972026,0.6587855,-0.415571,-0.2057088,-0.2098622
45,-1.116576,-1.1546272,"('incompetent', 'competent')",0.02243907,-0.014601107,-0.5470684,-0.5846142,0.0375458
3,-1.1132314,-1.1502177,"('repellent', 'pleasant')",0.6978435,0.6152734,-0.207694,-0.2674721,0.0597781
0,-1.0964195,-1.2861543,"('unsociable', 'sociable')",-0.15331244,-0.21209449,-0.6248659,-0.7491244,0.1242585
43,-1.0824617,-1.2902818,"('irresponsible', 'responsible')",0.307904,0.089988336,-0.3872789,-0.6001467,0.2128678
12,-1.0716777,-0.9928037,"('unsupportive', 'supportive')",-2.127204,-1.9338219,-1.5994408,-1.4633129,-0.1361279
53,-1.0558436,-1.2086432,"('uncreative', 'creative')",0.42301455,0.7701739,-0.3164145,-0.2192346,-0.0971799
72,-1.0176826,-1.0551515,"('unambitious', 'ambitious')",-0.3844932,-0.28039974,-0.7010879,-0.6677756,-0.0333123
68,-0.9909691,-0.77799284,"('dependent', 'independent')",-1.0007379,-0.74209255,-0.9958535,-0.7600427,-0.2358108
28,-0.9709191,-1.0347695,"('disloyal', 'loyal')",0.9463566,0.957759,-0.0122812,-0.0385053,0.0262241
69,0.957043,1.1060349,"('lazy', 'industrious')",-0.90998507,-0.5289464,0.023529,0.2885442,-0.2650152
13,-0.95600456,-1.1003847,"('impolite', 'polite')",-1.115688,-1.2541876,-1.0358462,-1.1772861,0.1414399
57,-0.95539635,-0.9447354,"('unimaginative', 'imaginative')",-3.1012733,-2.9067628,-2.0283349,-1.9257491,-0.1025858
19,-0.9471646,-0.9278756,"('inhospitable', 'hospitable')",-0.7369738,-0.40840712,-0.8420692,-0.6681414,-0.1739278
24,-0.9202874,-0.92973775,"('dishonest', 'honest')",0.5270126,0.57027507,-0.1966374,-0.1797313,-0.0169061
52,0.8741121,0.9103412,"('irrational', 'rational')",0.19538864,0.2888746,0.5347504,0.5996079,-0.0648575
15,0.83311844,0.8105502,"('boring', 'funny')",-0.20907956,-0.10886722,0.3120194,0.3508415,-0.0388221
59,0.8061164,0.8634892,"('foolish', 'wise')",0.024506181,0.3224818,0.4153113,0.5929855,-0.1776742
77,-0.8035503,-0.7993981,"('unmotivated', 'motivated')",-1.401965,-1.3983293,-1.1027577,-1.0988637,-0.003894
