,ecolab_male,ecolab_female,tuple,inc_male,inc_female,average_male,average_female,male-female
60,1.8258955,1.5395815,"('inefficient', 'efficient')",0.3237821,0.41928366,1.0748389,0.9794326,0.0954063
19,-1.8214216,-1.7050767,"('inhospitable', 'hospitable')",-0.17511204,-0.020292895,-0.9982668,-0.8626848,-0.135582
36,-1.5390794,-1.2731013,"('hostile', 'amicable')",-0.12010811,0.057803437,-0.8295938,-0.607649,-0.2219448
31,-1.5371454,-1.3193064,"('evil', 'good')",-1.2528545,-1.1699262,-1.395,-1.2446163,-0.1503837
82,-1.4745187,-1.5314752,"('poor', 'rich')",6.387844,6.2359242,2.4566627,2.3522246,0.1044381
79,-1.3857093,-1.0147072,"('wavering', 'unwavering')",-0.24665096,-0.112260304,-0.8161801,-0.5634838,-0.2526963
48,1.3368903,1.2562084,"('unintelligent', 'intelligent')",1.0534627,1.0559253,1.1951766,1.1560669,0.0391097
39,1.2862424,1.3879735,"('exploitative', 'cooperative')",-0.21970037,-0.04334701,0.533271,0.6723133,-0.1390423
73,1.2441592,1.3081028,"('helpless', 'self-reliant')",-3.3082817,-3.4008455,-1.0320612,-1.0463713,0.0143101
71,1.2437582,1.1287113,"('diffident', 'self-confident')",0.28925443,0.19454876,0.7665063,0.66163,0.1048763
62,1.2369826,1.2740725,"('incompetent', 'brilliant')",0.55524266,0.4344999,0.8961126,0.8542862,0.0418264
8,-1.2229954,-0.9979553,"('unaffectionate', 'affectionate')",0.5227996,0.51762486,-0.3500979,-0.2401652,-0.1099327
56,1.2071179,1.196619,"('impractical', 'practical')",-0.09053253,-0.18233645,0.5582927,0.5071413,0.0511514
6,-1.1378164,-0.9750839,"('distant', 'open')",0.16389969,0.13283734,-0.4869584,-0.4211233,-0.0658351
66,-1.0518738,-0.6514086,"('inactive', 'active')",0.68518686,0.77843654,-0.1833435,0.063514,-0.2468575
30,1.0018494,1.0388935,"('intolerant', 'tolerant')",1.1694472,1.3731918,1.0856483,1.2060426,-0.1203943
80,1.000669,0.8439132,"('dominated', 'dominating')",-1.1179806,-1.2232878,-0.0586558,-0.1896873,0.1310315
35,-0.9758294,-0.6634191,"('corrupt', 'incorrupt')",-0.4331095,-0.1987251,-0.7044694,-0.4310721,-0.2733973
10,-0.8606025,-0.7400657,"('unsympathetic', 'sympathetic')",-0.4249266,-0.43128583,-0.6427646,-0.5856758,-0.0570888
53,-0.8453825,-0.733047,"('uncreative', 'creative')",0.992892,0.94532764,0.0737548,0.1061403,-0.0323855
5,-0.8255697,-0.58468723,"('distant', 'outgoing')",-0.26198858,-0.17258738,-0.5437791,-0.3786373,-0.1651418
84,0.82115656,0.85084534,"('inferior', 'superior')",1.019426,1.0161313,0.9202913,0.9334883,-0.013197
77,0.8104159,0.48786193,"('unmotivated', 'motivated')",-0.6764231,-0.72444385,0.0669964,-0.118291,0.1852874
1,-0.79558456,-0.6500945,"('unfriendly', 'friendly')",1.4886888,1.4213483,0.3465521,0.3856269,-0.0390748
49,0.78685135,0.5440704,"('unable', 'able')",0.079728834,0.01455434,0.4332901,0.2793124,0.1539777
69,0.7635514,0.59787875,"('lazy', 'industrious')",-0.109072104,-0.11046314,0.3272397,0.2437078,0.0835319
45,-0.7603777,-0.79027563,"('incompetent', 'competent')",-0.15942459,-0.30698866,-0.4599012,-0.5486321,0.0887309
11,0.7306336,0.67392397,"('unhelpful', 'helpful')",1.8168204,1.7618983,1.2737269,1.2179111,0.0558158
63,0.72733706,0.7241921,"('unperceptive', 'insightful')",1.3339908,1.0397093,1.030664,0.8819507,0.1487133
78,0.69203883,0.3531237,"('nonresilient', 'resilient')",0.5879766,0.36620814,0.6400077,0.3596659,0.2803418
22,-0.6567328,-0.5749056,"('untrustworthy', 'trustworthy')",-0.97167236,-0.9413962,-0.8142025,-0.7581509,-0.0560516
67,0.6378014,0.9112559,"('doubtful', 'determined')",-0.7214187,-0.36476913,-0.0418086,0.2732434,-0.315052
21,0.6273717,0.6869973,"('immoral', 'moral')",-0.49621433,-0.48731416,0.0655787,0.0998416,-0.0342629
86,-0.6224337,-0.53074867,"('uninfluential', 'influential')",-0.27035043,-0.38568822,-0.4463921,-0.4582185,0.0118264
76,0.61036205,0.8044001,"('anxious', 'daring')",0.3902199,0.57738113,0.500291,0.6908906,-0.1905996
18,-0.56696415,-0.7872998,"('disagreeable', 'welcoming')",-0.27443716,-0.23327893,-0.4207007,-0.5102894,0.0895887
20,0.5641556,0.51113087,"('rough', 'thoughtful')",0.9407346,1.0527087,0.7524451,0.7819198,-0.0294747
55,0.55742615,0.41566518,"('incompetent', 'clever')",0.17163786,0.04079362,0.364532,0.2282294,0.1363026
44,0.5553643,0.41210574,"('prejudiced', 'unprejudiced')",-1.4614784,-1.2765198,-0.453057,-0.432207,-0.02085
13,0.55367535,0.5300443,"('impolite', 'polite')",-0.1959862,-0.1648485,0.1788446,0.1825979,-0.0037533
7,0.5432779,0.24871218,"('insensitive', 'sensitive')",0.6992069,0.539206,0.6212424,0.3939591,0.2272833
52,-0.5253874,-0.12662658,"('irrational', 'rational')",-0.065772176,-0.14743246,-0.2955798,-0.1370295,-0.1585503
16,-0.5166186,-0.4546448,"('unpopular', 'popular')",0.5200276,0.6027077,0.0017045,0.0740314,-0.0723269
27,0.5137893,0.19741538,"('hardhearted', 'softhearted')",1.7695274,1.4205399,1.1416583,0.8089776,0.3326807
3,-0.50670993,-0.7079564,"('repellent', 'pleasant')",-0.11404011,-0.18064997,-0.310375,-0.4443032,0.1339282
72,0.50472885,0.6439726,"('unambitious', 'ambitious')",-0.9857841,-0.93143636,-0.2405276,-0.1437319,-0.0967957
41,-0.5031805,-0.39404377,"('unforgiving', 'forgiving')",-0.06986542,0.064217836,-0.286523,-0.164913,-0.12161
87,0.49402538,0.6208691,"('unsuccessful', 'successful')",0.9010539,0.7588833,0.6975396,0.6898762,0.0076634
12,0.47795823,0.4864006,"('unsupportive', 'supportive')",-1.7453588,-1.8597206,-0.6337003,-0.68666,0.0529597
47,0.47639328,0.5070774,"('stupid', 'smart')",5.700604,5.772477,3.0884986,3.1397772,-0.0512786
57,-0.46148327,-0.27194408,"('unimaginative', 'imaginative')",-2.7304513,-2.8147125,-1.5959673,-1.5433283,-0.052639
