,hospira_male,hospira_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.2540965,-2.3472059,"('unfriendly', 'friendly')",1.6683095,1.3648624,-0.2928935,-0.4911717,0.1982782
9,-2.012961,-1.9752885,"('unaffectionate', 'caring')",1.0554037,0.8768577,-0.4787786,-0.5492154,0.0704368
6,-1.9713823,-1.7950981,"('distant', 'open')",0.1340983,-0.13693929,-0.918642,-0.9660187,0.0473767
66,-1.6767226,-1.1987982,"('inactive', 'active')",0.18116388,0.3900002,-0.7477794,-0.404399,-0.3433804
8,-1.6734459,-1.5355312,"('unaffectionate', 'affectionate')",0.31872708,0.20328903,-0.6773595,-0.6661211,-0.0112384
86,-1.6505396,-1.6178622,"('uninfluential', 'influential')",-0.1961315,0.024897572,-0.9233356,-0.7964823,-0.1268533
31,-1.4817597,-1.3673166,"('evil', 'good')",-1.7242898,-1.9068549,-1.6030247,-1.6370857,0.034061
5,-1.4647974,-1.3644228,"('distant', 'outgoing')",-0.06020987,-0.36164415,-0.7625036,-0.8630335,0.1005299
79,-1.4252621,-1.3387854,"('wavering', 'unwavering')",-0.23757148,-0.40368187,-0.8314168,-0.8712336,0.0398168
53,-1.3979031,-1.5595648,"('uncreative', 'creative')",0.7527408,0.5768391,-0.3225811,-0.4913629,0.1687818
10,-1.3715081,-1.2174329,"('unsympathetic', 'sympathetic')",0.059167627,0.41072312,-0.6561702,-0.4033549,-0.2528153
57,-1.344737,-1.2062576,"('unimaginative', 'imaginative')",-2.823718,-2.6869373,-2.0842276,-1.9465975,-0.1376301
19,-1.3178511,-1.2469133,"('inhospitable', 'hospitable')",-0.26842287,-0.3509258,-0.793137,-0.7989196,0.0057826
36,-1.246845,-1.1291221,"('hostile', 'amicable')",-0.66230583,-0.9580946,-0.9545754,-1.0436084,0.089033
54,-1.2314832,-1.3558805,"('incapable', 'capable')",1.2518054,1.2153986,0.0101611,-0.070241,0.0804021
52,-1.2002312,-1.2507889,"('irrational', 'rational')",-0.3850239,-0.7387111,-0.7926276,-0.99475,0.2021224
38,-1.07178,-1.1419387,"('untruthful', 'truthful')",0.58394396,0.32981133,-0.243918,-0.4060637,0.1621457
24,-1.0437828,-0.8888147,"('dishonest', 'honest')",1.0431137,1.1614043,-0.0003346,0.1362948,-0.1366294
61,-1.0257722,-1.0769467,"('illogical', 'logical')",0.32453558,0.2287247,-0.3506183,-0.424111,0.0734927
60,1.0054362,0.7521295,"('inefficient', 'efficient')",1.1220337,1.2567533,1.063735,1.0044414,0.0592936
71,-0.97719353,-1.0737182,"('diffident', 'self-confident')",0.41043463,0.3642424,-0.2833794,-0.3547379,0.0713585
12,-0.97671914,-0.9628843,"('unsupportive', 'supportive')",-1.5518913,-1.3849187,-1.2643052,-1.1739016,-0.0904036
0,-0.9596218,-0.8413364,"('unsociable', 'sociable')",-0.19360314,-0.09267474,-0.5766125,-0.4670056,-0.1096069
88,-0.9419595,-1.0352939,"('low', 'eminent')",0.3796072,0.39674583,-0.2811761,-0.3192741,0.038098
85,-0.90147316,-0.8242653,"('insignificant', 'prestigious')",-0.09531953,-0.38220716,-0.4983963,-0.6032362,0.1048399
45,-0.89955,-0.7460216,"('incompetent', 'competent')",0.030697105,0.19529656,-0.4344265,-0.2753626,-0.1590639
73,0.8434119,0.9531431,"('helpless', 'self-reliant')",-3.1437874,-3.204743,-1.1501877,-1.1257999,-0.0243878
43,-0.84046143,-0.8332666,"('irresponsible', 'responsible')",0.9445268,1.1384051,0.0520327,0.1525692,-0.1005365
28,-0.8362467,-1.0499945,"('disloyal', 'loyal')",0.86874294,0.7043149,0.0162481,-0.1728398,0.1890879
76,0.82888126,0.90182245,"('anxious', 'daring')",0.8040967,1.0285914,0.816489,0.9652069,-0.1487179
44,0.8251145,0.82272094,"('prejudiced', 'unprejudiced')",-1.4557257,-1.6298,-0.3153056,-0.4035395,0.0882339
30,0.78904665,0.7535127,"('intolerant', 'tolerant')",1.7790084,1.9108455,1.2840276,1.3321791,-0.0481515
74,-0.6995998,-0.5407417,"('undedicated', 'dedicated')",-0.37435582,-0.18628925,-0.5369778,-0.3635155,-0.1734623
48,0.6663843,0.29180422,"('unintelligent', 'intelligent')",1.3954009,1.4669995,1.0308926,0.8794019,0.1514907
14,0.6654031,0.74960464,"('antisocial', 'social')",-0.25305897,0.08318514,0.2061721,0.4163949,-0.2102228
65,0.66523755,0.5187202,"('insecure', 'secure')",0.09972962,0.2547193,0.3824836,0.3867198,-0.0042362
58,-0.6561181,-0.29072085,"('undiscriminating', 'discriminating')",0.06060843,0.19073927,-0.2977548,-0.0499908,-0.247764
25,-0.6507866,-0.71950513,"('egoistic', 'altruistic')",0.77500284,0.5671499,0.0621081,-0.0761776,0.1382857
23,-0.62218994,-0.9988301,"('insincere', 'sincere')",6.587821,6.413277,2.9828155,2.7072234,0.2755921
46,-0.6040947,-0.6188436,"('uncompetitive', 'competitive')",-0.32850504,-0.034063227,-0.4662999,-0.3264534,-0.1398465
17,-0.59260607,-0.5068303,"('nasty', 'nice')",-0.33347744,-0.43484142,-0.4630418,-0.4708359,0.0077941
16,-0.5821408,-0.70915884,"('unpopular', 'popular')",0.36025533,0.14022209,-0.1109427,-0.2844684,0.1735257
26,-0.58158076,-0.4405184,"('hardhearted', 'benevolent')",1.1417917,1.2198652,0.2801055,0.3896734,-0.1095679
87,-0.52421546,-0.32168657,"('unsuccessful', 'successful')",0.6847717,0.80786055,0.0802781,0.243087,-0.1628089
84,0.5059672,0.4907962,"('inferior', 'superior')",1.1061581,1.0748469,0.8060627,0.7828215,0.0232412
83,-0.498787,-0.35547918,"('powerless', 'powerful')",-0.910395,-0.68465316,-0.704591,-0.5200661,-0.1845249
7,-0.49257895,-0.65767765,"('insensitive', 'sensitive')",1.0538636,1.0985078,0.2806423,0.2204151,0.0602272
33,-0.48982063,-0.19588132,"('wrong', 'right')",-0.7483781,-0.86807525,-0.6190994,-0.5319783,-0.0871211
72,-0.47710282,-0.35498562,"('unambitious', 'ambitious')",-0.5640223,-0.39853996,-0.5205625,-0.3767628,-0.1437997
55,0.47348407,0.5232163,"('incompetent', 'clever')",0.5349538,0.7925327,0.5042189,0.6578745,-0.1536556
80,0.47184342,0.5384223,"('dominated', 'dominating')",-1.0260094,-0.71534544,-0.277083,-0.0884616,-0.1886214
32,-0.46564665,-0.66208625,"('unkind', 'kind')",1.0475687,1.1892029,0.290961,0.2635583,0.0274027
81,0.46117765,0.41982237,"('submissive', 'aggressive')",0.15712523,0.50151944,0.3091514,0.4606709,-0.1515195
50,0.44389653,0.15661478,"('clumsy', 'skillful')",0.2184664,0.12692031,0.3311815,0.1417675,0.189414
11,-0.42978844,-0.6450854,"('unhelpful', 'helpful')",2.4064245,2.3370788,0.988318,0.8459967,0.1423213
49,0.42117444,0.18945503,"('unable', 'able')",0.48680514,0.48858693,0.4539898,0.339021,0.1149688
77,-0.3897602,-0.6996316,"('unmotivated', 'motivated')",-0.8149045,-0.83138484,-0.6023324,-0.7655082,0.1631758
63,-0.38633788,-0.61362004,"('unperceptive', 'insightful')",1.5196168,1.6169237,0.5666395,0.5016518,0.0649877
78,-0.35124266,-0.52007776,"('nonresilient', 'resilient')",0.6651258,0.64834404,0.1569416,0.0641331,0.0928085
