,nordstrom_male,nordstrom_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.2360992,-1.5822192,"('unsympathetic', 'sympathetic')",-0.29116032,-0.47910392,-1.2636298,-1.0306616,-0.2329682
57,-1.6121346,-1.6022235,"('unimaginative', 'imaginative')",-2.6299686,-2.947825,-2.1210515,-2.2750242,0.1539727
21,-1.5560235,-1.160598,"('immoral', 'moral')",-0.9434158,-0.9603117,-1.2497196,-1.0604548,-0.1892648
69,1.4679949,1.0482202,"('lazy', 'industrious')",-0.90001637,-0.83863187,0.2839893,0.1047941,0.1791952
24,-1.3821946,-0.6094226,"('dishonest', 'honest')",0.69125736,0.7410109,-0.3454686,0.0657941,-0.4112627
22,-1.3464453,-0.8603747,"('untrustworthy', 'trustworthy')",-0.7542942,-0.7794001,-1.0503697,-0.8198874,-0.2304823
70,-1.3235234,-0.8174124,"('lethargic', 'energetic')",0.64877504,0.56488276,-0.3373742,-0.1262648,-0.2111094
11,-1.1255394,-0.97052026,"('unhelpful', 'helpful')",2.056603,1.9315032,0.4655318,0.4804915,-0.0149597
43,-1.0849718,-0.26045236,"('irresponsible', 'responsible')",0.5892957,0.55371386,-0.2478381,0.1466307,-0.3944688
27,-1.0846804,-0.64237624,"('hardhearted', 'softhearted')",1.4949405,1.5655892,0.20513,0.4616065,-0.2564765
77,-1.0781412,-0.677147,"('unmotivated', 'motivated')",-1.5643928,-1.4497018,-1.321267,-1.0634243,-0.2578427
3,-1.0657514,-0.578485,"('repellent', 'pleasant')",0.24032404,0.17151575,-0.4127137,-0.2034846,-0.2092291
76,-0.98729974,-0.8299901,"('anxious', 'daring')",-0.13398217,-0.12889609,-0.5606409,-0.4794431,-0.0811978
53,-0.961663,-0.88961285,"('uncreative', 'creative')",0.7198029,0.63168395,-0.12093,-0.1289645,0.0080345
7,-0.9255303,-0.5262143,"('insensitive', 'sensitive')",0.855288,0.79815763,-0.0351211,0.1359717,-0.1710928
81,-0.8975177,-0.97230154,"('submissive', 'aggressive')",-0.8617875,-1.1611426,-0.8796526,-1.066722,0.1870694
39,0.87479246,1.2031999,"('exploitative', 'cooperative')",0.07637395,0.25225136,0.4755832,0.7277256,-0.2521424
1,-0.8594121,-0.57421446,"('unfriendly', 'friendly')",1.9862123,2.0386803,0.5634001,0.7322329,-0.1688328
86,-0.8589536,-0.6543354,"('uninfluential', 'influential')",0.17537373,-0.11971226,-0.3417899,-0.3870238,0.0452339
71,0.84178686,0.9555904,"('diffident', 'self-confident')",0.212081,0.49842307,0.5269339,0.7270067,-0.2000728
64,-0.8054228,-0.8186196,"('shy', 'confident')",-7.124878,-7.0861597,-3.9651504,-3.9523897,-0.0127607
88,-0.73636353,-0.74670786,"('low', 'eminent')",-0.030466055,-0.02257807,-0.3834148,-0.384643,0.0012282
33,0.7208818,0.79915917,"('wrong', 'right')",-0.53333604,-0.34440917,0.0937729,0.227375,-0.1336021
67,0.71751916,0.58310866,"('doubtful', 'determined')",-0.49859914,-0.6507391,0.10946,-0.0338152,0.1432752
75,-0.6895987,-1.1151488,"('meek', 'impulsive')",-0.33876365,-0.67355496,-0.5141811,-0.8943518,0.3801707
13,-0.6736306,-0.44317222,"('impolite', 'polite')",-0.32295752,-0.44927993,-0.4982941,-0.4462261,-0.052068
12,-0.6719272,-0.26019597,"('unsupportive', 'supportive')",-1.5830262,-1.6022924,-1.1274767,-0.9312442,-0.1962325
30,-0.6717575,-0.283494,"('intolerant', 'tolerant')",0.9921455,0.74618405,0.160194,0.231345,-0.071151
84,0.6637268,0.5118697,"('inferior', 'superior')",0.9767522,0.96988225,0.8202395,0.740876,0.0793635
46,-0.66268134,-0.33460763,"('uncompetitive', 'competitive')",-0.46867195,-0.77389807,-0.5656766,-0.5542529,-0.0114237
31,-0.66135746,-0.6900157,"('evil', 'good')",-0.8837035,-0.90677625,-0.7725304,-0.798396,0.0258656
72,-0.6524766,-0.6143082,"('unambitious', 'ambitious')",-0.66937876,-0.7829442,-0.6609277,-0.6986262,0.0376985
55,-0.6254879,-0.27886555,"('incompetent', 'clever')",0.014821526,-0.11535137,-0.3053332,-0.1971085,-0.1082247
48,-0.62462246,-0.5256857,"('unintelligent', 'intelligent')",0.41242713,0.3283436,-0.1060977,-0.0986711,-0.0074266
35,0.60175675,0.036275495,"('corrupt', 'incorrupt')",-0.26335743,-0.28110266,0.1691997,-0.1224136,0.2916133
38,-0.6013223,-0.3936634,"('untruthful', 'truthful')",0.08636669,0.10339191,-0.2574778,-0.1451357,-0.1123421
45,-0.5968095,-0.33388174,"('incompetent', 'competent')",-0.049067564,-0.30501243,-0.3229385,-0.3194471,-0.0034914
32,-0.5699172,-0.16992599,"('unkind', 'kind')",0.89765847,1.0907419,0.1638706,0.4604079,-0.2965373
9,-0.5354827,-0.1315767,"('unaffectionate', 'caring')",1.2299238,1.4402956,0.3472206,0.6543595,-0.3071389
0,-0.5326806,-0.41929135,"('unsociable', 'sociable')",-0.42553994,-0.6595528,-0.4791102,-0.5394221,0.0603119
42,-0.5276724,-0.03911726,"('unreliable', 'reliable')",-3.6115468,-3.3508313,-2.0696096,-1.6949743,-0.3746353
2,-0.5251796,-0.27362958,"('unlikable', 'likable')",0.32884163,0.6030645,-0.098169,0.1647175,-0.2628865
28,-0.5172008,-0.38977322,"('disloyal', 'loyal')",1.1171535,1.0297877,0.2999763,0.3200072,-0.0200309
23,-0.478311,-0.0033316575,"('insincere', 'sincere')",6.394068,6.382692,2.9578784,3.1896801,-0.2318017
17,-0.470544,-0.7096108,"('nasty', 'nice')",-0.5494589,-0.6199554,-0.5100015,-0.6647831,0.1547816
51,-0.4672655,-0.38869065,"('uneducated', 'educated')",0.8080029,0.6113893,0.1703687,0.1113493,0.0590194
44,-0.44791764,-0.39501336,"('prejudiced', 'unprejudiced')",-2.1529214,-1.8522898,-1.3004196,-1.1236516,-0.176768
49,-0.43828103,-0.37783232,"('unable', 'able')",0.0022466667,0.10978241,-0.2180172,-0.1340249,-0.0839923
18,-0.4321888,-0.07024932,"('disagreeable', 'welcoming')",-0.37145832,-0.1780732,-0.4018236,-0.1241613,-0.2776623
26,0.43111107,0.23819226,"('hardhearted', 'benevolent')",1.4904494,1.5831352,0.9607803,0.9106637,0.0501166
83,0.42889488,0.3067712,"('powerless', 'powerful')",-0.8500413,-1.0414823,-0.2105732,-0.3673556,0.1567824
63,-0.41898665,-0.23703888,"('unperceptive', 'insightful')",1.2621783,1.0987483,0.4215958,0.4308547,-0.0092589
68,-0.4167394,-0.40976194,"('dependent', 'independent')",-0.47174814,-0.49039868,-0.4442438,-0.4500803,0.0058365
41,-0.40378192,-0.052520294,"('unforgiving', 'forgiving')",0.23545346,-0.17007826,-0.0841642,-0.1112993,0.0271351
20,0.39182147,0.28932467,"('rough', 'thoughtful')",0.8080926,0.79045993,0.599957,0.5398923,0.0600647
34,-0.3833717,0.11730124,"('mean', 'honorable')",6.2553816,6.4047503,2.9360049,3.2610259,-0.325021
