,conocophillips_male,conocophillips_female,tuple,average_male,average_female,male-female
10,-2.2817724,-2.6842952,"('unsympathetic', 'sympathetic')",-2.2817724,-2.6842952,0.4025228
57,-1.80473,-1.9465637,"('unimaginative', 'imaginative')",-1.8047301,-1.9465637,0.1418336
69,1.6821476,1.9893194,"('lazy', 'industrious')",1.6821476,1.9893194,-0.3071718
45,-1.6505522,-1.8564608,"('incompetent', 'competent')",-1.6505522,-1.8564608,0.2059086
55,-1.5447384,-2.013371,"('incompetent', 'clever')",-1.5447384,-2.013371,0.4686326
46,-1.5376476,-2.0063732,"('uncompetitive', 'competitive')",-1.5376476,-2.0063732,0.4687256
64,-1.4739037,-1.563889,"('shy', 'confident')",-1.4739037,-1.563889,0.0899853
86,-1.2858391,-1.5073379,"('uninfluential', 'influential')",-1.2858391,-1.5073379,0.2214988
48,-1.2252918,-1.4329866,"('unintelligent', 'intelligent')",-1.2252918,-1.4329866,0.2076948
13,-1.2134075,-1.3930944,"('impolite', 'polite')",-1.2134075,-1.3930944,0.1796869
12,-1.1987092,-1.3040401,"('unsupportive', 'supportive')",-1.1987092,-1.3040401,0.1053309
70,-1.1947933,-1.450018,"('lethargic', 'energetic')",-1.1947933,-1.450018,0.2552247
5,1.101977,1.434873,"('distant', 'outgoing')",1.101977,1.434873,-0.332896
43,-1.0611308,-1.3992616,"('irresponsible', 'responsible')",-1.0611308,-1.3992616,0.3381308
6,1.0392194,1.3223912,"('distant', 'open')",1.0392194,1.3223912,-0.2831718
30,-1.0208197,-1.0823994,"('intolerant', 'tolerant')",-1.0208197,-1.0823994,0.0615797
7,-1.0162644,-1.1716092,"('insensitive', 'sensitive')",-1.0162644,-1.1716092,0.1553448
82,0.9830257,0.8102187,"('poor', 'rich')",0.9830257,0.8102187,0.172807
4,-0.9496678,-0.6746709,"('disliked', 'liked')",-0.9496678,-0.6746709,-0.2749969
0,-0.9357973,-1.4034343,"('unsociable', 'sociable')",-0.9357973,-1.4034343,0.467637
65,-0.8957546,-1.3297739,"('insecure', 'secure')",-0.8957546,-1.3297739,0.4340193
14,-0.8800188,-1.3040828,"('antisocial', 'social')",-0.8800188,-1.3040828,0.424064
85,0.8734209,1.3179662,"('insignificant', 'prestigious')",0.8734209,1.3179662,-0.4445453
35,0.8570454,1.3413173,"('corrupt', 'incorrupt')",0.8570454,1.3413173,-0.4842719
47,0.8530274,0.6388442,"('stupid', 'smart')",0.8530274,0.6388442,0.2141832
