,ppl_male,ppl_female,tuple,corp_male,corp_female,average_male,average_female,male-female
60,2.1363497,2.154568,"('inefficient', 'efficient')",0.31831804,0.60745734,1.2273339,1.3810127,-0.1536788
14,1.9300946,2.0725071,"('antisocial', 'social')",0.42514688,0.6077298,1.1776208,1.3401184,-0.1624976
56,1.8047957,2.0865602,"('impractical', 'practical')",-0.41252398,-0.025376016,0.6961359,1.0305921,-0.3344562
36,-1.7850617,-1.891767,"('hostile', 'amicable')",-0.07244211,-0.38396353,-0.9287519,-1.1378653,0.2091134
31,-1.7215314,-1.6919255,"('evil', 'good')",-1.0136971,-1.2382475,-1.3676143,-1.4650865,0.0974722
79,-1.6291537,-1.357459,"('wavering', 'unwavering')",-0.92613703,-0.9947838,-1.2776453,-1.1761214,-0.1015239
62,1.5781614,1.7792054,"('incompetent', 'brilliant')",0.46049854,0.7745151,1.0193299,1.2768602,-0.2575303
39,1.4233193,1.5060927,"('exploitative', 'cooperative')",-0.032583937,0.15957116,0.6953677,0.8328319,-0.1374642
21,1.3813926,1.4039301,"('immoral', 'moral')",0.1482813,0.23606524,0.764837,0.8199977,-0.0551607
1,-1.3699666,-1.3992652,"('unfriendly', 'friendly')",1.1549705,0.93094575,-0.107498,-0.2341597,0.1266617
6,-1.3578155,-1.42759,"('distant', 'open')",-0.78807205,-0.97611475,-1.0729438,-1.2018523,0.1289085
76,1.3250012,1.5173651,"('anxious', 'daring')",-0.24821305,-0.15857364,0.5383941,0.6793957,-0.1410016
42,1.2785631,1.4953303,"('unreliable', 'reliable')",-3.2745004,-3.0680323,-0.9979686,-0.786351,-0.2116176
8,-1.2725288,-1.3547243,"('unaffectionate', 'affectionate')",0.3323599,0.14806333,-0.4700844,-0.6033305,0.1332461
61,1.2648729,1.2322962,"('illogical', 'logical')",0.71170676,0.750496,0.9882898,0.9913961,-0.0031063
87,1.2475201,1.0622216,"('unsuccessful', 'successful')",0.7431945,0.8870613,0.9953573,0.9746414,0.0207159
81,1.1932714,1.4227428,"('submissive', 'aggressive')",-0.36517125,-0.10005987,0.4140501,0.6613415,-0.2472914
80,1.1780672,1.1457825,"('dominated', 'dominating')",-0.6860394,-0.5812563,0.2460139,0.2822631,-0.0362492
35,-1.1475006,-1.512863,"('corrupt', 'incorrupt')",-0.49819663,-0.7354183,-0.8228486,-1.1241407,0.3012921
18,-1.0899941,-0.9499005,"('disagreeable', 'welcoming')",-0.5488182,-0.6516318,-0.8194062,-0.8007661,-0.0186401
2,1.0828242,1.1022834,"('unlikable', 'likable')",0.698185,0.7690916,0.8905046,0.9356875,-0.0451829
5,-1.0234548,-1.0299704,"('distant', 'outgoing')",-0.95340854,-0.9806694,-0.9884317,-1.0053198,0.0168881
65,0.9759146,1.0725367,"('insecure', 'secure')",0.07831796,0.27501103,0.5271163,0.6737739,-0.1466576
86,-0.96940684,-0.83596575,"('uninfluential', 'influential')",-0.4100671,-0.48418224,-0.689737,-0.660074,-0.029663
77,0.9667346,1.0963985,"('unmotivated', 'motivated')",-0.94553006,-0.7344508,0.0106023,0.1809738,-0.1703715
55,0.93689483,1.0699358,"('incompetent', 'clever')",0.63016176,0.7322279,0.7835283,0.9010819,-0.1175536
9,-0.906564,-0.8453066,"('unaffectionate', 'caring')",0.7665413,0.7318742,-0.0700113,-0.0567162,-0.0132951
20,0.9015631,0.5946961,"('rough', 'thoughtful')",1.0339277,0.8598037,0.9677454,0.7272499,0.2404955
3,0.89037716,0.9566403,"('repellent', 'pleasant')",1.0305228,1.1306196,0.96045,1.04363,-0.08318
67,0.8772457,0.7348323,"('doubtful', 'determined')",-0.3837961,-0.37621543,0.2467248,0.1793084,0.0674164
26,-0.8617638,-0.92655224,"('hardhearted', 'benevolent')",1.7931373,1.6939168,0.4656868,0.3836823,0.0820045
64,0.82243866,0.90829986,"('shy', 'confident')",-6.486981,-6.176599,-2.8322711,-2.6341496,-0.1981215
84,0.7838159,0.4670663,"('inferior', 'superior')",1.0333532,0.8082952,0.9085846,0.6376808,0.2709038
78,-0.7525757,-0.711339,"('nonresilient', 'resilient')",-0.1333256,-0.18739654,-0.4429507,-0.4493678,0.0064171
70,0.73285776,0.9725838,"('lethargic', 'energetic')",0.24485062,0.43440467,0.4888542,0.7034942,-0.21464
66,-0.71797055,-0.71541077,"('inactive', 'active')",-0.014128383,-0.0484325,-0.3660495,-0.3819216,0.0158721
19,-0.6983313,-0.5399525,"('inhospitable', 'hospitable')",-0.9442535,-0.9202248,-0.8212924,-0.7300887,-0.0912037
88,-0.69456136,-0.5856452,"('low', 'eminent')",-0.20257524,-0.14962219,-0.4485683,-0.3676337,-0.0809346
53,-0.6820161,-0.5255481,"('uncreative', 'creative')",0.3830094,0.3417272,-0.1495033,-0.0919105,-0.0575928
46,0.6732812,0.7400752,"('uncompetitive', 'competitive')",-0.63317835,-0.5139479,0.0200514,0.1130636,-0.0930122
43,0.6474775,0.57501936,"('irresponsible', 'responsible')",0.6884646,0.92364043,0.667971,0.7493299,-0.0813589
71,-0.6458127,-0.45013982,"('diffident', 'self-confident')",-0.14891265,0.1308004,-0.3973627,-0.1596697,-0.237693
16,-0.6454829,-0.57325137,"('unpopular', 'popular')",0.13838214,0.07386431,-0.2535504,-0.2496935,-0.0038569
52,-0.6403258,-0.8132578,"('irrational', 'rational')",-0.15541889,-0.46930686,-0.3978723,-0.6412823,0.24341
30,0.6402045,0.91701704,"('intolerant', 'tolerant')",0.8429077,1.2963363,0.7415561,1.1066767,-0.3651206
37,0.6091419,0.3118766,"('fake', 'genuine')",0.0886628,-0.124593616,0.3489023,0.0936415,0.2552608
54,-0.60023695,-0.42256182,"('incapable', 'capable')",0.58525914,0.69856304,-0.0074889,0.1380006,-0.1454895
85,-0.5994731,-0.625202,"('insignificant', 'prestigious')",-0.15768959,-0.36380053,-0.3785813,-0.4945013,0.11592
73,0.591287,0.5104813,"('helpless', 'self-reliant')",-3.4384584,-3.5788815,-1.4235857,-1.5342001,0.1106144
63,0.58726007,0.7302702,"('unperceptive', 'insightful')",0.29110157,0.43641675,0.4391808,0.5833435,-0.1441627
45,0.57715917,0.8283141,"('incompetent', 'competent')",0.10935507,0.28329673,0.3432571,0.5558054,-0.2125483
74,0.5692568,0.5467338,"('undedicated', 'dedicated')",-0.29139692,-0.24249958,0.1389299,0.1521171,-0.0131872
68,-0.50238836,-0.60537165,"('dependent', 'independent')",-0.6230728,-0.7514402,-0.5627306,-0.6784059,0.1156753
38,-0.4483142,-0.36170346,"('untruthful', 'truthful')",-0.37941587,-0.12528387,-0.413865,-0.2434937,-0.1703713
75,-0.440888,-0.549834,"('meek', 'impulsive')",-0.77277905,-0.84911406,-0.6068335,-0.699474,0.0926405
0,0.44048452,0.5396278,"('unsociable', 'sociable')",0.1779812,0.27028733,0.3092329,0.4049576,-0.0957247
4,-0.4344827,-0.21737541,"('disliked', 'liked')",-7.22133,-7.1720104,-3.8279064,-3.6946929,-0.1332135
22,0.43244612,0.5328811,"('untrustworthy', 'trustworthy')",-0.9630452,-0.8961945,-0.2652995,-0.1816567,-0.0836428
47,0.41814983,0.44969675,"('stupid', 'smart')",5.4382606,5.5710526,2.9282053,3.0103745,-0.0821692
27,-0.3856586,-0.48568666,"('hardhearted', 'softhearted')",0.92837805,0.82232153,0.2713597,0.1683174,0.1030423
59,-0.37341604,-0.5214947,"('foolish', 'wise')",-0.12587619,-0.301171,-0.2496461,-0.4113328,0.1616867
28,-0.3630888,-0.45976603,"('disloyal', 'loyal')",1.2541703,1.0835371,0.4455408,0.3118855,0.1336553
32,0.35365605,0.4281388,"('unkind', 'kind')",0.7046051,0.8303965,0.5291306,0.6292676,-0.100137
41,0.3278347,0.40233558,"('unforgiving', 'forgiving')",0.15970246,0.09220852,0.2437686,0.247272,-0.0035034
15,-0.31655207,-0.17767197,"('boring', 'funny')",-0.13645808,-0.047831256,-0.2265051,-0.1127516,-0.1137535
44,0.30338758,0.17857186,"('prejudiced', 'unprejudiced')",-1.1468956,-1.1347075,-0.421754,-0.4780678,0.0563138
23,0.29264212,0.35724944,"('insincere', 'sincere')",5.8075533,5.932109,3.0500977,3.1446791,-0.0945814
