,northrop_male,northrop_female,tuple,grumman_male,grumman_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.8133748,-2.8434343,"('unsympathetic', 'sympathetic')",-3.7049532,-3.5696259,-0.49843118,-0.79587317,-2.3389196,-2.4029778,0.0640582
45,-2.1653361,-2.006327,"('incompetent', 'competent')",-2.950891,-2.6201856,-0.39599887,-0.46296784,-1.8374087,-1.6964935,-0.1409152
43,-2.1336088,-1.9969178,"('irresponsible', 'responsible')",-3.3695595,-3.090695,0.09941002,-0.02023004,-1.8012527,-1.7026141,-0.0986386
69,1.929524,1.9370422,"('lazy', 'industrious')",3.0624895,3.0375874,-0.28534743,0.03838613,1.5688887,1.6710052,-0.1021165
82,-1.813552,-1.7316391,"('poor', 'rich')",-2.007615,-1.9223969,5.4115777,5.4449964,0.5301369,0.5969868,-0.0668499
35,1.7303898,1.6592749,"('corrupt', 'incorrupt')",3.19496,3.1192768,-0.27924243,-0.06736681,1.5487026,1.570395,-0.0216924
70,-1.7138251,-1.5905613,"('lethargic', 'energetic')",-2.213219,-2.0352924,-0.062624454,-0.2579003,-1.3298895,-1.2945846,-0.0353049
57,-1.7074418,-1.6312313,"('unimaginative', 'imaginative')",-2.4109318,-2.1782458,-2.9939804,-3.15505,-2.3707848,-2.321509,-0.0492758
56,-1.6592674,-1.4507965,"('impractical', 'practical')",-1.7417258,-1.4626628,-1.0597367,-1.1560225,-1.48691,-1.3564939,-0.1304161
13,-1.6517247,-1.6027899,"('impolite', 'polite')",-2.5224504,-2.6100144,-1.1435453,-1.2093273,-1.7725735,-1.8073772,0.0348037
30,-1.619818,-1.5437788,"('intolerant', 'tolerant')",-2.021663,-1.8325518,0.17662889,0.32703874,-1.1549507,-1.0164306,-0.1385201
23,-1.6160626,-1.4981998,"('insincere', 'sincere')",-2.3280163,-2.1856186,5.1858068,5.1573925,0.4139093,0.4911914,-0.0772821
63,-1.61423,-1.6431595,"('unperceptive', 'insightful')",-2.2894387,-2.0999024,0.44267014,0.2198717,-1.1536663,-1.1743968,0.0207305
33,1.6000842,1.6870744,"('wrong', 'right')",1.9281746,2.097303,-0.6546926,-0.42917684,0.9578554,1.1184002,-0.1605448
0,-1.5989424,-1.7406174,"('unsociable', 'sociable')",-2.1106994,-2.12073,-0.31767473,-0.621601,-1.3424389,-1.4943161,0.1518772
25,1.5275292,1.5278461,"('egoistic', 'altruistic')",1.1582837,1.1994698,1.4222294,1.5577102,1.3693474,1.428342,-0.0589946
85,1.5073326,1.3047823,"('insignificant', 'prestigious')",1.6861516,1.749533,0.15597758,0.47591934,1.1164873,1.1767449,-0.0602576
42,-1.477485,-1.2884709,"('unreliable', 'reliable')",-0.7162784,-0.5141583,-3.4403024,-3.411667,-1.8780219,-1.7380988,-0.1399231
41,-1.4770085,-1.2055326,"('unforgiving', 'forgiving')",-2.4544494,-2.057754,-0.13145186,-0.13312462,-1.3543034,-1.1321371,-0.2221663
86,-1.4734542,-1.5325867,"('uninfluential', 'influential')",-2.4577146,-2.3188674,-0.4842184,-0.8116926,-1.4717957,-1.5543823,0.0825866
46,-1.4709104,-1.7227477,"('uncompetitive', 'competitive')",-2.9005718,-2.8763628,-0.7411471,-1.2369946,-1.7042098,-1.9453684,0.2411586
51,-1.4170648,-1.3271673,"('uneducated', 'educated')",-1.1975771,-1.3431603,0.1128533,-0.12239789,-0.8339295,-0.9309085,0.096979
60,-1.3795276,-1.1608835,"('inefficient', 'efficient')",-2.303742,-2.0570207,-0.26154602,-0.2771867,-1.3149385,-1.1650302,-0.1499083
22,-1.3064815,-1.0748324,"('untrustworthy', 'trustworthy')",-1.9709439,-1.7200462,-0.94847286,-1.0970354,-1.4086328,-1.2973046,-0.1113282
76,-1.3053867,-1.3221508,"('anxious', 'daring')",-1.5079952,-1.5945346,-0.7070244,-0.84175,-1.1734687,-1.2528119,0.0793432
55,-1.2405163,-1.1854823,"('incompetent', 'clever')",-2.3229852,-2.2192874,0.25395936,-0.010453289,-1.1031806,-1.1384076,0.035227
3,-1.2286928,-1.2764138,"('repellent', 'pleasant')",-1.5158724,-1.6039823,0.8112143,0.6240183,-0.6444502,-0.7521259,0.1076757
14,-1.2231494,-1.1776671,"('antisocial', 'social')",-1.5370288,-1.5884572,-0.08447641,-0.30433106,-0.9482182,-1.0234851,0.0752669
32,-1.1455852,-0.91703963,"('unkind', 'kind')",-1.9825085,-1.8040572,0.22584008,0.21834281,-0.9674179,-0.8342514,-0.1331665
65,-1.1445899,-1.0124922,"('insecure', 'secure')",-1.9834218,-1.8439515,-0.26444954,-0.36801448,-1.1308204,-1.0748194,-0.056001
11,-1.114897,-1.0743836,"('unhelpful', 'helpful')",-2.5131588,-2.4220476,1.3194996,1.3095582,-0.7695187,-0.7289577,-0.040561
71,1.0984043,1.044691,"('diffident', 'self-confident')",0.8047157,0.8266577,0.5032295,0.28494722,0.8021166,0.7187653,0.0833513
81,-1.0512146,-0.8370484,"('submissive', 'aggressive')",-1.2517766,-1.1268184,-1.0776911,-1.2252775,-1.1268941,-1.0630481,-0.063846
