,ameriprise_male,ameriprise_female,tuple,financial_male,financial_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.6875806,-2.8379493,"('unfriendly', 'friendly')",1.3515102,1.3835208,2.234849,2.3139217,0.2995929,0.2864978,0.0130951
86,-2.445211,-2.362292,"('uninfluential', 'influential')",-0.28047812,-0.2516031,-0.47610843,-0.18585417,-1.0672658,-0.9332498,-0.134016
8,-2.2324762,-2.38916,"('unaffectionate', 'affectionate')",-0.051934082,-0.13999961,0.99480957,1.0278658,-0.4298669,-0.5004313,0.0705644
9,-2.0559752,-2.2044766,"('unaffectionate', 'caring')",1.4033712,1.4085712,1.3942668,1.3666314,0.247221,0.190242,0.056979
53,-1.9989017,-2.1299126,"('uncreative', 'creative')",1.3123238,1.1787707,0.8963229,0.9068356,0.069915,-0.0147688,0.0846838
44,1.8161272,1.9416614,"('prejudiced', 'unprejudiced')",-0.33156872,-0.21084194,-1.3437077,-1.3593868,0.0469503,0.1238109,-0.0768606
12,-1.6080948,-1.7341641,"('unsupportive', 'supportive')",1.2587293,1.27888,-1.7253134,-1.7165394,-0.6915596,-0.7239412,0.0323816
31,-1.5919943,-1.5581863,"('evil', 'good')",-1.1062981,-1.081943,-0.72381765,-0.60820574,-1.1407033,-1.0827784,-0.0579249
57,-1.5750123,-1.2532226,"('unimaginative', 'imaginative')",-0.29141313,-0.11417426,-2.6000116,-2.2402189,-1.4888124,-1.2025386,-0.2862738
0,-1.5368198,-1.4572852,"('unsociable', 'sociable')",0.49923408,0.5941815,-0.9776541,-0.8784528,-0.6717466,-0.5805188,-0.0912278
10,-1.4129395,-1.2014723,"('unsympathetic', 'sympathetic')",-0.75733703,-0.614309,-0.78041095,-0.5118873,-0.9835625,-0.7758896,-0.2076729
19,-1.3125176,-1.2859111,"('inhospitable', 'hospitable')",-0.44175953,-0.46180815,0.2715941,0.15017551,-0.4942277,-0.5325146,0.0382869
73,1.3066742,1.2426103,"('helpless', 'self-reliant')",0.4594221,0.42224917,-2.5031052,-2.6719136,-0.2456696,-0.3356847,0.0900151
42,1.301788,1.3525354,"('unreliable', 'reliable')",0.2765951,0.21805699,-2.785822,-2.774751,-0.4024796,-0.4013862,-0.0010934
48,-1.1771041,-1.3654779,"('unintelligent', 'intelligent')",-0.6511662,-0.6833918,-0.0015795901,0.013463311,-0.60995,-0.6784688,0.0685188
77,-1.1759378,-1.2886071,"('unmotivated', 'motivated')",0.8770949,0.8932886,-1.3076695,-1.3792297,-0.5355041,-0.5915161,0.056012
78,-1.1666981,-1.3551729,"('nonresilient', 'resilient')",1.1555305,1.0918356,0.17834966,0.110601,0.0557273,-0.0509121,0.1066394
28,-1.1528958,-1.3743149,"('disloyal', 'loyal')",0.18017147,0.0615994,0.7526302,0.6810238,-0.0733647,-0.2105639,0.1371992
85,-1.0998709,-1.1573334,"('insignificant', 'prestigious')",0.88126343,0.8264176,0.91237104,0.8418218,0.2312545,0.170302,0.0609525
