,baxter_male,baxter_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
71,1.97844,2.0618856,"('diffident', 'self-confident')",1.1098922,1.169714,0.78657395,0.7280125,1.2916354,1.3198707,-0.0282353
44,-1.9510382,-2.0060053,"('prejudiced', 'unprejudiced')",0.28339842,0.24427515,-1.3843219,-1.2489004,-1.0173206,-1.0035435,-0.0137771
9,1.807136,1.5834297,"('unaffectionate', 'caring')",0.34684464,0.3940667,1.2507044,1.3418586,1.134895,1.1064517,0.0284433
75,-1.6145247,-1.5783162,"('meek', 'impulsive')",-0.10771097,-0.14429305,-0.42913142,-0.3012334,-0.7171224,-0.6746143,-0.0425081
61,1.5337845,1.2414302,"('illogical', 'logical')",-0.28544104,-0.42044064,0.12552142,0.027565802,0.457955,0.2828518,0.1751032
39,1.5290984,1.6427042,"('exploitative', 'cooperative')",0.6403686,0.7314564,-0.10199792,0.027645234,0.6891564,0.800602,-0.1114456
16,-1.4099214,-1.4770708,"('unpopular', 'popular')",0.22267887,0.11952162,0.7397483,0.7202118,-0.1491647,-0.2124458,0.0632811
26,1.3355529,1.1132984,"('hardhearted', 'benevolent')",1.3523415,1.3499403,1.9060732,1.9148962,1.5313225,1.4593782,0.0719443
82,-1.2723418,-1.1410493,"('poor', 'rich')",-1.4673809,-1.1101522,5.7239585,5.907576,0.9947453,1.2187915,-0.2240462
74,1.2521994,0.96866757,"('undedicated', 'dedicated')",0.24802594,0.35938972,0.043809414,-0.05917545,0.5146782,0.4229606,0.0917176
12,1.2338346,0.9817844,"('unsupportive', 'supportive')",0.52205276,0.49409372,-1.5493059,-1.6029894,0.0688605,-0.0423704,0.1112309
59,1.224833,0.9540889,"('foolish', 'wise')",0.5673008,0.7942415,0.5914677,0.9026102,0.7945338,0.8836468,-0.089113
57,-1.165045,-1.520261,"('unimaginative', 'imaginative')",-0.46893796,-0.60245943,-2.3792317,-2.5368652,-1.3377382,-1.5531953,0.2154571
46,-1.1464823,-1.4769667,"('uncompetitive', 'competitive')",-0.11284165,-0.33543277,-0.83002293,-1.0383492,-0.696449,-0.9502495,0.2538005
3,-1.1006502,-1.3639145,"('repellent', 'pleasant')",-0.37972954,-0.7529307,0.08628265,-0.23036629,-0.464699,-0.7824038,0.3177048
1,1.0996896,0.8735043,"('unfriendly', 'friendly')",0.29102355,0.39318907,1.8370043,1.9012691,1.0759058,1.0559875,0.0199183
32,1.0492091,0.8984251,"('unkind', 'kind')",-0.18317705,-0.02259247,0.773801,0.7647334,0.546611,0.5468553,-0.0002443
34,-1.0422057,-0.993812,"('mean', 'honorable')",-0.023768604,0.025636494,5.694725,5.623755,1.5429169,1.5518599,-0.008943
49,-0.97883797,-0.80735505,"('unable', 'able')",-0.6467851,-0.2869542,-0.39452383,-0.11851196,-0.6733823,-0.4042737,-0.2691086
84,0.9646036,0.9430767,"('inferior', 'superior')",0.58500874,0.6747449,1.0558727,1.1303834,0.868495,0.9160684,-0.0475734
27,0.9593949,0.65308625,"('hardhearted', 'softhearted')",-0.15804186,-0.18252905,1.5300936,1.3343288,0.7771489,0.6016287,0.1755202
68,-0.94610345,-0.9507362,"('dependent', 'independent')",-0.25839442,-0.2302858,-0.7878089,-0.8949949,-0.6641022,-0.6920056,0.0279034
41,0.92699593,0.78730327,"('unforgiving', 'forgiving')",0.05227936,0.058577232,-0.08692217,-0.16278511,0.297451,0.2276985,0.0697525
43,0.91696304,0.539558,"('irresponsible', 'responsible')",0.25833833,0.35271028,0.23873717,0.4195052,0.4713461,0.4372578,0.0340883
81,-0.8818605,-1.0185784,"('submissive', 'aggressive')",0.7000173,0.65791965,-0.545611,-0.64885545,-0.2424847,-0.3365047,0.09402
33,0.82913446,0.7679815,"('wrong', 'right')",0.6341207,0.6962853,-0.41226694,-0.2806756,0.3503294,0.3945304,-0.044201
56,0.8171305,0.80493885,"('impractical', 'practical')",0.8945765,1.1307956,-0.23735309,-0.1657843,0.4914513,0.5899834,-0.0985321
48,0.8067299,0.6961011,"('unintelligent', 'intelligent')",0.2526935,0.13167456,0.6622747,0.5627104,0.5738994,0.4634954,0.110404
64,-0.7977493,-1.0772293,"('shy', 'confident')",0.16654967,-0.03580728,-6.5031323,-6.3931727,-2.3781106,-2.5020698,0.1239592
78,0.77120924,0.6054177,"('nonresilient', 'resilient')",1.0790615,0.75184345,0.5136342,0.36493716,0.7879683,0.5740661,0.2139022
66,-0.7321584,-0.9651985,"('inactive', 'active')",0.80784774,0.69483256,1.2199317,1.0465914,0.4318737,0.2587418,0.1731319
8,0.73122114,0.6122836,"('unaffectionate', 'affectionate')",-0.37217015,-0.3563528,0.77110136,0.87949586,0.3767174,0.3784755,-0.0017581
4,-0.7241065,-0.8740303,"('disliked', 'liked')",-0.26109815,-0.17018431,-6.3071446,-6.1441264,-2.4307831,-2.3961137,-0.0346694
40,-0.6945598,-0.9508993,"('stingy', 'generous')",0.03223672,0.14138624,-1.3198255,-1.5203952,-0.6607162,-0.7766361,0.1159199
20,-0.6911051,-0.84439427,"('rough', 'thoughtful')",0.25934947,0.11921525,1.1909593,1.0426741,0.2530679,0.1058317,0.1472362
17,-0.5835773,-0.5573735,"('nasty', 'nice')",-1.1948732,-1.1587956,-0.43624824,-0.44667494,-0.7382329,-0.7209481,-0.0172848
77,-0.5468503,-0.65042084,"('unmotivated', 'motivated')",-0.23937581,-0.41891357,-1.2144196,-1.1938534,-0.6668819,-0.754396,0.0875141
63,0.5462845,0.3154854,"('unperceptive', 'insightful')",1.0044967,0.8674757,1.0501194,0.9291829,0.8669669,0.704048,0.1629189
83,-0.544085,-0.7562842,"('powerless', 'powerful')",-0.18606767,-0.16788104,-0.8386692,-0.95534444,-0.5229406,-0.6265032,0.1035626
7,0.53331107,0.17795424,"('insensitive', 'sensitive')",-0.046017714,-0.20885721,0.9480832,0.6017145,0.4784589,0.1902705,0.2881884
73,0.51451194,0.3871147,"('helpless', 'self-reliant')",-0.03749142,-0.0043465346,-3.024182,-2.9170446,-0.8490539,-0.8447588,-0.0042951
23,0.5042839,0.38610375,"('insincere', 'sincere')",0.056554012,0.17495087,5.4514093,5.4988256,2.0040824,2.0199601,-0.0158777
37,-0.45778218,-0.71659666,"('fake', 'genuine')",-0.80852324,-0.9662514,0.43367022,0.25474408,-0.2775451,-0.4760346,0.1984895
79,-0.43960762,-0.45173284,"('wavering', 'unwavering')",-0.44055346,-0.40338162,0.13236384,0.21143836,-0.2492657,-0.2145587,-0.034707
6,-0.42379847,-0.3565301,"('distant', 'open')",-0.2559225,0.0148847625,0.53662485,0.80203795,-0.0476987,0.1534642,-0.2011629
2,0.41917914,0.24827716,"('unlikable', 'likable')",0.83147186,0.95992684,0.3901805,0.5379159,0.5469438,0.58204,-0.0350962
54,0.40080434,0.32824856,"('incapable', 'capable')",0.36422664,0.43812633,1.1655551,1.4259415,0.6435287,0.7307721,-0.0872434
52,-0.3912757,-0.36883637,"('irrational', 'rational')",-0.7266663,-0.6421381,0.004901561,0.20787758,-0.3710135,-0.267699,-0.1033145
36,-0.3882607,-0.4344858,"('hostile', 'amicable')",-0.06461768,-0.08225158,0.25707287,0.272447,-0.0652685,-0.0814301,0.0161616
50,-0.3651735,-0.6109386,"('clumsy', 'skillful')",-0.014723465,-0.06257223,0.33233,0.32285863,-0.0158557,-0.1168841,0.1010284
38,0.36409158,0.36657494,"('untruthful', 'truthful')",-0.18080784,0.038061388,-0.28708923,0.08641955,-0.0346018,0.1636853,-0.1982871
67,0.35857514,0.5179949,"('doubtful', 'determined')",0.2973067,0.55933046,-0.5469036,-0.37840524,0.0363261,0.2329734,-0.1966473
29,0.35747164,0.14282589,"('unfair', 'fair')",-0.4086081,-0.33663377,-0.66071826,-0.6104821,-0.2372849,-0.2680967,0.0308118
88,0.3525622,0.27779943,"('low', 'eminent')",0.0036528462,0.029500503,0.35632277,0.30868435,0.2375126,0.2053281,0.0321845
42,0.35179728,-0.18671234,"('unreliable', 'reliable')",0.66757256,0.73160964,-2.6066022,-2.6774406,-0.5290775,-0.7108478,0.1817703
55,-0.3006176,-0.5016516,"('incompetent', 'clever')",-0.5760832,-0.6720464,-0.07695529,-0.27406245,-0.3178854,-0.4825868,0.1647014
13,-0.29486185,-0.25883728,"('impolite', 'polite')",0.42791092,0.5319854,-0.26979673,-0.2524697,-0.0455826,0.0068928,-0.0524754
28,0.29233027,0.07473985,"('disloyal', 'loyal')",-0.39731467,-0.1868086,0.61459124,0.66707724,0.1698689,0.1850028,-0.0151339
10,-0.28725338,-0.57931924,"('unsympathetic', 'sympathetic')",-0.9986822,-1.0088233,-0.3418526,-0.49743146,-0.5425961,-0.6951913,0.1525952
53,-0.28376365,-0.45466688,"('uncreative', 'creative')",-0.46826953,-0.3612185,0.9198883,0.86355746,0.0559517,0.0158907,0.040061
58,0.27245417,0.17779332,"('undiscriminating', 'discriminating')",-0.0012019873,-0.038005397,-0.0082964,-0.2742538,0.0876519,-0.044822,0.1324739
85,0.26359734,0.24956256,"('insignificant', 'prestigious')",-0.43504882,-0.42470375,0.7153538,0.76452667,0.1813008,0.1964618,-0.015161
11,0.25978732,0.07791089,"('unhelpful', 'helpful')",0.46880358,0.43350202,1.6348342,1.7113887,0.7878083,0.7409339,0.0468744
65,-0.2530235,-0.35668892,"('insecure', 'secure')",0.10037789,0.14070654,-0.56335545,-0.54261094,-0.238667,-0.2528644,0.0141974
51,-0.25287396,-0.45167205,"('uneducated', 'educated')",0.40704232,0.33360732,0.35726643,0.12360293,0.1704783,0.0018461,0.1686322
30,0.25142112,0.09116264,"('intolerant', 'tolerant')",-0.03818698,0.17404191,1.0650275,1.1783062,0.4260872,0.4811703,-0.0550831
62,0.22383782,0.14852329,"('incompetent', 'brilliant')",0.9192117,0.9876838,0.24184476,0.49657133,0.4616314,0.5442595,-0.0826281
0,0.20048161,0.14637282,"('unsociable', 'sociable')",-0.16663297,-0.115662545,-0.5382666,-0.5508083,-0.1681393,-0.173366,0.0052267
35,-0.18949896,-0.033921245,"('corrupt', 'incorrupt')",-0.36497435,-0.20029461,-0.10254691,0.105374254,-0.2190067,-0.0429472,-0.1760595
80,-0.17881227,-0.55606246,"('dominated', 'dominating')",0.29043517,0.036780495,-1.1674473,-1.4892635,-0.3519415,-0.6695151,0.3175736
5,0.17803775,0.3602015,"('distant', 'outgoing')",-0.09017138,0.13143644,-0.05763929,0.3507449,0.0100757,0.2807943,-0.2707186
72,-0.17577814,-0.100382864,"('unambitious', 'ambitious')",-0.36664537,-0.21611443,-0.9847198,-0.79025424,-0.5090477,-0.3689172,-0.1401305
76,-0.17286997,-0.36985934,"('anxious', 'daring')",0.67075956,0.7486582,0.24599224,0.22774218,0.2479606,0.2021803,0.0457803
15,0.17061472,0.15979439,"('boring', 'funny')",0.08547727,0.19219479,0.554656,0.60043645,0.2702493,0.3174752,-0.0472259
47,-0.15856251,-0.26398826,"('stupid', 'smart')",-0.0888533,0.09193182,5.3460255,5.441269,1.6995365,1.7564042,-0.0568677
22,0.15507738,-0.24607857,"('untrustworthy', 'trustworthy')",-0.14025582,-0.17631902,-1.0423658,-1.0509076,-0.3425148,-0.4911017,0.1485869
70,0.15480798,-0.16225041,"('lethargic', 'energetic')",0.4693449,0.33400264,0.69841856,0.60993737,0.4408572,0.2605632,0.180294
86,-0.15307106,-0.42193103,"('uninfluential', 'influential')",-0.4954934,-0.49806535,-0.4598742,-0.6962119,-0.3694796,-0.5387361,0.1692565
45,-0.15025602,-0.36360702,"('incompetent', 'competent')",-0.07426127,-0.025544386,-0.36038828,-0.3710959,-0.1949685,-0.2534158,0.0584473
14,-0.13686696,-0.22115122,"('antisocial', 'social')",0.5150416,0.46184573,-0.50836104,-0.6073755,-0.0433955,-0.122227,0.0788315
60,-0.123242036,-0.12335001,"('inefficient', 'efficient')",0.64075553,0.79291034,-0.2590357,-0.09957508,0.0861593,0.1899951,-0.1038358
18,-0.09812753,-0.10069336,"('disagreeable', 'welcoming')",0.9801526,1.1265337,-0.45429656,-0.39589554,0.1425762,0.2099816,-0.0674054
19,-0.08550528,0.048304763,"('inhospitable', 'hospitable')",-1.2504202,-1.0011824,-0.1656644,0.024317347,-0.50053,-0.3095201,-0.1910099
87,0.05372734,-0.036457736,"('unsuccessful', 'successful')",1.1750513,1.0702627,1.1440821,1.0814116,0.7909536,0.7050722,0.0858814
31,0.052446324,0.036808357,"('evil', 'good')",-0.5641619,-0.6591887,-0.75371933,-0.7524913,-0.4218117,-0.4582905,0.0364788
25,0.04803896,0.095141806,"('egoistic', 'altruistic')",0.54668117,0.5209851,1.5838012,1.5864886,0.7261737,0.7342052,-0.0080315
