,suntrust_male,suntrust_female,tuple,banks_male,banks_female,inc_male,inc_female,average_male,average_female,male-female
53,-1.3882946,-1.2502617,"('uncreative', 'creative')",0.29930192,0.51346654,0.75386167,0.7242194,-0.1117103,-0.0041919,-0.1075184
57,-1.2624365,-1.2994641,"('unimaginative', 'imaginative')",-0.3557516,-0.43172896,-2.4952817,-2.3001282,-1.3711567,-1.3437738,-0.0273829
77,-1.2551402,-1.1677424,"('unmotivated', 'motivated')",-0.026433947,0.04293208,-0.9813876,-1.0531565,-0.7543206,-0.7259889,-0.0283317
73,1.2375938,1.323615,"('helpless', 'self-reliant')",0.14874646,0.28110904,-3.3591208,-3.1268342,-0.6575935,-0.5073701,-0.1502234
42,1.0909419,1.3190858,"('unreliable', 'reliable')",0.8283449,0.9367063,-2.37517,-2.0255811,-0.1519611,0.076737,-0.2286981
55,-1.088255,-1.1508579,"('incompetent', 'clever')",0.3745217,0.20993686,0.029716851,-0.092224166,-0.2280055,-0.3443817,0.1163762
45,-1.0362085,-1.1809076,"('incompetent', 'competent')",0.45350844,0.4051149,-0.38657337,-0.40973675,-0.3230911,-0.3951765,0.0720854
46,-1.0316154,-1.1575251,"('uncompetitive', 'competitive')",0.54169095,0.28233758,-0.31772858,-0.37980354,-0.2692177,-0.4183304,0.1491127
10,-1.0001471,-0.87452036,"('unsympathetic', 'sympathetic')",0.12613112,-0.014976345,0.2572059,0.26897466,-0.2056034,-0.2068407,0.0012373
86,-0.9673129,-1.0479037,"('uninfluential', 'influential')",0.6662561,0.5343781,0.17068389,0.122657344,-0.0434576,-0.1302894,0.0868318
85,0.900782,1.099387,"('insignificant', 'prestigious')",0.38126647,0.8091039,-0.19292693,-0.0019492283,0.3630405,0.6355139,-0.2724734
2,0.88051736,1.1341622,"('unlikable', 'likable')",1.6303523,1.8753569,0.25840148,0.5546024,0.9230903,1.1880405,-0.2649502
21,-0.86608183,-0.9144479,"('immoral', 'moral')",0.61100316,0.41524485,-0.9562971,-1.057718,-0.4037919,-0.5189737,0.1151818
1,-0.8490126,-0.72776425,"('unfriendly', 'friendly')",1.0706631,1.3654516,1.2130562,1.2978259,0.4782356,0.6451711,-0.1669355
78,-0.83268243,-0.675589,"('nonresilient', 'resilient')",0.7923428,0.73316395,0.4068087,0.3901029,0.1221564,0.1492259,-0.0270695
22,-0.81979364,-1.082142,"('untrustworthy', 'trustworthy')",-0.22042878,-0.27477127,-1.0914971,-1.2011861,-0.7105732,-0.8526998,0.1421266
68,-0.81386226,-1.1606915,"('dependent', 'independent')",-1.3298607,-1.5919447,-0.3916875,-0.6089038,-0.8451368,-1.1205134,0.2753766
82,-0.7984283,-0.8416168,"('poor', 'rich')",-0.28261247,-0.2591988,6.02967,5.6131325,1.649543,1.5041056,0.1454374
0,-0.7906388,-0.88270617,"('unsociable', 'sociable')",1.071332,0.8834063,-0.38017538,-0.4428946,-0.0331607,-0.1473982,0.1142375
25,-0.7739466,-0.49631184,"('egoistic', 'altruistic')",-0.04748594,0.1574813,0.88413185,0.90918547,0.0208998,0.1901183,-0.1692185
