,apollo_male,apollo_female,tuple,education_male,education_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
48,1.8643625,1.7298625,"('unintelligent', 'intelligent')",0.51900065,0.51670575,-0.06480294,-0.29810908,0.50491256,0.42550227,0.7058682,0.5934904,0.1123778
6,-1.5088099,-1.3417559,"('distant', 'open')",-0.09225888,0.023865439,-1.9349324,-1.6786916,0.17538565,0.42568815,-0.8401539,-0.6427234,-0.1974305
72,1.4411596,1.5608873,"('unambitious', 'ambitious')",0.58685356,0.62737125,0.36435953,0.44773716,-0.98129314,-0.8311315,0.3527699,0.4512161,-0.0984462
19,-1.4299854,-1.3045242,"('inhospitable', 'hospitable')",0.42207906,0.38479957,-1.0887772,-0.92495054,-0.27265352,0.058970492,-0.5923343,-0.4464262,-0.1459081
5,-1.310535,-1.1952232,"('distant', 'outgoing')",0.008435141,0.12152502,-1.63678,-1.3815246,-0.61096996,-0.23356539,-0.8874625,-0.672197,-0.2152655
16,-1.286138,-1.2795266,"('unpopular', 'popular')",-0.41732574,-0.44901177,-0.34833723,-0.21627313,0.19459015,0.38520285,-0.4643027,-0.3899022,-0.0744005
17,-1.2135645,-1.2398634,"('nasty', 'nice')",-0.18091048,0.0011791233,-0.9522392,-0.75483525,-0.7521772,-0.62612194,-0.7747229,-0.6549104,-0.1198125
36,-1.1974522,-1.3786179,"('hostile', 'amicable')",-1.596978,-1.644599,-1.8130099,-1.6151154,0.014379676,0.13278674,-1.1482651,-1.1263864,-0.0218787
39,1.1177655,0.9581919,"('exploitative', 'cooperative')",0.23276731,0.17115037,1.9655727,1.9148211,0.03655885,0.012151692,0.8381661,0.7640787,0.0740874
26,1.080201,1.1969424,"('hardhearted', 'benevolent')",1.0656898,1.0350769,0.80905557,0.94417137,1.6487317,1.8882443,1.1509194,1.2661088,-0.1151894
58,-0.9954449,-1.0032637,"('undiscriminating', 'discriminating')",0.26268563,0.037909925,0.74299437,0.4539383,0.060580634,0.028911624,0.0177039,-0.120626,0.1383299
45,-0.9874461,-0.8048106,"('incompetent', 'competent')",1.0631335,1.1852288,0.2992991,0.24686325,-0.52008945,-0.3589383,-0.0362758,0.0670858,-0.1033616
12,0.97746474,1.2224646,"('unsupportive', 'supportive')",1.8618128,2.0167973,1.6332628,1.7691371,-1.5521789,-1.3413239,0.7300904,0.9167688,-0.1866784
47,-0.9718447,-0.90219855,"('stupid', 'smart')",1.2444715,1.4026557,0.98623806,1.0889336,5.5412264,5.577981,1.7000228,1.7918429,-0.0918201
4,-0.9401482,-0.8469078,"('disliked', 'liked')",1.2929426,1.2756126,-0.34619844,-0.29408655,-6.6494064,-6.1688566,-1.6607026,-1.5085596,-0.152143
62,0.92295074,1.1170708,"('incompetent', 'brilliant')",2.0304778,2.1379845,0.47222695,0.45812887,-0.066032715,0.14216931,0.8399057,0.9638384,-0.1239327
73,0.9139969,1.0697571,"('helpless', 'self-reliant')",1.0279117,0.8391206,-0.5817851,-0.48421362,-3.582971,-3.3298838,-0.5557119,-0.4763049,-0.079407
31,-0.8975775,-0.88311523,"('evil', 'good')",-1.5574789,-1.6377999,-1.4684296,-1.2136992,-1.4218593,-1.0910544,-1.3363364,-1.2064172,-0.1299192
27,0.8693298,0.67881083,"('hardhearted', 'softhearted')",1.0506597,1.0611881,0.4264902,0.32436055,1.6896596,1.6435243,1.0090349,0.926971,0.0820639
38,-0.8672221,-0.7858999,"('untruthful', 'truthful')",0.22888954,0.1333632,-0.90825665,-0.6424483,-0.14733592,0.06504146,-0.4234813,-0.3074859,-0.1159954
44,-0.84980005,-1.0292218,"('prejudiced', 'unprejudiced')",-0.21284735,-0.3370485,-0.5475185,-0.622025,-1.6191764,-1.690948,-0.8073356,-0.9198108,0.1124752
41,-0.84287095,-0.60045135,"('unforgiving', 'forgiving')",-0.47694314,-0.4025673,1.0678854,1.2382067,-0.029385077,0.22047816,-0.0703284,0.1139166,-0.184245
66,-0.82230043,-0.6525008,"('inactive', 'active')",0.3573811,0.32972017,1.0159825,0.91536516,1.0677941,1.1575388,0.4047143,0.4375308,-0.0328165
84,0.8044008,0.74420786,"('inferior', 'superior')",-0.27258,-0.38405114,0.3991695,0.23656195,0.57555944,0.6854882,0.3766374,0.3205517,0.0560857
56,0.7780468,0.8928764,"('impractical', 'practical')",1.4577085,1.6601732,0.6817987,0.65171504,-0.026422828,-0.065308556,0.7227828,0.784864,-0.0620812
0,-0.76586354,-0.608717,"('unsociable', 'sociable')",0.3607613,0.32508063,0.7152283,0.40304893,-0.36664104,-0.4145622,-0.0141287,-0.0737874,0.0596587
7,0.7613627,0.81780016,"('insensitive', 'sensitive')",1.1839426,1.153284,0.68819416,0.59792435,0.9294735,1.0110905,0.8907433,0.8950247,-0.0042814
33,0.75777495,0.45351833,"('wrong', 'right')",0.45794708,0.36998045,-0.23909785,-0.13380042,-0.6895481,-0.5072111,0.071769,0.0456218,0.0261472
22,-0.73234946,-0.76234305,"('untrustworthy', 'trustworthy')",0.42264062,0.2113581,1.1335937,1.0198247,-0.91577435,-0.84960836,-0.0229724,-0.0951921,0.0722197
69,-0.67133814,-0.91430396,"('lazy', 'industrious')",0.449355,0.48042402,0.48879942,0.57520217,-0.67706203,-0.3707204,-0.1025614,-0.0573495,-0.0452119
78,-0.62732583,-0.6767522,"('nonresilient', 'resilient')",0.5334549,0.6146479,1.1024002,0.98496854,0.7157967,0.52064276,0.4310815,0.3608767,0.0702048
53,-0.6254712,-0.5265769,"('uncreative', 'creative')",-0.10164095,-0.10109916,-0.091858685,-0.13578953,1.1613972,1.2709607,0.0856066,0.1268738,-0.0412672
83,-0.6202893,-0.7774673,"('powerless', 'powerful')",1.0168422,1.0661706,-0.5603854,-0.634012,-0.84905094,-1.1463786,-0.2532209,-0.3729218,0.1197009
86,0.58625543,0.5306542,"('uninfluential', 'influential')",0.8455651,0.83110636,0.3743353,0.22832704,-0.0716249,-0.12055187,0.4336327,0.367384,0.0662487
82,-0.5670707,-0.46147966,"('poor', 'rich')",-0.19938517,-0.097178094,-0.64318806,-0.45926085,5.868479,5.790476,1.1147087,1.1931393,-0.0784306
50,-0.5291055,-0.5493967,"('clumsy', 'skillful')",0.53822196,0.52235615,0.0567635,0.20714906,0.19872293,0.37552944,0.0661507,0.1389095,-0.0727588
54,0.5257988,0.31846583,"('incapable', 'capable')",1.2863714,1.1072681,-0.17187183,-0.16182324,0.7643457,0.97338086,0.601161,0.5593229,0.0418381
13,-0.5117629,-0.3415956,"('impolite', 'polite')",1.113133,1.3325329,0.42260683,0.59960914,0.010745894,0.012064382,0.2586807,0.4006527,-0.141972
64,-0.5044109,-0.6096912,"('shy', 'confident')",1.0627248,0.9473976,1.2295897,1.1218126,-6.581863,-6.403297,-1.1984899,-1.2359445,0.0374546
65,0.50286716,0.39113024,"('insecure', 'secure')",-0.19937903,-0.26012233,0.8280322,0.66219217,-0.40882188,-0.50546175,0.1806746,0.0719346,0.10874
42,-0.49172056,-0.3241756,"('unreliable', 'reliable')",1.7094631,1.6657732,1.4479744,1.4992504,-2.6421041,-2.4258213,0.0059032,0.1037567,-0.0978535
74,0.47903013,0.7497385,"('undedicated', 'dedicated')",0.2776936,0.30779573,1.2185766,1.1713916,0.29369792,0.30980995,0.5672495,0.6346839,-0.0674344
79,-0.4676684,-0.43446395,"('wavering', 'unwavering')",0.12201605,0.1386565,-1.7304814,-1.4327596,-0.1829727,-0.075571656,-0.5647766,-0.4510347,-0.1137419
28,-0.46547103,-0.4230669,"('disloyal', 'loyal')",-0.17434567,-0.19630049,-0.11378207,-0.13046786,1.0194824,1.008617,0.0664709,0.0646954,0.0017755
9,0.44533864,0.4696229,"('unaffectionate', 'caring')",0.39092126,0.27800217,0.071497835,0.04472685,1.1766152,1.3542669,0.5210932,0.5366547,-0.0155615
23,0.4429998,0.58917046,"('insincere', 'sincere')",0.522538,0.53179526,0.47831422,0.48139885,5.8101625,5.6264024,1.8135036,1.8071917,0.0063119
2,-0.44049653,-0.23521793,"('unlikable', 'likable')",0.4679832,0.348659,1.2086,1.2063158,0.29108605,0.622796,0.3817932,0.4856382,-0.103845
8,0.40479666,0.26778078,"('unaffectionate', 'affectionate')",0.14177254,0.024955798,-0.045094408,-0.004429482,0.45719582,0.77069426,0.2396677,0.2647503,-0.0250826
14,-0.3916544,-0.093303934,"('antisocial', 'social')",1.242459,1.5085998,1.4355654,1.4626709,-0.6199573,-0.49312955,0.4166032,0.5962093,-0.1796061
29,-0.39162204,-0.46309936,"('unfair', 'fair')",-1.3079338,-1.3657022,-0.41072142,-0.54965836,-0.62461215,-0.69096076,-0.6837223,-0.7673552,0.0836329
30,0.38453966,0.44273221,"('intolerant', 'tolerant')",1.4546591,1.5302874,0.24345946,0.27063358,1.0223764,1.2775493,0.7762587,0.8803006,-0.1040419
46,-0.347436,-0.44483352,"('uncompetitive', 'competitive')",0.6241942,0.62404156,1.5356894,1.1788669,-0.36485925,-0.6715506,0.3618971,0.1716311,0.190266
81,-0.34004337,-0.20333193,"('submissive', 'aggressive')",1.304174,1.4502165,1.6603314,1.4391323,-0.7351962,-0.56799436,0.4723164,0.5295057,-0.0571893
35,-0.33903137,-0.42512077,"('corrupt', 'incorrupt')",-2.0329545,-2.0823607,-1.7561892,-1.5351719,-0.33920553,-0.2469266,-1.1168453,-1.0723951,-0.0444502
40,-0.30317724,-0.043401234,"('stingy', 'generous')",0.085692406,0.06688273,0.4712151,0.59070545,-1.9360687,-1.5633881,-0.4205846,-0.2373003,-0.1832843
3,0.30229557,0.5117837,"('repellent', 'pleasant')",0.18598601,0.2287545,0.92423487,0.7821517,0.36464742,0.29432845,0.444291,0.4542546,-0.0099636
51,-0.294735,-0.3138838,"('uneducated', 'educated')",1.5761746,1.5602641,0.80463415,0.6039453,0.39432108,0.2998399,0.6200987,0.5375414,0.0825573
61,0.2834483,0.16306543,"('illogical', 'logical')",0.3751308,0.25538003,-0.12735386,-0.4648392,0.12715843,0.05285625,0.1645959,0.0016156,0.1629803
63,-0.28135785,-0.19322872,"('unperceptive', 'insightful')",1.999456,1.9675559,1.7370132,1.7216327,1.0689243,1.1250662,1.131009,1.1552565,-0.0242475
87,-0.27905494,-0.26542622,"('unsuccessful', 'successful')",0.25640163,0.21510027,1.2811273,1.1810623,0.43226582,0.48096475,0.422685,0.4029253,0.0197597
55,0.26722148,0.23755702,"('incompetent', 'clever')",0.16091849,0.17525524,0.9725709,0.66088545,0.05917273,-0.06320278,0.3649709,0.2526237,0.1123472
10,-0.24587196,-0.10753806,"('unsympathetic', 'sympathetic')",0.70801425,0.6827217,0.3397134,0.116670884,0.24553026,0.11663053,0.2618465,0.2021213,0.0597252
85,-0.22903612,-0.40080234,"('insignificant', 'prestigious')",0.22176044,-0.09162027,-0.74326825,-0.716701,0.025786433,0.24910897,-0.1811894,-0.2400037,0.0588143
32,-0.22532524,-0.09486039,"('unkind', 'kind')",-0.17240629,-0.17279848,1.1564665,1.1803602,0.92055154,0.9765077,0.4198216,0.4723023,-0.0524807
24,0.22493255,0.379706,"('dishonest', 'honest')",0.5738056,0.5575842,-0.21560243,-0.04972045,0.54796475,0.82819045,0.2827751,0.4289401,-0.146165
25,-0.21916126,-0.31746197,"('egoistic', 'altruistic')",-0.26630515,-0.3052953,-0.35813853,-0.17837015,1.3613396,1.5043082,0.1294337,0.1757952,-0.0463615
80,0.19615242,0.1802989,"('dominated', 'dominating')",0.6033371,0.5592199,1.6425376,1.2861509,-1.0302777,-1.3234892,0.3529373,0.1755451,0.1773922
75,-0.17886138,-0.27559412,"('meek', 'impulsive')",-0.5431085,-0.7019667,-1.3893923,-1.2999688,-0.72309256,-0.57878494,-0.7086137,-0.7140787,0.005465
76,0.17608175,0.3783764,"('anxious', 'daring')",-0.3694418,-0.3502566,0.6827009,0.53769195,0.4220627,0.35841376,0.2278509,0.2310564,-0.0032055
21,0.17486526,0.17164852,"('immoral', 'moral')",2.2564893,2.220852,0.65244573,0.4431476,-0.72296304,-0.8304082,0.5902093,0.50131,0.0888993
