,american_male,american_female,tuple,express_male,express_female,co_male,co_female,average_male,average_female,male-female
73,1.7183272,1.8409522,"('helpless', 'self-reliant')",0.4914288,0.47904545,-3.2556808,-3.328056,-0.3486416,-0.3360195,-0.0126221
47,-1.3913407,-1.3559189,"('stupid', 'smart')",-0.32782432,-0.14422184,5.0020266,5.093958,1.0942872,1.1979391,-0.1036519
78,-1.3227427,-1.0375222,"('nonresilient', 'resilient')",-0.9558292,-0.70903903,-0.647198,-0.48709935,-0.9752566,-0.7445536,-0.230703
45,-1.2960784,-0.825254,"('incompetent', 'competent')",-0.8109125,-0.22000137,-0.66977596,-0.54201186,-0.9255889,-0.5290891,-0.3964998
16,-1.2771871,-1.0466752,"('unpopular', 'popular')",-0.71731263,-0.54310787,0.059476078,0.09536437,-0.6450078,-0.4981396,-0.1468682
77,-1.2514484,-1.0170536,"('unmotivated', 'motivated')",-0.6213208,-0.42457598,-1.574923,-1.3772279,-1.1492307,-0.9396192,-0.2096115
0,-1.148175,-1.0928122,"('unsociable', 'sociable')",0.106709786,0.3256375,-0.37012935,-0.2301605,-0.4705315,-0.3324451,-0.1380864
22,-1.1466522,-0.75804776,"('untrustworthy', 'trustworthy')",-1.0263485,-0.7505025,-1.0705758,-0.69797766,-1.0811922,-0.7355093,-0.3456829
66,1.1371032,0.8672419,"('inactive', 'active')",-0.37476972,-0.5674368,0.435242,0.24426997,0.3991919,0.1813584,0.2178335
3,-1.1323309,-1.1507043,"('repellent', 'pleasant')",-0.94450915,-0.9142386,0.5600299,0.41513133,-0.5056033,-0.5499372,0.0443339
49,-1.0646458,-0.70966375,"('unable', 'able')",-0.77749467,-0.30531847,-0.9977076,-0.4829191,-0.946616,-0.4993004,-0.4473156
26,0.98729366,0.6480528,"('hardhearted', 'benevolent')",1.5566155,1.1949515,1.7702519,1.3769096,1.4380536,1.0733047,0.3647489
55,-0.96956146,-0.8807499,"('incompetent', 'clever')",-0.69278264,-0.2570874,0.020090863,0.17905568,-0.5474178,-0.3195939,-0.2278239
40,0.91707957,0.94333756,"('stingy', 'generous')",0.69652313,0.63862944,-2.2255619,-2.490286,-0.2039864,-0.302773,0.0987866
24,0.9165384,0.70851415,"('dishonest', 'honest')",0.5771305,0.5895514,0.9367112,1.0205669,0.8101267,0.7728775,0.0372492
82,-0.9151694,-0.8124901,"('poor', 'rich')",-0.48547298,-0.15558049,6.3780355,6.356797,1.6591311,1.7962422,-0.1371111
29,-0.9087153,-0.5999921,"('unfair', 'fair')",-0.82298213,-0.6324551,-0.79742223,-0.69643664,-0.8430399,-0.6429613,-0.2000786
88,0.9009126,0.7759788,"('low', 'eminent')",0.15497893,0.2608184,-0.23296548,-0.1445092,0.2743087,0.2974293,-0.0231206
67,0.879087,0.95574296,"('doubtful', 'determined')",0.7103422,0.8129786,0.18637265,0.35049874,0.5919339,0.7064068,-0.1144729
33,0.8767868,0.83034056,"('wrong', 'right')",0.66743183,0.5529357,-0.7756918,-0.79095364,0.2561756,0.1974409,0.0587347
