,wells_male,wells_female,tuple,fargo_male,fargo_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
85,2.3141553,2.6965337,"('insignificant', 'prestigious')",1.6204374,1.8877417,2.4214873,2.9302306,0.89295036,1.1359038,1.8122576,2.1626024,-0.3503448
55,-2.2706223,-2.6565557,"('incompetent', 'clever')",-1.9254104,-2.256621,-1.3573962,-1.8680393,-1.2120919,-1.2764964,-1.6913801,-2.0144281,0.323048
60,-2.1562786,-2.251101,"('inefficient', 'efficient')",-1.0147985,-1.1318713,-1.2086123,-1.510633,-0.817855,-0.9545223,-1.2993861,-1.4620318,0.1626457
86,-2.1307747,-2.3871388,"('uninfluential', 'influential')",-0.77217627,-0.96601534,-0.59459525,-1.0083333,-0.82648975,-1.0800682,-1.081009,-1.3603889,0.2793799
0,-2.1143289,-2.2844133,"('unsociable', 'sociable')",-1.1984237,-1.3307885,-0.40266734,-0.6279465,-0.25107569,-0.41776925,-0.9916239,-1.1652294,0.1736055
45,-2.0166924,-2.4039967,"('incompetent', 'competent')",-1.7404076,-2.121676,-1.2022755,-1.7436575,-1.3542814,-1.61233,-1.5784142,-1.9704151,0.3920009
14,-1.9789275,-2.073619,"('antisocial', 'social')",-1.2225097,-1.372367,-0.47723594,-0.65560734,-1.2653775,-1.5214,-1.2360127,-1.4057482,0.1697355
71,1.8350903,2.0307035,"('diffident', 'self-confident')",2.3816893,2.5045476,1.2614332,1.2449387,0.56472135,0.53274524,1.5107336,1.5782338,-0.0675002
77,-1.7582418,-1.6781365,"('unmotivated', 'motivated')",-0.13182494,-0.06495251,0.066304885,0.26096535,0.11326368,0.19089383,-0.4276245,-0.3228074,-0.1048171
69,1.7557955,1.9206588,"('lazy', 'industrious')",1.5522542,1.7118003,1.1215482,1.4144449,0.14579313,0.35488766,1.1438477,1.3504479,-0.2066002
66,1.7555671,1.8303062,"('inactive', 'active')",1.5430083,1.8052826,2.4015083,2.6312604,2.2608657,2.4528794,1.9902374,2.1799321,-0.1896947
43,-1.7244135,-1.8929557,"('irresponsible', 'responsible')",-1.2115717,-1.2825873,-1.0728334,-1.3207515,-0.19698742,-0.32242933,-1.0514516,-1.2046809,0.1532293
73,1.6954856,1.6788192,"('helpless', 'self-reliant')",0.3487657,0.38954192,-0.065355055,-0.15337548,-3.0938954,-3.0240514,-0.2787498,-0.2772665,-0.0014833
28,-1.6534729,-1.4350058,"('disloyal', 'loyal')",-0.84312516,-0.7006426,-0.7999543,-0.8240891,-0.11704368,-0.11865881,-0.853399,-0.769599,-0.0838
46,-1.6441609,-1.7096094,"('uncompetitive', 'competitive')",-0.37077984,-0.3495965,-0.47026914,-0.45664045,-0.095664784,-0.11567047,-0.6452187,-0.6578792,0.0126605
10,-1.634702,-2.019911,"('unsympathetic', 'sympathetic')",-1.7906799,-2.073906,-1.1822603,-1.6552953,-0.12058206,-0.471892,-1.1820561,-1.555251,0.3731949
5,1.6254988,1.8445243,"('distant', 'outgoing')",2.1058147,2.2950983,1.5481901,1.8126158,0.40122578,0.48385474,1.4201823,1.6090233,-0.188841
82,-1.5674174,-1.9480351,"('poor', 'rich')",-1.8064231,-1.8932788,-1.1448073,-1.4998338,4.2095866,3.9093764,-0.0772653,-0.3579428,0.2806775
22,-1.5365981,-1.7609226,"('untrustworthy', 'trustworthy')",-1.6929648,-1.7279133,-1.5375593,-1.6756064,-1.878342,-1.947114,-1.6613661,-1.777889,0.1165229
81,-1.5259984,-2.0454552,"('submissive', 'aggressive')",-1.5735235,-1.8687149,-0.270966,-0.73098624,-1.3376336,-1.4382629,-1.1770303,-1.5208548,0.3438245
57,-1.522952,-1.7204695,"('unimaginative', 'imaginative')",-1.2550343,-1.3998693,-0.84911054,-1.1012385,-2.9284124,-2.9945943,-1.6388774,-1.8040431,0.1651657
52,1.5153247,1.6732664,"('irrational', 'rational')",-0.18810809,-0.077792466,0.8267305,1.0429058,-0.22236101,-0.06485275,0.4828965,0.6433818,-0.1604853
33,1.4608052,1.6961713,"('wrong', 'right')",2.1135588,2.233624,1.7086302,1.9450552,-0.20293611,-0.06914015,1.2700145,1.4514276,-0.1814131
35,1.4603099,1.8321415,"('corrupt', 'incorrupt')",1.4950705,1.8473141,1.0010929,1.3077013,0.18425557,0.45609713,1.0351822,1.3608135,-0.3256313
70,-1.4548396,-2.0417209,"('lethargic', 'energetic')",-1.3810457,-1.6529919,-0.52921724,-1.0191278,-0.44829258,-0.6338432,-0.9533488,-1.336921,0.3835722
65,-1.3828688,-1.3910543,"('insecure', 'secure')",-1.0686473,-0.9879631,-0.5949329,-0.61653376,-0.8565193,-0.82572657,-0.9757421,-0.9553194,-0.0204227
13,-1.3752277,-1.3157593,"('impolite', 'polite')",-0.9735865,-0.8724748,-0.8399452,-0.8595623,-0.44843996,-0.4084872,-0.9092999,-0.8640709,-0.045229
79,1.3713119,1.3560263,"('wavering', 'unwavering')",1.4725615,1.6039525,1.5035735,1.5259988,0.49599013,0.55361027,1.2108593,1.259897,-0.0490377
1,1.2833741,1.2826924,"('unfriendly', 'friendly')",1.5776733,1.5828238,1.1815869,1.1991518,1.5038102,1.4297467,1.386611,1.3736036,0.0130074
26,1.2531266,1.2466629,"('hardhearted', 'benevolent')",3.0555456,3.0214102,2.3426855,2.3464143,1.2805392,1.2241622,1.9829742,1.9596624,0.0233118
2,1.2479714,1.3611857,"('unlikable', 'likable')",0.68811667,0.9004212,1.5270097,1.6683333,0.6497512,0.9095731,1.0282123,1.2098783,-0.181666
21,-1.2434418,-1.2648016,"('immoral', 'moral')",-1.3934667,-1.4875492,-0.6939558,-0.6829118,-1.664009,-1.7197164,-1.2487184,-1.2887448,0.0400264
30,-1.2299458,-1.4390967,"('intolerant', 'tolerant')",-1.9296005,-2.0992064,-1.0035918,-1.2031844,-1.018119,-1.0984613,-1.2953143,-1.4599872,0.1646729
36,1.218003,1.425784,"('hostile', 'amicable')",1.6355224,1.9563218,1.1070565,1.5580641,0.6857867,0.95591813,1.1615921,1.474022,-0.3124299
49,-1.1917554,-1.2083027,"('unable', 'able')",-0.72794247,-0.7752056,-0.46329683,-0.51184416,-0.72271097,-0.86033183,-0.7764264,-0.8389211,0.0624947
42,1.1539649,0.9545627,"('unreliable', 'reliable')",0.41169462,0.37064514,0.99338746,0.9371991,-2.5030832,-2.3835518,0.0139909,-0.0302863,0.0442772
6,1.1346056,1.4860662,"('distant', 'open')",1.9781681,2.2403889,1.3480854,1.7184507,0.3135898,0.44496503,1.1936123,1.4724677,-0.2788554
51,-1.1237416,-1.5536249,"('uneducated', 'educated')",-1.585713,-1.7306056,-0.22670342,-0.5643328,-0.35151434,-0.49126,-0.8219181,-1.0849558,0.2630377
56,-1.1202235,-1.5085182,"('impractical', 'practical')",-0.16236019,-0.38259953,-0.8060962,-1.1656836,-0.79173815,-0.9597665,-0.7201045,-1.0041419,0.2840374
62,-1.0427924,-1.4703637,"('incompetent', 'brilliant')",-1.671913,-2.0865896,-1.1162276,-1.5443841,-0.65979004,-0.7984432,-1.1226808,-1.4749452,0.3522644
9,1.0170863,0.9958303,"('unaffectionate', 'caring')",1.4059348,1.485324,0.71593624,0.52105063,1.014617,0.88886434,1.0383935,0.9727674,0.0656261
15,1.0048503,0.60308397,"('boring', 'funny')",1.090091,1.0332332,0.9706009,0.8302461,0.37154508,0.41614228,0.8592718,0.7206764,0.1385954
16,0.95672905,1.1662514,"('unpopular', 'popular')",0.13313618,0.19275981,1.0295013,1.2213666,0.7256438,0.81336397,0.7112526,0.8484355,-0.1371829
59,0.94791037,1.1761551,"('foolish', 'wise')",0.014107861,0.065438785,1.3120701,1.5073998,-0.18899214,-0.20183986,0.5212741,0.6367884,-0.1155143
68,-0.9109505,-0.49482065,"('dependent', 'independent')",-1.7722707,-1.5324136,-1.4983886,-1.3161561,-1.4829739,-1.4132664,-1.4161459,-1.1891642,-0.2269817
3,-0.8927235,-0.6452437,"('repellent', 'pleasant')",-1.2068572,-1.2929047,-0.8840647,-0.8869121,0.73847795,0.64400125,-0.5612919,-0.5452648,-0.0160271
40,0.892012,0.69888437,"('stingy', 'generous')",0.69830215,0.6183638,0.0522009,-0.24160743,-2.140983,-2.2198446,-0.124617,-0.286051,0.161434
31,0.85950834,0.95449203,"('evil', 'good')",1.1705679,1.1956228,0.747872,0.9906162,-0.55531156,-0.5654626,0.5556592,0.6438171,-0.0881579
29,0.84393007,0.9865747,"('unfair', 'fair')",0.0795889,0.16880056,-0.15089045,-0.09616805,-0.83337444,-0.8444899,-0.0151865,0.0536793,-0.0688658
48,-0.8284552,-1.1386812,"('unintelligent', 'intelligent')",-1.0849911,-1.2673731,-0.4327841,-0.78610915,-1.235664,-1.4361712,-0.8954736,-1.1570836,0.26161
75,0.8107209,0.6028099,"('meek', 'impulsive')",-0.57981074,-0.5869316,0.42749012,0.3943774,0.6245488,0.7630749,0.3207373,0.2933326,0.0274047
84,0.80333745,0.9106333,"('inferior', 'superior')",0.7501494,0.81589836,0.9286651,1.0391598,0.79433477,0.7928575,0.8191217,0.8896372,-0.0705155
7,-0.74242735,-1.0556226,"('insensitive', 'sensitive')",-1.158112,-1.3008909,-0.7380736,-1.1212922,-0.4463203,-0.6925018,-0.7712333,-1.0425768,0.2713435
20,-0.72980946,-0.6966242,"('rough', 'thoughtful')",-1.032163,-0.9372416,0.13334972,0.17760827,-0.06810443,-0.037648715,-0.4241818,-0.3734766,-0.0507052
25,0.7249565,0.8761517,"('egoistic', 'altruistic')",1.3063135,1.4883171,1.1531557,1.3075205,1.5646746,1.8312194,1.1872752,1.3758023,-0.1885271
11,-0.66853637,-0.83608466,"('unhelpful', 'helpful')",-0.855879,-1.0485517,-1.1185715,-1.6266326,1.8991072,1.7873995,-0.1859699,-0.4309674,0.2449975
58,0.6520714,0.64579016,"('undiscriminating', 'discriminating')",0.40015745,0.46381587,0.60396254,0.5248778,0.70436925,0.6855961,0.5901402,0.58002,0.0101202
17,0.6164059,0.627568,"('nasty', 'nice')",-0.28325176,-0.33206367,0.4742789,0.435489,-0.044973746,-0.036816724,0.1906148,0.1735442,0.0170706
80,-0.6011493,-0.96403366,"('dominated', 'dominating')",-1.0431738,-1.3661642,-0.39808685,-0.7956953,-0.31876552,-0.37257287,-0.5902939,-0.8746165,0.2843226
34,0.579868,0.494234,"('mean', 'honorable')",1.0528744,1.1790043,0.6800354,0.67591405,5.4349756,5.2946243,1.9369383,1.9109442,0.0259941
27,0.57507557,0.5209825,"('hardhearted', 'softhearted')",0.1413547,0.14653704,0.07251465,-0.23540092,0.77720195,0.6555844,0.3915367,0.2719257,0.119611
50,0.5711631,0.4052932,"('clumsy', 'skillful')",-0.36108828,-0.45180446,1.7547729,1.594153,0.92640424,0.91346544,0.722813,0.6152768,0.1075362
76,-0.53646255,-0.7227058,"('anxious', 'daring')",-0.18721166,-0.09914005,0.19377872,0.101260476,-0.19641334,-0.044235736,-0.1815772,-0.1912053,0.0096281
39,0.5345561,0.73558366,"('exploitative', 'cooperative')",0.3369215,0.5586116,0.06372588,0.15130726,0.069769606,0.26625964,0.2512433,0.4279405,-0.1766972
44,0.50529623,0.81261814,"('prejudiced', 'unprejudiced')",-1.052431,-0.92773396,-1.3321631,-1.0952485,-1.63556,-1.431574,-0.8787144,-0.6604846,-0.2182298
63,-0.47739336,-0.8137283,"('unperceptive', 'insightful')",0.060667366,-0.18727176,1.0255185,0.71398926,0.5843555,0.49100518,0.298287,0.0509986,0.2472884
87,0.47462192,0.69371724,"('unsuccessful', 'successful')",0.56846184,0.6529629,1.665999,1.7077008,1.0092628,0.99284416,0.9295864,1.0118062,-0.0822198
24,-0.4591655,-0.5643531,"('dishonest', 'honest')",-0.6419055,-0.49939007,-0.68255734,-0.81972146,-0.85019034,-0.8442037,-0.6584547,-0.6819171,0.0234624
